current_url,gsc_clicks_export,gsc_impressions_export,gsc_ctr_export,gsc_position_export,top_queries,traffic_risk,primary_cluster,recommended_action,cannibalization_group
https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%9B%D7%93%D7%90%D7%99-%D7%9C%D7%94%D7%A9%D7%A9%D7%A7%D7%99%D7%A2-%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%93%D7%95%D7%91%D7%90%D7%99,0,1,0.00%,1.0,UNKNOWN,LOW,real-estate,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%94%D7%98%D7%A8%D7%93%D7%95%D7%AA-%D7%A9%D7%9C-%D7%A2%D7%93-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%A0%D7%99%D7%A8-%D7%97%D7%A4%D7%A5-%D7%95%D7%A2%D7%93%D7%AA-%D7%94,2,318,0.63%,21.0,הרצל גולן (0c/5i/p18.4) | ניר חפץ משרד עורכי דין (0c/1i/p18.0) | ניר פסי (0c/1i/p46.0) | עד המדינה במשפט נתניהו (0c/1i/p15.0) | עדת התביעה (0c/1i/p41.0),LOW,criminal-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%90%D7%9E%D7%A0%D7%AA-%D7%94%D7%90%D7%95%D7%9E%D7%95%D7%AA-%D7%94%D7%9E%D7%90%D7%95%D7%97%D7%93%D7%95%D7%AA-%D7%A0%D7%92%D7%93-%D7%A9%D7%97%D7%99%D7%AA%D7%95%D7%AA,4,408,0.98%,30.9,עבירות כלכליות בינלאומי (0c/3i/p82.7),LOW,UNKNOWN,NEEDS_CLUSTER_CLASSIFICATION,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%92%D7%99%D7%93%D7%94,0,2,0.00%,36.0,עילות גירושין במשפט העברי (0c/1i/p62.0),LOW,family-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%92%D7%A5-%D7%94%D7%91%D7%95%D7%92%D7%93%D7%AA,50,4510,1.11%,24.0,UNKNOWN,HIGH,UNKNOWN,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%92%D7%A5-5988/21-%D7%A1%D7%9E%D7%9B%D7%95%D7%AA-%D7%91%D7%AA%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%A8%D7%91%D7%A0%D7%99%D7%99%D7%9D-%D7%91%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D,7,3536,0.20%,38.8,UNKNOWN,MEDIUM,family-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%95%D7%92%D7%A8-%D7%9C%D7%99%D7%9E%D7%95%D7%93%D7%99-%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%90%D7%A8%D7%94%D7%91,0,130,0.00%,37.2,UNKNOWN,LOW,real-estate,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%90%D7%92%D7%A8%D7%94-%D7%91%D7%92%D7%99%D7%9F-%D7%94%D7%92%D7%A9%D7%AA-%D7%93%D7%99%D7%95%D7%95%D7%97-%D7%9C%D7%90%D7%A4%D7%95%D7%98%D7%A8%D7%95%D7%A4%D7%95%D7%A1-%D7%94%D7%9B%D7%9C%D7%9C%D7%99,1,1727,0.06%,47.6,UNKNOWN,MEDIUM,family-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%A1%D7%9B%D7%9D-%D7%9E%D7%99%D7%96%D7%95%D7%92-%D7%AA%D7%90-4528-01-16,4,384,1.04%,20.3,מגן אלטוביה (0c/5i/p34.2) | איסר בירגר (0c/1i/p42.0) | אלטוביה (0c/1i/p4.0) | אלקטריק ליס תביעות (0c/1i/p21.0) | השופט מגן אלטוביה (0c/1i/p30.0),LOW,legal-database-rulings,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%A1%D7%9B%D7%9D-%D7%9E%D7%9E%D7%95%D7%9F-%D7%A9%D7%90%D7%95%D7%A9%D7%A8-%D7%95%D7%A7%D7%99%D7%91%D7%9C-%D7%AA%D7%95%D7%A7%D7%A3-%D7%A9%D7%9C-%D7%A4%D7%A1%D7%A7-%D7%93%D7%99%D7%9F-%D7%AA%D7%94%D7%A1-27071-11-19,17,1279,1.33%,14.5,UNKNOWN,MEDIUM,family-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%A8%D7%A9%D7%A2%D7%94-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%94%D7%95%D7%A0%D7%90%D7%94,2,1301,0.15%,45.5,ביטול הרשעה (0c/2i/p79.0),MEDIUM,UNKNOWN,NEEDS_CLUSTER_CLASSIFICATION,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%99%D7%AA-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%A8%D7%91%D7%A0%D7%99-%D7%A7%D7%A0%D7%94-%D7%A1%D7%9E%D7%9B%D7%95%D7%AA-%D7%9C%D7%9E%D7%A8%D7%95%D7%AA-%D7%94%D7%92%D7%A9%D7%AA-%D7%AA%D7%95%D7%91%D7%A2%D7%A0%D7%94-%D7%91%D7%A2%D7%A0%D7%99%D7%99%D7%9F-%D7%94%D7%97%D7%96%D7%A7%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D,1,865,0.12%,49.3,פסקי דין גירושין (0c/29i/p48.6) | בקשה לדחיית מועד דיון בבית הדין הרבני (0c/1i/p73.0),LOW,family-law,NEEDS_MERGE_REVIEW,פסקי דין גירושין
https://jus-tice.co.il/%D7%91%D7%99%D7%AA-%D7%94%D7%9E%D7%A9%D7%A4%D7%98-%D7%94%D7%A4%D7%A8%D7%98%D7%99-justicecoil,2,176,1.14%,22.5,UNKNOWN,LOW,legal-database-rulings,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%A0%D7%99%D7%99%D7%94-%D7%99%D7%A8%D7%95%D7%A7%D7%94-%D7%AA%D7%9B%D7%A0%D7%95%D7%9F-%D7%A2%D7%99%D7%A8%D7%95%D7%A0%D7%99-%D7%95%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98%D7%99%D7%9D-%D7%90%D7%A0%D7%A8%D7%92%D7%98%D7%99%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%95%D7%9F,1,260,0.38%,18.5,בניית בית ביוון (0c/10i/p45.2) | מגמות בבנייה ירוקה בישראל (0c/6i/p42.0) | בנייה ירוקה מה זה (0c/2i/p64.0) | פרויקטים ביוון (0c/2i/p51.5) | בנייה ירוקה בפרויקטים יוקרתיים (0c/1i/p55.0),LOW,UNKNOWN,NEEDS_CLUSTER_CLASSIFICATION,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%A0%D7%99%D7%99%D7%AA-%D7%90%D7%AA%D7%A8%D7%99%D7%9D,0,1135,0.00%,57.1,UNKNOWN,MEDIUM,UNKNOWN,NEEDS_CLUSTER_CLASSIFICATION,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%A0%D7%99-%D7%96%D7%95%D7%92-%D7%9C%D7%A9%D7%A2%D7%91%D7%A8-%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%95%D7%9E%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%A2%D7%9C-%D7%91%D7%AA-%D7%A7%D7%98%D7%99%D7%A0%D7%94,5,1286,0.39%,61.7,UNKNOWN,MEDIUM,family-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%A2%D7%9C%D7%95%D7%AA-%D7%A2%D7%9C-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%91%D7%A0%D7%99%D7%99%D7%94-%D7%91%D7%92%D7%92%D7%95%D7%AA-%D7%94%D7%9C%D7%9B%D7%AA-%D7%91%D7%99%D7%AA-%D7%94%D7%93%D7%A8,98,6945,1.41%,33.3,UNKNOWN,HIGH,UNKNOWN,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%A2%D7%9C-%D7%9E%D7%91%D7%A7%D7%A9-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9-%D7%91%D7%94%D7%A1%D7%9B%D7%9E%D7%94-%D7%91%D7%94%D7%AA%D7%90%D7%9D-%D7%9C%D7%94%D7%95%D7%A8%D7%90%D7%95%D7%AA-%D7%94%D7%A1%D7%9B%D7%9D-%D7%99%D7%97%D7%A1%D7%99-%D7%9E%D7%9E%D7%95%D7%9F,2,609,0.33%,52.8,UNKNOWN,LOW,UNKNOWN,NEEDS_CLUSTER_CLASSIFICATION,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%90%D7%99%D7%A9%D7%95%D7%A8-%D7%AA%D7%95%D7%91%D7%A2%D7%A0%D7%94-%D7%91%D7%92%D7%99%D7%9F-%D7%A9%D7%9C%D7%99%D7%97%D7%AA-%D7%93%D7%95%D7%90%D7%A8-%D7%96%D7%91%D7%9C-%D7%9B%D7%99%D7%99%D7%A6%D7%95%D7%92%D7%99%D7%AA,6,625,0.96%,34.5,UNKNOWN,LOW,UNKNOWN,NEEDS_CLUSTER_CLASSIFICATION,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%A2%D7%99%D7%95%D7%9F-%D7%91%D7%97%D7%95%D7%9E%D7%A8-%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%9C%D7%A4%D7%99-%D7%A1%D7%A2%D7%99%D7%A3-74-%D7%9C%D7%97%D7%A1%D7%93%D7%A4,10,935,1.07%,24.7,UNKNOWN,MEDIUM,criminal-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%A7%D7%99%D7%95%D7%9D-%D7%A6%D7%95%D7%95%D7%90%D7%94-%D7%94%D7%9E%D7%A2%D7%A0%D7%99%D7%A7%D7%94-%D7%9B%D7%9C-%D7%94%D7%A8%D7%9B%D7%95%D7%A9-%D7%9C%D7%97%D7%91%D7%A8-%D7%95%D7%94%D7%AA%D7%A0%D7%92%D7%93%D7%95%D7%AA-%D7%90%D7%97%D7%95%D7%AA-%D7%94%D7%9E%D7%A0%D7%95%D7%97,5,615,0.81%,16.6,UNKNOWN,LOW,inheritance-wills,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%A7%D7%99%D7%95%D7%9D-%D7%A6%D7%95%D7%95%D7%90%D7%94-%D7%9B%D7%A0%D7%92%D7%93-%D7%94%D7%AA%D7%A0%D7%92%D7%93%D7%95%D7%AA%D7%95-%D7%A9%D7%9C-%D7%91%D7%9F-%D7%94%D7%9E%D7%A0%D7%95%D7%97%D7%94-%D7%A9%D7%94%D7%95%D7%93%D7%A8-%D7%9E%D7%94%D7%A6%D7%95%D7%95%D7%90%D7%94-%D7%91%D7%98%D7%A2%D7%A0%D7%94-%D7%A9%D7%9C%D7%90-%D7%94%D7%99%D7%99%D7%AA%D7%94-%D7%9B%D7%A9%D7%99%D7%A8%D7%94,17,2203,0.77%,21.6,UNKNOWN,MEDIUM,inheritance-wills,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%A8%D7%99%D7%A9%D7%95%D7%9D-%D7%9E%D7%9B%D7%A8,1,3809,0.03%,22.4,UNKNOWN,MEDIUM,UNKNOWN,NEEDS_CLUSTER_CLASSIFICATION,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%AA-%D7%A0%D7%A4%D7%92%D7%A2-%D7%A2%D7%91%D7%99%D7%A8%D7%94-%D7%9E%D7%99%D7%93%D7%A2-%D7%90%D7%A9%D7%A4%D7%95%D7%96%D7%95-%D7%A9%D7%9C-%D7%A0%D7%90%D7%A9%D7%9D-%D7%91%D7%91%D7%99%D7%AA-%D7%97%D7%95%D7%9C%D7%99%D7%9D,0,13,0.00%,28.5,UNKNOWN,LOW,criminal-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%AA-%D7%A6%D7%95-%D7%94%D7%92%D7%A0%D7%94-%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA-%D7%90%D7%9C%D7%99%D7%9E%D7%95%D7%AA-%D7%91%D7%9E%D7%A9%D7%A4%D7%97%D7%94-%D7%94%D7%98-61185-11-22,26,4392,0.59%,39.5,צו הגנה בית משפט לענייני משפחה (0c/95i/p46.5) | בקשות למתן צווי הגנה (0c/46i/p31.8) | בקשה לצו הגנה דוגמא (0c/36i/p26.7) | ערעור על צו הגנה (0c/26i/p43.8) | בקשה למתן צו הגנה (0c/22i/p27.2),MEDIUM,family-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%92%D7%95%D7%91%D7%94-%D7%93%D7%9E%D7%99-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%96%D7%9E%D7%A0%D7%99%D7%99%D7%9D-%D7%A8%D7%9E%D7%A9-57290-01-22,5,1058,0.47%,39.4,UNKNOWN,MEDIUM,family-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%92%D7%96%D7%93-%D7%A2%D7%95%D7%A0%D7%A9-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%9C%D7%A7%D7%98%D7%99%D7%9F-%D7%9E%D7%AA%D7%97%D7%AA-%D7%9C16-%D7%A9%D7%91%D7%99%D7%A6%D7%A2-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%99%D7%9F-%D7%AA%D7%A4%D7%97-39000-05-21,19,1312,1.45%,39.3,UNKNOWN,MEDIUM,criminal-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%92%D7%96%D7%9C-%D7%A1%D7%95%D7%93-%D7%9E%D7%A1%D7%97%D7%A8%D7%99-%D7%A9%D7%99%D7%9E%D7%95%D7%A9-%D7%A9%D7%9C%D7%90-%D7%91%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%9C%D7%A7%D7%95%D7%97%D7%95%D7%AA-%D7%90%D7%99-%D7%AA%D7%97%D7%A8%D7%95%D7%AA-%D7%95%D7%A9%D7%9E%D7%99%D7%A8%D7%AA-%D7%A1%D7%95%D7%93%D7%99%D7%95%D7%AA,7,1874,0.37%,35.0,UNKNOWN,MEDIUM,tax-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%92%D7%96%D7%A8-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A0%D7%90%D7%A9%D7%9D-%D7%A2%D7%91%D7%99%D7%A8%D7%AA-%D7%AA%D7%A7%D7%99%D7%A4%D7%AA-%D7%90%D7%99%D7%A9%D7%94-%D7%95%D7%91%D7%AA,42,1615,2.60%,43.3,UNKNOWN,MEDIUM,criminal-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%92%D7%99%D7%9C%D7%95%D7%99-%D7%A0%D7%90%D7%95%D7%AA-%D7%97%D7%A1%D7%A8-%D7%A9%D7%A0%D7%A2%D7%A9%D7%94-%D7%91%D7%A2%D7%A1%D7%A7%D7%AA-%D7%9E%D7%9B%D7%A8-%D7%91%D7%A8%D7%A9%D7%AA-%D7%94%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98,43,805,5.34%,6.4,UNKNOWN,MEDIUM,UNKNOWN,NEEDS_CLUSTER_CLASSIFICATION,UNKNOWN
https://jus-tice.co.il/%D7%92%D7%99%D7%9C%D7%95%D7%99-%D7%A4%D7%A8%D7%98%D7%99-%D7%9E%D7%A9%D7%AA%D7%9E%D7%A9-%D7%A9%D7%9C-%D7%A4%D7%A8%D7%95%D7%A4%D7%99%D7%9C-%D7%A4%D7%99%D7%99%D7%A1%D7%91%D7%95%D7%A7-%D7%A4%D7%99%D7%A7%D7%98%D7%99%D7%91%D7%99-%D7%AA%D7%90-20419-03-21,27,2059,1.31%,43.9,UNKNOWN,MEDIUM,UNKNOWN,NEEDS_CLUSTER_CLASSIFICATION,UNKNOWN
https://jus-tice.co.il/%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9D-%D7%93%D7%97%D7%99%D7%99%D7%AA-%D7%91%D7%A7%D7%A9%D7%AA-%D7%94%D7%91%D7%A2%D7%9C-%D7%9C%D7%A9%D7%A2%D7%91%D7%A8-%D7%9C%D7%A7%D7%91%D7%95%D7%A2-%D7%9B%D7%99-%D7%94%D7%92%D7%98-%D7%91%D7%98%D7%9C,7,253,2.77%,25.6,UNKNOWN,LOW,family-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%91%D7%90%D7%A8%D7%A6%D7%95%D7%AA-%D7%94%D7%91%D7%A8%D7%99%D7%AA,63,4701,1.34%,37.2,UNKNOWN,HIGH,family-law,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,UNKNOWN
https://jus-tice.co.il/%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%91%D7%91%D7%9C%D7%92%D7%99%D7%94,8,342,2.34%,39.8,UNKNOWN,LOW,family-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%91%D7%92%D7%99%D7%93%D7%94-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%91%D7%A2%D7%9C-%D7%91%D7%95%D7%92%D7%93-%D7%91%D7%94%D7%9C%D7%9B%D7%94,21,4390,0.48%,37.2,UNKNOWN,MEDIUM,family-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%91%D7%92%D7%99%D7%A9%D7%95%D7%A8-%D7%A2%D7%9D-%D7%99%D7%9C%D7%93%D7%99%D7%9D-%D7%94%D7%93%D7%A8%D7%9A-%D7%94%D7%98%D7%95%D7%91%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9-%D7%91%D7%92%D7%99%D7%A9%D7%95%D7%A8-%D7%91%D7%9C%D7%99-%D7%9C%D7%A4%D7%92%D7%95%D7%A2-%D7%91%D7%99%D7%9C%D7%93%D7%99%D7%9D,0,573,0.00%,42.1,doctors - גירושין: בלי לפגוע בילדים (0c/6i/p65.8) | גישור בין הורים לילדים (0c/3i/p56.0) | גישור בין ילדים (0c/1i/p66.0),LOW,family-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%91%D7%A2%D7%9C%D7%95%D7%AA-%D7%95%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%90%D7%AA%D7%A8-%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98-%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%A8%D7%9B%D7%95%D7%A9-%D7%91%D7%99%D7%9F-%D7%91%D7%A0%D7%99-%D7%96%D7%95%D7%92,0,17,0.00%,16.1,UNKNOWN,LOW,family-law,NEEDS_CONTENT_REVIEW,UNKNOWN
https://jus-tice.co.il/%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%97%D7%99%D7%95%D7%91-%D7%94%D7%90%D7%91-%D7%91%D7%AA%D7%A9%D7%9C%D7%95%D7%9D-%D7%91%D7%92%D7%99%D7%9F-%D7%9E%D7%93%D7%95%D7%A8-%D7%94%D7%99%D7%9C%D7%93%D7%99%D7%9D-%D7%91%D7%91%D7%99%D7%AA-%D7%A9%D7%91%D7%91%D7%A2%D7%9C%D7%95%D7%AA-%D7%94%D7%90%D7%9D-%D7%95%D7%90%D7%99%D7%9F-%D7%94%D7%99%D7%90-%D7%9E%D7%A9%D7%9C%D7%9E%D7%AA-%D7%A9%D7%9B%D7%A8-%D7%93%D7%99%D7%A8%D7%94-%D7%91%D7%92%D7%99%D7%A0%D7%95,29,1972,1.47%,40.0,UNKNOWN,MEDIUM,family-law,NEEDS_CONTENT_REVIEW,UNKNOWN
