page,country,clicks,impressions,ctr,position
https://jus-tice.co.il/%D7%90%D7%99%D7%96%D7%95%D7%9F-%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D-%D7%9B%D7%A1%D7%A4%D7%99%D7%9D-%D7%94%D7%9E%D7%A6%D7%95%D7%99%D7%99%D7%9D-%D7%91%D7%97%D7%A9%D7%91%D7%95%D7%A0%D7%95%D7%AA-%D7%91%D7%9F-%D7%96%D7%95%D7%92-%D7%94%D7%91%D7%A8%D7%97%D7%AA-%D7%A0%D7%9B%D7%A1%D7%99%D7%9D/,isr,0,25,0.00%,72.0
https://jus-tice.co.il/%D7%90%D7%99%D7%9E%D7%95%D7%AA-%D7%97%D7%AA%D7%99%D7%9E%D7%94-%D7%A0%D7%95%D7%98%D7%A8%D7%99%D7%95%D7%9F-%D7%9E%D7%A9%D7%95%D7%9C%D7%91-%D7%A2%D7%91%D7%A8%D7%99%D7%AA-%D7%90%D7%A0%D7%92%D7%9C%D7%99%D7%AA/,isr,0,96,0.00%,48.4
https://jus-tice.co.il/%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%94%D7%98%D7%A8%D7%93%D7%95%D7%AA-%D7%A9%D7%9C-%D7%A2%D7%93-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%A0%D7%99%D7%A8-%D7%97%D7%A4%D7%A5-%D7%95%D7%A2%D7%93%D7%AA-%D7%94/,isr,0,10,0.00%,27.6
https://jus-tice.co.il/%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%94%D7%98%D7%A8%D7%93%D7%95%D7%AA-%D7%A9%D7%9C-%D7%A2%D7%93-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%A0%D7%99%D7%A8-%D7%97%D7%A4%D7%A5-%D7%95%D7%A2%D7%93%D7%AA-%D7%94/,vnm,0,1,0.00%,5.0
https://jus-tice.co.il/%D7%90%D7%9E%D7%A0%D7%AA-%D7%94%D7%90%D7%95%D7%9E%D7%95%D7%AA-%D7%94%D7%9E%D7%90%D7%95%D7%97%D7%93%D7%95%D7%AA-%D7%A0%D7%92%D7%93-%D7%A9%D7%97%D7%99%D7%AA%D7%95%D7%AA/,isr,0,3,0.00%,82.7
https://jus-tice.co.il/%D7%91%D7%92%D7%99%D7%93%D7%94/,isr,0,1,0.00%,62.0
https://jus-tice.co.il/%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%A1%D7%9B%D7%9D-%D7%9E%D7%99%D7%96%D7%95%D7%92-%D7%AA%D7%90-4528-01-16/,isr,0,10,0.00%,27.3
https://jus-tice.co.il/%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%A8%D7%A9%D7%A2%D7%94-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%94%D7%95%D7%A0%D7%90%D7%94/,isr,0,2,0.00%,79.0
https://jus-tice.co.il/%D7%91%D7%99%D7%AA-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%A8%D7%91%D7%A0%D7%99-%D7%A7%D7%A0%D7%94-%D7%A1%D7%9E%D7%9B%D7%95%D7%AA-%D7%9C%D7%9E%D7%A8%D7%95%D7%AA-%D7%94%D7%92%D7%A9%D7%AA-%D7%AA%D7%95%D7%91%D7%A2%D7%A0%D7%94-%D7%91%D7%A2%D7%A0%D7%99%D7%99%D7%9F-%D7%94%D7%97%D7%96%D7%A7%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/,isr,0,30,0.00%,49.4
https://jus-tice.co.il/%D7%91%D7%A0%D7%99%D7%99%D7%94-%D7%99%D7%A8%D7%95%D7%A7%D7%94-%D7%AA%D7%9B%D7%A0%D7%95%D7%9F-%D7%A2%D7%99%D7%A8%D7%95%D7%A0%D7%99-%D7%95%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98%D7%99%D7%9D-%D7%90%D7%A0%D7%A8%D7%92%D7%98%D7%99%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%95%D7%9F/,isr,0,25,0.00%,45.9
https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%AA-%D7%A6%D7%95-%D7%94%D7%92%D7%A0%D7%94-%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA-%D7%90%D7%9C%D7%99%D7%9E%D7%95%D7%AA-%D7%91%D7%9E%D7%A9%D7%A4%D7%97%D7%94-%D7%94%D7%98-61185-11-22/,isr,0,279,0.00%,41.5
https://jus-tice.co.il/%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%91%D7%92%D7%99%D7%A9%D7%95%D7%A8-%D7%A2%D7%9D-%D7%99%D7%9C%D7%93%D7%99%D7%9D-%D7%94%D7%93%D7%A8%D7%9A-%D7%94%D7%98%D7%95%D7%91%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9-%D7%91%D7%92%D7%99%D7%A9%D7%95%D7%A8-%D7%91%D7%9C%D7%99-%D7%9C%D7%A4%D7%92%D7%95%D7%A2-%D7%91%D7%99%D7%9C%D7%93%D7%99%D7%9D/,isr,0,12,0.00%,67.5
https://jus-tice.co.il/%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%A7%D7%91%D7%9C%D7%AA-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%A4%D7%A0%D7%A1%D7%99%D7%95%D7%A0%D7%99%D7%95%D7%AA-%D7%9E%D7%94%D7%95%D7%95%D7%A0%D7%95%D7%AA-%D7%91%D7%9E%D7%A7%D7%95%D7%9D-%D7%A8%D7%99%D7%A9%D7%95%D7%9E%D7%9F-%D7%A2%D7%9C-%D7%A9%D7%9D-%D7%94%D7%96%D7%9B%D7%90%D7%99-%D7%91%D7%94%D7%AA%D7%90%D7%9D-%D7%9C%D7%97%D7%95%D7%A7-%D7%9C%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%97%D7%99%D7%A1%D7%9B%D7%95%D7%9F-%D7%A4%D7%A0%D7%A1%D7%99%D7%95%D7%A0%D7%99/,isr,0,2,0.00%,61.0
https://jus-tice.co.il/%D7%93%D7%95%D7%97%D7%95%D7%AA-%D7%97%D7%A0%D7%99%D7%94-%D7%90%D7%9E%D7%A6%D7%A2%D7%95%D7%AA-%D7%9E%D7%A1%D7%A8%D7%95%D7%9F-%D7%9C%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A0%D7%99%D7%99%D7%93-sms/,isr,0,2,0.00%,6.0
https://jus-tice.co.il/%D7%93%D7%97%D7%99%D7%99%D7%AA-%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%94%D7%AA%D7%A0%D7%92%D7%93%D7%95%D7%AA-%D7%9C%D7%A6%D7%95-%D7%99%D7%A8%D7%95%D7%A9%D7%94-%D7%A2%D7%9C-%D7%99%D7%93%D7%99-%D7%94%D7%A0%D7%AA%D7%91%D7%A2%D7%AA-%D7%94%D7%98%D7%95%D7%A2%D7%A0%D7%AA-%D7%9C%D7%94%D7%99%D7%95%D7%AA%D7%94-%D7%91%D7%AA-%D7%94%D7%96%D7%95%D7%92-%D7%A9%D7%9C-%D7%94%D7%9E%D7%A0%D7%95%D7%97-%D7%AA%D7%A2-57474-06-19/,isr,0,2,0.00%,69.0
https://jus-tice.co.il/%D7%93%D7%97%D7%99%D7%99%D7%AA-%D7%93%D7%A8%D7%99%D7%A9%D7%94-%D7%9C%D7%A2%D7%99%D7%9B%D7%95%D7%91-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9C%D7%A9%D7%9D-%D7%94%D7%96%D7%9E%D7%AA-%D7%98%D7%A2%D7%A0%D7%95%D7%AA-%D7%A9%D7%9C%D7%90-%D7%94%D7%97%D7%9C-%D7%91%D7%99%D7%A8%D7%95%D7%A8%D7%9F-%D7%A9%D7%A4%D7%A1%D7%99%D7%A7%D7%AA-%D7%94%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%90%D7%99%D7%A0%D7%94-%D7%9E%D7%95%D7%A9%D7%AA%D7%AA%D7%AA-%D7%A2%D7%9C%D7%99%D7%94%D7%9F-%D7%95%D7%A9%D7%94%D7%96%D7%9E%D7%AA%D7%9F-%D7%9E%D7%91%D7%95%D7%A7%D7%A9%D7%AA-%D7%9C%D7%A6%D7%95%D7%A8%D7%9A-%D7%94%D7%9C%D7%99%D7%9A-%D7%90%D7%97%D7%A8-1353339-1-%D7%91%D7%99%D7%94%D7%93-%D7%94%D7%92%D7%93%D7%95%D7%9C/,isr,0,1,0.00%,96.0
https://jus-tice.co.il/%D7%94%D7%90%D7%9D-%D7%9B%D7%9C-%D7%94%D7%A1%D7%9B%D7%9D-%D7%91%D7%99%D7%9F-%D7%91%D7%A0%D7%99-%D7%96%D7%95%D7%92-%D7%94%D7%95%D7%90-%D7%94%D7%A1%D7%9B%D7%9D-%D7%9E%D7%9E%D7%95%D7%9F/,isr,0,9,0.00%,50.6
https://jus-tice.co.il/%D7%94%D7%90%D7%9D-%D7%AA%D7%A9%D7%9C%D7%9D-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D-%D7%91%D7%99%D7%AA-%D7%93%D7%99%D7%9F-%D7%A8%D7%91%D7%A0%D7%99-2022/,isr,0,1,0.00%,66.0
https://jus-tice.co.il/%D7%94%D7%92%D7%99%D7%A8%D7%94-%D7%9E%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%94%D7%9C%D7%99%D7%9B%D7%99%D7%9D/,fra,0,1,0.00%,28.0
https://jus-tice.co.il/%D7%94%D7%92%D7%99%D7%A8%D7%94-%D7%9E%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%94%D7%9C%D7%99%D7%9B%D7%99%D7%9D/,isr,0,63,0.00%,29.6
https://jus-tice.co.il/%D7%94%D7%92%D7%99%D7%A8%D7%94-%D7%9E%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%94%D7%9C%D7%99%D7%9B%D7%99%D7%9D/,usa,0,16,0.00%,21.0
https://jus-tice.co.il/%D7%94%D7%97%D7%96%D7%A7%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D-%D7%9E%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%9E%D7%A9%D7%95%D7%AA%D7%A4%D7%AA-%D7%91%D7%99%D7%AA-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%A8%D7%91%D7%A0%D7%99/,isr,0,59,0.00%,19.7
https://jus-tice.co.il/%D7%94%D7%97%D7%96%D7%A7%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D-%D7%9E%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%9E%D7%A9%D7%95%D7%AA%D7%A4%D7%AA-%D7%91%D7%99%D7%AA-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%A8%D7%91%D7%A0%D7%99/,jpn,0,1,0.00%,10.0
https://jus-tice.co.il/%D7%94%D7%97%D7%96%D7%A7%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D-%D7%9E%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%9E%D7%A9%D7%95%D7%AA%D7%A4%D7%AA-%D7%91%D7%99%D7%AA-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%A8%D7%91%D7%A0%D7%99/,usa,0,2,0.00%,12.5
https://jus-tice.co.il/%D7%94%D7%97%D7%9C%D7%98%D7%94-%D7%91%D7%A0%D7%95%D7%A9%D7%90-%D7%A9%D7%91%D7%99%D7%AA%D7%AA-%D7%94%D7%A0%D7%9E%D7%9C%D7%99%D7%9D-%D7%A1%D7%A7%D7%9B-55221-01-22/,isr,0,1,0.00%,61.0
https://jus-tice.co.il/%D7%94%D7%97%D7%9C%D7%98%D7%94-%D7%91%D7%AA%D7%99%D7%A7-%D7%97%D7%93%D7%9C%D7%95%D7%AA-%D7%A4%D7%99%D7%A8%D7%A2%D7%95%D7%9F-%D7%A9%D7%9C-%D7%97%D7%91%D7%A8%D7%AA-%D7%A1%D7%98%D7%95%D7%93%D7%99%D7%95-c/,can,0,1,0.00%,10.0
https://jus-tice.co.il/%D7%94%D7%97%D7%9C%D7%98%D7%94-%D7%91%D7%AA%D7%99%D7%A7-%D7%97%D7%93%D7%9C%D7%95%D7%AA-%D7%A4%D7%99%D7%A8%D7%A2%D7%95%D7%9F-%D7%A9%D7%9C-%D7%97%D7%91%D7%A8%D7%AA-%D7%A1%D7%98%D7%95%D7%93%D7%99%D7%95-c/,isr,0,94,0.00%,7.0
https://jus-tice.co.il/%D7%94%D7%97%D7%9C%D7%98%D7%94-%D7%91%D7%AA%D7%99%D7%A7-%D7%97%D7%93%D7%9C%D7%95%D7%AA-%D7%A4%D7%99%D7%A8%D7%A2%D7%95%D7%9F-%D7%A9%D7%9C-%D7%97%D7%91%D7%A8%D7%AA-%D7%A1%D7%98%D7%95%D7%93%D7%99%D7%95-c/,pse,0,2,0.00%,12.0
https://jus-tice.co.il/%D7%94%D7%A1%D7%93%D7%A8-%D7%9E%D7%95%D7%AA%D7%A0%D7%94/,isr,0,4,0.00%,77.8
https://jus-tice.co.il/%D7%94%D7%A9%D7%95%D7%A4%D7%98%D7%AA-%D7%A2%D7%A4%D7%A8%D7%94-%D7%92%D7%99%D7%90-%D7%99%D7%A1-33240-08-21-%D7%A2-%D7%A0-%D7%A2/,isr,0,11,0.00%,36.9
https://jus-tice.co.il/%D7%94%D7%A9%D7%95%D7%A4%D7%98-%D7%90%D7%A8%D7%96-%D7%A9%D7%A0%D7%99-%D7%A4%D7%A1%D7%93-%D7%91%D7%AA%D7%91%D7%99%D7%A2%D7%AA-%D7%90%D7%91-%D7%9C%D7%9E%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%95%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%96%D7%9E%D7%A0%D7%99-%D7%A9%D7%94%D7%95%D7%AA-%D7%A9%D7%95%D7%95%D7%99%D7%9D-%D7%AA%D7%9C%D7%94%D7%9E-64033-06-21/,isr,0,24,0.00%,8.8
https://jus-tice.co.il/%D7%94%D7%A9%D7%95%D7%A4%D7%98-%D7%90%D7%A8%D7%99%D7%90%D7%9C-%D7%9E%D7%9E%D7%9F-%D7%94%D7%97%D7%9C%D7%98%D7%94-%D7%9C%D7%9E%D7%AA%D7%9F-%D7%A6%D7%95-%D7%94%D7%92%D7%A0%D7%94-%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA-%D7%90%D7%9C%D7%99%D7%9E%D7%95%D7%AA-%D7%91%D7%9E%D7%A9%D7%A4%D7%97%D7%94-%D7%94%D7%98-40857-03-22/,isr,0,7,0.00%,30.3
https://jus-tice.co.il/%D7%96%D7%99%D7%9B%D7%95%D7%99-%D7%A0%D7%94%D7%92-%D7%9E%D7%A9%D7%90%D7%99%D7%AA-%D7%A9%D7%94%D7%95%D7%90%D7%A9%D7%9D-%D7%91%D7%92%D7%A8%D7%99%D7%9E%D7%AA-%D7%9E%D7%95%D7%95%D7%AA-%D7%91%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%AA%D7%99%D7%A7-56-03-20/,isr,0,2,0.00%,83.0
https://jus-tice.co.il/%D7%97%D7%93%D7%A9%D7%95%D7%AA-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%9E%D7%AA%D7%A2%D7%93%D7%9B%D7%9F/,isr,0,38,0.00%,46.0
https://jus-tice.co.il/%D7%97%D7%95%D7%A7-%D7%A4%D7%99%D7%A6%D7%95%D7%99%D7%99%D7%9D-%D7%9C%D7%A0%D7%A4%D7%92%D7%A2%D7%99-%D7%AA%D7%90%D7%95%D7%A0%D7%95%D7%AA-%D7%93%D7%A8%D7%9B%D7%99%D7%9D-%D7%A0%D7%95%D7%A1%D7%97-%D7%A2%D7%93%D7%9B%D7%A0%D7%99/,isr,0,26,0.00%,61.5
https://jus-tice.co.il/%D7%97%D7%95%D7%A7-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA/,isr,0,84,0.00%,42.9
https://jus-tice.co.il/%D7%97%D7%95%D7%A7-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA/,usa,0,4,0.00%,38.8
https://jus-tice.co.il/%D7%97%D7%AA%D7%99%D7%9E%D7%94-%D7%A2%D7%9C-%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%9C%D7%99%D7%A7%D7%95%D7%99%D7%99%D7%9D/,isr,0,5,0.00%,68.6
https://jus-tice.co.il/%D7%98%D7%95%D7%91%D7%AA-%D7%94%D7%99%D7%9C%D7%93%D7%99%D7%9D-%D7%9B%D7%91%D7%A1%D7%99%D7%A1-%D7%9C%D7%97%D7%99%D7%95%D7%91-%D7%94%D7%90%D7%9D-%D7%9C%D7%97%D7%96%D7%95%D7%A8-%D7%9C%D7%A2%D7%99%D7%A8-%D7%94%D7%9E%D7%A7%D7%95%D7%A8-%D7%A8%D7%99%D7%A9%D7%95%D7%9D-%D7%94%D7%99%D7%9C%D7%93%D7%99%D7%9D-%D7%9C%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA-%D7%94%D7%97%D7%99%D7%A0%D7%95%D7%9A/,isr,0,5,0.00%,83.0
https://jus-tice.co.il/%D7%98%D7%95%D7%A4%D7%A1-%D7%A2%D7%9E%D7%93%D7%AA-%D7%A0%D7%A4%D7%92%D7%A2%D7%99-%D7%A2%D7%91%D7%99%D7%A8%D7%94-%D7%9C%D7%A2%D7%A0%D7%99%D7%99%D7%9F-%D7%97%D7%A0%D7%99%D7%A0%D7%94/,isr,0,4,0.00%,76.0
https://jus-tice.co.il/%D7%98%D7%99%D7%A4%D7%99%D7%9D-%D7%9C%D7%A2%D7%95%D7%93-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%94%D7%9B%D7%A0%D7%A1-%D7%9C%D7%9E%D7%93%D7%A8%D7%99%D7%9B%D7%99%D7%9D-%D7%93%D7%99%D7%A8%D7%95%D7%92-%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%99%D7%9D-%D7%91%D7%A2%D7%A2%D7%95%D7%9C%D7%9D/,isr,0,2,0.00%,40.0
https://jus-tice.co.il/%D7%99%D7%99%D7%A2%D7%95%D7%A5-%D7%9E%D7%A9%D7%A4%D7%98%D7%99-%D7%90%D7%90%D7%95%D7%98%D7%A1%D7%95%D7%A8%D7%A1%D7%99%D7%A0%D7%92-%D7%91%D7%99%D7%A0%D7%9C%D7%90%D7%95%D7%9E%D7%99-jus-tice-%D7%9E%D7%A9%D7%A8%D7%95%D7%AA-%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/,isr,0,51,0.00%,35.1
https://jus-tice.co.il/%D7%99%D7%99%D7%A2%D7%95%D7%A5-%D7%9E%D7%A9%D7%A4%D7%98%D7%99-%D7%90%D7%90%D7%95%D7%98%D7%A1%D7%95%D7%A8%D7%A1%D7%99%D7%A0%D7%92-%D7%91%D7%99%D7%A0%D7%9C%D7%90%D7%95%D7%9E%D7%99-jus-tice-%D7%9E%D7%A9%D7%A8%D7%95%D7%AA-%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/,usa,0,5,0.00%,44.8
https://jus-tice.co.il/%D7%99%D7%99%D7%A2%D7%95%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%99-%D7%9C%D7%A2%D7%A6%D7%95%D7%A8-%D7%91%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%9D/,isr,0,3,0.00%,29.0
https://jus-tice.co.il/%D7%9C%D7%90-%D7%9E%D7%97%D7%95%D7%A1%D7%9F-%D7%94%D7%90%D7%9D-%D7%9E%D7%A2%D7%A1%D7%99%D7%A7-%D7%99%D7%9B%D7%95%D7%9C-%D7%9C%D7%9E%D7%A0%D7%95%D7%A2-%D7%A2%D7%95%D7%91%D7%93-%D7%9C%D7%9C%D7%90-%D7%91%D7%93%D7%99%D7%A7%D7%AA-%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94/,isr,0,2,0.00%,72.5
https://jus-tice.co.il/%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%94%D7%99%D7%9C%D7%93%D7%99%D7%9D-%D7%94%D7%90%D7%9D-%D7%9C%D7%A4%D7%99-%D7%A6%D7%A8%D7%99%D7%9B%D7%94-%D7%91%D7%A4%D7%95%D7%A2%D7%9C-%D7%90%D7%95-%D7%A2%D7%A8%D7%9A-%D7%A9%D7%95%D7%9C%D7%99/,isr,0,18,0.00%,25.9
https://jus-tice.co.il/%D7%9E%D7%97%D7%A7%D7%A8-%D7%9E%D7%99%D7%9E%D7%95%D7%A9-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%A7%D7%98%D7%99%D7%A0%D7%99%D7%9D-%D7%A0%D7%A4%D7%92%D7%A2%D7%99-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%99%D7%9F-%D7%97%D7%9E%D7%95%D7%A8%D7%95%D7%AA-%D7%91%D7%AA%D7%99%D7%A7%D7%99-%D7%94%D7%A1%D7%99%D7%95%D7%A2-%D7%94%D7%9E%D7%A9%D7%A4%D7%98%D7%99/,isr,0,1,0.00%,20.0
https://jus-tice.co.il/%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/,aus,0,1,0.00%,27.0
https://jus-tice.co.il/%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/,can,0,2,0.00%,25.5
https://jus-tice.co.il/%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/,fra,0,1,0.00%,26.0
https://jus-tice.co.il/%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/,gbr,0,3,0.00%,26.0
https://jus-tice.co.il/%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/,hun,0,2,0.00%,22.0
