query,page,clicks,impressions,ctr,position
חתימה על תצהיר בחינם,https://jus-tice.co.il/free-affidavit-sample/,14,471,2.97%,8.5
טופס 6 בקשה לסעד דחוף,https://jus-tice.co.il/form-6-request-urgent-relief-dispute-settlement/,14,304,4.61%,7.1
תביעה על מכירת רכב לא תקין,https://jus-tice.co.il/%D7%A8%D7%AA%D7%A7-38215-11-21-%D7%A9%D7%95%D7%A1%D7%98%D7%A8%D7%9E%D7%9F-%D7%A0-%D7%90%D7%9C%D7%91%D7%A8-%D7%A6%D7%99%D7%99-%D7%A8%D7%9B%D7%91/,14,407,3.44%,8.6
הצהרת אבהות ברבנות,https://jus-tice.co.il/%D7%94%D7%A6%D7%94%D7%A8%D7%AA-%D7%90%D7%91%D7%94%D7%95%D7%AA-%D7%91%D7%91%D7%99%D7%AA-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%A8%D7%91%D7%A0%D7%99/,13,39,33.33%,1.3
מרבד,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,13,6410,0.20%,9.5
ערר על החלטת קצין משטרה,https://jus-tice.co.il/psakdin/%D7%A2%D7%A8%D7%A2%D7%95%D7%A8-%D7%A2%D7%9C-%D7%94%D7%97%D7%9C%D7%98%D7%AA-%D7%A7%D7%A6%D7%99%D7%9F-%D7%91%D7%A0%D7%95%D7%A9%D7%90-%D7%9E%D7%A2%D7%A6%D7%A8-%D7%A1%D7%A2%D7%99%D7%A3-44-%D7%90-%D7%A9/,13,139,9.35%,4.0
תעודת יושר pdf,https://jus-tice.co.il/,12,53,22.64%,2.2
הסכם גירושין דוגמא doc,https://jus-tice.co.il/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,11,557,1.97%,10.4
עורך דין פלילי מחירון,https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/,11,731,1.50%,4.6
עורכי דין לפי התמחות,https://jus-tice.co.il/,11,844,1.30%,8.7
רשימת מומחים מטעם בית המשפט,https://jus-tice.co.il/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%99%D7%9D-%D7%9C%D7%91%D7%99%D7%AA-%D7%9E%D7%A9%D7%A4%D7%98-%D7%9E%D7%AA%D7%A2%D7%93%D7%9B%D7%9F/,11,553,1.99%,8.2
שמעון עמר פונטיאק,https://jus-tice.co.il/%D7%A9%D7%95%D7%A4%D7%98%D7%AA-%D7%98%D7%9C%D7%99-%D7%97%D7%99%D7%99%D7%9E%D7%95%D7%91%D7%99%D7%A5-%D7%A4%D7%A1%D7%93-%D7%A7%D7%91%D7%9C%D7%AA-%D7%93%D7%91%D7%A8-%D7%91%D7%9E%D7%A8%D7%9E%D7%94-%D7%91%D7%A0%D7%A1%D7%99%D7%91%D7%95%D7%AA-%D7%9E%D7%97%D7%9E%D7%99%D7%A8%D7%95%D7%AA-%D7%94%D7%9C%D7%91%D7%A0%D7%AA-%D7%94%D7%95%D7%9F-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%A0%D7%94%D7%9C%D7%99%D7%9D-%D7%91%D7%AA%D7%90%D7%92%D7%99%D7%93/,11,137,8.03%,4.8
תעודת יושר pdf,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,11,475,2.32%,6.5
תצהיר דוגמא וורד,https://jus-tice.co.il/free-affidavit-sample/,11,227,4.85%,7.2
אירית קלמן ברום,https://jus-tice.co.il/%D7%94%D7%AA%D7%99%D7%99%D7%A9%D7%A0%D7%95%D7%AA-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%AA%D7%90-4392-03-23/,10,251,3.98%,4.5
אלעד פרסקי,https://jus-tice.co.il/55188-07-20/,10,779,1.28%,7.3
בקשה לתעודת מידע פלילי,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,10,1133,0.88%,7.3
להב 433 טלפון,https://jus-tice.co.il/lahav-433/,10,609,1.64%,7.3
עורך דין פלילי מחירון,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,10,687,1.46%,2.5
פסק דין פלילי,https://jus-tice.co.il/%D7%A7%D7%98%D7%92%D7%95%D7%A8%D7%99%D7%95%D7%AA-%D7%9E%D7%90%D7%9E%D7%A8%D7%99%D7%9D/%D7%9E%D7%A9%D7%A4%D7%98-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A4%D7%A1%D7%A7%D7%99-%D7%93%D7%99%D7%9F-%D7%97%D7%A9%D7%95%D7%91%D7%99%D7%9D/,10,280,3.57%,10.6
פסקי דין פליליים,https://jus-tice.co.il/%D7%A7%D7%98%D7%92%D7%95%D7%A8%D7%99%D7%95%D7%AA-%D7%9E%D7%90%D7%9E%D7%A8%D7%99%D7%9D/%D7%9E%D7%A9%D7%A4%D7%98-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A4%D7%A1%D7%A7%D7%99-%D7%93%D7%99%D7%9F-%D7%97%D7%A9%D7%95%D7%91%D7%99%D7%9D/,10,396,2.53%,10.0
תצהיר להורדה,https://jus-tice.co.il/free-affidavit-sample/,10,273,3.66%,7.9
השופטת ענת הלר כריש,https://jus-tice.co.il/30767-05-21/,9,89,10.11%,4.8
חיפוש עורכי דין,https://jus-tice.co.il/,9,1401,0.64%,12.3
כחול לבן טלגרם,https://jus-tice.co.il/53431-10-21/,9,2000,0.45%,15.2
עדי הדר שופט,https://jus-tice.co.il/decision75385-12-20/,9,530,1.70%,7.1
גירושים מכוערים,https://jus-tice.co.il/%D7%94%D7%98%D7%A8%D7%99%D7%A7%D7%99%D7%9D-%D7%94%D7%9E%D7%9C%D7%95%D7%9B%D7%9C%D7%9B%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F/,8,112,7.14%,4.4
חוזה שכירות אונליין,https://jus-tice.co.il/online-rent-agreement/,8,162,4.94%,6.4
חוק החוזים תרופות,https://jus-tice.co.il/%D7%97%D7%95%D7%A7-%D7%94%D7%97%D7%95%D7%96%D7%99%D7%9D-%D7%AA%D7%A8%D7%95%D7%A4%D7%95%D7%AA-%D7%91%D7%A9%D7%9C-%D7%94%D7%A4%D7%A8%D7%AA-%D7%97%D7%95%D7%96%D7%94-%D7%AA%D7%A9%D7%9C%D7%90-1970/,8,7853,0.10%,8.2
טופס הסכם גירושין להורדה,https://jus-tice.co.il/free-divorce-agreement-template/,8,215,3.72%,6.8
עדות שקר בחקירה,https://jus-tice.co.il/%D7%94%D7%A0%D7%97%D7%99%D7%99%D7%AA-%D7%A4%D7%A8%D7%A7%D7%9C%D7%99%D7%98-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%9E%D7%A1%D7%A4%D7%A8-25-%D7%9E%D7%93%D7%99%D7%A0%D7%99%D7%95%D7%AA-%D7%A4%D7%AA%D7%99%D7%97%D7%94-%D7%91%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%95%D7%94%D7%A2%D7%9E%D7%93%D7%94-%D7%9C%D7%93%D7%99%D7%9F-%D7%91%D7%92%D7%99%D7%9F-%D7%97%D7%A9%D7%93-%D7%9C%D7%9E%D7%A1%D7%99%D7%A8%D7%AA-%D7%90%D7%9E%D7%A8%D7%94-%D7%90%D7%95-%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%95%D7%96%D7%91%D7%AA/,8,41,19.51%,2.5
פסק דין זדורוב,https://jus-tice.co.il/%D7%9E%D7%A9%D7%A4%D7%98-%D7%94%D7%97%D7%95%D7%96%D7%A8-%D7%A9%D7%9C-%D7%A8%D7%95%D7%9E%D7%9F-%D7%96%D7%93%D7%95%D7%A8%D7%95%D7%91-%D7%AA%D7%A4%D7%97-502-07/,8,50,16.00%,4.8
קורסים לעורכי דין,https://jus-tice.co.il/legal-courses-for-lawyers/,8,80,10.00%,20.7
רצח מדרגה ראשונה,https://jus-tice.co.il/murder-in-united-states-law/,8,719,1.11%,6.8
שכר עורכי דין 2025,https://jus-tice.co.il/lawyer-fee-outlook/,8,355,2.25%,7.6
תביעה אזרחית נגררת לפלילים דוגמא,https://jus-tice.co.il/%D7%AA%D7%91%D7%99%D7%A2%D7%94-%D7%90%D7%96%D7%A8%D7%97%D7%99%D7%AA-%D7%A0%D7%92%D7%A8%D7%A8%D7%AA-%D7%9C%D7%94%D7%A8%D7%A9%D7%A2%D7%94-%D7%91%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%9D-%D7%AA%D7%90-38003-03-19/,8,225,3.56%,8.3
אורית בן דור ליבל,https://jus-tice.co.il/%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%A1%D7%9B%D7%9D-%D7%9E%D7%9E%D7%95%D7%9F-%D7%A9%D7%90%D7%95%D7%A9%D7%A8-%D7%95%D7%A7%D7%99%D7%91%D7%9C-%D7%AA%D7%95%D7%A7%D7%A3-%D7%A9%D7%9C-%D7%A4%D7%A1%D7%A7-%D7%93%D7%99%D7%9F-%D7%AA%D7%94%D7%A1-27071-11-19/,7,173,4.05%,7.9
איפה הכי זול לקנות דירה בעולם,https://jus-tice.co.il/low-value-invest-abroad/,7,134,5.22%,2.1
גניבה מחנות,https://jus-tice.co.il/shoplifting/,7,156,4.49%,1.4
הסכם גירושין דוגמא doc,https://jus-tice.co.il/free-divorce-agreement-template/,7,604,1.16%,5.8
חוזה שכירות 2025,https://jus-tice.co.il/online-rent-agreement/,7,26,26.92%,6.3
ייעוץ עורך דין אונליין חינם,https://jus-tice.co.il/,7,1779,0.39%,11.6
כמה עולה לקנות בית בתאילנד,https://jus-tice.co.il/thailand-real-estate/,7,213,3.29%,6.3
להב 433,https://jus-tice.co.il/lahav-433/,7,1616,0.43%,12.2
מחשבון מזונות,https://jus-tice.co.il/%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/,7,848,0.83%,20.5
סיגלית אופק שופטת,https://jus-tice.co.il/%D7%AA%D7%95%D7%91%D7%A2%D7%A0%D7%95%D7%AA-%D7%A2%D7%96%D7%91%D7%95%D7%9F-%D7%A9%D7%9E%D7%A0%D7%94%D7%9C%D7%99%D7%9D-%D7%A9%D7%A0%D7%99-%D7%90%D7%97%D7%99%D7%9D-%D7%91%D7%A9%D7%9C-%D7%A9%D7%AA%D7%99-%D7%A6%D7%95%D7%95%D7%90%D7%95%D7%AA-%D7%A9%D7%94%D7%95%D7%AA%D7%99%D7%A8%D7%94-%D7%90%D7%9E%D7%9D-%D7%AA%D7%A2-62835-08-19/,7,213,3.29%,5.5
עורך דין אתיופי,https://jus-tice.co.il/ethiopia-lawyer/,7,394,1.78%,4.2
עורך דין לעסקים קטנים,https://jus-tice.co.il/types-of-lawyers-small-business/,7,1435,0.49%,2.9
עורך דין מקרקעין ייעוץ חינם,https://jus-tice.co.il/,7,868,0.81%,11.9
עורך דין פלילי שכר,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,7,443,1.58%,1.7
תצהיר דוגמא,https://jus-tice.co.il/free-affidavit-sample/,7,484,1.45%,7.6
תקנון אתר לדוגמא,https://jus-tice.co.il/sample-terms-and-conditions-template/,7,260,2.69%,7.3
אזרחות יוונית,https://jus-tice.co.il/%D7%93%D7%A8%D7%9B%D7%95%D7%9F-%D7%99%D7%95%D7%95%D7%A0%D7%99-%D7%94%D7%92%D7%99%D7%A8%D7%94-%D7%A8%D7%99%D7%9C%D7%95%D7%A7%D7%99%D7%99%D7%A9%D7%9F-%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%9D-%D7%9E%D7%94-%D7%94%D7%93%D7%A8%D7%99%D7%A9%D7%95%D7%AA-%D7%95%D7%94%D7%A2%D7%9C%D7%95%D7%99%D7%95%D7%AA/,6,369,1.63%,8.9
אישור משטרה העדר עבירות מיניות מקוון,https://jus-tice.co.il/%D7%98%D7%95%D7%A4%D7%A1-%D7%9C%D7%A4%D7%99-%D7%97%D7%95%D7%A7-%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA-%D7%94%D7%A2%D7%A1%D7%A7%D7%94-%D7%A9%D7%9C-%D7%A2%D7%91%D7%A8%D7%99%D7%99%D7%A0%D7%99-%D7%9E%D7%99%D7%9F-%D7%91%D7%9E%D7%95%D7%A1%D7%93-%D7%94%D7%9E%D7%9B%D7%95%D7%95%D7%9F-%D7%9C%D7%9E%D7%AA%D7%9F-%D7%A9%D7%99%D7%A8%D7%95%D7%AA-%D7%9C%D7%A7%D7%98%D7%99%D7%A0%D7%99%D7%9D/,6,553,1.08%,8.3
דוגמא להסכם גירושין,https://jus-tice.co.il/free-divorce-agreement-template/,6,666,0.90%,8.2
דרכון יווני,https://jus-tice.co.il/%D7%93%D7%A8%D7%9B%D7%95%D7%9F-%D7%99%D7%95%D7%95%D7%A0%D7%99-%D7%94%D7%92%D7%99%D7%A8%D7%94-%D7%A8%D7%99%D7%9C%D7%95%D7%A7%D7%99%D7%99%D7%A9%D7%9F-%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%9D-%D7%9E%D7%94-%D7%94%D7%93%D7%A8%D7%99%D7%A9%D7%95%D7%AA-%D7%95%D7%94%D7%A2%D7%9C%D7%95%D7%99%D7%95%D7%AA/,6,347,1.73%,7.6
הגירה לפורטוגל 2025,https://jus-tice.co.il/portugal-relocation/,6,78,7.69%,2.9
הסכם גירושין בהסכמה,https://jus-tice.co.il/free-divorce-agreement-template/,6,3965,0.15%,10.3
הסכם גירושין בהסכמה להורדה,https://jus-tice.co.il/free-divorce-agreement-template/,6,178,3.37%,5.0
חיפוש עורך דין,https://jus-tice.co.il/,6,975,0.62%,9.1
כחול לבן בטלגרם,https://jus-tice.co.il/53431-10-21/,6,762,0.79%,10.6
כמה עולה עורך דין פלילי,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,6,275,2.18%,2.5
מימון תביעות משפטיות,https://jus-tice.co.il/legal_financing/,6,107,5.61%,12.9
סעיף כוח עליון,https://jus-tice.co.il/force-majeure/,6,82,7.32%,3.1
עורך דין פלילי מפורסם,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C/,6,1536,0.39%,8.0
עורך דין פלילי שכר,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A9%D7%9B%D7%A8-%D7%9B%D7%9E%D7%94-%D7%9E%D7%A8%D7%95%D7%95%D7%99%D7%97-%D7%A2%D7%95%D7%93-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%91%D7%99%D7%A9%D7%A8%D7%90%D7%9C/,6,500,1.20%,2.5
רמי בז'ה שופט,https://jus-tice.co.il/divorce-resource-balancing-case21019-01-21/,6,47,12.77%,4.0
רשות ניירות ערך טלפון,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,6,160,3.75%,9.6
ששי גז מחיר,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,6,260,2.31%,6.5
תביעות פלילי,https://jus-tice.co.il/%D7%94%D7%94%D7%9C%D7%99%D7%9A-%D7%94%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A4%D7%A8%D7%A7%D7%9C%D7%99%D7%98%D7%95%D7%AA-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%9E%D7%95%D7%9C-%D7%97%D7%98%D7%99%D7%91%D7%AA-%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA-%D7%94%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,6,820,0.73%,5.7
תחנת משטרה גליל מערבי טלפון,https://jus-tice.co.il/%D7%AA%D7%97%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%9B%D7%AA%D7%95%D7%91%D7%AA-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A8%D7%A9%D7%99%D7%9E%D7%94-%D7%90%D7%A8%D7%A6%D7%99%D7%AA-%D7%9E%D7%A2%D7%95%D7%93%D7%9B%D7%9F/,6,339,1.77%,5.1
תצהיר לדוגמא,https://jus-tice.co.il/free-affidavit-sample/,6,142,4.23%,7.4
jus-tice.co.il,https://jus-tice.co.il/,5,40,12.50%,1.0
אזרחות מלטה,https://jus-tice.co.il/malta-citizenship-by-investment/,5,68,7.35%,2.5
אילן ציוני,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,5,96,5.21%,9.9
ביטול צו קיום צוואה,https://jus-tice.co.il/articles/%D7%AA%D7%A2-45543-11-21-%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%A6%D7%95-%D7%A7%D7%99%D7%95%D7%9D-%D7%A6%D7%95%D7%95%D7%90%D7%94-%D7%9C%D7%90%D7%97%D7%A8-%D7%92%D7%99/,5,1756,0.28%,22.9
ג'ון מורגן,https://jus-tice.co.il/morgan-morgan/,5,83,6.02%,5.5
הסכם גירושין,https://jus-tice.co.il/free-divorce-agreement-template/,5,3817,0.13%,28.4
הסכם גירושין pdf,https://jus-tice.co.il/free-divorce-agreement-template/,5,965,0.52%,5.7
הסכם גירושין דוגמא,https://jus-tice.co.il/free-divorce-agreement-template/,5,1199,0.42%,8.7
הסכם ממון דוגמא חינם,https://jus-tice.co.il/prenuptial-agreement-sample/,5,341,1.47%,7.5
השופט עדי הדר,https://jus-tice.co.il/decision75385-12-20/,5,238,2.10%,6.6
ורד ריקנטי רוסהר,https://jus-tice.co.il/40939-11-19/,5,211,2.37%,4.5
חגית מטלין,https://jus-tice.co.il/%D7%AA%D7%9E%D7%A9-14076-10-16-%D7%A4%D7%9C%D7%95%D7%A0%D7%99%D7%AA-%D7%A0-%D7%A4%D7%9C%D7%95%D7%A0%D7%99/,5,264,1.89%,5.1
יובל כרמי,https://jus-tice.co.il/%D7%AA%D7%A47140-09-21%D7%9E%D7%93%D7%99%D7%A0%D7%AA-%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%A0-%D7%9B%D7%A8%D7%9E%D7%99/,5,535,0.93%,11.1
יובל כרמי פסק דין,https://jus-tice.co.il/%D7%AA%D7%A47140-09-21%D7%9E%D7%93%D7%99%D7%A0%D7%AA-%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%A0-%D7%9B%D7%A8%D7%9E%D7%99/,5,7,71.43%,1.6
סיגלית אופק,https://jus-tice.co.il/%D7%AA%D7%95%D7%91%D7%A2%D7%A0%D7%95%D7%AA-%D7%A2%D7%96%D7%91%D7%95%D7%9F-%D7%A9%D7%9E%D7%A0%D7%94%D7%9C%D7%99%D7%9D-%D7%A9%D7%A0%D7%99-%D7%90%D7%97%D7%99%D7%9D-%D7%91%D7%A9%D7%9C-%D7%A9%D7%AA%D7%99-%D7%A6%D7%95%D7%95%D7%90%D7%95%D7%AA-%D7%A9%D7%94%D7%95%D7%AA%D7%99%D7%A8%D7%94-%D7%90%D7%9E%D7%9D-%D7%AA%D7%A2-62835-08-19/,5,213,2.35%,5.4
עוולת הרשלנות,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9E%D7%94%D7%99-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A2%D7%95%D7%95%D7%9C%D7%AA-%D7%94%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA/,5,515,0.97%,4.9
עורך דין,https://jus-tice.co.il/,5,2089,0.24%,59.2
עורך דין אוקראינה,https://jus-tice.co.il/ukraine-lawyers/,5,162,3.09%,1.1
עורך דין בפורטוגל,https://jus-tice.co.il/portugal-lawyers/,5,160,3.13%,1.7
עורך דין דיני עבודה ייעוץ חינם,https://jus-tice.co.il/,5,1774,0.28%,19.3
פיצ'חדזה איסק,https://jus-tice.co.il/articles/%D7%94%D7%A9%D7%95%D7%A4%D7%98%D7%AA-%D7%97%D7%99%D7%94-%D7%96%D7%A0%D7%93%D7%91%D7%A8%D7%92-%D7%A4%D7%A1%D7%93-%D7%91%D7%AA%D7%91%D7%99%D7%A2%D7%94-%D7%9C%D7%A4%D7%99%D7%A6%D7%95%D7%99%D7%99%D7%9D/,5,67,7.46%,5.0
קניית בית בתאילנד,https://jus-tice.co.il/thailand-real-estate/,5,162,3.09%,5.2
רן ארנון,https://jus-tice.co.il/decision48940-07-20/,5,348,1.44%,6.6
שושנה ברגר,https://jus-tice.co.il/%D7%A4%D7%A1%D7%93-%D7%91%D7%A9%D7%AA%D7%99-%D7%AA%D7%95%D7%91%D7%A2%D7%A0%D7%95%D7%AA-%D7%91%D7%A0%D7%95%D7%A9%D7%90-%D7%92%D7%91%D7%99%D7%99%D7%AA-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%95%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%A1%D7%9B%D7%9D-%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%A2%D7%99%D7%96%D7%91%D7%95%D7%9F/,5,89,5.62%,7.8
תעודת יושר מהמשטרה אונליין,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,5,512,0.98%,12.8
תצהיר עורך דין המעיד על מקום המגורים,https://jus-tice.co.il/free-affidavit-sample/,5,38,13.16%,7.0
אינדקס עורכי דין,https://jus-tice.co.il/,4,193,2.07%,15.0
איתור עורך דין,https://jus-tice.co.il/,4,1195,0.33%,7.4
