source_url,source_topic,source_cluster,target_url,target_topic,relationship_type,priority,anchor_text_direction,placement_guidance,reason,status
https://jus-tice.co.il/medical-institute-for-road-safety/,marvad,traffic-law,https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,support_to_pillar,P1,traffic lawyer,when-to-contact-lawyer-section,"Marvad support should route users back to the traffic-law pillar",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,medical-fitness-tests,traffic-law,https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,support_to_pillar,P1,traffic lawyer,when-to-contact-lawyer-section,"Medical-fitness support should route users back to the traffic-law pillar",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/standards-of-medical-fitness-to-drive/,medical-fitness-standards,traffic-law,https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,support_to_pillar,P1,traffic lawyer,when-to-contact-lawyer-section,"Medical-fitness standards support should route users back to the traffic-law pillar",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/driving-under-the-influence/,drunk-driving,traffic-law,https://jus-tice.co.il/dui-refusal-blood-breath-urine-test/,testing-refusal,support_to_support,P2,refusal and alcohol testing,testing-section,"Drunk-driving users commonly need testing/refusal guidance",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/driving-under-the-influence/,drunk-driving,traffic-law,https://jus-tice.co.il/yanshuf-breathalyzer-test/,yanshuf-breathalyzer,support_to_support,P2,breathalyzer test,testing-section,"Breathalyzer/yanshuf is central to many drunk-driving questions",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/driving-under-the-influence/,drunk-driving,traffic-law,https://jus-tice.co.il/blood-alcohol-content-breathalyzer/,blood-alcohol-breathalyzer,support_to_support,P2,blood alcohol and breathalyzer,testing-section,"Blood-alcohol content content supports drunk-driving evidence questions",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/dui-refusal-blood-breath-urine-test/,testing-refusal,traffic-law,https://jus-tice.co.il/driving-under-the-influence/,drunk-driving,support_to_support,P2,drunk driving,evidence-context-section,"Testing/refusal content should reinforce the main drunk-driving support page",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/yanshuf-breathalyzer-test/,yanshuf-breathalyzer,traffic-law,https://jus-tice.co.il/driving-under-the-influence/,drunk-driving,support_to_support,P2,drunk driving,evidence-context-section,"Yanshuf content should reinforce the main drunk-driving support page",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/blood-alcohol-content-breathalyzer/,blood-alcohol-breathalyzer,traffic-law,https://jus-tice.co.il/driving-under-the-influence/,drunk-driving,support_to_support,P2,drunk driving,evidence-context-section,"Blood-alcohol content should reinforce the main drunk-driving support page",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/dui-refusal-blood-breath-urine-test/,testing-refusal,traffic-law,https://jus-tice.co.il/yanshuf-breathalyzer-test/,yanshuf-breathalyzer,support_to_support,P2,breathalyzer test,related-testing-section,"Testing/refusal page should connect to yanshuf details when source-reviewed",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/yanshuf-breathalyzer-test/,yanshuf-breathalyzer,traffic-law,https://jus-tice.co.il/blood-alcohol-content-breathalyzer/,blood-alcohol-breathalyzer,support_to_support,P2,blood alcohol content,related-testing-section,"Yanshuf support can connect to blood-alcohol explanation as evidence context",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/speeding/,speeding,traffic-law,https://jus-tice.co.il/driver-with-36-valid-points-or-more-will-be-disqualified-from-holding-a-drivers-license/,points-license-risk,support_to_support,P2,traffic points and license risk,points-section,"Speeding users may need points/license-risk context",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/driver-with-36-valid-points-or-more-will-be-disqualified-from-holding-a-drivers-license/,points-license-risk,traffic-law,https://jus-tice.co.il/speeding/,speeding,support_to_support,P2,speeding offenses,related-offenses-section,"Points/license-risk page should connect back to speeding where relevant",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/medical-institute-for-road-safety/,marvad,traffic-law,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,medical-fitness-tests,support_to_support,P2,medical fitness tests for driving,marvad-process-section,"Marvad overview should connect to test-preparation support",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/medical-institute-for-road-safety/,marvad,traffic-law,https://jus-tice.co.il/standards-of-medical-fitness-to-drive/,medical-fitness-standards,support_to_support,P2,medical fitness standards,marvad-process-section,"Marvad overview should connect to standards support after source review",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,medical-fitness-tests,traffic-law,https://jus-tice.co.il/medical-institute-for-road-safety/,marvad,support_to_support,P2,Marvad medical institute,related-marvad-section,"Medical-fitness tests support should reinforce the Marvad overview page",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/standards-of-medical-fitness-to-drive/,medical-fitness-standards,traffic-law,https://jus-tice.co.il/medical-institute-for-road-safety/,marvad,support_to_support,P2,Marvad medical institute,related-marvad-section,"Medical-fitness standards support should reinforce the Marvad overview page",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/driver-with-36-valid-points-or-more-will-be-disqualified-from-holding-a-drivers-license/,points-license-risk,traffic-law,https://jus-tice.co.il/medical-institute-for-road-safety/,marvad,support_to_support,P3,Marvad and license fitness,boundary-license-risk-section,"Points/license-risk users may need Marvad context only when medical/license review is relevant",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/driving-under-the-influence/,drunk-driving,traffic-law,https://jus-tice.co.il/medical-institute-for-road-safety/,marvad,support_to_boundary,P3,Marvad medical fitness,boundary-license-risk-section,"Drunk-driving content should link to Marvad only where alcohol/drug referral or license-fitness review is source-reviewed",PLANNED_NEEDS_OWNER_APPROVAL
