"type","id_or_index","title_or_label","url_or_status","notes"
"visible_directory_card","8","מע משרד עורכי דין פורטנוי ליס כלפה ושות׳ כרטיס בסיסי אשדוד · גירושין · דיני מקרקעין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממת","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","9","מע משרד עורכי דין יצחקי פריד כרטיס בסיסי תל אביב · גירושין · דיני מקרקעין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיק","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","10","עד עורכת דין ומגשרת מיטל יעקובי כרטיס בסיסי גירושין · דיני משפחה · צוואות פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מקורות או ל","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","11","עד עורכת דין דנה נחום בוסקילה כרטיס בסיסי אשקלון · גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מקורות או לאי","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","12","עג עו&quot;ד גילה עיני נוטריון מגשרת כרטיס בסיסי מודיעין · גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מקורו","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","13","אר אביטל רבינוביץ כרטיס בסיסי גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מקורות או לאישור בעל הפרופיל. פרטי","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","14","מג מורן גוהר כרטיס בסיסי גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מקורות או לאישור בעל הפרופיל. פרטי רקע ","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","15","דא ד&quot;ר איריס טרומן כרטיס בסיסי גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מקורות או לאישור בעל הפרופיל","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","16","אב איל בר-לב כרטיס בסיסי פתח תקווה · גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מקורות או לאישור בעל הפרופי","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","17","טב טלי בן יקיר כרטיס בסיסי כפר סבא · גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מקורות או לאישור בעל הפרופי","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","18","שג שמואל גרוס כרטיס בסיסי כפר סבא · גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מקורות או לאישור בעל הפרופיל","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","19","מש מארי שני עשהאל כרטיס בסיסי באר שבע · גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מקורות או לאישור בעל הפר","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","20","שפ שלמה פרידמן כרטיס בסיסי באר שבע · גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מקורות או לאישור בעל הפרופי","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"legal_supplier_marketplace","public","Legal services / supplier cards","not_public","Internal justice_supplier CMS exists but public index is not enabled."
