query_cluster,query_filter,page_filter,export_dimensions,date_range,country,device,clicks,impressions,ctr,position,existing_route_owner,preliminary_cache_status,reviewer_decision,notes_no_pii
broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/child-custody/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer/,,not_filled,
broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/child-support-calculator-2023/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer/,,not_filled,
broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/divorce-mediation/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer/,,not_filled,
broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/what-is-a-divorce-settlement-agreement/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer/,,not_filled,
broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/free-divorce-agreement-template/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer/,,not_filled,
broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/how-much-does-a-divorce-agreement-cost/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer/,,not_filled,
documents_and_procedure,גירוש* + תעודה/טופס/בקשה/הליך/תיק/גט/מסמך,/divorce-lawyer-tel-aviv/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing document/procedure pages,,not_filled,
documents_and_procedure,גירוש* + תעודה/טופס/בקשה/הליך/תיק/גט/מסמך,/divorce-lawyer/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing document/procedure pages,,not_filled,
documents_and_procedure,גירוש* + תעודה/טופס/בקשה/הליך/תיק/גט/מסמך,/family-law/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing document/procedure pages,,not_filled,
documents_and_procedure,גירוש* + תעודה/טופס/בקשה/הליך/תיק/גט/מסמך,/lawyers/?city=tel-aviv&area=family-law,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing document/procedure pages,,not_filled,
documents_and_procedure,גירוש* + תעודה/טופס/בקשה/הליך/תיק/גט/מסמך,/child-custody/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing document/procedure pages,,not_filled,
documents_and_procedure,גירוש* + תעודה/טופס/בקשה/הליך/תיק/גט/מסמך,/child-support-calculator-2023/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing document/procedure pages,,not_filled,
documents_and_procedure,גירוש* + תעודה/טופס/בקשה/הליך/תיק/גט/מסמך,/divorce-mediation/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing document/procedure pages,,not_filled,
documents_and_procedure,גירוש* + תעודה/טופס/בקשה/הליך/תיק/גט/מסמך,/what-is-a-divorce-settlement-agreement/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing document/procedure pages,,not_filled,
documents_and_procedure,גירוש* + תעודה/טופס/בקשה/הליך/תיק/גט/מסמך,/free-divorce-agreement-template/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing document/procedure pages,,not_filled,
documents_and_procedure,גירוש* + תעודה/טופס/בקשה/הליך/תיק/גט/מסמך,/how-much-does-a-divorce-agreement-cost/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing document/procedure pages,,not_filled,
settlement_mediation_agreement,הסכם גירושין / גישור גירושין / גירושין בהסכמה,/divorce-lawyer-tel-aviv/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,"existing settlement, template and mediation pages",,not_filled,
settlement_mediation_agreement,הסכם גירושין / גישור גירושין / גירושין בהסכמה,/divorce-lawyer/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,"existing settlement, template and mediation pages",,not_filled,
settlement_mediation_agreement,הסכם גירושין / גישור גירושין / גירושין בהסכמה,/family-law/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,"existing settlement, template and mediation pages",,not_filled,
settlement_mediation_agreement,הסכם גירושין / גישור גירושין / גירושין בהסכמה,/lawyers/?city=tel-aviv&area=family-law,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,"existing settlement, template and mediation pages",,not_filled,
settlement_mediation_agreement,הסכם גירושין / גישור גירושין / גירושין בהסכמה,/child-custody/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,"existing settlement, template and mediation pages",,not_filled,
settlement_mediation_agreement,הסכם גירושין / גישור גירושין / גירושין בהסכמה,/child-support-calculator-2023/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,"existing settlement, template and mediation pages",,not_filled,
settlement_mediation_agreement,הסכם גירושין / גישור גירושין / גירושין בהסכמה,/divorce-mediation/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,"existing settlement, template and mediation pages",,not_filled,
settlement_mediation_agreement,הסכם גירושין / גישור גירושין / גירושין בהסכמה,/what-is-a-divorce-settlement-agreement/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,"existing settlement, template and mediation pages",,not_filled,
settlement_mediation_agreement,הסכם גירושין / גישור גירושין / גירושין בהסכמה,/free-divorce-agreement-template/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,"existing settlement, template and mediation pages",,not_filled,
settlement_mediation_agreement,הסכם גירושין / גישור גירושין / גירושין בהסכמה,/how-much-does-a-divorce-agreement-cost/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,"existing settlement, template and mediation pages",,not_filled,
cost_consultation_price,גירוש* + מחיר/עלות/כמה עולה/מחירון,/divorce-lawyer-tel-aviv/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing cost article and divorce pillar,,not_filled,
cost_consultation_price,גירוש* + מחיר/עלות/כמה עולה/מחירון,/divorce-lawyer/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing cost article and divorce pillar,,not_filled,
cost_consultation_price,גירוש* + מחיר/עלות/כמה עולה/מחירון,/family-law/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing cost article and divorce pillar,,not_filled,
cost_consultation_price,גירוש* + מחיר/עלות/כמה עולה/מחירון,/lawyers/?city=tel-aviv&area=family-law,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing cost article and divorce pillar,,not_filled,
cost_consultation_price,גירוש* + מחיר/עלות/כמה עולה/מחירון,/child-custody/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing cost article and divorce pillar,,not_filled,
cost_consultation_price,גירוש* + מחיר/עלות/כמה עולה/מחירון,/child-support-calculator-2023/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing cost article and divorce pillar,,not_filled,
cost_consultation_price,גירוש* + מחיר/עלות/כמה עולה/מחירון,/divorce-mediation/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing cost article and divorce pillar,,not_filled,
cost_consultation_price,גירוש* + מחיר/עלות/כמה עולה/מחירון,/what-is-a-divorce-settlement-agreement/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing cost article and divorce pillar,,not_filled,
cost_consultation_price,גירוש* + מחיר/עלות/כמה עולה/מחירון,/free-divorce-agreement-template/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing cost article and divorce pillar,,not_filled,
cost_consultation_price,גירוש* + מחיר/עלות/כמה עולה/מחירון,/how-much-does-a-divorce-agreement-cost/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,existing cost article and divorce pillar,,not_filled,
urgent_local_help,גירוש* + דחוף/דיון/תביעה/צו/בית דין,/divorce-lawyer-tel-aviv/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,legal/editor-reviewed help path only,,not_filled,
urgent_local_help,גירוש* + דחוף/דיון/תביעה/צו/בית דין,/divorce-lawyer/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,legal/editor-reviewed help path only,,not_filled,
urgent_local_help,גירוש* + דחוף/דיון/תביעה/צו/בית דין,/family-law/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,legal/editor-reviewed help path only,,not_filled,
urgent_local_help,גירוש* + דחוף/דיון/תביעה/צו/בית דין,/lawyers/?city=tel-aviv&area=family-law,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,legal/editor-reviewed help path only,,not_filled,
urgent_local_help,גירוש* + דחוף/דיון/תביעה/צו/בית דין,/child-custody/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,legal/editor-reviewed help path only,,not_filled,
urgent_local_help,גירוש* + דחוף/דיון/תביעה/צו/בית דין,/child-support-calculator-2023/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,legal/editor-reviewed help path only,,not_filled,
urgent_local_help,גירוש* + דחוף/דיון/תביעה/צו/בית דין,/divorce-mediation/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,legal/editor-reviewed help path only,,not_filled,
urgent_local_help,גירוש* + דחוף/דיון/תביעה/צו/בית דין,/what-is-a-divorce-settlement-agreement/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,legal/editor-reviewed help path only,,not_filled,
urgent_local_help,גירוש* + דחוף/דיון/תביעה/צו/בית דין,/free-divorce-agreement-template/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,legal/editor-reviewed help path only,,not_filled,
urgent_local_help,גירוש* + דחוף/דיון/תביעה/צו/בית דין,/how-much-does-a-divorce-agreement-cost/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,legal/editor-reviewed help path only,,not_filled,
