decision_id,area,current_url,current_status,evidence,recommended_action,owner_approval_question,approval_status,blocked_actions,notes
CYBER-GSC-001,gsc-evidence-gap,ALL_CYBER_PRIVACY_URLS,"Partial direct GSC browser evidence now exists","Browser checks cover cyber lawyer, cyber law, privacy lawyer, cyberattack, privacy invasion, online defamation, data deletion, shaming and privacy-protection variants; full API/SERP/source review still missing","DIRECT_GSC_SERP_REQUIRED","Approve deeper SERP/source/legal checks before any public execution?","OWNER_APPROVAL_REQUIRED","No title H1 meta content URL redirect canonical sitemap or CMS edit","Evidence is partial and review-only; do not execute from browser rows alone."
CYBER-SOURCE-LEGAL-001,source-and-legal-review,ALL_CYBER_PRIVACY_URLS,"Initial source anchors identified; final source/legal review not complete","Privacy Protection Authority, gov.il privacy services, Knesset privacy law text candidate and Google removal guidance were identified; cybercrime, defamation, police-record and final claim-level sources still require legal review","SOURCE_LEGAL_REVIEW_REQUIRED","Approve official-source and legal-review checklist before public rewrites?","OWNER_APPROVAL_REQUIRED","No public legal claims rewrite or publish without review","Sensitive privacy/cyber topics need careful legal/source review."
CYBER-MIGRATION-001,url-migration-safety,ALL_CYBER_PRIVACY_URLS,"Migration not approved","Inventory shows current service, strategic target, international/FBI content, support guides and privacy/criminal boundary URLs","URL_MIGRATION_MAP_REQUIRED","Should all URL decisions wait for old-to-new mapping, 301 plan, canonicals, sitemap and internal-link map?","OWNER_APPROVAL_REQUIRED","No URL slug redirect noindex canonical sitemap related-card or menu action","Map first, approve second, execute later."
CYBER-GSC-2026-05-11-001,direct-gsc-cyber-lawyer-query,https://jus-tice.co.il/cybercrime-lawyer-roll/,"Visible GSC row for query עורך דין סייבר; 0 clicks; 42 impressions; position 71.6","/cyber-lawyer/ did not appear for the visible query row; /cybercrime-lawyer-roll/ should be support/review only","REVIEW_SUPPORT_AND_INTERNAL_LINK_PLAN","Should /cybercrime-lawyer-roll/ support /cyber-lawyer/ after owner-approved primary decision?","OWNER_APPROVAL_REQUIRED","No URL title H1 meta content redirect canonical sitemap related-card or CMS edit","Direct GSC evidence captured 2026-05-11."
CYBER-GSC-2026-05-11-002,page-to-query-cyber-lawyer,https://jus-tice.co.il/cyber-lawyer/,"Reverse GSC page filter returned 0 clicks 0 impressions and No data","Inventory says this is strongest current service candidate but GSC did not verify live demand in this pass","KEEP_CURRENT_CANDIDATE_REVIEW_ONLY","Should /cyber-lawyer/ remain the current candidate pending SERP/internal-link/content review?","OWNER_APPROVAL_REQUIRED","No URL title H1 meta content redirect canonical sitemap related-card or CMS edit","No visible GSC rows; not a reason to delete or redirect."
CYBER-GSC-2026-05-11-003,privacy-lawyer-query,FUTURE_PRIVACY_SUPPORT_OR_CYBER_SUBSECTION,"Query עורך דין פרטיות returned 0 clicks 0 impressions and No data","No current privacy-lawyer GSC signal was visible","SOURCE_LEGAL_SERP_REVIEW","Should privacy remain a subsection/support topic until evidence supports a separate page?","OWNER_APPROVAL_REQUIRED","No new privacy-lawyer page no redirect no canonical no sitemap no CMS edit","Direct GSC zero-row evidence captured 2026-05-11."
CYBER-GSC-2026-05-11-004,privacy-invasion-query,https://jus-tice.co.il/פיצוי-כספי-בגין-פגיעה-בפרטיות-צפייה-ומחיקה-של-פריטים-מהטלפון-ללא-רשות/,"Query פגיעה בפרטיות returned 0 clicks 38 impressions and position 46","Old Hebrew privacy-injury URL has a small but real support signal and must be protected for comparison","PROTECT_COMPARE_SOURCE_REVIEW","Should this old privacy URL become a reviewed support page instead of being overwritten or redirected blindly?","OWNER_APPROVAL_REQUIRED","No URL title H1 meta content redirect canonical sitemap related-card or CMS edit","Text-metric evidence captured 2026-05-11; screenshot capture timed out."
CYBER-GSC-2026-05-11-005,shaming-query,https://jus-tice.co.il/changing-or-canceling-a-prenuptial-agreement/,"Query שיימינג returned 0 clicks 1 impression and position 137 on unrelated prenup URL","Wrong-page signal only; do not edit prenup page for shaming or reputation intent","DO_NOT_TOUCH_WRONG_PAGE_SERP_REVIEW","Should shaming/online reputation be researched as a separate support path later?","OWNER_APPROVAL_REQUIRED","No URL title H1 meta content redirect canonical sitemap related-card or CMS edit","Low-sample wrong-page text evidence captured 2026-05-11."
CYBER-GSC-2026-05-11-006,privacy-protection-query,https://jus-tice.co.il/פיצוי-כספי-בגין-פגיעה-בפרטיות-צפייה-ומחיקה-של-פריטים-מהטלפון-ללא-רשות/,"Query הגנת הפרטיות returned 0 clicks 7 impressions and position 49.3","Same old Hebrew privacy-injury URL appears for a privacy-protection variant","PROTECT_COMPARE_SOURCE_REVIEW","Should this URL be reviewed as privacy support with official/public sources?","OWNER_APPROVAL_REQUIRED","No URL title H1 meta content redirect canonical sitemap related-card or CMS edit","Low-sample text evidence captured 2026-05-11."
CYBER-GSC-2026-05-11-007,zero-row-support-queries,ALL_CYBER_PRIVACY_SUPPORT_TERMS,"Queries מתקפת סייבר, לשון הרע באינטרנט and מחיקת מידע returned 0 clicks 0 impressions and No data","These topics remain SERP/source/legal review items, not GSC-proven current traffic pages","SERP_SOURCE_LEGAL_REVIEW","Should these stay in the backlog until SERP/source review confirms value and structure?","OWNER_APPROVAL_REQUIRED","No new page no rewrite no URL redirect canonical sitemap or CMS edit","Zero-row browser evidence captured 2026-05-11."
CYBER-SERP-2026-05-11-001,serp-source-cyber-service,ALL_CYBER_PRIVACY_URLS,"Cyber/privacy SERP and source review completed as repo documentation","SERP pattern supports cyber service plus support guides, but current GSC evidence is weak and public execution remains blocked","KEEP_CURRENT_CANDIDATE_COMPARE_FIRST","Should /cyber-lawyer/ remain current service candidate while /cybercrime-lawyer-roll/ and /cyber-laws/ become support/boundary pages after approval?","OWNER_APPROVAL_REQUIRED","No URL title H1 meta content redirect canonical sitemap related-card or CMS edit","See project-control/serp-cyber-privacy-review-2026-05-11.md and .csv."
CYBER-SERP-2026-05-11-002,privacy-source-protection,OLD_HEBREW_PRIVACY_URL,"Old Hebrew privacy-injury URL protected by GSC and SERP/source review","Privacy injury and privacy protection queries have visible impressions on old Hebrew URL; official/public privacy sources identified","PROTECT_COMPARE_SOURCE_REVIEW","Should the old privacy URL be compared and possibly expanded as support instead of being redirected or overwritten?","OWNER_APPROVAL_REQUIRED","No URL title H1 meta content redirect canonical sitemap related-card or CMS edit","Protect before any English slug migration or merge decision."
CYBER-SERP-2026-05-11-003,defamation-shaming-boundary,FUTURE_REPUTATION_OR_DEFAMATION_REVIEW,"Online defamation and shaming remain separate source/legal boundary topics","SERP pattern supports a reputation/defamation lane, but GSC only showed one weak wrong-page shaming row on a prenup URL","SOURCE_LEGAL_BOUNDARY_REVIEW","Should online defamation/shaming become a separate support cluster after source/legal review?","OWNER_APPROVAL_REQUIRED","No new page no rewrite no URL redirect canonical sitemap related-card or CMS edit","Do not edit the prenup page for shaming intent."
CYBER-SERP-2026-05-11-004,data-deletion-boundary,https://jus-tice.co.il/police-records-data-deletion/,"Data deletion remains criminal-record/privacy/search-removal boundary topic","GSC showed no visible rows; Google removal guidance and privacy sources show this requires careful distinction between source removal, search-result delisting and legal rights","CLASSIFY_BOUNDARY_REVIEW","Should /police-records-data-deletion/ remain criminal-law support or connect to privacy/data deletion after source/legal review?","OWNER_APPROVAL_REQUIRED","No new page no rewrite no URL redirect canonical sitemap related-card or CMS edit","Do not merge search removal and legal data deletion blindly."
CYBER-COMPARE-2026-05-11-001,side-by-side-service-candidate,https://jus-tice.co.il/cyber-lawyer/,"Side-by-side review completed; current service candidate remains /cyber-lawyer/","/cyber-lawyer/ has 6405 words and quality 8/10, but Hebrew cyber-lawyer role page and /cybercrime-lawyer-roll/ must be compared before rewrite","COMPARE_BEFORE_EXECUTION","Should /cyber-lawyer/ be approved as the expansion target after comparing overlapping cyber-lawyer role pages?","OWNER_APPROVAL_REQUIRED","No title H1 meta content URL redirect canonical sitemap related-card or CMS edit","See project-control/cyber-privacy-side-by-side-review-2026-05-11.md and .csv."
CYBER-COMPARE-2026-05-11-002,side-by-side-word-count-risk,https://jus-tice.co.il/fbi-cyber-division/,"Long page is not approved primary by word count","/fbi-cyber-division/ has 21917 words but international/FBI intent; /cyber-laws/ has 13956 words but informational intent","PROTECT_SUPPORT_NOT_PRIMARY","Should long support pages remain support unless owner approves a different structure?","OWNER_APPROVAL_REQUIRED","No pillar assignment rewrite redirect canonical sitemap or CMS edit","Prevents word-count-only pillar selection."
CYBER-COMPARE-2026-05-11-003,side-by-side-privacy-risk,OLD_HEBREW_PRIVACY_URL,"Old Hebrew privacy-injury URL remains protected","The page has 4121 words, quality 6/10, rewrite flag and visible GSC privacy support signals","PROTECT_COMPARE_REWRITE_LATER","Should this old URL be compared and source-reviewed before any rewrite or English slug migration?","OWNER_APPROVAL_REQUIRED","No title H1 meta content URL redirect canonical sitemap related-card or CMS edit","Privacy support page needs careful source/legal review."
CYBER-COMPARE-2026-05-11-004,side-by-side-data-deletion-boundary,https://jus-tice.co.il/police-records-data-deletion/,"Police-records data deletion page remains a boundary item","The page has 530 words, quality 2/10, outdated/thin flags and unclear criminal-record/privacy/search-removal intent","REBUILD_AFTER_BOUNDARY_REVIEW","Should this be rebuilt as criminal-record support, privacy/data deletion support, or both?","OWNER_APPROVAL_REQUIRED","No rewrite redirect internal-link canonical sitemap or CMS edit","Do not merge data deletion and Google search removal claims blindly."
CYBER-LINK-2026-05-11-001,internal-link-plan,ALL_CYBER_PRIVACY_URLS,"Approval-gated cyber/privacy internal-link plan completed","Plan maps candidate primary-to-support and support-to-primary relationships before public execution","INTERNAL_LINK_PLAN_OWNER_REVIEW","Should /cyber-lawyer/ receive the planned primary/support link structure after source/legal and owner approval?","OWNER_APPROVAL_REQUIRED","No internal-link related-card menu breadcrumb template content CMS redirect canonical sitemap or database edit","See project-control/cyber-privacy-internal-link-plan-2026-05-11.md and .csv."
CYBER-LINK-2026-05-11-002,internal-link-old-privacy,OLD_HEBREW_PRIVACY_URL,"Old privacy-injury URL has planned support links only","The old Hebrew privacy URL has visible GSC support signals and must be protected before any link or migration execution","PROTECT_COMPARE_BEFORE_LINKING","Should old privacy-injury content link into the cyber/privacy structure only after source/legal review?","OWNER_APPROVAL_REQUIRED","No internal-link related-card content URL redirect canonical sitemap or CMS edit","Preserve existing SEO value; do not redirect or overwrite blindly."
CYBER-LINK-2026-05-11-003,internal-link-boundary,https://jus-tice.co.il/police-records-data-deletion/,"Police-records data deletion remains a boundary link item","The page can support criminal and privacy/data-deletion journeys, but needs boundary/source/legal review first","BOUNDARY_REVIEW_BEFORE_LINKING","Should this page link to criminal-law primary, privacy support, or both after review?","OWNER_APPROVAL_REQUIRED","No internal-link related-card content URL redirect canonical sitemap or CMS edit","Avoid mixing Google search removal, data deletion and criminal-record claims."
