"repair_id","stage","target","risk","status","allowed_action","blocked_action","owner_decision_required","verification","source","next_step"
"FLR-011","heading_repair","/child-custody/","MEDIUM","BLOCKED","Ensure one intended H1 while preserving current URL","Do not bundle support-page heading repair with URL migration","APPROVE_VISIBLE_REPAIR_ONLY","Checker reports h1_count_1 for this URL","project-control/family-law-live-safety-check-2026-05-22.csv","Repair template/body headings only"
"FLR-012","heading_repair","/divorce-mediation/","MEDIUM","BLOCKED","Ensure one intended H1 while preserving current URL","Do not bundle support-page heading repair with URL migration","APPROVE_VISIBLE_REPAIR_ONLY","Checker reports h1_count_1 for this URL","project-control/family-law-live-safety-check-2026-05-22.csv","Repair template/body headings only"
"FLR-013","boundary","PROTECTED_OLD_URLS","CRITICAL","BLOCKED","Keep protected old source URLs and assets untouched during visible repair work","Do not retire redirect noindex canonicalize or sitemap-remove protected sources in this repair batch","HOLD_PENDING_GSC","Protected URL decision map reviewed after focused GSC","project-control/family-divorce-protected-url-owner-review-packet-2026-05-22.md","Separate protected-source decisions from live visible repairs"
"FLR-014","boundary","TAXONOMY_AND_RELATED_CONTENT","MEDIUM","BLOCKED","Leave category taxonomy and related-card writes unchanged during visible repair work","Do not combine heading/shortcode repairs with taxonomy restructuring","APPROVE_VISIBLE_REPAIR_ONLY","No taxonomy or related-card changes recorded","project-control/family-divorce-cms-operator-runbook-2026-05-21.md","Handle taxonomy/internal-link changes in approved upload package only"
"FLR-015","quality_gate","ALL_AFFECTED_PAGES","HIGH","BLOCKED","Verify no fake ratings reviews recommendations guarantees or unapproved legal claims were introduced","Do not add Review AggregateRating fake badges or guaranteed-result language","APPROVE_VISIBLE_REPAIR_ONLY","Manual QA confirms no prohibited claims","project-control/family-divorce-disclaimer-cta-policy-2026-05-12.md","Check content before saving public repair"
"FLR-016","rerun_checker","ALL_CHECKED_URLS","CRITICAL","BLOCKED","Rerun node tools/check-family-law-live-safety.mjs --reportDate=YYYY-MM-DD after approved repairs","Do not mark Family Law upload-safe without fresh checker output","APPROVE_VISIBLE_REPAIR_ONLY","New project-control safety CSV/MD generated with fewer blockers","tools/check-family-law-live-safety.mjs","Attach fresh report after repair"
"FLR-017","visual_qa","ALL_REPAIRED_PAGES","HIGH","BLOCKED","Capture desktop and mobile screenshots after repairs are live and stable","Do not use screenshots before route/canonical/status checks pass","APPROVE_VISIBLE_REPAIR_ONLY","Screenshots saved under project-control/visual-evidence/","project-control/visual-qa-report.md","Run visual QA after public repairs only"
"FLR-018","approval_gate","FAMILY_DIVORCE_UPLOAD","CRITICAL","BLOCKED","Keep Family/Divorce content upload blocked until owner/legal/source approval and CMS rollback backup exist","Do not use visible repair approval as approval to upload full content wave","APPROVE_PAGE_BY_PAGE_UPLOAD","Owner review packet updated with approvals","project-control/family-divorce-owner-review-packet-2026-05-21.csv","Separate defect repair from first-cluster upload"
"FLR-019","migration_gate","URL_MIGRATION","CRITICAL","BLOCKED","Keep URL migration redirects canonicals noindex and sitemap decisions blocked until focused GSC and owner decisions are recorded","Do not collapse duplicate pillar URLs without traffic/query evidence","HOLD_PENDING_GSC","Current-date GSC decision map reviewed","project-control/family-divorce-gsc-workflow-handoff-2026-05-22.md","Run GSC then update owner decision packet"
"FLR-020","final_gate","ALL","CRITICAL","BLOCKED","Mark repair packet complete only when checker rows move from BLOCKED_OR_REVIEW to VERIFIED where applicable","Do not mark content-upload readiness as approved from planning docs alone","APPROVE_VISIBLE_REPAIR_ONLY plus fresh verification","Safety checker shows no critical visible defects for repaired pages","tools/check-family-law-live-safety.mjs","Use next cycle to verify repairs after owner/operator executes"
