"check_id","check_type","date_range","filter_used","tab","url_or_query","clicks","impressions","ctr","position","classification","recommended_action","traffic_risk","status","notes"
"PAGE-QUERY-001-Q19","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","עורך דין","0","77","0%","33.4","BROAD_LAWYER_INTENT","REVIEW_TITLE_H1_AND_INTERNAL_LINKS_AFTER FULL MAP","MEDIUM","VERIFIED","Broad term; homepage is visible but not strong."
"PAGE-QUERY-001-Q20","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","עורך דין דיני עבודה ייעוץ חינם","0","66","0%","21.2","PRACTICE_SPECIFIC_QUERY_ON_HOMEPAGE","ROUTE_TO_EMPLOYMENT_PILLAR","MEDIUM","VERIFIED","Homepage is carrying employment-law consultation language."
"PAGE-QUERY-001-Q21","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","מאגר עורכי דין","0","61","0%","13.9","DIRECTORY_INTENT","STRENGTHEN_DIRECTORY_ENTRY","MEDIUM","VERIFIED","Directory vocabulary belongs in homepage and directory hierarchy."
"PAGE-QUERY-001-Q22","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","חיפוש עורכי דין לפי עיר","0","55","0%","18.1","DIRECTORY_CITY_INTENT","PLAN CITY/FILTER INDEXING RULES BEFORE PUBLIC INDEXING","MEDIUM","VERIFIED","Supports future city filter strategy; do not create thin city pages blindly."
"PAGE-QUERY-001-Q23","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","ייעוץ משפטי","0","53","0%","41.7","GENERAL_LEGAL_HELP_INTENT","KEEP_AS_SUPPORTING_MESSAGE_NOT_PRIMARY_KEYWORD","LOW","VERIFIED","Broad legal-help query; not a strong direct opportunity yet."
"PAGE-QUERY-001-Q24","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","משרד עורכי דין","0","52","0%","52.9","LOW_FIT_FIRM_INTENT","NO_ACTION_FROM_SINGLE_ROW","LOW","VERIFIED","Could attract law firm/company intent, not necessarily Jus-Tice marketplace intent."
"PAGE-QUERY-001-Q25","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","פורטל עורכי דין","0","40","0%","11.0","LEGAL_PORTAL_ENTITY_INTENT","STRENGTHEN_ENTITY_COPY_AND INTERNAL_LINKS","MEDIUM","VERIFIED","Supports homepage legal portal identity."
"PAGE-QUERY-002","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/lawyers/","Queries","https://jus-tice.co.il/lawyers/","0","0","0%","0","DIRECTORY_PAGE_HAS_NO_VISIBLE_GSC_ROWS","REVIEW_INDEXING_INTERNAL_LINKS_TITLE_H1_AND_SITEMAP_BEFORE ANY SEO CHANGE","UNKNOWN","VERIFIED_ZERO_ROWS","GSC returned No data for /lawyers/ in this browser check."
"HOME-QUERY-001","QUERY_TO_PAGE","Last 3 months","Query contains עורך דין","Pages","עורך דין","9","10200","0.1%","50.5","BROAD_QUERY_HAS_WEAK_PRIMARY_AND_MULTIPLE_COMPETING_URLS","KEEP_HOMEPAGE_AS_CURRENT_PRIMARY_CANDIDATE_BUT_MAP_SUPPORTS","HIGH","VERIFIED","Homepage receives all clicks, but many practice/support pages receive broad impressions."
"HOME-QUERY-001-P01","QUERY_TO_PAGE","Last 3 months","Query contains עורך דין","Pages","https://jus-tice.co.il/","9","2004","0.4%","14.0","CURRENT_BEST_URL_BY_CLICKS","KEEP_AS_PRIMARY_ENTRY_AND_STRENGTHEN_DIRECTORY/PILLAR LINKS","HIGH","VERIFIED","Homepage is the current best URL for broad singular lawyer intent."
"HOME-QUERY-001-P02","QUERY_TO_PAGE","Last 3 months","Query contains עורך דין","Pages","https://jus-tice.co.il/real-estate-lawyer-cost-2025/","0","2327","0%","64.6","PRACTICE_ARTICLE_COMPETING_FOR_BROAD_QUERY","SUPPORT_PILLAR_LATER_NOT_PRIMARY","MEDIUM","VERIFIED","Largest broad-query impressions but no clicks and poor position."
"HOME-QUERY-001-P03","QUERY_TO_PAGE","Last 3 months","Query contains עורך דין","Pages","https://jus-tice.co.il/עוד-גירושין-מומלץ-כיצד-למצוא-עורך-דין-גירושין-וכמה-עולה-להתגרש/","0","1571","0%","65.6","OLD_HEBREW_DIVORCE_URL_BROAD_QUERY_RISK","PROTECT_AND_MAP_BEFORE URL CHANGE","MEDIUM","VERIFIED","Old Hebrew divorce URL receives broad lawyer impressions; do not redirect blindly."
"HOME-QUERY-001-P04","QUERY_TO_PAGE","Last 3 months","Query contains עורך דין","Pages","https://jus-tice.co.il/עורך-דין-רשלנות-רפואית-בלידה-מומלץ/","0","1235","0%","52.8","PRACTICE_ARTICLE_COMPETING_FOR_BROAD_QUERY","SUPPORT_MEDICAL_MALPRACTICE_PILLAR_LATER","MEDIUM","VERIFIED","Medical malpractice page receives broad lawyer impressions."
"HOME-QUERY-001-P05","QUERY_TO_PAGE","Last 3 months","Query contains עורך דין","Pages","https://jus-tice.co.il/prenup-attorney/","0","768","0%","53.0","PRACTICE_SUPPORT_URL_COMPETING_FOR_BROAD_QUERY","SUPPORT_FAMILY_CLUSTER_LATER","MEDIUM","VERIFIED","Prenup support page receives broad lawyer impressions."
"HOME-QUERY-001-P06","QUERY_TO_PAGE","Last 3 months","Query contains עורך דין","Pages","https://jus-tice.co.il/continuous-power-of-attorney-israel/","0","523","0%","67.5","PRACTICE_SUPPORT_URL_COMPETING_FOR_BROAD_QUERY","SUPPORT_INHERITANCE/ELDER_LAW_REVIEW_LATER","MEDIUM","VERIFIED","Power-of-attorney page receives broad lawyer impressions."
"HOME-QUERY-001-P07","QUERY_TO_PAGE","Last 3 months","Query contains עורך דין","Pages","https://jus-tice.co.il/משרד-עורכי-דין-פלילי-הכי-טוב-תל-אביב/","0","272","0%","64.8","OLD_CRIMINAL_SERVICE_URL_BROAD_QUERY_RISK","PROTECT_AND_MAP_BEFORE MERGE/REDIRECT","MEDIUM","VERIFIED","Old criminal-lawyer style page receives broad lawyer impressions."
"HOME-QUERY-001-P08","QUERY_TO_PAGE","Last 3 months","Query contains עורך דין","Pages","https://jus-tice.co.il/cybercrime-lawyer-roll/","0","182","0%","68.6","CYBER_SUPPORT_URL_COMPETING_FOR_BROAD_QUERY","REVIEW_IN_CYBER_PRIVACY_PACKET","LOW","VERIFIED","Cyber support URL appears for broad lawyer intent."
"HOME-QUERY-001-P09","QUERY_TO_PAGE","Last 3 months","Query contains עורך דין","Pages","https://jus-tice.co.il/articles/שכר-טרחה-עורך-דין-רשלנות-רפואית/","0","140","0%","24.6","ARTICLE_SUPPORT_URL_WITH BETTER POSITION","REVIEW_MEDICAL_MALPRACTICE_INTERNAL_LINKS","MEDIUM","VERIFIED","Fee article has comparatively better position for broad lawyer query."
"HOME-QUERY-001-P10","QUERY_TO_PAGE","Last 3 months","Query contains עורך דין","Pages","https://jus-tice.co.il/construction-law/","0","131","0%","76.9","LOW_VALUE_BROAD_MATCH","NO PUBLIC ACTION YET","LOW","VERIFIED","Construction-law article appears weakly."
"HOME-QUERY-002","QUERY_TO_PAGE","Last 3 months","Query contains עורכי דין","Pages","עורכי דין","4","2430","0.2%","29.5","PLURAL_LAWYER_QUERY_MAPS_TO_HOMEPAGE_NOT_DIRECTORY","MAKE_DIRECTORY_INTERNAL_LINKING_AND_INDEXING_REVIEW_HIGH_PRIORITY","HIGH","VERIFIED","/lawyers/ did not appear in the visible top 10 for plural lawyer query."
"HOME-QUERY-002-P01","QUERY_TO_PAGE","Last 3 months","Query contains עורכי דין","Pages","https://jus-tice.co.il/","3","1228","0.2%","16.6","CURRENT_BEST_URL_BY_CLICKS","KEEP_HOME_AS_BROAD_PRIMARY_AND_ROUTE_TO_DIRECTORY","HIGH","VERIFIED","Homepage is current plural-lawyer primary."
"HOME-QUERY-002-P02","QUERY_TO_PAGE","Last 3 months","Query contains עורכי דין","Pages","https://jus-tice.co.il/legal-courses-for-lawyers/","1","35","2.9%","31.2","LAWYER_B2B_SUPPORT_RESULT","KEEP_SEPARATE_FROM_PUBLIC_DIRECTORY_INTENT","LOW","VERIFIED","Small B2B/legal education signal."
"HOME-QUERY-002-P03","QUERY_TO_PAGE","Last 3 months","Query contains עורכי דין","Pages","https://jus-tice.co.il/ניהול-מוניטין-מקוון-לעורכי-דין-ברשת-האינטרנט/","0","529","0%","17.4","LAWYER_MARKETING_ARTICLE_COMPETES_WITH_DIRECTORY_TERM","REVIEW_FOR B2B VS USER_INTENT SEPARATION","MEDIUM","VERIFIED","Reputation/marketing article receives many plural-lawyer impressions."
"HOME-QUERY-002-P04","QUERY_TO_PAGE","Last 3 months","Query contains עורכי דין","Pages","https://jus-tice.co.il/prenup-attorney/","0","194","0%","63.9","PRACTICE_SUPPORT_BROAD_MATCH","SUPPORT_FAMILY_CLUSTER_LATER","LOW","VERIFIED","Family support URL broad match."
"HOME-QUERY-002-P05","QUERY_TO_PAGE","Last 3 months","Query contains עורכי דין","Pages","https://jus-tice.co.il/continuous-power-of-attorney-israel/","0","91","0%","58.8","PRACTICE_SUPPORT_BROAD_MATCH","SUPPORT_INHERITANCE/ELDER_LAW_REVIEW_LATER","LOW","VERIFIED","Power-of-attorney page broad match."
"HOME-QUERY-002-P06","QUERY_TO_PAGE","Last 3 months","Query contains עורכי דין","Pages","https://jus-tice.co.il/real-estate-lawyer-cost-2025/","0","84","0%","73.2","PRACTICE_ARTICLE_BROAD_MATCH","SUPPORT_REAL_ESTATE_PILLAR_LATER","LOW","VERIFIED","Real-estate cost article broad match."
"HOME-QUERY-002-P07","QUERY_TO_PAGE","Last 3 months","Query contains עורכי דין","Pages","https://jus-tice.co.il/powerful-seo-tools-for-your-law-firm/","0","78","0%","85.2","LAWYER_B2B_MARKETING_CONTENT","KEEP SEPARATE FROM USER DIRECTORY INTENT","LOW","VERIFIED","B2B marketing content appears for public plural lawyer query."
"HOME-QUERY-002-P08","QUERY_TO_PAGE","Last 3 months","Query contains עורכי דין","Pages","https://jus-tice.co.il/construction-law/","0","51","0%","50.3","LOW_VALUE_BROAD_MATCH","NO PUBLIC ACTION YET","LOW","VERIFIED","Weak construction-law broad match."
"HOME-QUERY-002-P09","QUERY_TO_PAGE","Last 3 months","Query contains עורכי דין","Pages","https://jus-tice.co.il/tel-aviv-city-best-lawyers/","0","50","0%","79.2","CITY_DIRECTORY_SUPPORT_BROAD_MATCH","REVIEW FACETED/CITY INDEXING RULES","LOW","VERIFIED","City lawyer page appears weakly; avoid thin doorway expansion."
"HOME-QUERY-002-P10","QUERY_TO_PAGE","Last 3 months","Query contains עורכי דין","Pages","https://jus-tice.co.il/ייעוץ-משפטי-אאוטסורסינג-בינלאומי-jus-tice-משרות-עורכי-דין/","0","29","0%","12.7","B2B/JOBS_MISMATCH","SEPARATE LAWYER_RECRUITMENT FROM USER DIRECTORY","MEDIUM","VERIFIED","Good-ish position but wrong business/user intent for public directory."
"HOME-QUERY-005","QUERY_TO_PAGE","Last 3 months","Query contains מציאת עורך דין","Pages","מציאת עורך דין","1","34","2.9%","7.2","HOMEPAGE_OWNS_FIND_LAWYER_QUERY","KEEP_AS_HOMEPAGE_TO_DIRECTORY_FUNNEL","MEDIUM","VERIFIED","Only homepage appeared for the visible row."
"HOME-QUERY-005-P01","QUERY_TO_PAGE","Last 3 months","Query contains מציאת עורך דין","Pages","https://jus-tice.co.il/","1","34","2.9%","7.2","CURRENT_PRIMARY_FOR_FIND_LAWYER","STRENGTHEN FIND_LAWYER_CTA_AND_DIRECTORY PATH","MEDIUM","VERIFIED","Small but clean find-lawyer signal."
