"taxonomy","term_id","name","current_slug","count","canonical_cluster","proposed_english_slug","duplicate_name_group","recommended_action","notes"
"practice-areas","18","אגודות שיתופיות","%d7%90%d7%92%d7%95%d7%93%d7%95%d7%aa-%d7%a9%d7%99%d7%aa%d7%95%d7%a4%d7%99%d7%95%d7%aa","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","אגודות שיתופיות","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","25","איכות סביבה","environmental-law","1","needs-classification","environmental-law","איכות סביבה","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","34","ביטוח","insurance-law","5","needs-classification","insurance-law","ביטוח","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","717","ביטוח לאומי","national-insurance","0","personal-injury","national-insurance-lawyer","ביטוח לאומי","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","640","בית הדין הרבני","rabbinical-court","6","needs-classification","rabbinical-court","בית הדין הרבני","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","643","בית המשפט העליון","supreme-court","4","needs-classification","supreme-court","בית המשפט העליון","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","639","בית המשפט לענייני משפחה","family-court","4","needs-classification","family-court","בית המשפט לענייני משפחה","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","40","בלוקצ'יין ומטבעות קריפטוגרפים","blockchain-crypto","1","needs-classification","blockchain-crypto","בלוקצ יין ומטבעות קריפטוגרפים","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","392","גירושין","divorce","28","family-law-divorce","divorce","גירושין","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","68","דיני משפחה","family-law","176","needs-classification","family-law","דיני משפחה","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","76","דיני נזיקין","personal-injury","21","personal-injury","personal-injury","דיני נזיקין","MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED;duplicate_term_name"
"practice-areas","711","דיני נזיקין","tort-law","1","personal-injury","tort-law","דיני נזיקין","MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED;duplicate_term_name"
"practice-areas","83","דיני עבודה","israeli-labor-law","18","employment-law","israeli-labor-law","דיני עבודה","MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED;duplicate_term_name"
"practice-areas","703","דיני עבודה","labor-law","0","employment-law","labor-law","דיני עבודה","MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED;duplicate_term_name"
"practice-areas","97","דיני תעבורה","traffic-law","9","traffic-law","traffic-law","דיני תעבורה","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","99","דיני תקשורת","%d7%93%d7%99%d7%a0%d7%99-%d7%aa%d7%a7%d7%a9%d7%95%d7%a8%d7%aa","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","דיני תקשורת","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","240","הגבלים העסקיים","%d7%94%d7%92%d7%91%d7%9c%d7%99%d7%9d-%d7%94%d7%a2%d7%a1%d7%a7%d7%99%d7%99%d7%9d","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","הגבלים העסקיים","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","681","הגירה","%d7%94%d7%92%d7%99%d7%a8%d7%94","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","הגירה","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","718","הגירה ואזרחות","immigration-law","0","needs-classification","immigration-law","הגירה ואזרחות","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","51","הוצאה לפועל","%d7%94%d7%95%d7%a6%d7%90%d7%94-%d7%9c%d7%a4%d7%95%d7%a2%d7%9c","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","הוצאה לפועל","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","637","הסניגוריה הציבורית","public-defense","1","needs-classification","public-defense","הסניגוריה הציבורית","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","119","חדלות פירעון","%d7%97%d7%93%d7%9c%d7%95%d7%aa-%d7%a4%d7%99%d7%a8%d7%a2%d7%95%d7%9f","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","חדלות פירעון","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","714","ירושה וצוואות","inheritance-law","0","inheritance-wills","inheritance-law","ירושה וצוואות","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","307","ירושות וצוואות","%d7%99%d7%a8%d7%95%d7%a9%d7%95%d7%aa-%d7%95%d7%a6%d7%95%d7%95%d7%90%d7%95%d7%aa","1","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","ירושות וצוואות","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","644","כנסת ישראל","knesset","1","needs-classification","knesset","כנסת ישראל","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","127","ליטיגציה מסחרית","%d7%9c%d7%99%d7%98%d7%99%d7%92%d7%a6%d7%99%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","ליטיגציה מסחרית","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","129","לשון הרע","defamation","9","needs-classification","defamation","לשון הרע","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","635","מזונות ילדים","child-support","4","family-law-divorce","child-support","מזונות ילדים","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","112","מיזוגים ורכישות","%d7%9e%d7%99%d7%96%d7%95%d7%92%d7%99%d7%9d-%d7%95%d7%a8%d7%9b%d7%99%d7%a9%d7%95%d7%aa","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","מיזוגים ורכישות","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","485","מיסים","tax-law","7","needs-classification","tax-law","מיסים","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","312","מסחרי-אזרחי","%d7%9e%d7%a1%d7%97%d7%a8%d7%99-%d7%90%d7%96%d7%a8%d7%97%d7%99","16","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","מסחרי אזרחי","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","234","מקרקעין | נדל""ן","real-estate","95","real-estate","real-estate","מקרקעין נדל ן","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","634","משמורת ילדים","child-custody","2","family-law-divorce","child-custody","משמורת ילדים","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","159","משפט ימי","%d7%9e%d7%a9%d7%a4%d7%98-%d7%99%d7%9e%d7%99","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","משפט ימי","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","165","משפט מנהלי","administrative-law","2","needs-classification","administrative-law","משפט מנהלי","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","709","משפט מסחרי","commercial-law","1","needs-classification","commercial-law","משפט מסחרי","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","170","משפט פלילי","criminal-law","138","criminal-law","criminal-law","משפט פלילי","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","632","משרד המשפטים","%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%9e%d7%a9%d7%a4%d7%98%d7%99%d7%9d-%d7%99%d7%a9%d7%a8%d7%90%d7%9c","16","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","משרד המשפטים","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","715","נזיקין","torts","0","personal-injury","torts","נזיקין","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","188","סייבר","cyber-law","8","cyber-privacy","cyber-law","סייבר","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","648","עו""ד נזיקין פסקי דין","attorney-rulings","6","personal-injury","attorney-rulings","עו ד נזיקין פסקי דין","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","308","עורך דין","lawyer-directory","171","needs-classification","lawyer-directory","עורך דין","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","656","עורך דין פלילי פסקי דין 2022","prenuptial-agreement","10","criminal-law","criminal-lawyer","עורך דין פלילי פסקי דין 2022","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","75","ענייני ירושה","inheritance","6","inheritance-wills","inheritance","ענייני ירושה","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","683","פורטוגל","portugal","44","needs-classification","portugal","פורטוגל","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","309","פיצויים","compensation","6","personal-injury","compensation","פיצויים","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","642","פלילי פסקי דין חשובים","criminal-court-rulings","31","criminal-law","criminal-court-rulings","פלילי פסקי דין חשובים","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","79","פלת""ד","%d7%a4%d7%9c%d7%aa%d7%93","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","פלת ד","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","651","פסקי דין גירושין דיני משפחה 2022","family-court-rulings","30","family-law-divorce","family-court-rulings","פסקי דין גירושין דיני משפחה 2022","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","646","פסקי דין חשובים","court-rulings","81","needs-classification","court-rulings","פסקי דין חשובים","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","74","צוואות","wills","2","needs-classification","wills","צוואות","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","194","קניין רוחני","%d7%a7%d7%a0%d7%99%d7%99%d7%9f-%d7%a8%d7%95%d7%97%d7%a0%d7%99","2","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","קניין רוחני","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","668","רישוי עסקים","%d7%a8%d7%99%d7%a9%d7%95%d7%99-%d7%a2%d7%a1%d7%a7%d7%99%d7%9d","2","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","רישוי עסקים","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","716","רשלנות רפואית","medical-malpractice","0","medical-malpractice","medical-malpractice-lawyer","רשלנות רפואית","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","225","שוק ההון","%d7%a9%d7%95%d7%a7-%d7%94%d7%94%d7%95%d7%9f","1","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","שוק ההון","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","232","תובענות ייצוגיות","%d7%aa%d7%95%d7%91%d7%a2%d7%a0%d7%95%d7%aa-%d7%99%d7%99%d7%a6%d7%95%d7%92%d7%99%d7%95%d7%aa","1","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","תובענות ייצוגיות","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"city","705","beer-sheva","beer-sheva","1","needs-classification","beer-sheva","beer sheva","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"city","702","haifa","haifa","1","needs-classification","haifa","haifa","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"city","706","herzliya","herzliya","1","needs-classification","herzliya","herzliya","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"city","701","jerusalem","jerusalem","1","needs-classification","jerusalem","jerusalem","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"city","708","netanya","netanya","1","needs-classification","netanya","netanya","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"city","707","petah-tikva","petah-tikva","1","needs-classification","petah-tikva","petah tikva","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"city","704","ramat-gan","ramat-gan","1","needs-classification","ramat-gan","ramat gan","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"city","710","rishon-lezion","rishon-lezion","1","needs-classification","rishon-lezion","rishon lezion","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"city","700","tel-aviv","tel-aviv","2","needs-classification","tel-aviv","tel aviv","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"city","719","אשדוד","ashdod","0","needs-classification","ashdod","אשדוד","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"city","722","אשקלון","ashkelon","0","needs-classification","ashkelon","אשקלון","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
