source_url,source_topic,source_cluster,target_url,target_topic,relationship_type,priority,anchor_text_direction,placement_guidance,reason,status
https://jus-tice.co.il/%D7%94%D7%9B%D7%A0%D7%94-%D7%9C%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,police-investigation,criminal-law,https://jus-tice.co.il/detention-before-charge-or-trial/,detention,support_to_support,P2,detention,process-next-steps-section,"Investigation users may need detention-stage context",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/articles/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%97%D7%96%D7%A8%D7%94-%D7%9E%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%91%D7%99%D7%98%D7%95%D7%9C/,indictment,criminal-law,https://jus-tice.co.il/detention-before-charge-or-trial/,detention,support_to_support,P2,detention,process-and-risk-section,"Indictment pages should connect to detention context where relevant",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/articles/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%97%D7%96%D7%A8%D7%94-%D7%9E%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%91%D7%99%D7%98%D7%95%D7%9C/,indictment,criminal-law,https://jus-tice.co.il/criminal-defenses/,criminal-defenses,support_to_support,P2,criminal defenses,related-guides-section,"Indictment-cancellation content should connect to defense concepts after review",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/detention-before-charge-or-trial/,detention,criminal-law,https://jus-tice.co.il/%D7%94%D7%9B%D7%A0%D7%94-%D7%9C%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,police-investigation,support_to_support,P2,police investigation,related-process-section,"Detention often follows investigation-stage events",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/detention-before-charge-or-trial/,detention,criminal-law,https://jus-tice.co.il/articles/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%97%D7%96%D7%A8%D7%94-%D7%9E%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%91%D7%99%D7%98%D7%95%D7%9C/,indictment,support_to_support,P2,indictment,related-process-section,"Detention support should connect to indictment-stage guidance",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/drug-offenses-criminal-lawyer/,drug-offenses,criminal-law,https://jus-tice.co.il/%D7%94%D7%9B%D7%A0%D7%94-%D7%9C%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,police-investigation,support_to_support,P2,police investigation,investigation-section,"Drug-offense users often need investigation-stage guidance",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/drug-offenses-criminal-lawyer/,drug-offenses,criminal-law,https://jus-tice.co.il/detention-before-charge-or-trial/,detention,support_to_support,P2,detention,process-risks-section,"Drug-offense pages should connect to detention guidance where relevant",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/drug-offenses-criminal-lawyer/,drug-offenses,criminal-law,https://jus-tice.co.il/articles/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%97%D7%96%D7%A8%D7%94-%D7%9E%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%91%D7%99%D7%98%D7%95%D7%9C/,indictment,support_to_support,P2,indictment,process-risks-section,"Drug-offense pages should connect to indictment guidance where relevant",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/drug-offenses-criminal-lawyer/,drug-offenses,criminal-law,https://jus-tice.co.il/drug-trafficking/,drug-trafficking,support_to_support,P3,drug trafficking,related-guides-section,"Drug trafficking is a narrower drug-offense support topic after expansion/merge review",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/drug-offenses-criminal-lawyer/,drug-offenses,criminal-law,https://jus-tice.co.il/driving-under-the-influence-of-drugs/,drugged-driving-boundary,support_to_boundary,P3,driving under influence of drugs,boundary-section,"Traffic-drug page should be linked only as a traffic/criminal boundary",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/criminal-defense-attorney/,criminal-law-current-pillar,criminal-law,https://jus-tice.co.il/expungement-of-criminal-records/,criminal-record-deletion,pillar_to_support,P3,criminal record deletion,related-guides-section,"Record deletion is useful support but should be source-reviewed first",PLANNED_NEEDS_OWNER_APPROVAL
