unit_id,unit_type,url,primary_query,secondary_queries,role,new_title,new_meta,serp_file,absorb_from,impressions_16mo,notes
U11,CASE-REBUILD,/decision39696-06-16/,"פיצוי של 4,330,162 ₪ בגין רשלנות רפואית בטיפול",היפוגליקמיה ביילוד;אומדן סיעודי כללית,support,"פיצוי של 4,330,162 ₪ בגין רשלנות רפואית בטיפול ביילוד","פיצוי של 4,330,162 ₪ בגין רשלנות רפואית בטיפול ביילוד: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",SKIP(case-page formula),,913.0,16mo 6c/913i; demand protected; attorney-led rebuild.
U12,REBUILD,/רשלנות-רפואית-באבחון-אבחנה-שגויה-ומאו/,רשלנות רפואית באבחון: אבחנה שגויה ומאוחרת: פיצויים,גילוי רשלנות רפואית מאוחרת,cluster,רשלנות רפואית באבחון: אבחנה שגויה ומאוחרת: פיצויים,"רשלנות רפואית באבחון: אבחנה שגויה ומאוחרת: פיצויים: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",רשלנות-רפואית-באבחון.md,,782.0,16mo 0c/782i; demand protected; attorney-led rebuild.
U13,REBUILD,/klumpke-paralysis/,רשלנות רפואית בלידה: מה זה שיתוק קלומקה?,דרמטום מה זה;paralysis מה זה;דרמטום,cluster,רשלנות רפואית בלידה: מה זה שיתוק קלומקה?,"רשלנות רפואית בלידה: מה זה שיתוק קלומקה?: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",שיתוק-קלומקה.md,,528.0,16mo 3c/528i; demand protected; attorney-led rebuild.
U14,REBUILD,/birth-injury/,"רשלנות רפואית בלידה: פיצויים, שיתוק מוחין ותביעה",,cluster,"רשלנות רפואית בלידה: פיצויים, שיתוק מוחין ותביעה","רשלנות רפואית בלידה: פיצויים, שיתוק מוחין ותביעה: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",רשלנות-רפואית-בלידה.md,,427.0,16mo 1c/427i; demand protected; attorney-led rebuild.
U15,REBUILD,/birth-injury-lawyer/,עורך דין לפגיעות לידה,,cluster,"עורך דין לפגיעות לידה: שירותים, הליך ובחירת ייצוג","עורך דין לפגיעות לידה: שירותים, הליך ובחירת ייצוג: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",עורך-דין-לפגיעות-לידה.md,,398.0,16mo 0c/398i; demand protected; attorney-led rebuild.
U16,REBUILD,/medical-malpractice-pregnancy-birth/,רשלנות רפואית במהלך הריון ולידה רשימת דברים שכדאי,בהריון בסיכון רשלנות,cluster,רשלנות רפואית במהלך הריון ולידה רשימת דברים שכדאי,"רשלנות רפואית במהלך הריון ולידה רשימת דברים שכדאי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",רשלנות-רפואית-בהריון.md,,359.0,16mo 0c/359i; demand protected; attorney-led rebuild.
U17,REBUILD,/medical-malpractice-israel-medical/,מקרי רשלנות רפואית בישראל,,cluster,מקרי רשלנות רפואית בישראל: מדריך משפטי מעשי,"מקרי רשלנות רפואית בישראל: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",מקרי-רשלנות-רפואית-בישראל.md,/medical-malpractice-7583/,180.0,16mo 0c/180i; demand protected; attorney-led rebuild.
U18,REBUILD,/medical-malpractice-lawyer-lawsuit-surgery-medical/,תביעת רשלנות רפואית בניתוח,,cluster,"תביעת רשלנות רפואית בניתוח: שירותים, הליך ובחירת ייצוג","תביעת רשלנות רפואית בניתוח: שירותים, הליך ובחירת ייצוג: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",תביעת-רשלנות-רפואית-בניתוח.md,,168.0,16mo 0c/168i; demand protected; attorney-led rebuild.
U19,CASE-REBUILD,/10918-10-19/,"פס""ד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית",,support,"פס""ד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית ורשלנות","פס""ד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית ורשלנות: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",SKIP(case-page formula),,149.0,16mo 2c/149i; demand protected; attorney-led rebuild.
U20,CASE-REBUILD,/medical-malpractice-lawsuit-pregnancy-20346-03-17/,דחיית תביעה רשלנות רפואית הריון שהובילה לפטירתה של,ד ר רמי מאור,support,דחיית תביעה רשלנות רפואית הריון שהובילה לפטירתה של אם והעובר,"דחיית תביעה רשלנות רפואית הריון שהובילה לפטירתה של אם והעובר: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",SKIP(case-page formula),,143.0,16mo 3c/143i; demand protected; attorney-led rebuild.
U21,REBUILD,/medical-malpractice-attorney/,שכר טרחה עורך דין רשלנות רפואית,,cluster,שכר טרחה עורך דין רשלנות רפואית,"מחירים ושכר טרחה בנושא שכר טרחה עורך דין רשלנות רפואית: מה משפיע על העלות, מה כלול ואילו שאלות לבדוק. מידע מעודכן בבדיקת עו״ד.",שכר-טרחה-עורך-דין-רשלנות-רפואית.md,,140.0,16mo 0c/140i; demand protected; attorney-led rebuild.
U22,REBUILD,/medical-malpractice-law/,דיני נזיקין רשלנות רפואית,site:jus-tice.co.il,cluster,דיני נזיקין רשלנות רפואית: מדריך משפטי מעשי,"דיני נזיקין רשלנות רפואית: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",דיני-נזיקין-רשלנות-רפואית.md,,75.0,16mo 0c/75i; demand protected; attorney-led rebuild.
U23,REBUILD,/brain-damage-at-birth/,נזק מוחי בלידה,,cluster,נזק מוחי בלידה: מדריך משפטי מעשי,"נזק מוחי בלידה: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",נזק-מוחי-בלידה.md,,72.0,16mo 0c/72i; demand protected; attorney-led rebuild.
U24,CASE-REBUILD,/medical-malpractice-judge-decision-lawsuit-4392-03-23/,השופטת אירית קלמן ברום: החלטה בתביעה בגין התיישנות,אירית קלמן ברום,support,השופטת אירית קלמן ברום: החלטה בתביעה בגין התיישנות רשלנות,"השופטת אירית קלמן ברום: החלטה בתביעה בגין התיישנות רשלנות: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",SKIP(case-page formula),,57.0,16mo 2c/57i; demand protected; attorney-led rebuild.
U25,REBUILD,/medical-malpractice-statistics/,נתוני רשלנות רפואית בישראל 2026,site:jus-tice.co.il,cluster,רשלנות רפואית בישראל: נתונים וסטטיסטיקה 2026,"רשלנות רפואית בישראל: נתונים וסטטיסטיקה 2026: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",נתוני-רשלנות-רפואית-בישראל-2026.md,,24.0,16mo 1c/24i; demand protected; attorney-led rebuild.
U26,GAP-NEW,NEW:/התיישנות-רשלנות-רפואית/,רשלנות רפואית התיישנות,,cluster,"רשלנות רפואית התיישנות: מועדים, חריגים וקטינים",,רשלנות-רפואית-התיישנות.md,,0,Required live-SERP cluster; no dedicated non-case inventory owner
U27,GAP-NEW,NEW:/פיצויים-רשלנות-רפואית/,פיצויים ברשלנות רפואית,,cluster,פיצויים ברשלנות רפואית: ראשי נזק וסכומים,,פיצויים-ברשלנות-רפואית.md,,0,Required live-SERP cluster; no dedicated non-case inventory owner
U28,GAP-NEW,NEW:/אחוזי-נכות-פיצויים-רשלנות-רפואית/,אחוזי נכות ופיצויים רשלנות רפואית,,cluster,אחוזי נכות ופיצויים ברשלנות רפואית,,אחוזי-נכות-ופיצויים-רשלנות-רפואית.md,,0,Required live-SERP cluster; no dedicated non-case inventory owner
U29,GAP-NEW,NEW:/רשלנות-רפואית-שיניים/,רשלנות רפואית שיניים,,cluster,"רשלנות רפואית שיניים: הוכחה, מומחה ופיצויים",,רשלנות-רפואית-שיניים.md,,0,Required live-SERP cluster; no dedicated non-case inventory owner
U30,GAP-NEW,NEW:/הסכם-פשרה-רשלנות-רפואית/,הסכם פשרה רשלנות רפואית,,cluster,הסכם פשרה רשלנות רפואית: מדריך משפטי מעשי,,הסכם-פשרה-רשלנות-רפואית.md,,622,GSC query-family demand; no inventory title similarity ≥0.48
