unit_id,url,primary_query,secondary_queries,intent,impressions_16mo,avg_position,new_title,new_meta_description,length_guidance
W11,https://jus-tice.co.il/israel-crime-statistics/,משטרת ישראל השנתון הסטטיסטי,justice תיקים משטרה;בדיקת תיקים במשטרה;דוח משטרה לפי מספר תיק;איתור תיקים פליליים;ביטול דוח תנועה משטרת ישראל,informational-guide,6822,20.1,משטרת ישראל השנתון הסטטיסטי: מדריך משפטי מעשי,"משטרת ישראל השנתון הסטטיסטי: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",1500-2500 מילים
W12,https://jus-tice.co.il/rape-us-law/,"אונס - הגנות ועונשים בארה""ב",אונס עונש;הסכמה חופשית;הגדרה של אונס;אישום באונס;הגשת תביעה על אונס,informational-guide,5961,49.9,"אונס - הגנות ועונשים בארה""ב: מדריך משפטי מעשי","אונס - הגנות ועונשים בארה""ב: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",1500-2500 מילים
W13,https://jus-tice.co.il/crime/,דין פלילי,אי מניעת פשע;הכרעת דין;אתר חדשות פשע;posta פשע;הגדרת עבריין בחוק,hire-lawyer,5890,28.2,"דין פלילי: שירותים, הליך ובחירת ייצוג","דין פלילי: שירותים, הליך ובחירת ייצוג: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",1500-2500 מילים
W14,https://jus-tice.co.il/extension-of-detention-for-more-than-thirty-days/,הארכת מעצר,הארכות מעצר;הארכת מעצר ימים;הארחת מעצר;דיון הארכת מעצר;הארכת תנאי שחרור,informational-guide,5801,50.1,הארכת מעצר: מדריך משפטי מעשי,"הארכת מעצר: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",1500-2500 מילים
W15,https://jus-tice.co.il/miranda-warning/,אזהרת מירנדה,יש לך את הזכות לשמור על שתיקה;זכויות מירנדה;הפרת זכויות נחקר;ביטול זכות השתיקה;הקראת זכויות לפני מעצר,informational-guide,4372,23.6,אזהרת מירנדה: מדריך משפטי מעשי,"אזהרת מירנדה: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",1500-2500 מילים
W16,https://jus-tice.co.il/prosecutor/,הגנה במשפט פלילי,הציג את עמדת התביעה במשפט;הצד התובע את הנאשם;הצהרת תובע;הכרעת דין;הצהרת תובע מה זה,informational-guide,3923,25.9,הגנה במשפט פלילי: מדריך משפטי מעשי,"הגנה במשפט פלילי: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",1500-2500 מילים
W17,https://jus-tice.co.il/report-crime/,דווח,דיווח אנונימי למשטרה;ההגנה הטובה ביותר על גניבת זהות;הגשת תלונה במשטרה על איומים;הגשת תלונה במשטרה על אלימות;בירור תלונה במשטרה,informational-guide,3773,27.8,דווח: מדריך משפטי מעשי,"דווח: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",1500-2500 מילים
W18,https://jus-tice.co.il/35557-01-22/,"גז""ד למורשע בעבירות של חבלה חמורה בנסיבות מחמירות",איומים סעיף 192 לחוק העונשין;גזר דין על איומים;דמיטרי פיודורוב;בנסיבות,informational-guide,3382,31.1,"גז""ד למורשע בעבירות של חבלה חמורה בנסיבות מחמירות כנגד בת","גז""ד למורשע בעבירות של חבלה חמורה בנסיבות מחמירות כנגד בת: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",1500-2500 מילים
W19,https://jus-tice.co.il/criminal-defenses/,הגנות פליליות,הגנה במשפט פלילי;הגנה משפטית פלילית;הגנת הצורך;הסגת גבול פלילית;הגנה עצמית סעיף 34,informational-guide,3318,27.7,הגנות פליליות: מדריך משפטי מעשי,"הגנות פליליות: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",1500-2500 מילים
W20,https://jus-tice.co.il/sex-trafficking/,עורך דין סחר במין,סרסורים;site:jus-tice.co.il;אלכס הובלות ברחובות;דו מיני סקס;האם זה נחשב זנות,hire-lawyer,2437,22.9,"עורך דין סחר במין: שירותים, הליך ובחירת ייצוג","עורך דין סחר במין: שירותים, הליך ובחירת ייצוג: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W21,https://jus-tice.co.il/child-pornography-laws-in-the-united-states/,חוקי פורנוגרפיית ילדים בארצות הברית,פורנוגרפית ילדים;גיל ההסכמה בארצות הברית;גיל ההסכמה בישראל 2018;בעילת תינוקת;הפצה בארצות הברית,hire-lawyer,2411,31.8,"חוקי פורנוגרפיית ילדים בארצות הברית: שירותים, הליך ובחירת","חוקי פורנוגרפיית ילדים בארצות הברית: שירותים, הליך ובחירת: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W22,https://jus-tice.co.il/request-for-extension-of-detention-beyond-nine-months/,בקשה להארכת מועד להישפט,דיני ראיות;הארכת מעצר;הארחת מעצר;דיון הארכת מעצר;הארכות מעצר,informational-guide,2192,35.7,בקשה להארכת מועד להישפט: מדריך משפטי מעשי,"בקשה להארכת מועד להישפט: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W23,https://jus-tice.co.il/standard-minimum-rules-for-treatment-of-prisoners/,כללי מינימום סטנדרטיים לטיפול באסירים לפי אמנת ז'נבה,אמנת גנבה;אתר השכר והכספים של מופת;אמנת זנבה;((((ארגוני פשיעה) מחאה) בתי) סוהר);אמנת ז נבה,hire-lawyer,2185,24.3,כללי מינימום סטנדרטיים לטיפול באסירים לפי אמנת ז'נבה,"כללי מינימום סטנדרטיים לטיפול באסירים לפי אמנת ז'נבה: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W24,https://jus-tice.co.il/decision71869-11-21/,פלילי: החלטה בערעור על חילוט רכב יוקרה בו נתפס נשק,חילוט רכב;החזרת נשק שלא כדין;הליך חילוט;החזקת נשק שלא כדין - עונש;הליכי חילוט,hire-lawyer,2161,40.3,פלילי: החלטה בערעור על חילוט רכב יוקרה בו נתפס נשק לא חוקי,"פלילי: החלטה בערעור על חילוט רכב יוקרה בו נתפס נשק לא חוקי: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W25,https://jus-tice.co.il/decision48240-04-17/,"זיכוי מעבירות איומים ערעור פס""ד תקיפת סתם כנגד בת",רס גסטה;איום חוק העונשין,informational-guide,1909,46.4,"זיכוי מעבירות איומים ערעור פס""ד תקיפת סתם כנגד בת זוג (ע""פ","זיכוי מעבירות איומים ערעור פס""ד תקיפת סתם כנגד בת זוג (ע""פ: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W26,https://jus-tice.co.il/decision37975-11-17/,הפחתה בעונש כסעד במסגרת הגנה מן הצדק- פגיעה בזכויות,הגנה מן הצדק;אכיפה בררנית הגנה מן הצדק;הגנה מהצדק;הקלות במעצר;גרושתו של ישראל גוטסדינר,informational-guide,1675,34.8,הפחתה בעונש כסעד במסגרת הגנה מן הצדק- פגיעה בזכויות נאשם,"הפחתה בעונש כסעד במסגרת הגנה מן הצדק- פגיעה בזכויות נאשם: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W27,https://jus-tice.co.il/usa-arraignment-formal-reading-of-criminal-charging/,"מעצר בארה""ב שלב ההקראה - עו""ד פלילי ארה""ב",אי התייצבות לדיון פלילי;אשמה ללא הרשעה;בית משפט פלילי;nolo contendere;המכון הרפואי לבטיחות בדרכים חולון,hire-lawyer,1533,25.7,"מעצר בארה""ב שלב ההקראה - עו""ד פלילי ארה""ב: שירותים, הליך","מעצר בארה""ב שלב ההקראה - עו""ד פלילי ארה""ב: שירותים, הליך: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W28,https://jus-tice.co.il/decision31783-04-21/,"הרשעה בביצוע עבירות מין בשתי נשים, ללא הסכמתן ותוך",הסכמה חופשית;בחורה שיכורה;אחרי כמה זמן עוברת השפעת אלכוהול;האם מותר לשתות שתן לפי ההלכה;איך לעשות נעים בפות,hire-lawyer,1510,27.1,"הרשעה בביצוע עבירות מין בשתי נשים, ללא הסכמתן ותוך ניצול","הרשעה בביצוע עבירות מין בשתי נשים, ללא הסכמתן ותוך ניצול: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W29,https://jus-tice.co.il/39514-09-19/,"פס""ד עונש בעבירות של מעשה מגונה, מעשה מגונה בנסיבות",כתב אישום מעשה סדום;אינוס בנסיבות מחמירות,informational-guide,1473,51.9,"פס""ד עונש בעבירות של מעשה מגונה, מעשה מגונה בנסיבות אינוס","פס""ד עונש בעבירות של מעשה מגונה, מעשה מגונה בנסיבות אינוס: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W30,https://jus-tice.co.il/52923-11-20/,"גז""ד לנאשם בעבירות מין ברשת (תפ""ח 52923-11-20)",הטרדות מיניות 2020;yuytk mwty;אישום בעבירות מין;איך להתמודד עם סחיטה ברשת;דיויד עטר פוסטה,informational-guide,1424,38.9,"גז""ד לנאשם בעבירות מין ברשת (תפ""ח 52923-11-20)","גז""ד לנאשם בעבירות מין ברשת (תפ""ח 52923-11-20): מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W31,https://jus-tice.co.il/most-famous-murder-acquittal-cases/,זיכוי מאשמת רצח: התיקים המפורסמים מי עורך הדין שייצג,רוברט שפירו;גראגוס;בוב שפירו;גוני קוקרן;אהרון הרננדז,informational-guide,1388,12.9,זיכוי מאשמת רצח: התיקים המפורסמים מי עורך הדין שייצג,"זיכוי מאשמת רצח: התיקים המפורסמים מי עורך הדין שייצג: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W32,https://jus-tice.co.il/benjamin-brafman/,benjamin brafman,בן מגן תיקים פליליים;brafman;בנגמין טיילור;בן ברפמן;site:jus-tice.co.il,hire-lawyer,1252,16.5,"benjamin brafman: שירותים, הליך ובחירת ייצוג","benjamin brafman: שירותים, הליך ובחירת ייצוג: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W33,https://jus-tice.co.il/decision26671-07-21/,"גז""ד כולל סוגיות בנוגע לנפגעי עבירות מין (תפח""ע",07 21;המין הגבוה;הפשיט אותי,hire-lawyer,1162,30.3,"גז""ד כולל סוגיות בנוגע לנפגעי עבירות מין (תפח""ע 26671-07-21)","גז""ד כולל סוגיות בנוגע לנפגעי עבירות מין (תפח""ע 26671-07-21): תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W34,https://jus-tice.co.il/decision10297-09-21/,"פס""ד בערעור שעניינו חוקיות חיפוש סמים (ע""פ",החזקת סמים לשימוש עצמי סעיף;דוד קריחלי פוסטה;דוד קריכלי פוסטה,informational-guide,1119,43.6,"פס""ד בערעור שעניינו חוקיות חיפוש סמים (ע""פ 10297-09-21)","פס""ד בערעור שעניינו חוקיות חיפוש סמים (ע""פ 10297-09-21): מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W35,https://jus-tice.co.il/criminal-procedure-rights-investigation-israel/,תפקידו ודרכי עבודתו של עובד סוציאלי לעניין סדרי דין,הוראות תע ס סדרי דין;אתה טועה,hire-lawyer,462,11.7,תפקידו ודרכי עבודתו של עובד סוציאלי לעניין סדרי דין,"תפקידו ודרכי עבודתו של עובד סוציאלי לעניין סדרי דין: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W36,https://jus-tice.co.il/criminal-offenses-lawyer-criminal-sentencing-process-arrest/,"עו""ד פלילי על סוגי עבירות פליליות",עונשים;בערך;הריגה,cost/fees,418,29.2,"עו""ד פלילי על סוגי עבירות פליליות: מחירים ושכר טרחה 2026","מחירים ושכר טרחה בנושא עו""ד פלילי על סוגי עבירות פליליות: מחירים ושכר טרחה 2026: מה משפיע על העלות, מה כלול ואילו שאלות לבדוק. מידע מעודכן בבדיקת עו״ד.",900-1500 מילים (דיוק לפי SERP)
W37,https://jus-tice.co.il/criminal-prosecutions/,תביעות פלילי,אישום פלילי;הליך פלילי;הליכים פליליים,hire-lawyer,315,17.4,"תביעות פלילי: שירותים, הליך ובחירת ייצוג","תביעות פלילי: שירותים, הליך ובחירת ייצוג: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",900-1500 מילים (דיוק לפי SERP)
