post_id,post_type,wp_status,current_url,current_slug,current_title,author_id,published_date,modified_date,practice_area_ids,practice_area_names,category_ids,tag_ids
12914,articles,publish,http://jus-tice.co.il/new-trends-ai-family-law/,%d7%9e%d7%92%d7%9e%d7%95%d7%aa-%d7%97%d7%93%d7%a9%d7%95%d7%aa-%d7%91%d7%93%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%94%d7%a9%d7%a4%d7%a2%d7%aa-%d7%94%d7%91%d7%99%d7%a0%d7%94-%d7%94%d7%9e,מגמות חדשות בדיני משפחה: השפעת הבינה המלאכותית AI דיני משפחה וגירושין (צפי ומגמות 2025-2026),282,2025-09-14,2025-09-14,68,דיני משפחה,,
12907,articles,publish,http://jus-tice.co.il/criminal-prosecutions/,%d7%aa%d7%91%d7%99%d7%a2%d7%95%d7%aa-%d7%a4%d7%9c%d7%99%d7%9c%d7%99-%d7%99%d7%99%d7%a6%d7%95%d7%92-%d7%95%d7%9c%d7%95%d7%95%d7%99-%d7%a0%d7%90%d7%a9%d7%9e%d7%99%d7%9d,תביעות פלילי | ייצוג ולווי נאשמים,282,2025-09-12,2025-09-14,170,משפט פלילי,,
12897,articles,publish,http://jus-tice.co.il/the-recommended-family-lawyers/,%d7%9e%d7%95%d7%9e%d7%9c%d7%a6%d7%99-%d7%93%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%95%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%94%d7%9e%d7%9c%d7%a6%d7%95%d7%aa-%d7%a2%d7%95%d7%a8,מומלצי דיני משפחה וגירושין: המלצות עורכי דין לענייני משפחה בישראל (2025),282,2025-09-10,2025-09-10,68,דיני משפחה,,
12883,articles,publish,http://jus-tice.co.il/1361959/16/,%d7%aa%d7%a4%d7%95%d7%92%d7%aa-%d7%97%d7%99%d7%95%d7%91%d7%99%d7%9d-%d7%91%d7%94%d7%a1%d7%9b%d7%9d-%d7%a9%d7%9c%d7%95%d7%9d-%d7%91%d7%99%d7%aa-%d7%95%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f,תפוגת חיובים בהסכם שלום בית וגירושין – המלצה לכתובה מוקטנת בבתי הדין הרבניים,282,2025-09-04,2025-09-04,68,דיני משפחה,,
12879,articles,publish,http://jus-tice.co.il/996028-3/,%d7%a4%d7%a1%d7%93-%d7%a8%d7%91%d7%a0%d7%99-2025-%d7%aa%d7%95%d7%a7%d7%a4%d7%95-%d7%a9%d7%9c-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%9b%d7%a9%d7%94%d7%a6%d7%93,פס&#8221;ד רבני 2025 | תוקפו של הסכם גירושין כשהצדדים חזרו לשלום בית – 996028-3 – ביה&#8221;ד תל אביב יפו,282,2025-09-04,2025-09-04,68,דיני משפחה,,
12871,articles,publish,http://jus-tice.co.il/petah-tikva-divorce-lawyer/,%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%9e%d7%95%d7%9e%d7%9c%d7%a5-%d7%a4%d7%aa%d7%97-%d7%aa%d7%a7%d7%95%d7%95%d7%94-%d7%95%d7%94%d7%9e%d7%a8%d7%9b,עורך דין גירושין מומלץ פתח תקווה והמרכז | 2025 נתונים והנחיות גירושין,282,2025-09-02,2025-09-02,392,גירושין,,
12857,articles,publish,http://jus-tice.co.il/posta/,%d7%a4%d7%95%d7%a1%d7%98%d7%94-%d7%a4%d7%9c%d7%99%d7%9c%d7%99%d7%9d,פוסטה פלילים,282,2025-08-31,2025-08-31,170,משפט פלילי,,
12851,articles,publish,http://jus-tice.co.il/7776-09-24/,%d7%96%d7%99%d7%9b%d7%95%d7%99-%d7%9c%d7%a0%d7%90%d7%a9%d7%9d-%d7%91%d7%a9%d7%95%d7%a8%d7%aa-%d7%a2%d7%91%d7%99%d7%a8%d7%95%d7%aa-%d7%91%d7%a9%d7%9c-%d7%a7%d7%a9%d7%99%d7%99%d7%9d-%d7%91%d7%96%d7%99,זיכוי לנאשם בשורת עבירות בשל קשיים בזיהוי (ת&#8221;פ 7776-09-24 חסדאי),282,2025-08-31,2025-08-31,642,פלילי פסקי דין חשובים,,
12841,articles,publish,http://jus-tice.co.il/ai-for-law-firms/,%d7%94%d7%98%d7%9e%d7%a2%d7%aa-%d7%91%d7%99%d7%a0%d7%94-%d7%9e%d7%9c%d7%90%d7%9b%d7%95%d7%aa%d7%99%d7%aa-ai-%d7%91%d7%9e%d7%a9%d7%a8%d7%93%d7%99-%d7%a2%d7%95%d7%a8%d7%9b%d7%99-%d7%93%d7%99%d7%9f,הטמעת בינה מלאכותית AI במשרדי עורכי דין,282,2025-08-30,2025-08-30,308,עורך דין,,
12681,articles,publish,http://jus-tice.co.il/1520884-1/,%d7%90%d7%99%d7%a9%d7%95%d7%a8-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%91%d7%95-%d7%a0%d7%a7%d7%91%d7%a2-%d7%97%d7%99%d7%95%d7%91-%d7%9e%d7%96%d7%95%d7%a0%d7%95%d7%aa,אישור הסכם גירושין בו נקבע חיוב מזונות שיוויוני – 1520884-1 – ביה&#8221;ד באר שבע,282,2025-07-29,2025-07-29,68,דיני משפחה,,
12678,articles,publish,http://jus-tice.co.il/1331339-3/,%d7%94%d7%97%d7%95%d7%91%d7%94-%d7%9c%d7%a2%d7%9e%d7%95%d7%93-%d7%91%d7%94%d7%a1%d7%9b%d7%9d-%d7%a2%d7%9c-%d7%9e%d7%a7%d7%95%d7%9d-%d7%9e%d7%92%d7%95%d7%a8%d7%99-%d7%94%d7%99%d7%9c%d7%93%d7%99%d7%9d,החובה לעמוד בהסכם על מקום מגורי הילדים ולשאת בתוצאות הפרתו_ שיבתו לתוקף של פטור ממזונות שניתן בגין ההפרה – 1331339-3 – ביה&#8221;ד הגדול,282,2025-07-29,2025-07-29,68,דיני משפחה,,
12675,articles,publish,http://jus-tice.co.il/1331339-1/,%d7%90%d7%9b%d7%99%d7%a4%d7%aa-%d7%94%d7%a1%d7%9b%d7%9d-%d7%9b%d7%a9%d7%99%d7%a9-%d7%97%d7%a9%d7%a9-%d7%a9%d7%90%d7%9b%d7%99%d7%a4%d7%aa%d7%95-%d7%a2%d7%9c%d7%95%d7%9c%d7%94-%d7%9c%d7%94%d7%91%d7%99,אכיפת הסכם כשיש חשש שאכיפתו עלולה להביא לפגיעה בטובת הילדים – איזונים והכרעה – 1331339-1 – ביה&#8221;ד הגדול,282,2025-07-29,2025-07-29,68,דיני משפחה,,
12670,articles,publish,http://jus-tice.co.il/209051/11/,%d7%a4%d7%a1%d7%93-%d7%a8%d7%91%d7%a0%d7%99-2025-%d7%91%d7%a7%d7%a9%d7%aa-%d7%94%d7%90%d7%99%d7%a9%d7%94-%d7%9c%d7%94%d7%a7%d7%93%d7%9e%d7%aa-%d7%9e%d7%95%d7%a2%d7%93-%d7%a4%d7%99%d7%a8%d7%95,פס&#8221;ד רבני (2025) בקשת האישה להקדמת מועד פירוק שיתוף דירה טרם התאריך שנקבע בהסכם,282,2025-07-29,2025-07-29,68,דיני משפחה,,
12663,articles,publish,http://jus-tice.co.il/investment-loss-compensation/,%d7%a4%d7%99%d7%a6%d7%95%d7%99-%d7%9c%d7%9e%d7%a9%d7%a7%d7%99%d7%a2-%d7%91%d7%a2%d7%a7%d7%91%d7%95%d7%aa-%d7%94%d7%a4%d7%a1%d7%93-%d7%91%d7%a9%d7%95%d7%a7-%d7%94%d7%94%d7%95%d7%9f-%d7%a4%d7%95%d7%a8,"פיצוי למשקיע בעקבות הפסד בשוק ההון, פורקס ו- קריפטו | סוגי הונאות (2025)",282,2025-07-29,2025-07-29,225,שוק ההון,,
12655,articles,publish,http://jus-tice.co.il/real-estate-lawyer-cost-2025/,%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9e%d7%9b%d7%99%d7%a8%d7%aa-%d7%93%d7%99%d7%a8%d7%94-%d7%9e%d7%97%d7%99%d7%a8-2025-%d7%aa%d7%a4%d7%a7%d7%99%d7%93%d7%95-%d7%a9%d7%9c-%d7%a2%d7%95,עורך דין מכירת דירה מחיר (2025) | תפקידו של עורך הדין בעסקאות מקרקעין,282,2025-07-27,2025-07-27,234,"מקרקעין | נדל""ן",,
12652,articles,publish,http://jus-tice.co.il/business-license/,%d7%99%d7%95%d7%a2%d7%a5-%d7%a8%d7%99%d7%a9%d7%95%d7%99-%d7%a2%d7%a1%d7%a7%d7%99%d7%9d-%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9e%d7%95%d7%9e%d7%97%d7%94-%d7%a8%d7%99%d7%a9%d7%95%d7%99,יועץ רישוי עסקים | עורך דין מומחה רישוי עסק | מדריך ומחירון (2025),282,2025-07-25,2025-07-25,308,עורך דין,,
12650,articles,publish,http://jus-tice.co.il/1495176/4/,%d7%aa%d7%99%d7%a7-1495176-4-%d7%99%d7%95%d7%9c%d7%99-2025-%d7%a9%d7%90%d7%9c%d7%aa-%d7%a1%d7%9e%d7%9b%d7%95%d7%aa-%d7%91%d7%99%d7%aa-%d7%94%d7%93%d7%99%d7%9f-%d7%94%d7%90%d7%96%d7%95%d7%a8%d7%99,תיק 1495176/4 יולי 2025 | שאלת סמכות בית הדין האזורי לדון בעניין מזונות הילדים,282,2025-07-24,2025-07-24,68,דיני משפחה,,
12626,articles,publish,http://jus-tice.co.il/online-rent-agreement/,%d7%97%d7%95%d7%96%d7%94-%d7%a9%d7%9b%d7%99%d7%a8%d7%95%d7%aa-%d7%90%d7%95%d7%a0%d7%9c%d7%99%d7%99%d7%9f-%d7%a2%d7%93%d7%9b%d7%a0%d7%99-2025,חוזה שכירות אונליין (עדכני 2025),282,2025-07-10,2025-07-10,234,"מקרקעין | נדל""ן",,
12622,articles,publish,http://jus-tice.co.il/australia-lawyers/,%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%91%d7%90%d7%95%d7%a1%d7%98%d7%a8%d7%9c%d7%99%d7%94-%d7%a2%d7%95%d7%93-%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99-%d7%90%d7%95%d7%a1%d7%98%d7%a8%d7%9c,עורך דין באוסטרליה | עו&#8221;ד ישראלי אוסטרליה,282,2025-07-09,2025-07-09,308,עורך דין,,
12616,articles,publish,http://jus-tice.co.il/israel-tax-authority/,%d7%a8%d7%a9%d7%95%d7%aa-%d7%94%d7%9e%d7%a1%d7%99%d7%9d-%d7%91%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%99%d7%99%d7%a6%d7%95%d7%92-%d7%9e%d7%95%d7%9c-%d7%a8%d7%a9%d7%95%d7%99%d7%95%d7%aa-%d7%94%d7%9e%d7%a1,רשות המסים בישראל | ייצוג מול רשויות המס,282,2025-07-07,2025-07-07,308,עורך דין,,
12611,articles,publish,http://jus-tice.co.il/1509592-1/,%d7%9c%d7%90-%d7%91%d7%a0%d7%a7%d7%9c-%d7%99%d7%91%d7%95%d7%98%d7%9c-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-1509592-1-%d7%91%d7%99%d7%94%d7%93,לא בנקל יבוטל הסכם גירושין – 1509592-1 – ביה&#8221;ד הגדול‎,282,2025-07-07,2025-07-07,68,דיני משפחה,,
12609,articles,publish,http://jus-tice.co.il/israel-real-estate-price-forecast/,%d7%9e%d7%97%d7%99%d7%a8%d7%99%d7%9d-%d7%a2%d7%93%d7%9b%d7%a0%d7%99%d7%99%d7%9d-2025-%d7%95%d7%aa%d7%97%d7%96%d7%99%d7%aa-%d7%9c%d7%a9%d7%95%d7%a7-%d7%94%d7%a0%d7%93%d7%9c%d7%9f-%d7%a8,מחירים עדכניים (2025) ותחזית לשוק הנדל&#8221;ן | רכישת נדל&#8221;ן בישראל בלווי עורך דין,282,2025-07-06,2025-07-06,234,"מקרקעין | נדל""ן",,
12605,articles,publish,http://jus-tice.co.il/cyprus-prices/,%d7%9e%d7%97%d7%99%d7%a8%d7%95%d7%9f-2025-%d7%a0%d7%9b%d7%a1%d7%99%d7%9d-%d7%91%d7%a7%d7%a4%d7%a8%d7%99%d7%a1%d7%99%d7%9f-%d7%95%d7%a2%d7%9c%d7%99%d7%95%d7%aa-%d7%a0%d7%9c%d7%95%d7%95%d7%aa-%d7%a8,מחירון 2025 נכסים בקפריסין ועליות נלוות | רכישה בלווי משפטי לישראלים,282,2025-07-06,2025-07-06,234,"מקרקעין | נדל""ן",,
12600,articles,publish,http://jus-tice.co.il/greece-price-list/,%d7%99%d7%95%d7%95%d7%9f-%d7%9e%d7%97%d7%99%d7%a8%d7%99-%d7%a8%d7%9b%d7%99%d7%a9%d7%94-2025-%d7%9c%d7%a4%d7%99-%d7%90%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%a2,יוון – מחירי רכישה 2025 לפי אזורים | מדריך עדכני לרכישת נדל&#8221;ן ביוון לישראלים בלווי עורך דין,282,2025-07-06,2025-07-06,234,"מקרקעין | נדל""ן",,
12596,articles,publish,http://jus-tice.co.il/family-judgment-31661-07-16/,%d7%a4%d7%a1%d7%a7-%d7%93%d7%99%d7%9f-%d7%91%d7%aa%d7%91%d7%99%d7%a2%d7%94-%d7%a8%d7%9b%d7%95%d7%a9%d7%99%d7%aa-%d7%90%d7%99%d7%a9%d7%94-%d7%a0%d7%92%d7%93-%d7%91%d7%9f-%d7%96%d7%95%d7%92%d7%94,"פסק דין בתביעה רכושית: אישה נגד בן-זוגה חושפת הון משפחתי במקלטי מס, נאמנויות ותאגידים זרים | תמ״ש 31661-07-16",282,2025-07-06,2025-07-06,68,דיני משפחה,,
12588,articles,publish,http://jus-tice.co.il/divorce-costs-2025/,%d7%a2%d7%9c%d7%95%d7%99%d7%95%d7%aa-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-2025-%d7%9e%d7%97%d7%99%d7%a8%d7%95%d7%9f-%d7%9e%d7%a2%d7%95%d7%93%d7%9b%d7%9f-%d7%94%d7%a9%d7%95%d7%95%d7%90%d7%94,עלויות גירושין 2025 | מחירון מעודכן השוואה ובחירה בין עורכי דין לענייני גירושין,282,2025-06-29,2025-06-29,68,דיני משפחה,,
12583,articles,publish,http://jus-tice.co.il/portugal-relocation/,%d7%a8%d7%99%d7%9c%d7%95%d7%a7%d7%99%d7%99%d7%a9%d7%9f-%d7%9c%d7%a4%d7%95%d7%a8%d7%98%d7%95%d7%92%d7%9c-2025-%d7%94%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%94%d7%9e%d7%a7%d7%99%d7%a3-%d7%9c%d7%9e%d7%a2,רילוקיישן לפורטוגל 2025: המדריך המקיף למעבר לפורטוגל,282,2025-05-31,2025-05-31,683,פורטוגל,,
12571,articles,publish,http://jus-tice.co.il/bdi-coface/,bdi-coface,BDI Coface,282,2025-05-29,2025-05-29,,,,
12558,articles,publish,http://jus-tice.co.il/dun-bradstreet/,%d7%a1%d7%95%d7%9b%d7%a0%d7%95%d7%aa-%d7%94%d7%93%d7%99%d7%a8%d7%95%d7%92-dun-bradstreet-db-%d7%95%d7%93%d7%99%d7%a8%d7%95%d7%92-duns-100,סוכנות הדירוג Dun &#038; Bradstreet (D&#038;B) ודירוג Dun’s 100,282,2025-05-28,2025-05-29,,,,
12552,articles,publish,http://jus-tice.co.il/the-legal-500/,the-legal-500,The Legal 500,282,2025-05-28,2025-05-28,,,,
12546,articles,publish,http://jus-tice.co.il/chambers-and-partners/,%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%94%d7%93%d7%99%d7%a8%d7%95%d7%92-chambers-and-partners,Chambers and Partners,282,2025-05-27,2025-05-28,,,,
12539,articles,publish,http://jus-tice.co.il/iflr1000/,%d7%93%d7%99%d7%a8%d7%95%d7%92-iflr1000-international-financial-law-review-iflr,IFLR1000,282,2025-05-27,2025-05-28,,,,
12535,articles,publish,http://jus-tice.co.il/1360470/5/,%d7%a2%d7%a7%d7%a8%d7%95%d7%a0%d7%95%d7%aa-%d7%94%d7%9c%d7%9b%d7%aa%d7%99%d7%99%d7%9d-%d7%95%d7%99%d7%99%d7%a9%d7%95%d7%9d-%d7%a7%d7%91%d7%99%d7%a2%d7%aa%d7%9d-%d7%a9%d7%9c-%d7%94%d7%a1%d7%93%d7%a8,עקרונות הלכתיים ויישום קביעתם של הסדרי השהות בגירושין על פי טובת הילד | חיובי המזונות היקפם וחלוקתם,282,2025-05-26,2025-05-26,68,דיני משפחה,,
12525,articles,publish,http://jus-tice.co.il/ai-lawyer-ranking/,%d7%93%d7%99%d7%a8%d7%95%d7%92-%d7%a2%d7%95%d7%a8%d7%9b%d7%99-%d7%93%d7%99%d7%9f-%d7%91%d7%99%d7%a0%d7%94-%d7%9e%d7%9c%d7%90%d7%9b%d7%95%d7%aa%d7%99%d7%aa-ai-%d7%a9%d7%a0%d7%aa-2025,דירוג עורכי דין בינה מלאכותית AI | שנת 2025,282,2025-05-26,2025-05-26,308,עורך דין,,
12495,articles,publish,http://jus-tice.co.il/fbi-cyber-division/,%d7%99%d7%97%d7%99%d7%93%d7%aa-%d7%94-cyber-division-%d7%a9%d7%9c-%d7%94-fbi,יחידת ה-Cyber Division של ה-FBI | עו&#8221;ד סייבר,282,2025-05-14,2025-05-26,188,סייבר,,
12491,articles,publish,http://jus-tice.co.il/us-securities-and-exchange-commission/,%d7%a8%d7%a9%d7%95%d7%aa-%d7%a0%d7%99%d7%99%d7%a8%d7%95%d7%aa-%d7%94%d7%a2%d7%a8%d7%9a-%d7%a9%d7%9c-%d7%90%d7%a8%d7%a6%d7%95%d7%aa-%d7%94%d7%91%d7%a8%d7%99%d7%aa-sec-%d7%a2%d7%95%d7%93,(SEC) רשות ניירות הערך של ארצות הברית  | עו&#8221;ד ישראלי,282,2025-05-14,2025-05-26,308,עורך דין,,
12481,articles,publish,http://jus-tice.co.il/federal-bureau-of-investigation/,fbi-%d7%9c%d7%a9%d7%9b%d7%aa-%d7%94%d7%97%d7%a7%d7%99%d7%a8%d7%95%d7%aa-%d7%94%d7%a4%d7%93%d7%a8%d7%9c%d7%99%d7%aa-%d7%90%d7%a8%d7%94%d7%91-%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%99,FBI לשכת החקירות הפדרלית ארה&#8221;ב |  עורך דין פלילי F.B.I,282,2025-05-12,2025-05-12,308,עורך דין,,
12464,articles,publish,http://jus-tice.co.il/lahav-433/,%d7%9c%d7%94%d7%91-433-%d7%9e%d7%91%d7%a0%d7%94-%d7%94%d7%99%d7%97%d7%99%d7%93%d7%94-%d7%9b%d7%aa%d7%95%d7%91%d7%aa-%d7%95%d7%98%d7%9c%d7%a4%d7%95%d7%9f-%d7%9e%d7%a9%d7%98%d7%a8%d7%aa-%d7%99%d7%a9,להב 433: מבנה היחידה כתובות וטלפונים | משטרת ישראל להב 433,282,2025-05-12,2025-05-12,170,משפט פלילי,,
12446,articles,publish,http://jus-tice.co.il/drug-offenses-criminal-lawyer/,%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%a2%d7%91%d7%99%d7%a8%d7%95%d7%aa-%d7%a1%d7%9e%d7%99%d7%9d-%d7%9e%d7%93%d7%a8%d7%99%d7%9a-2025-%d7%9c%d7%a2%d7%91%d7%99%d7%a8%d7%95%d7%aa-%d7%a1%d7%9e,עורך דין עבירות סמים | מדריך 2025 לתחום עבירות סמים,282,2025-04-23,2025-04-23,308,עורך דין,,
12436,articles,publish,http://jus-tice.co.il/tax-investigation-guide/,%d7%9e%d7%93%d7%a8%d7%99%d7%9a-2025-%d7%9c%d7%a7%d7%a8%d7%90%d7%aa-%d7%97%d7%a7%d7%99%d7%a8%d7%94-%d7%91%d7%9e%d7%a1-%d7%94%d7%9b%d7%a0%d7%a1%d7%94-%d7%9b%d7%9c-%d7%9e%d7%94-%d7%a9%d7%a6%d7%a8,מדריך 2025 לקראת חקירה במס הכנסה – כל מה שצריך לדעת |  חקירות מס הכנסה ועבירות מס,282,2025-04-20,2025-04-20,485,מיסים,,
12433,articles,publish,http://jus-tice.co.il/porto-portugal-real-estate/,%d7%a4%d7%95%d7%a8%d7%98%d7%95-%d7%a4%d7%95%d7%a8%d7%98%d7%95%d7%92%d7%9c-%d7%94%d7%a9%d7%a7%d7%a2%d7%95%d7%aa-%d7%a0%d7%93%d7%9c%d7%9f-%d7%a2%d7%91%d7%95%d7%a8-%d7%99%d7%a9%d7%a8,"פורטו, פורטוגל – השקעות נדל&#8221;ן עבור ישראלים",282,2025-04-18,2025-04-18,683,פורטוגל,,
12428,articles,publish,http://jus-tice.co.il/famous-criminal-defense-lawyer/,%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%a4%d7%9c%d7%99%d7%9c%d7%99-%d7%9e%d7%a4%d7%95%d7%a8%d7%a1%d7%9d-%d7%a2%d7%95%d7%a8%d7%9b%d7%99-%d7%94%d7%93%d7%99%d7%9f-%d7%94%d7%a4%d7%9c%d7%99%d7%9c,עורך דין פלילי מפורסם | עורכי הדין הפליליים המובילים בישראל ובעולם (2025),282,2025-04-16,2025-04-16,308,עורך דין,,
