full_name,entity_type,practice_areas,office_address,city,phone,website,guide_code,guide_practice_label,rank_tier,rank_label_raw,rank_year,source_url,notes
"יעקב (קובי) בר-לב, עורכי דין",firm,איכות הסביבה,,,,,G1,איכות הסביבה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"לוינסון-דרור, משרד עורכי דין לדיני סביבה ובטיחות",firm,איכות הסביבה,,,,,G1,איכות הסביבה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ליפא ושות',firm,איכות הסביבה,,,,,G1,איכות הסביבה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
מיתר | עורכי דין,firm,איכות הסביבה,,,,,G1,איכות הסביבה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
פישר (.FBC & Co),firm,איכות הסביבה,,,,,G1,איכות הסביבה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"EBN - ארדינסט, בן נתן, טולידאנו",firm,איכות הסביבה,,,,,G1,איכות הסביבה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"ארנון, תדמור-לוי",firm,איכות הסביבה,,,,,G1,איכות הסביבה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"בן ארי פיש, עורכי דין",firm,איכות הסביבה,,,,,G1,איכות הסביבה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גורניצקי ושות',firm,איכות הסביבה,,,,,G1,איכות הסביבה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
נשיץ ברנדס אמיר ושות',firm,איכות הסביבה,,,,,G1,איכות הסביבה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
עבדי ושות' משרד עורכי דין,firm,איכות הסביבה,,,,,G1,איכות הסביבה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"קלעי, רוזן ושות' משרד עורכי דין",firm,איכות הסביבה,,,,,G1,איכות הסביבה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ש. הורוביץ ושות',firm,איכות הסביבה,,,,,G1,איכות הסביבה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
שבלת ושות',firm,איכות הסביבה,,,,,G1,איכות הסביבה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
שפיגלמן קורן זמיר ושות',firm,איכות הסביבה,,,,,G1,איכות הסביבה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
אמודאי צמח וולוך ושות',firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"בלטר, גוט, אלוני ושות' - עורכי דין",firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"ג'ון גבע, הדר ושות' - עורכי דין ומגשרים",firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"גבריאל ראובינוף משרד עו""ד",firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גרוס אורעד שלימוף ושות',firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
חיים קליר ושות',firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"לויתן, שרון ושות'",firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ליפא ושות',firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
מ. תגר - עורכי דין,firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
מרקמן טומשין ושות',firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
נשיץ ברנדס אמיר ושות',firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
עמוס מוקדי ושות',firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ערן בקר - חברת עורכי דין,firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
פירון משרד עורכי דין,firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"צבי יעקובוביץ, משרד עורכי דין ונוטריון",firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
קנדיז,firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
קפלנסקי משרד עורכי - דין,firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"רפאל אלמוג ושות', עורכי דין",firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
שטרנברג עורכי דין,firm,ביטוח,,,,,G1,ביטוח,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
אבימור שדמי - עורכי דין,firm,ביטוח,,,,,G1,ביטוח,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"איתן האזרחי ושות', משרד עורכי דין",firm,ביטוח,,,,,G1,ביטוח,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"אלרום, רום ושות', עורכי דין",firm,ביטוח,,,,,G1,ביטוח,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"ארנון, תדמור-לוי",firm,ביטוח,,,,,G1,ביטוח,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ב. לוינבוק ושות',firm,ביטוח,,,,,G1,ביטוח,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גולדפרב גרוס זליגמן,firm,ביטוח,,,,,G1,ביטוח,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"גנות - עמיקם ושות' עו""ד",firm,ביטוח,,,,,G1,ביטוח,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גרנות שפייזר עורכי דין,firm,ביטוח,,,,,G1,ביטוח,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
דוד פייל ושות' - משרד עורכי דין,firm,ביטוח,,,,,G1,ביטוח,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ורשה אסף ושות' - משרד עורכי דין,firm,ביטוח,,,,,G1,ביטוח,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"זמר, ברימר ושות' משרד עורכי דין",firm,ביטוח,,,,,G1,ביטוח,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
כספי ושות',firm,ביטוח,,,,,G1,ביטוח,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ארז קדם חברת עורכי דין,firm,ביטוח,,,,,G1,ביטוח,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"אתי גרינברג-גל, עורכת דין",firm,ביטוח,,,,,G1,ביטוח,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גורניצקי ושות',firm,ביטוח,,,,,G1,ביטוח,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גלעד ברמן - עורכי דין,firm,ביטוח,,,,,G1,ביטוח,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"גלעד רמתי, משרד עורכי דין",firm,ביטוח,,,,,G1,ביטוח,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
יניר הראל ושות',firm,ביטוח,,,,,G1,ביטוח,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"עוז ברקוביץ', משרד עורכי דין",firm,ביטוח,,,,,G1,ביטוח,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"עמיקם, רפאל ושות'",firm,ביטוח,,,,,G1,ביטוח,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"פריש, שפרבר, ריינהרץ ושות' - משרד עורכי דין",firm,ביטוח,,,,,G1,ביטוח,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"קן - דרור, אזרן, הראל ושות' עורכי דין ומגשרים",firm,ביטוח,,,,,G1,ביטוח,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"רוית גיא דרור חברת עו""ד",firm,ביטוח,,,,,G1,ביטוח,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"רון - פסטינגר, משרד עורכי דין",firm,ביטוח,,,,,G1,ביטוח,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ש. הורוביץ,firm,ביטוח,,,,,G1,ביטוח,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
אולניק לינוי משרד עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
אימבר גולן פרטוש חברה לעורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"בלטר, גוט, אלוני ושות' - עורכי דין",firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
דוד פייל ושות' - משרד עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"יעקב פלדשטיין, חברת עו""ד",firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
מרקמן טומשין ושות',firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ערן בקר - חברת עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
רומי הוניג - משרד עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"רפאל אלמוג ושות', עורכי דין",firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
תומר בכר חברת עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
אלי דמרי משרד עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
אריה שילאנסקי. עורך דין | נזקי גוף ורשלנות רפואית,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
בנימין פילובסקי,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גילי גולדברג הורוביץ,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"ד""ר אסף פוזנר, משרד עורכי דין",firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"דנה זוהר, משרד עו""ד",firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
חיים פרנק ושות' חברת עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
חיים קליר ושות',firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
להב את כהן חברת עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"משרד עו""ד אבי שינדלר",firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"משרד עו""ד ונוטריון ריול עדיקה",firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
שטרנברג עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
שליט ושות' משרד עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
א.ב. גליקמן חברת עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
אגרט קראוס משרד עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
חזי רובין ושות' חברת עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
מאור עזרן חברת עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"מירב רמון אפרים, משרד עורכי דין",firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
פריינטה ברוכים עורכי דין,firm,ביטוח לאומי,,,,,G1,ביטוח לאומי,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"ארנון, תדמור-לוי",firm,בלוקציין ומטבעות קריפטוגרפים,,,,,G1,בלוקציין ומטבעות קריפטוגרפים,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/בלוקציין_ומטבעות__קריפטוגרפים,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ברנע ג'פה לנדה,firm,בלוקציין ומטבעות קריפטוגרפים,,,,,G1,בלוקציין ומטבעות קריפטוגרפים,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/בלוקציין_ומטבעות__קריפטוגרפים,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גולדפרב גרוס זליגמן,firm,בלוקציין ומטבעות קריפטוגרפים,,,,,G1,בלוקציין ומטבעות קריפטוגרפים,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/בלוקציין_ומטבעות__קריפטוגרפים,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גורניצקי ושות',firm,בלוקציין ומטבעות קריפטוגרפים,,,,,G1,בלוקציין ומטבעות קריפטוגרפים,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/בלוקציין_ומטבעות__קריפטוגרפים,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
הרצוג פוקס נאמן,firm,בלוקציין ומטבעות קריפטוגרפים,,,,,G1,בלוקציין ומטבעות קריפטוגרפים,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/בלוקציין_ומטבעות__קריפטוגרפים,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
