full_name,entity_type,guide_code,sample_source_url
Dr. Guy Carmi - Law Firm,firm,G3,https://www.legal500.com/c/israel/dispute-resolution-local-litigation-and-arbitration
Dr. M. Druker & Co. - Advocates & Notaries,firm,G3,https://www.legal500.com/c/israel/tax
Dror Gal Reut Sagiv Law Office,firm,G3,https://www.legal500.com/c/israel/employment
Drori Stav IP,firm,G3,https://www.legal500.com/c/israel/intellectual-property/disputes
"EBN - Erdinast, Ben Nathan, Toledano",firm,G3,https://www.legal500.com/c/israel/banking-and-finance
"EBN - ארדינסט, בן נתן, טולידאנו",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה
ERM אפשטיין רוזנבלום מעוז,firm,G2,https://www.bdicode.com/bdilaw2025/25/
"ES Shimron, I Molho, Persky & Co",firm,G3,https://www.legal500.com/c/israel/dispute-resolution-local-litigation-and-arbitration
Efrat Deutsch & Co,firm,G3,https://www.legal500.com/c/israel/employment
Ehrlich Group,firm,G3,https://www.legal500.com/c/israel/intellectual-property/disputes
Eitan Maoz Law Office.,firm,G3,https://www.legal500.com/c/israel/dispute-resolution/dispute-resolution-white-collar-crime-investigation-and-fraud
"Elrom, Rom, Salomon and Co",firm,G3,https://www.legal500.com/c/israel/insurance
Epstein Rosenblum Maoz (ERM),firm,G3,https://www.legal500.com/c/israel/banking-and-finance
FBC & Co פישר,firm,G2,https://www.bdicode.com/bdilaw2025/25/
FISCHER (FBC & Co.),firm,G3,https://www.legal500.com/c/israel/banking-and-finance
"FWMK (Furth, Wilensky, Mizrachi, Knaani)",firm,G3,https://www.legal500.com/c/israel/commercial-corporate-and-ma
"FWMK פירט, וילנסקי, מזרחי, כנעני - עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה
"Farbman, Reshef & Co",firm,G3,https://www.legal500.com/c/israel/real-estate-and-construction
Firon Law Firm,firm,G3,https://www.legal500.com/c/israel/banking-and-finance
Fisher Friedman IP Group,firm,G3,https://www.legal500.com/c/israel/intellectual-property/filingprosecution
"Friedman, Yunger & Co. Advocates",firm,G3,https://www.legal500.com/c/israel/dispute-resolution-local-litigation-and-arbitration
"G&A Glazberg, Applebaum & Co",firm,G3,https://www.legal500.com/c/israel/intellectual-property/disputes
"G&A גלסברג, אפלבאום ושות'",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/קניין_רוחני_Patent_Prosecution
"G&A גלסברג, אפלבאום ושות', עורכי דין ופטנטים",firm,G2,https://www.bdicode.com/bdilaw2025/32/
GBK (גלזר בכר קלינבוים) ושות',firm,G1,https://www.duns100.co.il/rating/עורכי_דין/נדלן
GBK (גלזר בכר קלינבוים) ושות' משרד עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/38/
"GBTAX בן עמי, ביגון ושות'",firm,G2,https://www.bdicode.com/bdilaw2025/20/
GNY גורניצקי,firm,G2,https://www.bdicode.com/bdilaw2025/32/
GT - גרינברג טראוריג,firm,G1,https://www.duns100.co.il/rating/משרדי_עורכי_דין/מיזוגים_ורכישות
GT גרינברג טראוריג,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה
Gad Elbaz Law Office,firm,G3,https://www.legal500.com/c/israel/transport
Gilad Berman Law Office,firm,G3,https://www.legal500.com/c/israel/insurance
"Gilat, Bareket & Co. of Reinhold Cohn Group",firm,G3,https://www.legal500.com/c/israel/intellectual-property/disputes
"Gindi-Caspi, Advocates and Notary",firm,G3,https://www.legal500.com/c/israel/real-estate-and-construction
"Gissin & Co., Advocates",firm,G3,https://www.legal500.com/c/israel/dispute-resolution-local-litigation-and-arbitration
Goldfarb Gross Seligman & Co.,firm,G3,https://www.legal500.com/c/israel/banking-and-finance
Gornitzky & Co.,firm,G3,https://www.legal500.com/c/israel/banking-and-finance
Granot Speiser Law Office,firm,G3,https://www.legal500.com/c/israel/dispute-resolution-local-litigation-and-arbitration
"Gross, Orad, Schlimoff & Co.",firm,G3,https://www.legal500.com/c/israel/insurance
H-F & Co.,firm,G3,https://www.legal500.com/c/israel/commercial-corporate-and-ma
HLB הררי-ליפשיץ ובביש,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה
"Hadad, Roth & Co",firm,G3,https://www.legal500.com/c/israel/dispute-resolution/dispute-resolution-white-collar-crime-investigation-and-fraud
Harari-Lifshits & Babish (HLB),firm,G3,https://www.legal500.com/c/israel/employment
Harris & Co. Maritime Law Office,firm,G3,https://www.legal500.com/c/israel/transport
Herzog Fox & Neeman,firm,G3,https://www.legal500.com/c/israel/banking-and-finance
I. Doron & Co.,firm,G3,https://www.legal500.com/c/israel/dispute-resolution-local-litigation-and-arbitration
Ilan Orly & Co. Law Firm,firm,G3,https://www.legal500.com/c/israel/transport
Ilan Sofer & Co.,firm,G3,https://www.legal500.com/c/israel/dispute-resolution-local-litigation-and-arbitration
Jacob Spigelman & Co,firm,G3,https://www.legal500.com/c/israel/dispute-resolution/dispute-resolution-class-actions-including-derivative-actions
Joulus Gazit & Co.,firm,G3,https://www.legal500.com/c/israel/tax
"KGI כץ גבע איצקוביץ משרד עו""ד",firm,G2,https://www.bdicode.com/bdilaw2025/20/
KGZ | קורנובסקי גבאי זיתוני,firm,G2,https://www.bdicode.com/bdilaw2025/19/
"KRB, Krispin Rubinstein Blecher Kadouch",firm,G3,https://www.legal500.com/c/israel/banking-and-finance
Katzenell Dimant,firm,G3,https://www.legal500.com/c/israel/capital-markets
Kennedys,firm,G3,https://www.legal500.com/c/israel/dispute-resolution-local-litigation-and-arbitration
Klein & Co Energy & Infrastructure,firm,G3,https://www.legal500.com/c/israel/energy
"Kosteliz & Co., Law Office",firm,G3,https://www.legal500.com/c/israel/dispute-resolution-local-litigation-and-arbitration
LIPA&CO,firm,G3,https://www.legal500.com/c/israel/banking-and-finance
"Leshem-Kipperman, Law Offices & Notary",firm,G3,https://www.legal500.com/c/israel/transport
"Levitan, Sharon & Co",firm,G3,https://www.legal500.com/c/israel/insurance
Liad Whatstein & Co. Law Office,firm,G3,https://www.legal500.com/c/israel/intellectual-property/disputes
Luthi & Co (Herzog Patents),firm,G3,https://www.legal500.com/c/israel/intellectual-property/disputes
MOi - M. Oiknine & Co. Advocates,firm,G3,https://www.legal500.com/c/israel/dispute-resolution-local-litigation-and-arbitration
MOi - מ. וקנין ושות' עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/ליטיגציה_מסחרית
MW LAW מרציפרו ורשבסקי ושות',firm,G1,https://www.duns100.co.il/rating/עורכי_דין/התחדשות_עירונית
"Matry, Meiri, Wacht & Co. Law Offices",firm,G3,https://www.legal500.com/c/israel/competition
Meir Mizrahi with A. Rafael & Co.,firm,G3,https://www.legal500.com/c/israel/tax
Meitar Law Offices,firm,G3,https://www.legal500.com/c/israel/banking-and-finance
Miller & Co. Law Office,firm,G3,https://www.legal500.com/c/israel/planning-and-zoning
N. Feinberg & Co.,firm,G3,https://www.legal500.com/c/israel/employment
"Naschitz, Brandes, Amir & Co.",firm,G3,https://www.legal500.com/c/israel/capital-markets
"Negbi, Cohen & Co.",firm,G3,https://www.legal500.com/c/israel/dispute-resolution-local-litigation-and-arbitration
"Nir Cohen, Leshem, Ben-Artzi & Co",firm,G3,https://www.legal500.com/c/israel/dispute-resolution/dispute-resolution-class-actions-including-derivative-actions
Pearl Cohen Zedek Latzer Baratz,firm,G3,https://www.legal500.com/c/israel/capital-markets
"RCP רז-כהן, פרשקר ושות' משרד עורכי דין",firm,G2,https://www.bdicode.com/bdilaw2025/19/
"RCP רז-כהן, פרשקר ושות' עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/התחדשות_עירונית
Raveh Haber & Co.,firm,G3,https://www.legal500.com/c/israel/investment-and-venture-capital-funds
"Ravit Zemach, Law Office",firm,G3,https://www.legal500.com/c/israel/dispute-resolution/dispute-resolution-white-collar-crime-investigation-and-fraud
"Raz, Dlugin & Co. Law Offices",firm,G3,https://www.legal500.com/c/israel/commercial-corporate-and-ma
Reingold Bassat Law Firm,firm,G3,https://www.legal500.com/c/israel/telecoms-and-media
Reinhold Cohn & Partners,firm,G3,https://www.legal500.com/c/israel/intellectual-property/filingprosecution
Richter & Shimoni,firm,G3,https://www.legal500.com/c/israel/intellectual-property/filingprosecution
Ronen Adini & Co,firm,G3,https://www.legal500.com/c/israel/dispute-resolution/dispute-resolution-class-actions-including-derivative-actions
S. Biran & Co,firm,G3,https://www.legal500.com/c/israel/real-estate-and-construction
"S. Friedman, Abramson & Co.",firm,G3,https://www.legal500.com/c/israel/commercial-corporate-and-ma
S. Horowitz & Co,firm,G3,https://www.legal500.com/c/israel/banking-and-finance
Sabari Farkash & Co. Law Firm,firm,G3,https://www.legal500.com/c/israel/dispute-resolution-local-litigation-and-arbitration
"Salomon, Lipschütz & Co",firm,G3,https://www.legal500.com/c/israel/dispute-resolution/dispute-resolution-class-actions-including-derivative-actions
Seligsohn Gabrieli Group,firm,G3,https://www.legal500.com/c/israel/intellectual-property/commercialtransactions
"Shalev, Jencmen & Co",firm,G3,https://www.legal500.com/c/israel/intellectual-property/filingprosecution
ShaviTaxLawyers,firm,G3,https://www.legal500.com/c/israel/tax
Shekel & Co.,firm,G3,https://www.legal500.com/c/israel/tax
Shibolet & Co.,firm,G3,https://www.legal500.com/c/israel/banking-and-finance
Shimonov & Co. - Law Firm,firm,G3,https://www.legal500.com/c/israel/capital-markets
Shnitzer Gotlieb Samet & Co.,firm,G3,https://www.legal500.com/c/israel/capital-markets
Shoob & Co. Law Offices,firm,G3,https://www.legal500.com/c/israel/planning-and-zoning
"Simon-Vekslar, Spierer, Maoz Law Offices",firm,G3,https://www.legal500.com/c/israel/infrastructure
Soroker Agmon Nordman - IP and Beyond,firm,G3,https://www.legal500.com/c/israel/intellectual-property/disputes
Sullivan & Worcester LLP,firm,G3,https://www.legal500.com/c/israel/capital-markets
The Luzzatto Group,firm,G3,https://www.legal500.com/c/israel/intellectual-property/disputes
"Vardi Leshem Ron, Law Office",firm,G3,https://www.legal500.com/c/israel/dispute-resolution/dispute-resolution-white-collar-crime-investigation-and-fraud
Vinograd & Co,firm,G3,https://www.legal500.com/c/israel/investment-and-venture-capital-funds
"Weiss, Porat & Co",firm,G3,https://www.legal500.com/c/israel/commercial-corporate-and-ma
"Weksler, Bregman & Co., Advocates",firm,G3,https://www.legal500.com/c/israel/banking-and-finance
Yair David Law Office & Notary,firm,G3,https://www.legal500.com/c/israel/employment
"Yaron-Eldar, Paller, Schwartz & Co. Law Offices",firm,G3,https://www.legal500.com/c/israel/tax
Yehuda Raveh & Co.,firm,G3,https://www.legal500.com/c/israel/banking-and-finance
Yigal Borochovsky & Co.,firm,G3,https://www.legal500.com/c/israel/banking-and-finance
Yossi Elisha Calderon & Co.,firm,G3,https://www.legal500.com/c/israel/tax
Yossi Levy & Co,firm,G3,https://www.legal500.com/c/israel/competition
Zecler Argov Law Firm,firm,G3,https://www.legal500.com/c/israel/competition
Zemah Schneider & Partners,firm,G3,https://www.legal500.com/c/israel/commercial-corporate-and-ma
Zioni Pillersdorf Phillip Advocates,firm,G3,https://www.legal500.com/c/israel/dispute-resolution/dispute-resolution-class-actions-including-derivative-actions
Ziv Sharon & Co. Law Office,firm,G3,https://www.legal500.com/c/israel/tax
"א. בן גור כהן - משרד עורכי דין, מגשרים ונוטריונים",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
א. זינגר ושות' - משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
א. טירר עורכי דין ונוטריון,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
א. טירר עורכי דין ונטוריון,firm,G2,https://www.bdicode.com/bdilaw2025/31/
א. טירר עורכי-דין ונטוריון,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/משרדי_עורכי_דין_מובילים_בפעילות_פרו_בונו_ותרומה_לקהילה
"א. נמיר משרד עו""ד",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/התחדשות_עירונית
א. סלנט ושות',firm,G1,https://www.duns100.co.il/rating/עורכי_דין/התחדשות_עירונית
א. שינפלד עורכי דין ונוטריון,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
"א. שמואלי, רובינסקי ושות' - משרד עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/רשלנות_רפואית
א. שמרת ושות' - חברת עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/חדלות_פרעון
א.ב. גליקמן חברת עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי
א.ט. אביב טסה משרד עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/19/
"א.ש. שמרון, י. מלכו, פרסקי ושות' - משרד עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/הייטק
"א.ש.שמרון, י.מלכו, פרסקי ושות'- משרד עו""ד ונוטריון",firm,G2,https://www.bdicode.com/bdilaw2025/31/
א.שינפלד עורכי דין ונוטריון,firm,G2,https://www.bdicode.com/bdilaw2025/31/
אבי גולדהמר ושות',firm,G1,https://www.duns100.co.il/rating/עורכי_דין/משפט_מנהלי
אבי גפן משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
אבי חימי - משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/משפט_פלילי
"אבי חימי, משרד עורכי דין",firm,G2,https://www.bdicode.com/bdilaw2025/26/
"אבי מאיר, מוטי שטינדל ושות' -חברת עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/גבייה_והוצאה_לפועל
אבי ענתבי - משרד עורכי דין ונוטריון,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/התחדשות_עירונית
"אבי ענתבי משרד עו""ד",firm,G2,https://www.bdicode.com/bdilaw2025/19/
"אבי פינרסקי, משרד עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_צבא_ובטחון
אבי רימון משרד עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/22/
אבי שינדלר משרד עורכי-דין,firm,G2,https://www.bdicode.com/bdilaw2025/28/
"אביב הראל, משרד עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
אביב טסה - משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/התחדשות_עירונית
אביב לזר ושות' - עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_אינטרנט
אביב לזר ושות'- משרד עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/32/
אביבית מוסקוביץ - חברת עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
"אביגדור פלדמן, משרד עורכי דין",firm,G2,https://www.bdicode.com/bdilaw2025/26/
"אבידור לפיד עו""ד (רו""ח) - משרד עורכי דין",firm,G2,https://www.bdicode.com/bdilaw2025/20/
"אבידור לפיד עו""ד ורו""ח",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_ספורט
"אבידן טלי, משרד עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
אביה שטיין קורלנד משרד עורכי דין וגישור,person,G1,https://www.duns100.co.il/rating/עורכי_דין/גישור_משפחה_וירושה
אביחי בן דוד - משרד עורכי דין לענייני משפחה,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
אביחי חג'בי משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/משפט_פלילי
אביחי נ.ורדי ושות',firm,G1,https://www.duns100.co.il/rating/עורכי_דין/חדלות_פרעון
"אביחי נ.ורדי ושות' משרד עו""ד",firm,G2,https://www.bdicode.com/bdilaw2025/38/
אביטן ושות',firm,G1,https://www.duns100.co.il/rating/עורכי_דין/משרדי_עורכי_דין_מובילים_בפעילות_פרו_בונו_ותרומה_לקהילה
"אביטן ושות' משרד עו""ד",firm,G2,https://www.bdicode.com/bdilaw2025/23/
אבימור שדמי - עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/ביטוח
אבימור שדמי- עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_נזיקין
אבימור- שדמי עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/27/
"אביעד, איטח ושות'",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/נדלן
"אבישי איפרגן, עורך דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_ספורט
"אבנר זינגר, משרד עורכי דין",firm,G2,https://www.bdicode.com/bdilaw2025/31/
"אברג'יל-ברוורמן, משרד עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/רשלנות_רפואית
אברהם בבג׳נוב ושות׳ - משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/התחדשות_עירונית
אברהם נאמן ושות' משרד עורכי-דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/התחדשות_עירונית
"אברהם נאמן ושות', משרד עורכי-דין",firm,G2,https://www.bdicode.com/bdilaw2025/19/
"אברמוב ושות', עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/ליטיגציה_מסחרית
אגמון עם טולצ'ינסקי,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה
אגרט קראוס משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי
"אדוה ננטל, עורכת דין ומגשרת",person,G1,https://www.duns100.co.il/rating/עורכי_דין/גישור_משפחה_וירושה
"אדוה פרי-פז כהן, מגשרת ועו""ד",person,G1,https://www.duns100.co.il/rating/משרדי_עורכי_דין/מגשרים
אדורם ושות' עורכי דין ונוטריונים,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/נדלן
אדי אבינועם עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/משפט_פלילי
"אדיר זאבי, משרד עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/זכיינות
אדיר צבי ושות' משרד עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/19/
"אדרת, מנור-נהרי - משרד עורכי דין",firm,G2,https://www.bdicode.com/bdilaw2025/35/
"אדרת, מנור-נהרי, משרד עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/צווארון_לבן
אהובה יששכר - משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
אהוד שילוני ושות' משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה
אהרנסון אבולעפיה ושות' - עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/רשלנות_רפואית
אודי ברזלי - עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/20/
אודי ברזלי משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני__מיסים
אודליה חן - משרד עורכי דין וגישור,firm,G2,https://www.bdicode.com/bdilaw2025/31/
אוהד כהן ושות ' משרד עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/31/
אוהד כהן ושות' משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_ספורט
"אוחנה, אמיתי ושות', עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/נדלן
אוחנה. אמיתי ושות. משרד עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/38/
"אולגן רוב ושות', עורכי דין",firm,G1,https://www.duns100.co.il/rating/משרדי_עורכי_דין/מימון_פרוייקטים_אנרגיה_ותשתיות
אולניק לינוי משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/ביטוח_לאומי
און איל ינקו ושות' - חברת עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/19/
"אונגר לטין משרד עו""ד",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
"אונגר שויגמן משרד עו""ד",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/רשלנות_רפואית
"אוסלנדר, שלו, מוסקונה ושות'",firm,G2,https://www.bdicode.com/bdilaw2025/23/
אופיר בן משה חברת עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_נזיקין
אופיר בן משה משרד עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/28/
אופיר כץ ושות',firm,G2,https://www.bdicode.com/bdilaw2025/34/
"אופיר כץ ושות', עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/מלכרים
"אור גל-און, משרד עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
"אור-חוף עו""ד",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/סייבר
אורי ברעם משרד עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/37/
"אורי גלבוע, משרד עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_נזיקין
אורי דניאל ושות' - משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/ליטיגציה_מסחרית
אורי סקוזה חברת עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/31/
אורי צפת,firm,G2,https://www.bdicode.com/bdilaw2025/31/
אורי צפת משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
"אורית דרור הראל, משרד עורכי דין ונוטריון",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
אורית טובים עורכת דין,firm,G2,https://www.bdicode.com/bdilaw2025/38/
אורלי טננבאום משרד עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/ליטיגציה_מסחרית
אורלי מנדלסון ושות' - פירמת עורכי דין,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/נדלן
אורלי מנדלסון ושות' עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/19/
אורלי מנע-שני משרד עורכי דין וגישור,firm,G2,https://www.bdicode.com/bdilaw2025/31/
"אורלי מנע-שני, משרד עורכי דין וגישור",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_משפחה_וירושה
"אורלנסקי, איזנברג, מוזסון ושות' , עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_ספורט
"אורלנסקי, איזנברג, מוזסון ושות' עורכי דין",firm,G2,https://www.bdicode.com/bdilaw2025/25/
"אורלנסקי, איזנברג, מוזסון ושות', עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_נזיקין
"אורן קליין חסיד גל- ים, עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/ליטיגציה_מסחרית
"אורן קליין חסיד גל-ים, עורכי-דין",firm,G2,https://www.bdicode.com/bdilaw2025/22/
"אורנה שמריהו - משרד עו""ד",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה
אזולאי - רגב משרד עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/23/
"אזולאי-רגב, משרד עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה
אחיקם שוסטר - עורכי דין,firm,G1,https://www.duns100.co.il/rating/משרדי_עורכי_דין/מימון_פרוייקטים_אנרגיה_ותשתיות
אחיקם שוסטר עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/25/
אחמד מסאלחה - עורכי דין ונוטריונים,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/משפט_פלילי
"אטיאס - נוה, משרד עו""ד",firm,G2,https://www.bdicode.com/bdilaw2025/27/
אטיאס ושות' עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/31/
"אטיאס, גראור, וישניצקי, ענבר ושות'",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות
איבצן-נצר-וולצקי ושות',firm,G1,https://www.duns100.co.il/rating/עורכי_דין/ליטיגציה_מסחרית
"איזרדל שפירא מונוסביץ חורב ושות', עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/הייטק
"אייזנברג, שנער -חברת עורכי דין",firm,G2,https://www.bdicode.com/bdilaw2025/32/
"אייזנברג, שנער ושות' - עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/בלוקציין_ומטבעות__קריפטוגרפים
"אייל בליזובסקי, עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/ליטיגציה_מסחרית
