post_id,post_type,status,title,slug,current_url,current_path,has_articles_prefix,modified,practice_areas,categories,source
12914,article,publish,"מגמות חדשות בדיני משפחה: השפעת הבינה המלאכותית AI דיני משפחה וגירושין (צפי ומגמות 2025-2026)","new-trends-ai-family-law","https://jus-tice.co.il/articles/new-trends-ai-family-law/","/articles/new-trends-ai-family-law/",YES,2026-05-16T23:29:27,"68","",REST_API
12907,article,publish,"תביעות פלילי | ייצוג ולווי נאשמים","criminal-prosecutions","https://jus-tice.co.il/articles/criminal-prosecutions/","/articles/criminal-prosecutions/",YES,2026-05-16T23:29:27,"170","",REST_API
12897,article,publish,"מומלצי דיני משפחה וגירושין: המלצות עורכי דין לענייני משפחה בישראל (2025)","the-recommended-family-lawyers","https://jus-tice.co.il/articles/the-recommended-family-lawyers/","/articles/the-recommended-family-lawyers/",YES,2026-05-16T23:29:27,"68","",REST_API
12883,article,publish,"תפוגת חיובים בהסכם שלום בית וגירושין – המלצה לכתובה מוקטנת בבתי הדין הרבניים","rabbinical-courts-reconciliation-agreement-divorce-ketubah","https://jus-tice.co.il/articles/rabbinical-courts-reconciliation-agreement-divorce-ketubah/","/articles/rabbinical-courts-reconciliation-agreement-divorce-ketubah/",YES,2026-05-16T23:47:26,"68","",REST_API
12879,article,publish,"פס&#8221;ד רבני 2025 | תוקפו של הסכם גירושין כשהצדדים חזרו לשלום בית &#8211; 996028-3 &#8211; ביה&#8221;ד תל אביב יפו","996028-3","https://jus-tice.co.il/articles/996028-3/","/articles/996028-3/",YES,2026-05-16T23:29:29,"68","",REST_API
12871,article,publish,"עורך דין גירושין מומלץ פתח תקווה והמרכז | 2025 נתונים והנחיות גירושין","petah-tikva-divorce-lawyer","https://jus-tice.co.il/articles/petah-tikva-divorce-lawyer/","/articles/petah-tikva-divorce-lawyer/",YES,2026-05-16T23:29:29,"392","",REST_API
12857,article,publish,"פוסטה פלילים","posta","https://jus-tice.co.il/articles/posta/","/articles/posta/",YES,2026-05-16T23:29:29,"170","",REST_API
12851,article,publish,"זיכוי לנאשם בשורת עבירות בשל קשיים בזיהוי (ת&#8221;פ 7776-09-24 חסדאי)","7776-09-24","https://jus-tice.co.il/articles/7776-09-24/","/articles/7776-09-24/",YES,2026-05-16T23:29:31,"642","",REST_API
12841,article,publish,"הטמעת בינה מלאכותית AI במשרדי עורכי דין","ai-for-law-firms","https://jus-tice.co.il/articles/ai-for-law-firms/","/articles/ai-for-law-firms/",YES,2026-05-17T07:53:45,"308","",REST_API
12681,article,publish,"אישור הסכם גירושין בו נקבע חיוב מזונות שיוויוני &#8211; 1520884-1 &#8211; ביה&#8221;ד באר שבע","1520884-1","https://jus-tice.co.il/articles/1520884-1/","/articles/1520884-1/",YES,2026-05-16T23:29:31,"68","",REST_API
12678,article,publish,"החובה לעמוד בהסכם על מקום מגורי הילדים ולשאת בתוצאות הפרתו_ שיבתו לתוקף של פטור ממזונות שניתן בגין ההפרה &#8211; 1331339-3 &#8211; ביה&#8221;ד הגדול","1331339-3","https://jus-tice.co.il/articles/1331339-3/","/articles/1331339-3/",YES,2026-05-16T23:29:33,"68","",REST_API
12675,article,publish,"אכיפת הסכם כשיש חשש שאכיפתו עלולה להביא לפגיעה בטובת הילדים – איזונים והכרעה &#8211; 1331339-1 &#8211; ביה&#8221;ד הגדול","1331339-1","https://jus-tice.co.il/articles/1331339-1/","/articles/1331339-1/",YES,2026-05-16T23:29:33,"68","",REST_API
12670,article,publish,"פס&#8221;ד רבני (2025) בקשת האישה להקדמת מועד פירוק שיתוף דירה טרם התאריך שנקבע בהסכם","dissolution-partnership-verdict-petition-witness-apartment-agreement","https://jus-tice.co.il/articles/dissolution-partnership-verdict-petition-witness-apartment-agreement/","/articles/dissolution-partnership-verdict-petition-witness-apartment-agreement/",YES,2026-05-16T23:47:26,"68","",REST_API
12663,article,publish,"פיצוי למשקיע בעקבות הפסד בשוק ההון, פורקס ו- קריפטו | סוגי הונאות (2025)","investment-loss-compensation","https://jus-tice.co.il/articles/investment-loss-compensation/","/articles/investment-loss-compensation/",YES,2026-05-16T23:29:33,"225","",REST_API
12655,article,publish,"עורך דין מכירת דירה מחיר (2025) | תפקידו של עורך הדין בעסקאות מקרקעין","real-estate-lawyer-cost-2025","https://jus-tice.co.il/articles/real-estate-lawyer-cost-2025/","/articles/real-estate-lawyer-cost-2025/",YES,2026-05-16T23:29:35,"234","",REST_API
12652,article,publish,"יועץ רישוי עסקים | עורך דין מומחה רישוי עסק | מדריך ומחירון (2025)","business-license","https://jus-tice.co.il/articles/business-license/","/articles/business-license/",YES,2026-05-16T23:29:35,"308","",REST_API
12650,article,publish,"תיק 1495176/4 יולי 2025 | שאלת סמכות בית הדין האזורי לדון בעניין מזונות הילדים","rabbinical-court-jurisdiction-alimony-1495176-4-2025","https://jus-tice.co.il/articles/rabbinical-court-jurisdiction-alimony-1495176-4-2025/","/articles/rabbinical-court-jurisdiction-alimony-1495176-4-2025/",YES,2026-05-16T23:47:28,"68","",REST_API
12626,article,publish,"חוזה שכירות אונליין (עדכני 2025)","online-rent-agreement","https://jus-tice.co.il/articles/online-rent-agreement/","/articles/online-rent-agreement/",YES,2026-05-16T23:29:35,"234","",REST_API
12622,article,publish,"עורך דין באוסטרליה | עו&#8221;ד ישראלי אוסטרליה","australia-lawyers","https://jus-tice.co.il/articles/australia-lawyers/","/articles/australia-lawyers/",YES,2026-05-16T23:29:37,"308","",REST_API
12616,article,publish,"רשות המסים בישראל | ייצוג מול רשויות המס","israel-tax-authority","https://jus-tice.co.il/articles/israel-tax-authority/","/articles/israel-tax-authority/",YES,2026-05-16T23:29:37,"308","",REST_API
12611,article,publish,"לא בנקל יבוטל הסכם גירושין &#8211; 1509592-1 &#8211; ביה&#8221;ד הגדול‎","1509592-1","https://jus-tice.co.il/articles/1509592-1/","/articles/1509592-1/",YES,2026-05-16T23:29:37,"68","",REST_API
12609,article,publish,"מחירים עדכניים (2025) ותחזית לשוק הנדל&#8221;ן | רכישת נדל&#8221;ן בישראל בלווי עורך דין","israel-real-estate-price-forecast","https://jus-tice.co.il/articles/israel-real-estate-price-forecast/","/articles/israel-real-estate-price-forecast/",YES,2026-05-17T07:53:45,"234","",REST_API
12605,article,publish,"מחירון 2025 נכסים בקפריסין ועליות נלוות | רכישה בלווי משפטי לישראלים","cyprus-prices","https://jus-tice.co.il/articles/cyprus-prices/","/articles/cyprus-prices/",YES,2026-05-16T23:29:39,"234","",REST_API
12600,article,publish,"יוון &#8211; מחירי רכישה 2025 לפי אזורים | מדריך עדכני לרכישת נדל&#8221;ן ביוון לישראלים בלווי עורך דין","greece-price-list","https://jus-tice.co.il/articles/greece-price-list/","/articles/greece-price-list/",YES,2026-05-16T23:29:39,"234","",REST_API
12596,article,publish,"פסק דין בתביעה רכושית: אישה נגד בן-זוגה חושפת הון משפחתי במקלטי מס, נאמנויות ותאגידים זרים | תמ״ש 31661-07-16","family-judgment-31661-07-16","https://jus-tice.co.il/articles/family-judgment-31661-07-16/","/articles/family-judgment-31661-07-16/",YES,2026-05-16T23:29:41,"68","",REST_API
12588,article,publish,"עלויות גירושין 2025 | מחירון מעודכן השוואה ובחירה בין עורכי דין לענייני גירושין","divorce-costs-2025","https://jus-tice.co.il/articles/divorce-costs-2025/","/articles/divorce-costs-2025/",YES,2026-05-16T23:29:42,"68","",REST_API
12583,article,publish,"רילוקיישן לפורטוגל 2025: המדריך המקיף למעבר לפורטוגל","portugal-relocation","https://jus-tice.co.il/articles/portugal-relocation/","/articles/portugal-relocation/",YES,2026-05-17T07:53:45,"683","",REST_API
12571,article,publish,"BDI Coface","bdi-coface","https://jus-tice.co.il/articles/bdi-coface/","/articles/bdi-coface/",YES,2025-05-29T09:31:12,"","",REST_API
12558,article,publish,"סוכנות הדירוג Dun &#038; Bradstreet (D&#038;B) ודירוג Dun’s 100","dun-bradstreet","https://jus-tice.co.il/articles/dun-bradstreet/","/articles/dun-bradstreet/",YES,2026-05-16T23:29:44,"","",REST_API
12552,article,publish,"The Legal 500","the-legal-500","https://jus-tice.co.il/articles/the-legal-500/","/articles/the-legal-500/",YES,2025-05-28T11:42:55,"","",REST_API
12546,article,publish,"Chambers and Partners","chambers-and-partners","https://jus-tice.co.il/articles/chambers-and-partners/","/articles/chambers-and-partners/",YES,2026-05-17T07:53:47,"","",REST_API
12539,article,publish,"IFLR1000","iflr1000","https://jus-tice.co.il/articles/iflr1000/","/articles/iflr1000/",YES,2026-05-17T07:53:48,"","",REST_API
12535,article,publish,"עקרונות הלכתיים ויישום קביעתם של הסדרי השהות בגירושין על פי טובת הילד | חיובי המזונות היקפם וחלוקתם","best-interest-child-procedures-divorce-alimony","https://jus-tice.co.il/articles/best-interest-child-procedures-divorce-alimony/","/articles/best-interest-child-procedures-divorce-alimony/",YES,2026-05-16T23:47:28,"68","",REST_API
12525,article,publish,"דירוג עורכי דין בינה מלאכותית AI | שנת 2025","ai-lawyer-ranking","https://jus-tice.co.il/articles/ai-lawyer-ranking/","/articles/ai-lawyer-ranking/",YES,2026-05-17T07:53:47,"308","",REST_API
12495,article,publish,"יחידת ה-Cyber Division של ה-FBI | עו&#8221;ד סייבר","fbi-cyber-division","https://jus-tice.co.il/articles/fbi-cyber-division/","/articles/fbi-cyber-division/",YES,2026-05-16T23:29:46,"188","",REST_API
12491,article,publish,"(SEC) רשות ניירות הערך של ארצות הברית  | עו&#8221;ד ישראלי","us-securities-and-exchange-commission","https://jus-tice.co.il/articles/us-securities-and-exchange-commission/","/articles/us-securities-and-exchange-commission/",YES,2026-05-16T23:29:46,"308","",REST_API
12481,article,publish,"FBI לשכת החקירות הפדרלית ארה&#8221;ב |  עורך דין פלילי F.B.I","federal-bureau-of-investigation","https://jus-tice.co.il/articles/federal-bureau-of-investigation/","/articles/federal-bureau-of-investigation/",YES,2026-05-16T23:29:48,"308","",REST_API
12464,article,publish,"להב 433: מבנה היחידה כתובות וטלפונים | משטרת ישראל להב 433","lahav-433","https://jus-tice.co.il/articles/lahav-433/","/articles/lahav-433/",YES,2026-05-16T23:29:48,"170","",REST_API
12446,article,publish,"עורך דין עבירות סמים | מדריך 2025 לתחום עבירות סמים","drug-offenses-criminal-lawyer","https://jus-tice.co.il/articles/drug-offenses-criminal-lawyer/","/articles/drug-offenses-criminal-lawyer/",YES,2026-05-16T23:29:48,"308","",REST_API
12436,article,publish,"מדריך 2025 לקראת חקירה במס הכנסה &#8211; כל מה שצריך לדעת |  חקירות מס הכנסה ועבירות מס","tax-investigation-guide","https://jus-tice.co.il/articles/tax-investigation-guide/","/articles/tax-investigation-guide/",YES,2026-05-16T23:29:50,"485","",REST_API
12433,article,publish,"פורטו, פורטוגל &#8211; השקעות נדל&#8221;ן עבור ישראלים","porto-portugal-real-estate","https://jus-tice.co.il/articles/porto-portugal-real-estate/","/articles/porto-portugal-real-estate/",YES,2026-05-16T23:29:50,"683","",REST_API
12428,article,publish,"עורך דין פלילי מפורסם | עורכי הדין הפליליים המובילים בישראל ובעולם (2025)","famous-criminal-defense-lawyer","https://jus-tice.co.il/articles/famous-criminal-defense-lawyer/","/articles/famous-criminal-defense-lawyer/",YES,2026-05-16T23:29:50,"308","",REST_API
12425,article,publish,"עורך דין עבירות כלכליות וצווארון לבן | מהן עבירות כלכליות וצווארון לבן?","economic-crimes-white-collar-lawyer","https://jus-tice.co.il/articles/economic-crimes-white-collar-lawyer/","/articles/economic-crimes-white-collar-lawyer/",YES,2026-05-17T07:53:50,"308","",REST_API
12412,article,publish,"עורך דין פורקס | מה זה פורקס?  FOREX","lawyer-forex","https://jus-tice.co.il/articles/lawyer-forex/","/articles/lawyer-forex/",YES,2026-05-17T07:54:11,"308","",REST_API
12406,article,publish,"סקירת 2025 סדר דין פלילי &#8211; חוק המעצרים","criminal-law-review-procedure-law-detention-2025","https://jus-tice.co.il/articles/criminal-law-review-procedure-law-detention-2025/","/articles/criminal-law-review-procedure-law-detention-2025/",YES,2026-05-16T23:47:31,"170","",REST_API
12401,article,publish,"עורך דין בינלאומי ירושות צוואות ועיזבונות | מדריך ליורשים ישראלים בחו&#8221;ל","international-inheritance-wills-lawyer","https://jus-tice.co.il/articles/international-inheritance-wills-lawyer/","/articles/international-inheritance-wills-lawyer/",YES,2026-05-16T23:29:53,"308","",REST_API
12394,article,publish,"השופט אביים ברקאי: פסק דין שעניינו מחלוקת בהגדרת משק לצורך חלוקות עתידיות כ&#8221;נחלה מלאה&#8221; אל מול &#8220;נחלה חסרה&#8221; (ת&#8221;א 45983-03-22)","45983-03-22","https://jus-tice.co.il/articles/45983-03-22/","/articles/45983-03-22/",YES,2026-05-16T23:29:53,"68","",REST_API
12389,article,publish,"השופט ניר מישורי לב טוב: גזר דין בעניין עבירות לשון הרע (ת&#8221;פ 10284-05-21)","10284-05-21","https://jus-tice.co.il/articles/10284-05-21/","/articles/10284-05-21/",YES,2026-05-16T23:29:55,"170","",REST_API
12386,article,publish,"רואה חשבון מיסוי בינלאומי | חמש פירמות רו&#8221;ח מובילות בייעוץ מס בינלאומי","top-global-tax-cpa-firms","https://jus-tice.co.il/articles/top-global-tax-cpa-firms/","/articles/top-global-tax-cpa-firms/",YES,2026-05-16T23:29:55,"485","",REST_API
12377,article,publish,"פירמות עורכי דין מובילות במיסוי בינלאומי","top-international-tax-law-firms","https://jus-tice.co.il/articles/top-international-tax-law-firms/","/articles/top-international-tax-law-firms/",YES,2026-05-16T23:29:55,"308","",REST_API
12365,article,publish,"מיסוי בינלאומי | יועץ מס בינלאומי | ייעוץ וליווי עסקאות בינלאומיות","global-tax-consulting-services","https://jus-tice.co.il/articles/global-tax-consulting-services/","/articles/global-tax-consulting-services/",YES,2026-05-16T23:29:57,"308","",REST_API
12356,article,publish,"עורך דין פלילי מומחה בעבירות מס | מחירון שירותים 2025 + טבלת עונשים","tax-offenses-criminal-lawyer","https://jus-tice.co.il/articles/tax-offenses-criminal-lawyer/","/articles/tax-offenses-criminal-lawyer/",YES,2026-05-16T23:29:57,"308","",REST_API
12353,article,publish,"גזר דין למטפל שהורשע בעבירות מין (תפ&#8221;ח 17044-12-22)","17044-12-22","https://jus-tice.co.il/articles/17044-12-22/","/articles/17044-12-22/",YES,2026-05-16T23:29:57,"656","",REST_API
12348,article,publish,"ערעור על שומת מס בטענה שהדירה שנרכשה היא אינה דירת מגורים אלא &#8220;דירת מעטפת&#8221; (ו&#8221;ע 39040-09-22)","39040-09-22","https://jus-tice.co.il/articles/39040-09-22/","/articles/39040-09-22/",YES,2026-05-16T23:29:59,"485","",REST_API
12342,article,publish,"עורך דין מיסים | המדריך המלא לדיני מיסים בישראל 2025","tax-lawyer","https://jus-tice.co.il/articles/tax-lawyer/","/articles/tax-lawyer/",YES,2026-05-16T23:29:59,"308","",REST_API
12329,article,publish,"עורך דין פינטק | ייצוג משפטי בתחום טכנולוגיה פיננסית ופינטק","fintech","https://jus-tice.co.il/articles/fintech/","/articles/fintech/",YES,2026-05-17T07:53:50,"308","",REST_API
12321,article,publish,"הסגרה בינלאומית לישראל: מדריך 2025","extradition-guide","https://jus-tice.co.il/articles/extradition-guide/","/articles/extradition-guide/",YES,2026-05-16T23:30:01,"308","",REST_API
12312,article,publish,"פסק דין שאלת היחס בין הסכמי ממון לסעיף 8 לחוק הירושה בעניין זכויות בדירה (עמ&#8221;ש 42471-05-24)","42471-05-24","https://jus-tice.co.il/articles/42471-05-24/","/articles/42471-05-24/",YES,2026-05-16T23:30:01,"68","",REST_API
12309,article,publish,"תמ&#8221;ש 60877-12-24 | השופטת שלי פרקש: בקשה לצו מניעה זמני, לפיו לא תיעשה דיספוזיציה בזכויות נחלה","60877-12-24","https://jus-tice.co.il/articles/60877-12-24/","/articles/60877-12-24/",YES,2026-05-16T23:30:01,"68","",REST_API
12305,article,publish,"פסק דין מינוי &#8220;רואה חשבון חקירתי&#8221; לצורך פירוק שיתוף בחשבונות הבנק המשותפים","3922-01-24","https://jus-tice.co.il/articles/3922-01-24/","/articles/3922-01-24/",YES,2026-05-16T23:30:04,"68","",REST_API
12295,article,publish,"פסק דין קטין שהואשם בעבירות התפרעות ותקיפת שוטר (1327-11-24)","verdict-offenses-police-officer-1327-11-24","https://jus-tice.co.il/articles/verdict-offenses-police-officer-1327-11-24/","/articles/verdict-offenses-police-officer-1327-11-24/",YES,2026-05-16T23:47:31,"656","",REST_API
12291,article,publish,"ביהמ&#8221;ש לעניינים מנהליים בביהמ&#8221;ש המחוזי תל אביב-יפו, ש&#8217; יעל בלכר: פסק דין שעניינו בטענה להבטחה מנהלית להקצות קרקע ולבנות בית כנסת לקהילה על ידי ראש העיר לשעבר (עת&#8221;מ 70703-09-24)","70703-09-24","https://jus-tice.co.il/articles/70703-09-24/","/articles/70703-09-24/",YES,2026-05-16T23:30:03,"165","",REST_API
12275,article,publish,"מעצר בחו&#8221;ל &#8211; מה לעשות? מדריך 2025 לישראלי עצור במדינה זרה","arrested-abroad-il","https://jus-tice.co.il/articles/arrested-abroad-il/","/articles/arrested-abroad-il/",YES,2026-05-16T23:30:03,"308","",REST_API
12273,article,publish,"לשון הרע תלונה במשטרה","defamation","https://jus-tice.co.il/articles/defamation/","/articles/defamation/",YES,2026-05-16T23:47:31,"","",REST_API
12264,article,publish,"עורכי הדין הפליליים הטובים בעולם ובישראל | סקירת 2025","best-criminal-defence-lawyers-worldwide","https://jus-tice.co.il/articles/best-criminal-defence-lawyers-worldwide/","/articles/best-criminal-defence-lawyers-worldwide/",YES,2026-05-16T23:30:06,"170","",REST_API
12259,article,publish,"שכר טרחת עורכי דין 2025 &#8211; תמונת מצב בישראל ובעולם","lawyer-fee-outlook","https://jus-tice.co.il/articles/lawyer-fee-outlook/","/articles/lawyer-fee-outlook/",YES,2026-05-16T23:30:06,"308","",REST_API
12255,article,publish,"בעלות על זכויות בנייה בגגות | הלכת בית הדר ע&#8221;א 7808/21 והשלכותיה ","building-rights-beit-hadar-ownership-roofs-ruling-7808","https://jus-tice.co.il/articles/building-rights-beit-hadar-ownership-roofs-ruling-7808/","/articles/building-rights-beit-hadar-ownership-roofs-ruling-7808/",YES,2026-05-16T23:47:33,"234","",REST_API
12251,article,publish,"ביהמ&#8221;ש לענייני משפחה בתל אביב, השופטת ענת הלר כריש: פס&#8221;ד בתביעה להחרגת נכסים מעיזבון (תמ&#8221;ש 30767-05-21)","30767-05-21","https://jus-tice.co.il/articles/30767-05-21/","/articles/30767-05-21/",YES,2026-05-16T23:30:06,"68","",REST_API
12245,article,publish,"הלכה חדשה 2025 | הגג שייך לכל הדיירים | ע&#8221;א 7808/21 תקדים בית הדר פסק הדין המלא","beit-hadar-ruling-new-roof-tenants-precedent","https://jus-tice.co.il/articles/beit-hadar-ruling-new-roof-tenants-precedent/","/articles/beit-hadar-ruling-new-roof-tenants-precedent/",YES,2026-05-16T23:47:33,"234","",REST_API
12239,article,publish,"חוקי הנדל&#8221;ן בישראל מול צרפת: מדריך להשקעות ונכסים (2025)","laws-real-estate-israel-france-guide-properties","https://jus-tice.co.il/articles/laws-real-estate-israel-france-guide-properties/","/articles/laws-real-estate-israel-france-guide-properties/",YES,2026-05-16T23:47:36,"234","",REST_API
12236,article,publish,"עורך דין דובר צרפתית לרכישת נדל&#8221;ן בישראל &#8211; המדריך המשפטי המלא למשקיעים מצרפת | Acheter un bien immobilier en Israël : Guide juridique complet","property-purchase-lawyer-israel-guide-complete-france","https://jus-tice.co.il/articles/property-purchase-lawyer-israel-guide-complete-france/","/articles/property-purchase-lawyer-israel-guide-complete-france/",YES,2026-05-16T23:47:36,"234","",REST_API
12219,article,publish,"ליווי מקצועי לסטארטאפ: ייעוץ לחברות הזנק startup","startup-company","https://jus-tice.co.il/articles/startup-company/","/articles/startup-company/",YES,2026-05-17T07:53:50,"308","",REST_API
12179,article,publish,"מדריך החזרי מס 2025 + מחשבון מעודכן","guide-tax-calculator-updated-2025","https://jus-tice.co.il/articles/guide-tax-calculator-updated-2025/","/articles/guide-tax-calculator-updated-2025/",YES,2026-05-16T23:47:36,"485","",REST_API
