tier,id,type,url,title_db,yoast_title_override,meta_description,practice_area,word_count_est,created,last_modified,impressions_90d,clicks_90d,avg_position
1-real-traffic,6715,articles,https://jus-tice.co.il/medical-malpractice-lawsuits-law-account/,תביעות רשלנות רפואית: הדרכים להקטנת ההוצאה הציבורית | דין וחשבון,,,דיני נזיקין,9528,2022-02-20,2026-05-16,2717,7,18.8
1-real-traffic,12446,articles,https://jus-tice.co.il/drug-offenses-criminal-lawyer/,עורך דין עבירות סמים | מדריך 2025 לתחום עבירות סמים,,,עורך דין,94181,2025-04-23,2026-07-02,2684,9,10.7
1-real-traffic,6163,articles,https://jus-tice.co.il/petition-approval-debt-arrangement-creditors/,טופס בקשת בגיר לקבל אישור משטרה | בקשת מעסיק לקבל אישור משטרה,,,משפט פלילי,7000,2021-09-01,2026-05-22,2672,24,10.5
1-real-traffic,12065,articles,https://jus-tice.co.il/lawyer-price-list-real-estate-2025/,"מחירון שירותי עורך דין נדל""ן 2025",,,"מקרקעין | נדל""ן",17589,2025-02-27,2026-07-02,2477,8,47.9
1-real-traffic,12259,articles,https://jus-tice.co.il/lawyer-fee-outlook/,שכר טרחת עורכי דין 2025 - תמונת מצב בישראל ובעולם,,,עורך דין,14768,2025-03-10,2026-07-02,2442,6,18.9
1-real-traffic,11977,articles,https://jus-tice.co.il/real-estate-dubai-2025/,"איפה כדאי להשקיע? נדל""ן בדובאי  2025",,,"מקרקעין | נדל""ן",31383,2025-02-13,2026-05-17,2438,5,15.1
1-real-traffic,12605,articles,https://jus-tice.co.il/cyprus-prices/,מחירון 2025 נכסים בקפריסין ועליות נלוות | רכישה בלווי משפטי לישראלים,,,"מקרקעין | נדל""ן",29120,2025-07-06,2026-07-02,2432,38,9.4
1-real-traffic,11878,articles,https://jus-tice.co.il/criminal-law-price-list-lawyer-recommended-review-costs/,"מחירון 2025 עורך דין פלילי מומלץ | סקירה והשוואת עלויות עו""ד פלילי + טיפים",,,משפט פלילי,8859,2025-01-28,2026-05-18,2045,36,20.6
1-real-traffic,12924,articles,https://jus-tice.co.il/investigations-and-intelligence-division/,אגף החקירות והמודיעין של משטרת ישראל,,,משפט פלילי,42159,2025-09-16,2026-05-17,2029,25,11.9
1-real-traffic,12111,articles,https://jus-tice.co.il/urban-renewal-tel-aviv-companies-38-2025/,"התחדשות עירונית בתל אביב: החברות המובילות (תמ״א 38) ת""א 2025",,,"מקרקעין | נדל""ן",28537,2025-03-03,2026-07-02,1683,8,13.6
1-real-traffic,12264,articles,https://jus-tice.co.il/best-criminal-defence-lawyers-worldwide/,עורכי הדין הפליליים הטובים בעולם ובישראל | סקירת 2025,עורכי דין פליליים בעולם | ייצוג בינלאומי | Jus-Tice,,משפט פלילי,27402,2025-03-10,2026-07-06,1640,24,37.2
1-real-traffic,7699,articles,https://jus-tice.co.il/53431-10-21/,"עונש פלילי יוצר ערוץ הטלגרם ""תוצרת כחול לבן"" בגין ריבוי עבירות של הטרדה מינית והתנכלות ופגיעה בפרטיות (ת""פ 53431-10-21)",,,עורך דין פלילי פסקי דין 2022,14223,2022-09-07,2026-05-16,1596,5,5.2
1-real-traffic,12436,articles,https://jus-tice.co.il/tax-investigation-guide/,מדריך 2025 לקראת חקירה במס הכנסה - כל מה שצריך לדעת |  חקירות מס הכנסה ועבירות מס,,,מיסים,29635,2025-04-20,2026-07-02,1572,8,26.6
1-real-traffic,11645,articles,https://jus-tice.co.il/infidelity-statistics-reasons-suspicions/,בגידה: סטטיסטיקה נתונים סיבות לבגידות ומה עושים כשחושדים בבגידת בן/בת זוג,,,דיני משפחה,4518,2024-12-16,2026-05-16,1563,29,11.5
1-real-traffic,12841,articles,https://jus-tice.co.il/ai-for-law-firms/,הטמעת בינה מלאכותית AI במשרדי עורכי דין,,,עורך דין,25941,2025-08-30,2026-05-17,1536,13,13.9
1-real-traffic,5707,articles,https://jus-tice.co.il/public-defender-annual-report-2019/,הסניגוריה הציבורית דוח פעילות 2019 | דין פלילי,,,הסניגוריה הציבורית,131103,2021-08-01,2026-05-16,1406,7,11.3
1-real-traffic,12428,articles,https://jus-tice.co.il/famous-criminal-defense-lawyer/,עורך דין פלילי מפורסם | עורכי הדין הפליליים המובילים בישראל ובעולם (2025),,,עורך דין,32255,2025-04-16,2026-07-02,1397,14,27.4
1-real-traffic,3263,articles,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,מה זה מרב״ד?- מידע על המכון הרפואי לבטיחות בדרכים,,,,861,2021-05-03,2026-05-16,1385,7,12.8
1-real-traffic,8795,articles,https://jus-tice.co.il/shoplifting/,גניבה מחנויות | עבירת גניבה מחנות - עסק,,,משפט פלילי,12099,2023-03-14,2026-05-18,1348,13,10.7
1-real-traffic,12481,articles,https://jus-tice.co.il/federal-bureau-of-investigation/,"FBI לשכת החקירות הפדרלית ארה""ב |  עורך דין פלילי F.B.I",,,עורך דין,39445,2025-05-12,2026-07-02,1325,10,7.8
1-real-traffic,4145,articles,https://jus-tice.co.il/force-majeure/,כוח עליון: שימוש בסעיף כוח עליון בחוזה,,,מסחרי-אזרחי,2387,2021-06-08,2026-05-16,1292,13,6.5
1-real-traffic,8990,articles,https://jus-tice.co.il/passport-immigration-relocation-residence-costs/,"דרכון יווני - הגירה, רילוקיישן, מגורים: מה הדרישות והעלויות",,,עורך דין,11009,2023-03-22,2026-05-16,1129,10,17.6
1-real-traffic,12156,articles,https://jus-tice.co.il/property-division-guide-updated-divorce-custody-infidelity/,"מדריך מעודכן למתגרשים בשנת 2025: סטטיסטיקה גירושים, התמודדות עם חלוקת רכוש, משמורת וחשד לבגידה",,,דיני משפחה,17564,2025-03-04,2026-07-02,1102,5,16.1
1-real-traffic,12275,articles,https://jus-tice.co.il/arrested-abroad-il/,"מעצר בחו""ל - מה לעשות? מדריך 2025 לישראלי עצור במדינה זרה",,,עורך דין,20766,2025-03-12,2026-05-16,1046,11,11.6
1-real-traffic,12616,articles,https://jus-tice.co.il/israel-tax-authority/,רשות המסים בישראל | ייצוג מול רשויות המס,,,עורך דין,27126,2025-07-07,2026-07-02,1038,5,19.0
1-real-traffic,7303,articles,https://jus-tice.co.il/law-laws-2011/,"הצעת חוק דיני ממונות, התשע""א-2011 עם הסברים",,,דיני נזיקין,476949,2022-06-01,2026-05-16,1007,10,7.3
1-real-traffic,10870,articles,https://jus-tice.co.il/low-value-invest-abroad/,"איפה הכי זול לקנות דירה בעולם | השקעות נדל""ן בחו""ל לישראלים",,,"מקרקעין | נדל""ן",5000,2024-02-22,2026-05-16,1004,16,28.3
1-real-traffic,3550,articles,https://jus-tice.co.il/types-of-lawyers-small-business/,6 סוגים שונים של עורכי דין מומלצים לבעלי עסקים קטנים,עורך דין לעסקים קטנים: מתי צריך וכמה עולה | Jus-Tice,,עורך דין,1762,2021-05-31,2026-07-06,978,5,34.4
1-real-traffic,12321,articles,https://jus-tice.co.il/extradition-guide/,הסגרה בינלאומית לישראל: מדריך 2025,,,עורך דין,29846,2025-03-19,2026-07-02,934,7,17.5
1-real-traffic,12491,articles,https://jus-tice.co.il/us-securities-and-exchange-commission/,"(SEC) רשות ניירות הערך של ארצות הברית  | עו""ד ישראלי",,,עורך דין,33416,2025-05-14,2026-07-02,846,7,10.4
1-real-traffic,8753,articles,https://jus-tice.co.il/portugal-lawyers/,"עורך דין פורטוגל | עו""ד ישראלי בפורטוגל","עורך דין פורטוגל | עו""ד ישראלי בפורטוגל",,פורטוגל,40004,2023-03-11,2026-05-16,823,12,21.4
1-real-traffic,20264,page,https://jus-tice.co.il/lawyer-fees-guide/,שכר טרחה עורך דין: מדריך מחירים 2025 לפי תחום,שכר טרחת עורך דין בישראל: מדריך לפי תחום | Jus-Tice,,,845,2026-05-23,2026-07-12,799,7,50.2
1-real-traffic,3265,articles,https://jus-tice.co.il/standards-of-medical-fitness-to-drive/,"תקנים מעודכנים להתאמה רפואית לנהיגה מרב""ד",,,,57631,2021-05-03,2026-05-17,794,10,24.9
1-real-traffic,6587,articles,https://jus-tice.co.il/sex-offenses-criminal-law-defendant-offenses-family-28464-07-19/,"דין פלילי: הרשעת נאשם בעבירות מין בבתו ואלימות כלפי ילדיו | ריבוי עבירות של אינוס קטינה בת משפחה (פ""ח 28464-07-19)",,,משפט פלילי,85245,2022-02-01,2026-05-18,778,21,31.4
1-real-traffic,9724,articles,https://jus-tice.co.il/uk-lawyer/,"עורך דין אנגליה | עו""ד ישראלי ליווי וייצוג משפטי באנגליה",,,עורך דין,35231,2023-08-04,2026-05-16,732,13,20.9
1-real-traffic,5836,articles,https://jus-tice.co.il/description-and-structure-of-the-ministry-of-justice/,תיאור ומבנה המשרד המשפטים- דוח 2017,,,משרד המשפטים,81905,2021-08-08,2026-05-16,727,8,8.3
1-real-traffic,11757,articles,https://jus-tice.co.il/national-insurance-calculator/,מחשבון דמי ביטוח לאומי ובריאות,,,ביטוח,4714,2025-01-08,2026-05-16,725,5,17.9
1-real-traffic,8128,articles,https://jus-tice.co.il/court-legal-opinion-experts-medical-2023/,רשימת מומחים רפואיים לבית משפט מתעדכן | חוות דעת רפואית משפטית 2023,,,,22032,2022-11-30,2026-05-16,703,9,45.0
1-real-traffic,9526,articles,https://jus-tice.co.il/romania-lawyers/,"עורך דין ברומניה | עו""ד ישראלי נוטריון בוקרשט רומניה",,,,23120,2023-05-22,2026-05-16,696,8,33.1
1-real-traffic,2885,articles,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,כמה עולה ייצוג עורך דין פלילי? | מחירון מומלץ 2024,,,משפט פלילי,4316,2021-02-02,2026-05-16,695,5,34.5
1-real-traffic,12626,articles,https://jus-tice.co.il/online-rent-agreement/,חוזה שכירות אונליין (עדכני 2025),חוזה שכירות אונליין למילוי מיידי | Jus-Tice,,"מקרקעין | נדל""ן",17,2025-07-10,2026-05-16,693,14,8.8
1-real-traffic,10085,articles,https://jus-tice.co.il/real-estate-united-kingdom/,"השקעות נדל""ן באנגליה - מדריך למשקיע | קניית דירה לונדון",,,"מקרקעין | נדל""ן",49011,2023-09-28,2026-05-16,686,9,14.2
1-real-traffic,8777,articles,https://jus-tice.co.il/cyprus-lawyer/,"עורך דין קפריסין | עו""ד ישראלי בקפריסין",,,עורך דין,16197,2023-03-13,2026-05-16,670,13,7.1
1-real-traffic,9417,articles,https://jus-tice.co.il/ethiopia-lawyer/,"עורך דין אתיופיה | עו""ד ישראלי באתיופיה",,,עורך דין,1569,2023-05-03,2026-05-16,656,12,25.5
1-real-traffic,12401,articles,https://jus-tice.co.il/international-inheritance-wills-lawyer/,"עורך דין בינלאומי ירושות צוואות ועיזבונות | מדריך ליורשים ישראלים בחו""ל",,,עורך דין,23942,2025-04-03,2026-07-02,646,8,17.6
1-real-traffic,6633,articles,https://jus-tice.co.il/expert-lawyers-judges-directory-israel/,להיות שופט: הנחיות לעורכי דין המבקשים להתמנות לכהונה שיפוטית,,,עורך דין,8612,2022-02-08,2026-05-22,623,9,9.8
1-real-traffic,10028,articles,https://jus-tice.co.il/poland-lawyers/,"עורך דין פולין | עו""ד נוטריון ישראלי בורשה פולין",,,עורך דין,23459,2023-09-20,2026-05-16,580,5,19.4
1-real-traffic,8863,articles,https://jus-tice.co.il/greece-lawyers/,"עורך דין יוון | משרד עורכי דין ביוון | עו""ד ישראלי יוון",,,עורך דין,33704,2023-03-19,2026-05-16,549,25,7.9
1-real-traffic,8186,articles,https://jus-tice.co.il/lawyer-israeli/,"עורך דין תאילנד | עו""ד ישראלי בתאילנד",,,עורך דין,25082,2022-12-08,2026-05-16,548,9,21.2
1-real-traffic,9505,articles,https://jus-tice.co.il/germany-lawyers/,"עורך דין גרמניה | עו""ד ישראלי בגרמניה",,,עורך דין,35015,2023-05-20,2026-05-16,543,11,30.3
1-real-traffic,12622,articles,https://jus-tice.co.il/australia-lawyers/,"עורך דין באוסטרליה | עו""ד ישראלי אוסטרליה",,,עורך דין,17703,2025-07-09,2026-07-02,499,6,13.8
1-real-traffic,10230,articles,https://jus-tice.co.il/decision22431-08-19/,"פסק דין פלילי | בעלים של סוכנות דוגמנות הנאשם בעבירות מין בלקוחותיו (תפ""ח 22431-08-19)",,,משפט פלילי,39326,2023-11-12,2026-05-18,497,22,25.1
1-real-traffic,10649,articles,https://jus-tice.co.il/canada-lawyers/,"עורך דין קנדה | עו""ד ישראלי בקנדה",,,עורך דין,6301,2024-01-30,2026-05-16,496,9,7.4
1-real-traffic,7400,articles,https://jus-tice.co.il/india-lawyers/,"עורך דין הודו | עו""ד ישראלי בהודו",,,עורך דין,43674,2022-06-09,2026-05-17,477,7,5.8
1-real-traffic,9559,articles,https://jus-tice.co.il/italy-lawyers/,"עורך דין באיטליה | עו""ד ישראלי באיטליה",,,עורך דין,24682,2023-05-29,2026-05-16,475,9,9.8
1-real-traffic,2955,articles,https://jus-tice.co.il/what-is-justice/,צֶדֶק | מה זה צדק?  הגינות משפט וצדק,,,עורך דין,6181,2021-03-02,2026-05-16,460,5,7.9
1-real-traffic,8089,articles,https://jus-tice.co.il/consent/,מהי הסכמה? הגדרה משפטית להסכמה,,,,2900,2022-11-21,2026-05-16,431,5,10.3
1-real-traffic,5858,articles,https://jus-tice.co.il/money-laundering-verdict-defendants-offenses-corporation-13268-09-15/,"פסק דין נאשמים בגין קבלת דבר במרמה בנסיבות מחמירות, הלבנת הון, עבירות מנהלים בתאגיד ועוד (ת""פ 13268-09-15)",,,פלילי פסקי דין חשובים,96082,2021-08-10,2026-05-17,424,15,10.6
1-real-traffic,11803,articles,https://jus-tice.co.il/us-lawyer-license-requirements/,"מהן הדרישות להוצאת רישיון עו""ד אמריקאי | עורך דין בארה""ב",,,עורך דין,8394,2025-01-11,2026-05-16,412,10,25.8
1-real-traffic,12353,articles,https://jus-tice.co.il/17044-12-22/,"גזר דין למטפל שהורשע בעבירות מין (תפ""ח 17044-12-22)",,,עורך דין פלילי פסקי דין 2022,32659,2025-03-24,2026-07-02,355,15,41.6
1-real-traffic,10269,articles,https://jus-tice.co.il/malta-citizenship-by-investment/,אזרחות מלטה תמורת השקעה 2024: מלטה ויזת זהב תושבות קבע,,,עורך דין,6582,2023-11-28,2026-05-16,353,15,10.1
1-real-traffic,2646,articles,https://jus-tice.co.il/ruling-cancellation-process-witness-new/,הלכת אלקצאצי: משך ההמתנה מביטול הליך פשיטת רגל ועד פתיחת הליך חדש,,,,7277,2020-10-15,2026-05-16,351,11,6.7
1-real-traffic,12255,articles,https://jus-tice.co.il/building-rights-beit-hadar-ownership-roofs-ruling-7808/,"בעלות על זכויות בנייה בגגות | הלכת בית הדר ע""א 7808/21 והשלכותיה ",,,"מקרקעין | נדל""ן",7405,2025-03-09,2026-07-02,310,8,18.6
1-real-traffic,7611,articles,https://jus-tice.co.il/history-of-medicine/,"עו""ד רפואי | היסטוריה של הרפואה",,,,21528,2022-07-26,2026-05-17,306,5,9.6
1-real-traffic,10938,articles,https://jus-tice.co.il/legal-writing/,כתיבה משפטית | שפת עורכי הדין,,,,2617,2024-02-27,2026-05-16,284,7,13.5
1-real-traffic,10258,articles,https://jus-tice.co.il/ukraine-lawyers/,"עורך דין באוקראינה | עו""ד ישראלי באוקראינה",,,עורך דין,8407,2023-11-22,2026-05-16,279,10,11.2
1-real-traffic,9521,articles,https://jus-tice.co.il/united-arab-emirates-lawyers/,"עורך דין בדובאי איחוד האמירויות הערביות | עו""ד ישראלי בדובאי, אבו דאבי",,,עורך דין,22649,2023-05-22,2026-05-16,262,10,13.1
1-real-traffic,12251,articles,https://jus-tice.co.il/30767-05-21/,"ביהמ""ש לענייני משפחה בתל אביב, השופטת ענת הלר כריש: פס""ד בתביעה להחרגת נכסים מעיזבון (תמ""ש 30767-05-21)",,,דיני משפחה,17255,2025-03-09,2026-07-02,259,8,7.4
1-real-traffic,10310,articles,https://jus-tice.co.il/decision42377-09-22/,"פסק דין זיכוי מאישום תקיפת בת זוג | ת""פ 42377-09-22 מדינת ישראל נ' אוזנה",,,משפט פלילי,10873,2023-12-03,2026-05-18,227,9,23.4
1-real-traffic,20344,page,https://jus-tice.co.il/adoption-israel-guide/,"אימוץ ילדים בישראל: תנאים, הליך ומה צריך לדעת","אימוץ ילדים בישראל | תנאים, הליך ומה צריך לדעת | Jus-Tice",,,446,2026-05-23,2026-07-12,221,5,15.8
1-real-traffic,9119,articles,https://jus-tice.co.il/verdict-acquittal-law-complete-502-07/,"הזיכוי: הכרעת דין במשפט החוזר של רומן זדורוב (תפ""ח 502-07) פסק דין מלא להורדה",,,פלילי פסקי דין חשובים,2200,2023-03-30,2026-05-16,219,14,6.6
1-real-traffic,11587,articles,https://jus-tice.co.il/10864-09-21/,"חשיפת תמונות אישה שנתפסה בבגידה | השופטת מורן ואלך ניסן: פס""ד בתביעה לפיצוי מכוח חוק איסור לשון הרע והגנת הפרטיות בגין הצגת תמונות אינטימיות של אישה לעיני הוריה (תמ""ש 10864-09-21, 8209-12-21)",,,דיני משפחה,26499,2024-09-22,2026-05-16,212,6,8.6
1-real-traffic,8073,articles,https://jus-tice.co.il/law-defendant-offenses-69728-06-20/,"הכרעת דין לנאשם בעבירות של קבלת שוחד מיני, מרמה והפרת אמונים בידי עובד ציבור (ת""פ 69728-06-20)",,,עורך דין פלילי פסקי דין 2022,73251,2022-11-17,2026-05-16,201,8,12.5
1-real-traffic,10520,articles,https://jus-tice.co.il/california-lawyers/,עורך דין קליפורניה | עורך דין ישראלי בלוס אנג'לס,,,עורך דין,5374,2023-12-20,2026-05-17,197,8,47.5
1-real-traffic,10798,articles,https://jus-tice.co.il/portugal-medicine/,שרותי בריאות בפורטוגל | רפואה בפורטוגל,,,פורטוגל,6364,2024-02-14,2026-05-16,194,5,6.7
1-real-traffic,9895,articles,https://jus-tice.co.il/notary-public-new-york/,"נוטריון בניו יורק | עו""ד נוטריון ישראלי בניו יורק",,,עורך דין,2457,2023-08-28,2026-05-16,151,6,15.4
1-real-traffic,9774,articles,https://jus-tice.co.il/miami-florida-lawyers/,"עורך דין במיאמי פלורידה | עו""ד ישראלי במיאמי",,,עורך דין,13777,2023-08-18,2026-05-16,145,10,9.1
1-real-traffic,3519,articles,https://jus-tice.co.il/form-6-request-urgent-relief-dispute-settlement/,טופס 6 בקשה לסעד דחוף שלא בדרך בקשה ליישוב סכסוך,,,,3318,2021-05-30,2026-05-16,144,5,17.1
1-real-traffic,12007,articles,https://jus-tice.co.il/bgz-infidelity-adultery-supreme-court-ruling/,"בג""ץ הבוגדת: ההשפעות המשפטיות, החברתיות והכלכליות על מערכת המשפט הישראלית",,,דיני משפחה,16079,2025-02-20,2026-07-02,110,5,12.8
1-real-traffic,6666,articles,https://jus-tice.co.il/verdict-complete-20419-03-21-2022/,"צו המורה לפייסבוק למסור פרטי משתמש - ת""א 20419-03-21 | פסק דין מלא 2022",,,,5308,2022-02-10,2026-05-16,107,11,18.7
1-real-traffic,5683,articles,https://jus-tice.co.il/punishment-criminal-defendant-48-43418-01-21/,"48 חודשי מאסר: גז""ד עונש פלילי לנאשם באינוס ומעשה סדום בקטינה (תפח""ע 43418-01-21)",,,משפט פלילי,18791,2021-07-28,2026-05-18,106,8,50.3
1-real-traffic,8635,articles,https://jus-tice.co.il/divorce-resource-balancing-case21019-01-21/,"השופט רמי בז'ה: פס""ד בעניין תביעה לאיזון משאבים בין בני זוג לשעבר (תמ""ש 21019-01-21)",,,פסקי דין גירושין דיני משפחה 2022,15950,2023-02-23,2026-05-16,104,5,8.3
1-real-traffic,10740,articles,https://jus-tice.co.il/morocco-lawyers/,עורך דין מרוקו | לווי משפטי במרוקו,,,עורך דין,11980,2024-02-07,2026-05-16,104,7,10.7
1-real-traffic,6718,articles,https://jus-tice.co.il/personal-injury-verdict-judge-lawsuit-damages-30014-02-17/,"השופטת נסרין עדוי-חד'ר: פס""ד בתביעת פיצויים בגין נזקי גוף (ת""א 30014-02-17)",,,"עו""ד נזיקין פסקי דין",6359,2022-02-20,2026-05-16,86,6,8.7
1-real-traffic,11184,articles,https://jus-tice.co.il/new-jersey-lawyers/,"עורך דין ניו ג'רזי | עו""ד ישראלי ניו ג'רזי | חוקי ניו ג'רסי",,,עורך דין,5321,2024-05-10,2026-05-16,82,7,6.2
1-real-traffic,12245,articles,https://jus-tice.co.il/beit-hadar-ruling-new-roof-tenants-precedent/,"הלכה חדשה 2025 | הגג שייך לכל הדיירים | ע""א 7808/21 תקדים בית הדר פסק הדין המלא",,,"מקרקעין | נדל""ן",9729,2025-03-09,2026-07-02,76,6,8.9
1-real-traffic,5681,articles,https://jus-tice.co.il/criminal-law-judge-punishment-defendant-offense-39682-07-20/,"השופטת אסתר הלמן: עונש גזר דין פלילי נאשם עבירת תקיפת אישה ובת (תפח""ע 39682-07-20)",,,משפט פלילי,9856,2021-07-28,2026-05-18,53,6,56.7
1-real-traffic,11453,articles,https://jus-tice.co.il/55188-07-20/,"השופט אלעד פרסקי: פס""ד בתביעת נזקי גוף בעקבות תאונת דרכים (ת""א 55188-07-20)",,,דיני נזיקין,4263,2024-08-08,2026-05-16,46,5,8
1-real-traffic,9829,articles,https://jus-tice.co.il/malta-lawyers/,"עורך דין מלטה | עו""ד ישראלי במלטה",,,עורך דין,16749,2023-08-20,2026-05-16,42,5,7.4
1-real-traffic,9681,articles,https://jus-tice.co.il/panama-lawyers/,"עורך דין פנמה | עו""ד ישראלי בפנמה",,,עורך דין,5273,2023-06-14,2026-05-16,41,6,13.5
2-low-traffic,10771,articles,https://jus-tice.co.il/about-usa/,"ארצות הברית (ארה""ב) | דסק ארצות הברית USA",,,,25532,2024-02-12,2026-05-16,8976,4,9.9
2-low-traffic,12655,articles,https://jus-tice.co.il/real-estate-lawyer-cost-2025/,עורך דין מכירת דירה מחיר (2025) | תפקידו של עורך הדין בעסקאות מקרקעין,שכר טרחה עורך דין מקרקעין: מחירון מלא | Jus-Tice,,"מקרקעין | נדל""ן",20711,2025-07-27,2026-07-02,5100,2,59.8
2-low-traffic,19213,page,https://jus-tice.co.il/child-support/,מחשבון מזונות ילדים 2025: הלכת 919/15 + מדריך מלא,מחשבון מזונות ילדים 2025 | הלכת 919/15 + מדריך מלא | Jus-Tice,,,6599,2026-05-10,2026-07-12,2699,4,61.3
2-low-traffic,11232,articles,https://jus-tice.co.il/buying-property-in-portugal/,"קניית נכס בפורטוגל: תהליך הרכישה, עלויות ומיסוי לישראלים",,,פורטוגל,4363,2024-06-17,2026-07-07,2442,2,44.5
2-low-traffic,11948,articles,https://jus-tice.co.il/real-estate-israelis-guide-complete-rental-2025/,"השקעה בנדל""ן בחו""ל לישראלים (2025) המדריך המלא לקנייה, השכרה ו-Airbnb",,,"מקרקעין | נדל""ן",8101,2025-02-09,2026-05-17,2376,2,56.8
2-low-traffic,8821,articles,https://jus-tice.co.il/immigration-lawyer/,"עורך דין הגירה | עו""ד הגירה לחו""ל | רילוקיישן לישראלים",,,עורך דין,40519,2023-03-16,2026-05-16,2210,1,46.8
2-low-traffic,11771,articles,https://jus-tice.co.il/china-business-legal-guide/,מה צריך לדעת כשעושים עסקים בסין – מדריך מקיף לישראלים ומידע משפטי,,,עורך דין,8677,2025-01-09,2026-05-16,1880,3,22.0
2-low-traffic,10708,articles,https://jus-tice.co.il/portugal/,פורטוגל | דסק פורטוגל,,,פורטוגל,20729,2024-02-05,2026-05-16,1853,4,9.4
2-low-traffic,12106,articles,https://jus-tice.co.il/urban-renewal-guide-practical-company-2025/,שנת 2025 | מדריך מעשי לבחירת חברה/יזם להתחדשות עירונית,,,"מקרקעין | נדל""ן",17002,2025-03-03,2026-05-16,1823,1,42.7
2-low-traffic,2993,articles,https://jus-tice.co.il/legality-of-cannabis/,חוקיות הקנאביס | האם קנאביס חוקי?,,,,5564,2021-03-05,2026-05-16,1767,4,10.3
2-low-traffic,3621,articles,https://jus-tice.co.il/beginners-guide-how-to-choose-the-best-website-builder/,בניית אתרים חינם: מהי האופציה לבניית האתרים הטובה ביותר בחינם? | אתר בחינם,,,,19019,2021-06-03,2026-05-17,1698,2,38.7
2-low-traffic,11475,articles,https://jus-tice.co.il/perinatal-asphyxia/,תשניק סב-לידתי |  perinatal asphyxia | תשניק יילוד,,,,1833,2024-09-03,2026-05-16,1333,4,13.9
2-low-traffic,12652,articles,https://jus-tice.co.il/business-license/,יועץ רישוי עסקים | עורך דין מומחה רישוי עסק | מדריך ומחירון (2025),,,עורך דין,14638,2025-07-25,2026-07-02,1273,1,14.9
