action,url,clicks_16mo,impressions_16mo,role,primary_query,new_title,merge_target_url,rationale
REBUILD,https://jus-tice.co.il/medical-malpractice-judge-decision-lawsuit-4392-03-23/,2.0,57.0,support,השופטת אירית קלמן ברום: החלטה בתביעה בגין התיישנות,השופטת אירית קלמן ברום: החלטה בתביעה בגין התיישנות רשלנות,,16mo 2c/57i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/medical-malpractice-statistics/,1.0,24.0,cluster,נתוני רשלנות רפואית בישראל 2026,רשלנות רפואית בישראל: נתונים וסטטיסטיקה 2026,,16mo 1c/24i; demand protected; attorney-led rebuild.
MERGE,https://jus-tice.co.il/surgical-errors-medical-malpractice/,0.0,1226.0,cluster,,,https://jus-tice.co.il/medical-malpractice-surgery/,16mo 0c/1226i vs 0c/1443i; duplicate; backlink-check.
MERGE,https://jus-tice.co.il/medical-malpractice-7583/,0.0,81.0,cluster,,,https://jus-tice.co.il/medical-malpractice-israel-medical/,16mo 0c/81i vs 0c/180i; duplicate; backlink-check.
MERGE,https://jus-tice.co.il/medical-malpractice-8269/,0.0,13.0,cluster,,,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,16mo 0c/13i vs 0c/6895i; duplicate; backlink-check.
MERGE,https://jus-tice.co.il/medical-malpractice-lawyer-recommended/,0.0,1.0,cluster,,,https://jus-tice.co.il/medical-malpractice-lawyer/,16mo 0c/1i vs 1c/31945i; duplicate; backlink-check.
NOINDEX,https://jus-tice.co.il/%d7%a8%d7%a9%d7%9c%d7%a0%d7%95%d7%aa-%d7%a8%d7%a4%d7%95%d7%90%d7%99%d7%aa-%d7%91%d7%aa%d7%a8%d7%95%d7%a4%d7%95%d7%aa-%d7%9e%d7%99%d7%a0%d7%95%d7%9f-%d7%a9%d7%92%d7%95%d7%99-%d7%90%d7%9c%d7%a8%d7%92/,0.0,47.0,cluster,,,,16mo 0c/47i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-vs-negligence-differences-israel/,0.0,31.0,cluster,,,,16mo 0c/31i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-cost/,0.0,27.0,cluster,,,,16mo 0c/27i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-haifa/,0.0,8.0,cluster,,,,16mo 0c/8i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-personal-injury-verdict-lawsuit-claim-79092-12-20/,0.0,5.0,support,,,,16mo 0c/5i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-costs/,0.0,3.0,cluster,,,,16mo 0c/3i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-tel-aviv/,0.0,2.0,cluster,,,,16mo 0c/2i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-8271/,0.0,1.0,cluster,,,,16mo 0c/1i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-house/,0.0,1.0,cluster,,,,16mo 0c/1i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/birth-injury-compensation/,0.0,1.0,cluster,,,,16mo 0c/1i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-negligence-pregnancy/,0.0,1.0,cluster,,,,16mo 0c/1i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-1572/,0.0,0.0,cluster,,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-witnesses-experts-testimony/,0.0,0.0,cluster,,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice/,0.0,0.0,cluster,,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-tips-damages-lawsuit/,0.0,0.0,cluster,,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-lawsuit/,0.0,0.0,cluster,,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-tips-20/,0.0,0.0,cluster,,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
NOINDEX,https://jus-tice.co.il/medical-malpractice-tips-lawsuit-20/,0.0,0.0,cluster,,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
