family_head_term,family_key,severity,total_clicks,total_impressions,designated_winner,competing_urls,url_metrics,resolutions
הסרת תוכן משפטי,הסרת תוכן משפטי,LOW,0,121,https://jus-tice.co.il/legal-writing/,https://jus-tice.co.il/legal-writing/;https://jus-tice.co.il/תא-28120-03-18-פלוני-נ-googel-llc-ואח/,0c/97i/p83.3;0c/24i/p50.8,WINNER;DIFFERENTIATE→
אזרחות פורטוגלית הקשחה,אזרחות פורטוגל הקשחה,LOW,0,120,https://jus-tice.co.il/portugal-citizenship/,https://jus-tice.co.il/portugal-citizenship/;https://jus-tice.co.il/articles/portugal-citizenship/,0c/116i/p61.7;0c/4i/p50.5,WINNER;DIFFERENTIATE→
איזה דרכונים לא צריכים ויזה לארה ב,איזה דרכונים לא צריכים ויזה לארה ב,LOW,0,120,https://jus-tice.co.il/golden-visa/,https://jus-tice.co.il/golden-visa/;https://jus-tice.co.il/דרכון-יווני-הגירה-רילוקיישן-מגורים-מה-הדרישות-והעלויות/,0c/112i/p56.3;0c/8i/p67.0,WINNER;DIFFERENTIATE→
בית בכרתים למכירה,בית בכרתים למכירה,LOW,0,120,https://jus-tice.co.il/buying-property-in-greece/,https://jus-tice.co.il/buying-property-in-greece/;https://jus-tice.co.il/greece-price-list/,0c/99i/p62.8;0c/21i/p48.4,WINNER;DIFFERENTIATE→דירות ביוון מחירים
דיור מוגן להשקעה באנגליה,דיור מוגן להשקעה באנגליה,LOW,0,120,https://jus-tice.co.il/real-estate-united-kingdom/,https://jus-tice.co.il/real-estate-united-kingdom/;https://jus-tice.co.il/investing-in-greece/;https://jus-tice.co.il/articles/מדריך-2025-מה-חשוב-לכלול-בחוזה-מול-קבלן-ברכ/;https://jus-tice.co.il/איפה-הכי-משתלם-למשקיע-הישראלי-לקנות-דירה-בעולם/;https://jus-tice.co.il/דוגמא-להסכם-פינוי-בינוי/,0c/101i/p28.8;0c/12i/p61.0;0c/5i/p61.4;0c/1i/p47.0;0c/1i/p68.0,WINNER;DIFFERENTIATE→השקעה ביוון: מדריך מקיף למשקיעים ישראלים ולחברות;DIFFERENTIATE→;DIFFERENTIATE→;DIFFERENTIATE→
המרב ד,המרב ד,LOW,0,120,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/;https://jus-tice.co.il/standards-of-medical-fitness-to-drive/,0c/108i/p8.9;0c/12i/p76.4,WINNER;DIFFERENTIATE→בדיקת כשירות רפואית לנהיגה
הסדר חוב שלא במסגרת צו לפתיחת הליכים,הסדר חוב שלא במסגרת צו לפתיחת הליכים,LOW,0,120,https://jus-tice.co.il/psakdin/בקשה-לאישור-הסדר-חוב-ובקשות-למתן-צו-לפת/,https://jus-tice.co.il/psakdin/בקשה-לאישור-הסדר-חוב-ובקשות-למתן-צו-לפת/;https://jus-tice.co.il/psakdin/תביעה-לחייב-גרושה-להשתתף-בחובות/,0c/116i/p58.8;0c/4i/p92.8,WINNER;DIFFERENTIATE→
הסדרי ראיה בהורות משותפת,הסדרי ראיה בהורות משותפת,LOW,0,120,https://jus-tice.co.il/joint-custody-shared-parenting/,https://jus-tice.co.il/joint-custody-shared-parenting/;https://jus-tice.co.il/פסד-משמורת-משותפת-הרחבת-הסדרי-שהות-לאב-1244887-2/,0c/112i/p81.2;0c/8i/p95.5,WINNER;DIFFERENTIATE→
העברת דירה בין בני זוג,העברת דירה בין בני זוג,LOW,0,120,https://jus-tice.co.il/spouse-property-registration-guide/,https://jus-tice.co.il/spouse-property-registration-guide/;https://jus-tice.co.il/הסכם-מתנה-בין-בני-זוג-כמבסס-קניין-ומוכיח-כוונת-שיתוף-אף-ללא-רישום-809633-3-ביהד-הגדול/,0c/97i/p42.7;0c/23i/p83.0,WINNER;DIFFERENTIATE→
אזרחות רומנית עו ד,אזרחות רומנית עו ד,LOW,0,119,https://jus-tice.co.il/romanian-passport/,https://jus-tice.co.il/romanian-passport/;https://jus-tice.co.il/romania-lawyers/,0c/108i/p54.8;0c/11i/p88.4,WINNER;DIFFERENTIATE→דרכון רומני עורך דין
אישור העסקה לעובד דוגמא,אישור העסקה לעובד דוגמא,LOW,0,119,https://jus-tice.co.il/notice-of-termination/,https://jus-tice.co.il/notice-of-termination/;https://jus-tice.co.il/טופס-לפי-חוק-למניעת-העסקה-של-עברייני-מין-במוסד-המכוון-למתן-שירות-לקטינים/,0c/104i/p57.3;0c/15i/p69.2,WINNER;DIFFERENTIATE→
אשרת שהייה לסטודנטים בסלובקיה,אשרת שהייה לסטודנטים בסלובקיה,LOW,0,119,https://jus-tice.co.il/immigration-lawyer/,https://jus-tice.co.il/immigration-lawyer/;https://jus-tice.co.il/חתימת-עורך-דין-נוטריון/,0c/118i/p27.8;0c/1i/p71.0,WINNER;DIFFERENTIATE→
בקשה לצו ירושה מקוון,בקשה לצו ירושה מקוון,LOW,0,119,https://jus-tice.co.il/inheritance-order/,https://jus-tice.co.il/inheritance-order/;https://jus-tice.co.il/wp-content/uploads/2021/02/inheritance_he-1.doc/,0c/113i/p35.1;0c/6i/p70.0,WINNER;DIFFERENTIATE→
הלבנת ראיות,הלבנת ראיות,LOW,0,119,https://jus-tice.co.il/הנחיות-פרקליט-המדינה-הנחיה-מספר-13/,https://jus-tice.co.il/הנחיות-פרקליט-המדינה-הנחיה-מספר-13/;https://jus-tice.co.il/הנחיית-פרקליט-המדינה-מספר-25-מדיניות-פתיחה-בחקירה-והעמדה-לדין-בגין-חשד-למסירת-אמרה-או-עדות-כוזבת/,0c/100i/p72.0;0c/19i/p70.8,WINNER;DIFFERENTIATE→
הסכם ממון על דירה מלפני הנישואין,הסכם ממון על דירה מלפני הנישואין,LOW,0,119,https://jus-tice.co.il/marital-property-agreement/,https://jus-tice.co.il/marital-property-agreement/;https://jus-tice.co.il/prenuptial-agreements-overview/;https://jus-tice.co.il/7-reasons-why-you-need-a-prenup/,0c/108i/p45.4;0c/10i/p89.5;0c/1i/p81.0,WINNER;DIFFERENTIATE→הסכם ממון;DIFFERENTIATE→גירושין ללא הסכם ממון
ביטול עסקת רכב,ביטול עסקת רכב,LOW,0,118,https://jus-tice.co.il/רתק-38215-11-21-שוסטרמן-נ-אלבר-ציי-רכב/,https://jus-tice.co.il/רתק-38215-11-21-שוסטרמן-נ-אלבר-ציי-רכב/;https://jus-tice.co.il/verdict-cancellation-38215-11-21/,0c/117i/p35.5;0c/1i/p35.0,"WINNER;DIFFERENTIATE→פסק דין ביטול עסקת רכישת רכב (רת""ק 38215-11-21)"
האזנות סתר של המשטרה,האזנות סתר של המשטרה,LOW,0,118,https://jus-tice.co.il/articles/משטרת-ישראל-שימוש-במערכת-פגסוס-ללא-צו-ש/,https://jus-tice.co.il/articles/משטרת-ישראל-שימוש-במערכת-פגסוס-ללא-צו-ש/;https://jus-tice.co.il/articles/פגסוס-nso-מסקנות-צוות-מררי-ממצאי-צוות-הבד/,0c/100i/p59.5;0c/18i/p78.4,WINNER;DIFFERENTIATE→
גירושין זכויות האישה,גירושין זכויות האישה,LOW,0,117,https://jus-tice.co.il/divorce-women-rights-israel/,https://jus-tice.co.il/divorce-everything-you-need-to-know/;https://jus-tice.co.il/divorce-women-rights-israel/;https://jus-tice.co.il/what-should-a-divorce-settlement-agreement-include/;https://jus-tice.co.il/גירושין-בארצות-הברית/;https://jus-tice.co.il/articles/הליכי-גירושין-יוצרים-דינים-מיוחדים-בי/;https://jus-tice.co.il/strategic-divorce-cost-planning/;https://jus-tice.co.il/what-is-a-divorce-settlement-agreement/,0c/74i/p72.5;0c/8i/p28.5;0c/14i/p88.6;0c/12i/p85.4;0c/7i/p68.4;0c/1i/p94.0;0c/1i/p100.0,DIFFERENTIATE→עורך דין גירושין;WINNER;DIFFERENTIATE→הסכם גירושין;DIFFERENTIATE→;DIFFERENTIATE→;DIFFERENTIATE→גירושים חכמים : כך תנהלו את פתיחת הליך הגירושין;DIFFERENTIATE→איך מכינים הסכם גירושין
דוגמאות להסכם ממון,דוגמאות להסכם ממון,LOW,0,117,https://jus-tice.co.il/prenuptial-agreement-sample/,https://jus-tice.co.il/prenuptial-agreement-sample/;https://jus-tice.co.il/prenuptial-agreements-overview/,0c/116i/p39.8;0c/1i/p71.0,WINNER;DIFFERENTIATE→הסכם ממון
דומיין דה נט העברת בעלות,דומיין דה נט העברת בעלות,LOW,0,117,https://jus-tice.co.il/beginners-guide-how-to-choose-the-best-website-builder/,https://jus-tice.co.il/beginners-guide-how-to-choose-the-best-website-builder/;https://jus-tice.co.il/sample-terms-and-conditions-template/,0c/112i/p74.0;0c/5i/p71.2,WINNER;DIFFERENTIATE→תקנון אתר
איך לבחור עורך דין משפחה,איך לבחור עורך דין משפחה,LOW,0,116,https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/,https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/;https://jus-tice.co.il/articles/איך-לבחור-משרד-עורך-דין-גירושין-כשמתגר/;https://jus-tice.co.il/;https://jus-tice.co.il/must-have-traits-of-a-good-family-lawyer/,0c/99i/p50.1;0c/13i/p76.5;0c/3i/p66.7;0c/1i/p38.0,WINNER;DIFFERENTIATE→;DIFFERENTIATE→;DIFFERENTIATE→תכונות חובה של עורך דין משפחה טוב
איך מסדירים במסגרת הסכמי ממון נושאים שלאחר הפטירה,איך מסדירים במסגרת הסכם ממון נושאים שלאחר הפטירה,LOW,0,116,https://jus-tice.co.il/מדריך-עדכני-להסכם-ממון/,https://jus-tice.co.il/מדריך-עדכני-להסכם-ממון/;https://jus-tice.co.il/prenuptial-agreement-israel-guide-comprehensive-2025/;https://jus-tice.co.il/prenuptial-agreements-overview/;https://jus-tice.co.il/uk-lawyer/,0c/90i/p27.8;0c/12i/p66.0;0c/11i/p79.5;0c/3i/p92.3,WINNER;DIFFERENTIATE→הסכם ממון לתושבי חוץ;DIFFERENTIATE→הסכם ממון;DIFFERENTIATE→עורך דין באנגליה
המשפט,המשפט,LOW,0,116,https://jus-tice.co.il/articles/מהו-בית-משפט/,https://jus-tice.co.il/articles/מהו-בית-משפט/;https://jus-tice.co.il/what-is-a-court-israel-legal-guide/;https://jus-tice.co.il/request-for-extension-of-detention-beyond-nine-months/,0c/113i/p31.6;0c/2i/p25.5;0c/1i/p86.0,WINNER;DIFFERENTIATE→בית משפט;DIFFERENTIATE→בקשה להארכת מועד להישפט
אישור נוטריוני להסכם ממון,אישור נוטריוני להסכם ממון,LOW,0,115,https://jus-tice.co.il/articles/פסד-הסכם-ממון-שנחתם-ובוטל-בפני-נוטריו/,https://jus-tice.co.il/articles/פסד-הסכם-ממון-שנחתם-ובוטל-בפני-נוטריו/;https://jus-tice.co.il/מדריך-עדכני-להסכם-ממון/,0c/114i/p77.3;0c/1i/p100.0,WINNER;DIFFERENTIATE→
בעמ 919/15,בעמ 919 15,LOW,0,115,https://jus-tice.co.il/psakdin/משמורת-מזונות-ההלכה-החדשה-במזונות-919-15/,https://jus-tice.co.il/psakdin/משמורת-מזונות-ההלכה-החדשה-במזונות-919-15/;https://jus-tice.co.il/psakdin/בעם-919-15-הלכת-המזונות-החדשה/;https://jus-tice.co.il/מחשבון-מזונות-ילדים/;https://jus-tice.co.il/psakdin/חיוב-אם-במזונות-תביעה-למזונות-והחזר-כס/;https://jus-tice.co.il/custody-alimony-ruling-new-919-15/,0c/95i/p54.2;0c/10i/p56.8;0c/5i/p90.6;0c/4i/p72.8;0c/1i/p46.0,WINNER;DIFFERENTIATE→;DIFFERENTIATE→;DIFFERENTIATE→;NOINDEX
הודעה מוקדמת עובד שעתי,הודעה מוקדמת עובד שעתי,LOW,0,115,https://jus-tice.co.il/notice-of-termination/,https://jus-tice.co.il/notice-of-termination/;https://jus-tice.co.il/notice-of-dismissal/,0c/114i/p38.3;0c/1i/p53.0,WINNER;DIFFERENTIATE→הודעה מוקדמת לפיטורים
הסכם ממון בין חברים,הסכם ממון בין חברים,LOW,0,115,https://jus-tice.co.il/prenup-attorney/,https://jus-tice.co.il/prenup-attorney/;https://jus-tice.co.il/prenuptial-agreements-overview/;https://jus-tice.co.il/מדריך-עדכני-להסכם-ממון/;https://jus-tice.co.il/living-apart-together-legal-rights/,0c/79i/p62.7;0c/17i/p61.5;0c/18i/p75.3;0c/1i/p100.0,WINNER;DIFFERENTIATE→הסכם ממון;DIFFERENTIATE→;DIFFERENTIATE→זוגיות פרק ב ללא מגורים משותפים
אביגדור דורות,אביגדור דורות,LOW,1,114,https://jus-tice.co.il/החלטה-בתיק-חדלות-פירעון-של-חברת-סטודיו-c/,https://jus-tice.co.il/החלטה-בתיק-חדלות-פירעון-של-חברת-סטודיו-c/;https://jus-tice.co.il/judge-decision-company-41109-07-21/;https://jus-tice.co.il/court-judge/,1c/112i/p14.0;0c/1i/p25.0;0c/1i/p67.0,WINNER;DIFFERENTIATE→השופט אביגדור דורות: החלטה בתיק חדלות פירעון של חברת;DIFFERENTIATE→מערכת המשפט בישראל
אימוץ בארץ,אימוץ בארץ,LOW,0,114,https://jus-tice.co.il/psakdin/אימוץ-ילד-מאוקראינה-תביעת-נזיקין-בגין/,https://jus-tice.co.il/psakdin/אימוץ-ילד-מאוקראינה-תביעת-נזיקין-בגין/;https://jus-tice.co.il/adoption-usa/;https://jus-tice.co.il/adoption-israel-guide/,0c/103i/p67.0;0c/9i/p87.2;0c/2i/p43.5,WINNER;DIFFERENTIATE→אימוץ ילדים 2018;DIFFERENTIATE→אימוץ ילדים בישראל
גולדן ויזה אירופה,גולדן ויזה אירופה,LOW,0,114,https://jus-tice.co.il/golden-visa/,https://jus-tice.co.il/golden-visa/;https://jus-tice.co.il/portugal-golden-visa/,0c/94i/p6.0;0c/20i/p32.1,WINNER;DIFFERENTIATE→גולדן ויזה פורטוגל
גישור גירושין בבאר שבע,גישור גירושין בבאר שבע,LOW,0,114,https://jus-tice.co.il/strategic-divorce-cost-planning/,https://jus-tice.co.il/strategic-divorce-cost-planning/;https://jus-tice.co.il/divorce-everything-you-need-to-know/;https://jus-tice.co.il/1520884-1/;https://jus-tice.co.il/trusted-divorce-attorney-guide/,0c/95i/p80.3;0c/11i/p83.4;0c/4i/p73.5;0c/4i/p80.8,WINNER;DIFFERENTIATE→עורך דין גירושין;DIFFERENTIATE→אישור הסכם גירושין בו נקבע חיוב מזונות שיוויוני;DIFFERENTIATE→בחירת עורך דין גירושין
דוח שמאי תקן 22,דוח שמאי תקן 22,LOW,0,114,https://jus-tice.co.il/real-estate-appraiser/,https://jus-tice.co.il/real-estate-appraiser/;https://jus-tice.co.il/is-a-law-for-the-settlement-of-family-disputes-successful/,0c/110i/p64.4;0c/4i/p83.2,WINNER;DIFFERENTIATE→החוק להסדר התדיינויות בסכסוכי משפחה
דירה להשקעה בארץ,דירה להשקעה בארץ,LOW,0,114,https://jus-tice.co.il/איפה-הכי-משתלם-למשקיע-הישראלי-לקנות-דירה-בעולם/,https://jus-tice.co.il/איפה-הכי-משתלם-למשקיע-הישראלי-לקנות-דירה-בעולם/;https://jus-tice.co.il/guide-israeli-apartment-2025/,0c/112i/p63.5;0c/2i/p26.5,WINNER;DIFFERENTIATE→איפה הכי כדאי לקנות דירה להשקעה
הוצאת אזרחות פורטוגלית,הוצאת אזרחות פורטוגל,LOW,0,114,https://jus-tice.co.il/portugal-citizenship/,https://jus-tice.co.il/portugal-citizenship/;https://jus-tice.co.il/articles/portugal-citizenship/,0c/112i/p72.2;0c/2i/p37.0,WINNER;DIFFERENTIATE→
הלשכה המרכזית לסטטיסטיקה גירושין,הלשכה המרכזית לסטטיסטיקה גירושין,LOW,0,114,https://jus-tice.co.il/סטטיסטיקה-על-גירושין/,https://jus-tice.co.il/סטטיסטיקה-על-גירושין/;https://jus-tice.co.il/divorce-statistics-israel/;https://jus-tice.co.il/מדריך-עדכני-לגירושין/;https://jus-tice.co.il/property-division-guide-updated-divorce-custody-infidelity/,0c/74i/p24.3;0c/2i/p1.0;0c/37i/p45.1;0c/1i/p25.0,"WINNER;DIFFERENTIATE→גירושין בישראל;DIFFERENTIATE→;DIFFERENTIATE→מעודכן למתגרשים בשנת : סטטיסטיקה גירושים, התמודדות"
הסכם שכר טרחה פינוי בינוי,הסכם שכר טרחה פינוי בינוי,LOW,1,114,https://jus-tice.co.il/דוגמא-להסכם-פינוי-בינוי/,https://jus-tice.co.il/דוגמא-להסכם-פינוי-בינוי/;https://jus-tice.co.il/lawyer-price-list-real-estate-2025/,1c/110i/p31.0;0c/4i/p41.2,"WINNER;DIFFERENTIATE→מחירון שירותי עורך דין נדל""ן"
איך לבחור עוד,איך לבחור עוד,LOW,0,113,https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/,https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/;https://jus-tice.co.il/choose-usa-attorney/;https://jus-tice.co.il/should-i-admit-guilt-to-my-criminal-defense-attorney/;https://jus-tice.co.il/rules-for-being-a-successful-lawyer/;https://jus-tice.co.il/,0c/101i/p9.6;0c/5i/p69.0;0c/1i/p20.0;0c/4i/p95.8;0c/2i/p93.0,WINNER;DIFFERENTIATE→הפצה בארצות הברית;DIFFERENTIATE→איך לבחור עורך דין פלילי;DIFFERENTIATE→עורך דין מצליח;DIFFERENTIATE→
בית המשפט לעניני משפחה,בית המשפט לעניני משפחה,LOW,0,113,https://jus-tice.co.il/family-court/,https://jus-tice.co.il/family-court/;https://jus-tice.co.il/articles/השופט-יחזקאל-אליהו-החלטה-בבקשה-לצרף-תו/,0c/110i/p74.8;0c/3i/p94.0,WINNER;DIFFERENTIATE→
הגשת ערר המכון הרפואי,הגשת ערר המכון הרפואי,LOW,0,113,https://jus-tice.co.il/medical-institute-for-road-safety/,https://jus-tice.co.il/medical-institute-for-road-safety/;https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,0c/100i/p41.4;0c/13i/p94.4,WINNER;DIFFERENTIATE→המכון הרפואי לבטיחות בדרכים תל אביב
איך כותבים הצעת חוק,איך כותבים הצעת חוק,LOW,0,112,https://jus-tice.co.il/articles/הצעת-חוק-דיני-ממונות-התשעא-2011-עם-הסברים/,https://jus-tice.co.il/articles/הצעת-חוק-דיני-ממונות-התשעא-2011-עם-הסברים/;https://jus-tice.co.il/legal-writing/,0c/106i/p32.0;0c/6i/p81.2,WINNER;DIFFERENTIATE→כתיבה משפטית
איך לתבוע חברת תעופה,איך לתבוע חברת תעופה,LOW,0,112,https://jus-tice.co.il/compensation-flight-delayed/,https://jus-tice.co.il/compensation-flight-delayed/;https://jus-tice.co.il/תק-25449-12-20-פלונית-ואח-נ-יונייטד-אירליינס-אינק/,0c/111i/p64.4;0c/1i/p27.0,WINNER;DIFFERENTIATE→
ארצות הברית נוסד,ארצות הברית נוסד,LOW,1,112,https://jus-tice.co.il/about-usa/,https://jus-tice.co.il/about-usa/;https://jus-tice.co.il/federal-bureau-of-investigation/,1c/110i/p4.0;0c/2i/p1.0,"WINNER;DIFFERENTIATE→FBI לשכת החקירות הפדרלית ארה""ב"
גישור גירושין באשדוד,גישור גירושין באשדוד,LOW,0,112,https://jus-tice.co.il/32292-3-רבני-אשדוד/,https://jus-tice.co.il/32292-3-רבני-אשדוד/;https://jus-tice.co.il/פסד-סידור-גט-לפני-הכרעה-בתביעות-הצדדים-37883-9-ביהד-אשדוד/,0c/109i/p62.7;0c/3i/p83.3,WINNER;DIFFERENTIATE→
דירות לקנייה ביוון,דירות לקנייה ביוון,LOW,0,112,https://jus-tice.co.il/buying-property-in-greece/,https://jus-tice.co.il/buying-property-in-greece/;https://jus-tice.co.il/greece-price-list/,0c/97i/p56.1;0c/15i/p50.8,WINNER;DIFFERENTIATE→דירות ביוון מחירים
דמי ביטוח לאומי שכיר,דמי ביטוח לאומי שכיר,LOW,0,112,https://jus-tice.co.il/מחשבון-דמי-ביטוח-לאומי-ובריאות/,https://jus-tice.co.il/מחשבון-דמי-ביטוח-לאומי-ובריאות/;https://jus-tice.co.il/national-insurance-calculator/,0c/111i/p27.8;0c/1i/p34.0,WINNER;DIFFERENTIATE→חישוב ביטוח לאומי
הודעה מוקדמת התפטרות,הודעה מוקדמת התפטרות,LOW,0,112,https://jus-tice.co.il/notice-of-termination/,https://jus-tice.co.il/notice-of-termination/;https://jus-tice.co.il/notice-of-dismissal/,0c/111i/p45.7;0c/1i/p78.0,WINNER;DIFFERENTIATE→הודעה מוקדמת לפיטורים
הזכויות של יוצרים עצמאיים,הזכויות של יוצרים עצמאיים,LOW,0,112,https://jus-tice.co.il/copyright/,https://jus-tice.co.il/copyright/;https://jus-tice.co.il/self-employed-and-freelancer/;https://jus-tice.co.il/psakdin/חוק-זכות-יוצרים-התשסח-2007/,0c/90i/p59.0;0c/21i/p52.4;0c/1i/p34.0,WINNER;DIFFERENTIATE→עצמאים ופרילנסרים;DIFFERENTIATE→
אזרחות פורטוגלית ליהודים צאצאי האינקוויזיציה,אזרחות פורטוגל ליהודים צאצאי האינקוויזיציה,LOW,0,111,https://jus-tice.co.il/portuguese-nationality-law-jewish-return/,https://jus-tice.co.il/portuguese-nationality-law-jewish-return/;https://jus-tice.co.il/portuguese-people/;https://jus-tice.co.il/portugal-citizenship/;https://jus-tice.co.il/immigration-to-portugal/,0c/97i/p38.0;0c/10i/p78.8;0c/3i/p81.3;0c/1i/p90.0,WINNER;DIFFERENTIATE→העם הפורטוגזי;DIFFERENTIATE→אזרחות פורטוגלית;MERGE-301→https://jus-tice.co.il/portugal-relocation/
איפה לגור בפורטו,איפה לגור בפורטו,LOW,0,111,https://jus-tice.co.il/buying-property-in-portugal/,https://jus-tice.co.il/guide-buying-property-portugal-israelis/;https://jus-tice.co.il/porto-portugal-real-estate/,0c/107i/p23.9;0c/4i/p44.2,"MERGE-301→https://jus-tice.co.il/buying-property-in-portugal/;DIFFERENTIATE→פורטו, פורטוגל - השקעות נדל""ן עבור ישראלים"
האם לעזוב את הבית לפני גירושים,האם לעזוב את הבית לפני גירושין,LOW,0,111,https://jus-tice.co.il/review-of-divorce-by-divorce-lawyer-israel/,https://jus-tice.co.il/review-of-divorce-by-divorce-lawyer-israel/;https://jus-tice.co.il/articles/חיוב-גט-וכתובה-במקרה-ששני-הצדדים-אינם-רוצים-זה/;https://jus-tice.co.il/psakdin/הנדון-המלצה-לגירושין/,0c/95i/p82.6;0c/10i/p63.7;0c/6i/p82.2,WINNER;DIFFERENTIATE→;DIFFERENTIATE→
הוצאת דרכון יווני,הוצאת דרכון יווני,LOW,1,111,https://jus-tice.co.il/דרכון-יווני-הגירה-רילוקיישן-מגורים-מה-הדרישות-והעלויות/,https://jus-tice.co.il/דרכון-יווני-הגירה-רילוקיישן-מגורים-מה-הדרישות-והעלויות/;https://jus-tice.co.il/passport-immigration-relocation-residence-costs/;https://jus-tice.co.il/greece-lawyers/,1c/87i/p6.1;0c/6i/p6.3;0c/18i/p38.4,WINNER;DIFFERENTIATE→דרכון יווני;DIFFERENTIATE→עורך דין יוון
אזרחות ספרדית דרך נישואים,אזרחות ספרדית דרך נישואים,LOW,0,110,https://jus-tice.co.il/spain-lawyers/,https://jus-tice.co.il/spain-lawyers/;https://jus-tice.co.il/portugal-citizenship/,0c/97i/p66.8;0c/13i/p78.0,WINNER;DIFFERENTIATE→אזרחות פורטוגלית
ביקורות על מאיה רוטנברג,ביקורות על מאיה רוטנברג,LOW,4,110,https://jus-tice.co.il/עורכי-דין/עורכת-דין-מאיה-רוטנברג/,https://jus-tice.co.il/עורכי-דין/עורכת-דין-מאיה-רוטנברג/;https://jus-tice.co.il/;https://jus-tice.co.il/עוד-גירושין-מומלץ-כיצד-למצוא-עורך-דין-גירושין-וכמה-עולה-להתגרש/,4c/108i/p9.5;0c/1i/p1.0;0c/1i/p19.0,WINNER;DIFFERENTIATE→;DIFFERENTIATE→
בקשה למזונות זמניים,בקשה למזונות זמניים,LOW,0,110,https://jus-tice.co.il/form-6-request-urgent-relief-dispute-settlement/,https://jus-tice.co.il/form-6-request-urgent-relief-dispute-settlement/;https://jus-tice.co.il/request-for-family-dispute-settlements/,0c/90i/p50.6;0c/20i/p60.5,WINNER;DIFFERENTIATE→בקשה ליישוב סכסוך דוגמא
דיני מזונות,דיני מזונות,LOW,0,110,https://jus-tice.co.il/practice-areas/family-law/,https://jus-tice.co.il/practice-areas/family-law/;https://jus-tice.co.il/family-law/;https://jus-tice.co.il/psakdin/בעם-919-15-הלכת-המזונות-החדשה/,0c/86i/p48.7;0c/13i/p89.6;0c/11i/p84.3,WINNER;DIFFERENTIATE→סיכום דיני משפחה;DIFFERENTIATE→
nif פורטוגל,nif פורטוגל,LOW,0,109,https://jus-tice.co.il/bank-account-in-portugal/,https://jus-tice.co.il/bank-account-in-portugal/;https://jus-tice.co.il/portugal-relocation/,0c/98i/p30.2;0c/11i/p23.3,WINNER;DIFFERENTIATE→רילוקיישן לפורטוגל
בקשה לקיום צוואה מסמכים,בקשה לקיום צוואה מסמכים,LOW,0,109,https://jus-tice.co.il/what-is-a-probate-order/,https://jus-tice.co.il/what-is-a-probate-order/;https://jus-tice.co.il/inheritance-order/;https://jus-tice.co.il/will-probate-objection/;https://jus-tice.co.il/articles/תע-45543-11-21-בקשה-לביטול-צו-קיום-צוואה-לאחר-גי/,0c/100i/p68.9;0c/4i/p96.2;0c/3i/p90.3;0c/2i/p96.0,WINNER;DIFFERENTIATE→טופס בקשה לצו ירושה;DIFFERENTIATE→הגשת התנגדות לצוואה;DIFFERENTIATE→
גירושין אחרי 30 שנה,גירושין אחרי 30 שנה,LOW,0,109,https://jus-tice.co.il/מדריך-עדכני-לגירושין/,https://jus-tice.co.il/מדריך-עדכני-לגירושין/;https://jus-tice.co.il/practice-areas/divorce/;https://jus-tice.co.il/property-division-guide-updated-divorce-custody-infidelity/;https://jus-tice.co.il/strategic-divorce-cost-planning/,0c/97i/p34.0;0c/5i/p31.0;0c/4i/p47.8;0c/3i/p52.7,"WINNER;DIFFERENTIATE→;DIFFERENTIATE→מעודכן למתגרשים בשנת : סטטיסטיקה גירושים, התמודדות;DIFFERENTIATE→גירושים חכמים : כך תנהלו את פתיחת הליך הגירושין"
גרמניה איירליינס חוות דעת,גרמניה איירליינס חוות דעת,LOW,0,109,https://jus-tice.co.il/small_claims/כרטיסי-טיסה-חברת-תעופה-פשטה-את-הרגל-סוכ/,https://jus-tice.co.il/small_claims/כרטיסי-טיסה-חברת-תעופה-פשטה-את-הרגל-סוכ/;https://jus-tice.co.il/hong-kong-lawyer/,0c/107i/p26.3;0c/2i/p64.5,WINNER;DIFFERENTIATE→עורך דין בהונג קונג
דרכון ליוצאי יוון,דרכון ליוצאי יוון,LOW,0,109,https://jus-tice.co.il/דרכון-יווני-הגירה-רילוקיישן-מגורים-מה-הדרישות-והעלויות/,https://jus-tice.co.il/דרכון-יווני-הגירה-רילוקיישן-מגורים-מה-הדרישות-והעלויות/;https://jus-tice.co.il/golden-visa/;https://jus-tice.co.il/greece-lawyers/,0c/105i/p8.2;0c/3i/p74.0;0c/1i/p94.0,WINNER;DIFFERENTIATE→ויזת זהב הונגריה;DIFFERENTIATE→עורך דין יוון
העברת כרטיס טיסה למישהו אחר,העברת כרטיס טיסה למישהו אחר,LOW,0,109,https://jus-tice.co.il/חוק-שירותי-תעופה-פיצוי-וסיוע-בשל-ביטול-טיסה-או-שינוי-בתנאיה-התשעב-2012/,https://jus-tice.co.il/חוק-שירותי-תעופה-פיצוי-וסיוע-בשל-ביטול-טיסה-או-שינוי-בתנאיה-התשעב-2012/;https://jus-tice.co.il/שופטת-טלי-חיימוביץ-פסד-קבלת-דבר-במרמה-בנסיבות-מחמירות-הלבנת-הון-עבירות-מנהלים-בתאגיד/,0c/108i/p64.2;0c/1i/p89.0,WINNER;DIFFERENTIATE→
