tier,id,type,url,title_db,yoast_title_override,meta_description,practice_area,word_count_est,created,last_modified,impressions_90d,clicks_90d,avg_position,path_norm,clicks_16mo,impressions_16mo,ctr_pct_16mo,avg_position_16mo,action,merge_target_url,primary_query,secondary_queries,intent,cluster_id,role,priority_wave,new_title,new_meta_description,rationale
4-negligible,20258,page,https://jus-tice.co.il/birth-injury-compensation/,"פיצויים בנזקי לידה: מוח, CP, שיתוק מוחין","פיצויים בנזקי לידה | מוח, CP, שיתוק מוחין | Jus-Tice",,,763,2026-05-23,2026-07-12,1,0,185.0,/birth-injury-compensation/,0.0,1.0,0.0,185.0,NOINDEX,,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/1i; low-value indexed footprint; retain accessible.
4-negligible,20377,page,https://jus-tice.co.il/medical-negligence-pregnancy/,רשלנות רפואית בהריון ולידה: מה שצריך לדעת,רשלנות רפואית בהריון ולידה | מה שצריך לדעת | Jus-Tice,,,378,2026-05-23,2026-07-12,1,0,81.0,/medical-negligence-pregnancy/,0.0,1.0,0.0,81.0,NOINDEX,,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/1i; low-value indexed footprint; retain accessible.
5-invisible (0 impressions/90d),1572,articles,https://jus-tice.co.il/medical-malpractice-1572/,מאגר מידע רשלנות רפואית,,,דיני נזיקין,74,2020-02-15,2026-05-16,0,0,0.0,/medical-malpractice-1572/,0.0,0.0,0.0,0.0,NOINDEX,,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
5-invisible (0 impressions/90d),8295,articles,https://jus-tice.co.il/medical-malpractice-witnesses-experts-testimony/,רשלנות רפואית ותפקידם של עדים מומחים: כיצד עדות מומחים יכולה לעזור לקורבנות רשלנות לחפש צדק,,,דיני נזיקין,653,2022-12-14,2026-05-16,0,0,0.0,/medical-malpractice-witnesses-experts-testimony/,0.0,0.0,0.0,0.0,NOINDEX,,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
5-invisible (0 impressions/90d),8321,articles,https://jus-tice.co.il/medical-malpractice/,מה לעשות דבר ראשון אם נפגעת מרשלנות רפואית,,,דיני נזיקין,415,2022-12-15,2026-05-16,0,0,0.0,/medical-malpractice/,0.0,0.0,0.0,0.0,NOINDEX,,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
5-invisible (0 impressions/90d),8396,articles,https://jus-tice.co.il/medical-malpractice-tips-damages-lawsuit/,טיפים כיצד למקסם את הפיצויים בתביעת רשלנות רפואית,,,דיני נזיקין,550,2023-01-10,2026-05-16,0,0,0.0,/medical-malpractice-tips-damages-lawsuit/,0.0,0.0,0.0,0.0,NOINDEX,,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
5-invisible (0 impressions/90d),8402,articles,https://jus-tice.co.il/medical-malpractice-lawsuit/,מסמכים חשובים לתביעת רשלנות רפואית,,,דיני נזיקין,509,2023-01-10,2026-05-16,0,0,0.0,/medical-malpractice-lawsuit/,0.0,0.0,0.0,0.0,NOINDEX,,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
5-invisible (0 impressions/90d),8498,articles,https://jus-tice.co.il/medical-malpractice-tips-20/,20 טיפים למניעת רשלנות רפואית,,,דיני נזיקין,291,2023-02-09,2026-05-16,0,0,0.0,/medical-malpractice-tips-20/,0.0,0.0,0.0,0.0,NOINDEX,,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
5-invisible (0 impressions/90d),8500,articles,https://jus-tice.co.il/medical-malpractice-tips-lawsuit-20/,20 טיפים לתביעת רשלנות רפואית,,,דיני נזיקין,1133,2023-02-09,2026-05-16,0,0,0.0,/medical-malpractice-tips-lawsuit-20/,0.0,0.0,0.0,0.0,NOINDEX,,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/0i; low-value indexed footprint; retain accessible.
5-invisible (0 impressions/90d),20241,page,https://jus-tice.co.il/%d7%a8%d7%a9%d7%9c%d7%a0%d7%95%d7%aa-%d7%a8%d7%a4%d7%95%d7%90%d7%99%d7%aa-%d7%91%d7%aa%d7%a8%d7%95%d7%a4%d7%95%d7%aa-%d7%9e%d7%99%d7%a0%d7%95%d7%9f-%d7%a9%d7%92%d7%95%d7%99-%d7%90%d7%9c%d7%a8%d7%92/,"רשלנות רפואית בתרופות: מינון שגוי, אלרגיה, תרופה לא נכונה","רשלנות רפואית בתרופות | מינון שגוי, אלרגיה, תרופה לא נכונה | Jus-Tice",,,669,2026-05-22,2026-07-12,0,0,0.0,/רשלנות-רפואית-בתרופות-מינון-שגוי-אלרג/,0.0,47.0,0.0,11.4,NOINDEX,,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/47i; low-value indexed footprint; retain accessible.
3-seen-not-clicked,20297,page,https://jus-tice.co.il/medical-malpractice-surgery/,"רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים","רשלנות בניתוח | סוגים, פיצויים ואיך מוכיחים | Jus-Tice",,,1760,2026-05-23,2026-07-12,1443,0,35.3,/medical-malpractice-surgery/,0.0,1443.0,0.0,35.3,REBUILD,,"רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים",site:jus-tice.co.il,informational-guide,medical-malpractice,cluster,1,"רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים","רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 0c/1443i; demand protected; attorney-led rebuild.
3-seen-not-clicked,11834,articles,https://jus-tice.co.il/medical-malpractice-lawyer-birth-recommended/,עורך דין רשלנות רפואית בלידה מומלץ,,,דיני נזיקין,19513,2025-01-14,2026-07-06,1020,0,51.9,/medical-malpractice-lawyer-birth-recommended/,0.0,1020.0,0.0,51.9,REBUILD,,עורך דין רשלנות רפואית בלידה מומלץ,,hire-lawyer,medical-malpractice,cluster,1,"עורך דין רשלנות רפואית בלידה מומלץ: שירותים, הליך ובחירת","עורך דין רשלנות רפואית בלידה מומלץ: שירותים, הליך ובחירת: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",16mo 0c/1020i; demand protected; attorney-led rebuild.
3-seen-not-clicked,12096,articles,https://jus-tice.co.il/medical-malpractice-lawyers-law-medical-israel/,עורכי דין מובילים בתחום רשלנות רפואית בעולם | עורכי הדין המובילים בתחום הרשלנות הרפואית בישראל,,,עורך דין,30497,2025-03-03,2026-07-02,979,0,55.1,/medical-malpractice-lawyers-law-medical-israel/,0.0,979.0,0.0,55.1,REBUILD,,עורכי דין מובילים בתחום רשלנות רפואית בעולם,דיני נזיקין רשלנות רפואית,hire-lawyer,medical-malpractice,cluster,1,"עורכי דין מובילים בתחום רשלנות רפואית בעולם: שירותים, הליך","עורכי דין מובילים בתחום רשלנות רפואית בעולם: שירותים, הליך: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",16mo 0c/979i; demand protected; attorney-led rebuild.
3-seen-not-clicked,8400,articles,https://jus-tice.co.il/medical-malpractice-pregnancy-birth/,רשלנות רפואית במהלך הריון ולידה רשימת דברים שכדאי לדעת,,,דיני נזיקין,496,2023-01-10,2026-05-16,359,0,77.1,/medical-malpractice-pregnancy-birth/,0.0,359.0,0.0,77.1,REBUILD,,רשלנות רפואית במהלך הריון ולידה רשימת דברים שכדאי,בהריון בסיכון רשלנות,informational-guide,medical-malpractice,cluster,1,רשלנות רפואית במהלך הריון ולידה רשימת דברים שכדאי,"רשלנות רפואית במהלך הריון ולידה רשימת דברים שכדאי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 0c/359i; demand protected; attorney-led rebuild.
3-seen-not-clicked,11489,articles,https://jus-tice.co.il/malpractice-cerebral-palsy/,רשלנות רפואית בנוגע לשיתוק מוחין,,,דיני נזיקין,1661,2024-09-08,2026-05-16,264,0,47.7,/malpractice-cerebral-palsy/,0.0,7408.0,0.0,70.1,REBUILD,,איך להגיש תביעת רשלנות רפואית בלידה,הוכחת רשלנות בלידה;היפוקסיה עוברית;גילוי שיתוק מוחין בהריון,informational-guide,medical-malpractice,cluster,1,איך להגיש תביעת רשלנות רפואית בלידה: מדריך משפטי מעשי,"איך להגיש תביעת רשלנות רפואית בלידה: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 0c/7408i; demand protected; attorney-led rebuild.
3-seen-not-clicked,20225,page,https://jus-tice.co.il/birth-injury/,"רשלנות רפואית בלידה: פיצויים, שיתוק מוחין ותביעה",פגיעה בלידה: זכויות התביעה של ההורים | Jus-Tice,,,4304,2026-05-22,2026-07-12,253,0,71.9,/birth-injury/,1.0,427.0,0.23,57.3,REBUILD,,"רשלנות רפואית בלידה: פיצויים, שיתוק מוחין ותביעה",,informational-guide,medical-malpractice,cluster,1,"רשלנות רפואית בלידה: פיצויים, שיתוק מוחין ותביעה","רשלנות רפואית בלידה: פיצויים, שיתוק מוחין ותביעה: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 1c/427i; demand protected; attorney-led rebuild.
3-seen-not-clicked,9648,articles,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,מהי רשלנות רפואית? הגדרה ודוגמאות,,,דיני נזיקין,2435,2023-06-07,2026-05-16,238,0,36.6,/what-is-medical-malpractice-definition-examples/,0.0,6895.0,0.0,43.7,REBUILD,,הוכחת רשלנות רפואית,אבחון שגוי ורשלנות רפואית;איך מוכיחים רשלנות רפואית;איך לתבוע רשלנות רפואית,informational-guide,medical-malpractice,cluster,1,הוכחת רשלנות רפואית: מדריך משפטי מעשי,"הוכחת רשלנות רפואית: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 0c/6895i; demand protected; attorney-led rebuild.
3-seen-not-clicked,8346,articles,https://jus-tice.co.il/medical-malpractice-israel-medical/,מקרי רשלנות רפואית בישראל | דוגמאות לרשלנות רפואית,,,דיני נזיקין,695,2023-01-03,2026-05-16,180,0,63.2,/medical-malpractice-israel-medical/,0.0,180.0,0.0,63.2,REBUILD,,מקרי רשלנות רפואית בישראל,,informational-guide,medical-malpractice,cluster,1,מקרי רשלנות רפואית בישראל: מדריך משפטי מעשי,"מקרי רשלנות רפואית בישראל: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 0c/180i; demand protected; attorney-led rebuild.
3-seen-not-clicked,11553,articles,https://jus-tice.co.il/medical-malpractice-lawyer-lawsuit-surgery-medical/,תביעת רשלנות רפואית בניתוח | עורך דין רשלנות רפואית בניתוח,,,דיני נזיקין,4737,2024-09-16,2026-05-16,168,0,76.9,/medical-malpractice-lawyer-lawsuit-surgery-medical/,0.0,168.0,0.0,76.9,REBUILD,,תביעת רשלנות רפואית בניתוח,,hire-lawyer,medical-malpractice,cluster,1,"תביעת רשלנות רפואית בניתוח: שירותים, הליך ובחירת ייצוג","תביעת רשלנות רפואית בניתוח: שירותים, הליך ובחירת ייצוג: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",16mo 0c/168i; demand protected; attorney-led rebuild.
2-low-traffic,20227,page,https://jus-tice.co.il/anesthesia-medical-malpractice/,"רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח","רשלנות ברדמה (אנסתזיה) | פיצויים, התעוררות בניתוח | Jus-Tice",,,6334,2026-05-22,2026-07-12,147,1,14.1,/anesthesia-medical-malpractice/,3.0,4037.0,0.07,39.7,REBUILD,,"רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח",הרדמה ספינלית תופעות לוואי;הרדמה באנגלית;אנסתזיה;הרדמה ספינלית;הרדמה בלוק,informational-guide,medical-malpractice,cluster,1,"רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח","רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 3c/4037i; demand protected; attorney-led rebuild.
2-low-traffic,6110,articles,https://jus-tice.co.il/medical-malpractice-lawsuit-pregnancy-20346-03-17/,"דחיית תביעה רשלנות רפואית הריון שהובילה לפטירתה של אם והעובר שנשאה ברחמה (ת""א 20346-03-17) מספר תיק",,,דיני נזיקין,17695,2021-08-26,2026-05-16,143,3,8.2,/medical-malpractice-lawsuit-pregnancy-20346-03-17/,3.0,143.0,2.1,8.2,REBUILD,,דחיית תביעה רשלנות רפואית הריון שהובילה לפטירתה של,ד ר רמי מאור,informational-guide,medical-malpractice,support,1,דחיית תביעה רשלנות רפואית הריון שהובילה לפטירתה של אם והעובר,"דחיית תביעה רשלנות רפואית הריון שהובילה לפטירתה של אם והעובר: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 3c/143i; demand protected; attorney-led rebuild.
3-seen-not-clicked,6861,articles,https://jus-tice.co.il/medical-malpractice-attorney/,שכר טרחה עורך דין רשלנות רפואית,,,דיני נזיקין,1684,2022-03-10,2026-05-16,140,0,27.1,/medical-malpractice-attorney/,0.0,140.0,0.0,27.1,REBUILD,,שכר טרחה עורך דין רשלנות רפואית,,cost/fees,medical-malpractice,cluster,1,שכר טרחה עורך דין רשלנות רפואית,"מחירים ושכר טרחה בנושא שכר טרחה עורך דין רשלנות רפואית: מה משפיע על העלות, מה כלול ואילו שאלות לבדוק. מידע מעודכן בבדיקת עו״ד.",16mo 0c/140i; demand protected; attorney-led rebuild.
3-seen-not-clicked,7674,articles,https://jus-tice.co.il/decision39696-06-16/,"פיצוי של 4,330,162 ₪ בגין רשלנות רפואית בטיפול ביילוד (היפוגליקמיה) ובהדרכת האם להנקתו ולהזנתו (ת""א 39696-06-16)",,,דיני נזיקין,19125,2022-08-29,2026-05-16,130,0,6.0,/decision39696-06-16/,6.0,913.0,0.66,39.9,REBUILD,,"פיצוי של 4,330,162 ₪ בגין רשלנות רפואית בטיפול",היפוגליקמיה ביילוד;אומדן סיעודי כללית,local,medical-malpractice,support,1,"פיצוי של 4,330,162 ₪ בגין רשלנות רפואית בטיפול ביילוד","פיצוי של 4,330,162 ₪ בגין רשלנות רפואית בטיפול ביילוד: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",16mo 6c/913i; demand protected; attorney-led rebuild.
2-low-traffic,10566,articles,https://jus-tice.co.il/decision55016-06-17a/,"השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית בטיפול שיניים שהוענק לתובעת (ת""א 55016-06-17)",,,דיני נזיקין,16476,2023-12-24,2026-05-16,120,2,7.8,/decision55016-06-17a/,14.0,1409.0,0.99,54.8,REBUILD,,"השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית",אורית ליפשיץ;השופטת אורית ליפשיץ;אורית ליפשיץ שופטת;איך תובעים רופא שניים;בית נר למצבה מחיר,informational-guide,medical-malpractice,support,1,"השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית בטיפול שיניים","השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית בטיפול שיניים: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 14c/1409i; demand protected; attorney-led rebuild.
2-low-traffic,7571,articles,https://jus-tice.co.il/decision50014-01-19/,"השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית המשפט בתיק רשלנות רפואית (ת""א 50014-01-19)",,,דיני נזיקין,3749,2022-07-15,2026-05-16,94,1,10.0,/decision50014-01-19/,34.0,2296.0,1.48,22.6,REBUILD,,השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית,יעל ייטב;בקשה למינוי מומחה מטעם בית המשפט דוגמא;הצהרת מומחה מטעם בית המשפט;01 19;המומחה+של+המומחה,informational-guide,medical-malpractice,support,1,השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית המשפט בתיק,"השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית המשפט בתיק: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 34c/2296i; demand protected; attorney-led rebuild.
2-low-traffic,11600,articles,https://jus-tice.co.il/10918-10-19/,"פס""ד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית ורשלנות בהליכי מתן הרישיון לעסוק ברפואה (ת""א 10918-10-19)",,,דיני נזיקין,33149,2024-10-01,2026-05-16,83,2,8.8,/10918-10-19/,2.0,149.0,1.34,18.3,REBUILD,,"פס""ד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית",,informational-guide,medical-malpractice,support,1,"פס""ד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית ורשלנות","פס""ד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית ורשלנות: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 2c/149i; demand protected; attorney-led rebuild.
3-seen-not-clicked,8349,articles,https://jus-tice.co.il/medical-malpractice-law/,חוק רשלנות רפואית,,,דיני נזיקין,527,2023-01-03,2026-05-16,75,0,62.0,/medical-malpractice-law/,0.0,75.0,0.0,62.0,REBUILD,,דיני נזיקין רשלנות רפואית,site:jus-tice.co.il,informational-guide,medical-malpractice,cluster,1,דיני נזיקין רשלנות רפואית: מדריך משפטי מעשי,"דיני נזיקין רשלנות רפואית: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 0c/75i; demand protected; attorney-led rebuild.
3-seen-not-clicked,11506,articles,https://jus-tice.co.il/brain-damage-at-birth/,נזק מוחי בלידה | תביעת נזק בעקבות רשלנות רפואית בלידה או בהריון,,,דיני נזיקין,3131,2024-09-09,2026-05-16,72,0,15.1,/brain-damage-at-birth/,0.0,72.0,0.0,15.1,REBUILD,,נזק מוחי בלידה,,informational-guide,medical-malpractice,cluster,1,נזק מוחי בלידה: מדריך משפטי מעשי,"נזק מוחי בלידה: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 0c/72i; demand protected; attorney-led rebuild.
3-seen-not-clicked,7616,articles,https://jus-tice.co.il/medical-malpractice-common-errors-doctors-hospitals/,רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים,,,דיני נזיקין,1320,2022-07-27,2026-05-16,64,0,60.7,/medical-malpractice-common-errors-doctors-hospitals/,0.0,5584.0,0.0,75.2,REBUILD,,רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים,אבחון שגוי ורשלנות רפואית,informational-guide,medical-malpractice,cluster,1,רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים,"רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",16mo 0c/5584i; demand protected; attorney-led rebuild.
