loser_url,winner_url,loser_clicks_16mo,loser_impressions_16mo,rationale
/real-estate-lawyer-guide/,/real-estate-attorney/,9.0,32247.0,16mo 9c/32247i vs 23c/130087i; duplicate; backlink-check.
/medical-malpractice-7583/,/medical-malpractice-israel-medical/,0.0,81.0,16mo 0c/81i vs 0c/180i; duplicate; backlink-check.
/real-estate-lawyer-afula/,/real-estate-attorney/,0.0,80.0,16mo 0c/80i vs 23c/130087i; duplicate; backlink-check.
/criminal-lawyer-kiryat-gat/,/criminal-defense-attorney/,0.0,78.0,16mo 0c/78i vs 12c/80964i; duplicate; backlink-check.
/family-law-netanya/,/divorce-everything-you-need-to-know/,2.0,49.0,16mo 2c/49i vs 6c/10245i; duplicate; backlink-check.
/petah-tikva-divorce-lawyer/,/divorce-everything-you-need-to-know/,1.0,39.0,16mo 1c/39i vs 6c/10245i; duplicate; backlink-check.
/lawyer-real-estate-laws-land-israel/,/real-estate-attorney/,0.0,34.0,16mo 0c/34i vs 23c/130087i; duplicate; backlink-check.
/criminal-lawyer-raanana/,/criminal-defense-attorney/,1.0,18.0,16mo 1c/18i vs 12c/80964i; duplicate; backlink-check.
/medical-malpractice-8269/,/what-is-medical-malpractice-definition-examples/,0.0,13.0,16mo 0c/13i vs 0c/6895i; duplicate; backlink-check.
/divorce-lawyer/,/divorce-everything-you-need-to-know/,0.0,7.0,16mo 0c/7i vs 6c/10245i; duplicate; backlink-check.
/lawyer-divorce-rights/,/divorce-everything-you-need-to-know/,0.0,6.0,16mo 0c/6i vs 6c/10245i; duplicate; backlink-check.
/drug-trafficking-2/,/drug-trafficking/,0.0,2.0,16mo 0c/2i vs 8c/11338i; duplicate; backlink-check.
/real-estate-lawyer-yavne/,/real-estate-attorney/,1.0,2.0,16mo 1c/2i vs 23c/130087i; duplicate; backlink-check.
/medical-malpractice-lawyer-recommended/,/medical-malpractice-lawyer/,0.0,1.0,16mo 0c/1i vs 1c/31945i; duplicate; backlink-check.
/speeding-ticket-guide/,/speeding/,0.0,1.0,16mo 0c/1i vs 0c/32294i; duplicate; backlink-check.
/drunk-driving-defense/,/driving-under-the-influence/,0.0,0.0,16mo 0c/0i vs 0c/22000i; duplicate; backlink-check.
/הרכב-מלא-בבגץ-דן-בעתירות-נגד-שינוי-הרכ-2/,/הרכב-מלא-בבגץ-דן-בעתירות-נגד-שינוי-הרכ/,0.0,0.0,16mo 0c/0i vs 0c/0i; duplicate; backlink-check.
/הרכב-מלא-בבגץ-דן-בעתירות-נגד-שינוי-הרכב/,/הרכב-מלא-בבגץ-דן-בעתירות-נגד-שינוי-הרכ/,0.0,0.0,16mo 0c/0i vs 0c/0i; duplicate; backlink-check.
/הרכב-מלא-בבגץ-דן-בעתירות-נגד-שינוי-הרכ-3/,/הרכב-מלא-בבגץ-דן-בעתירות-נגד-שינוי-הרכ/,0.0,0.0,16mo 0c/0i vs 0c/0i; duplicate; backlink-check.
/צו-ביניים-של-בגץ-בהליך-בחירת-מבקר-המדי-2/,/צו-ביניים-של-בגץ-בהליך-בחירת-מבקר-המדי/,0.0,0.0,16mo 0c/0i vs 0c/0i; duplicate; backlink-check.
/צו-ביניים-של-בגץ-בהליך-בחירת-מבקר-המדינ/,/צו-ביניים-של-בגץ-בהליך-בחירת-מבקר-המדי/,0.0,0.0,16mo 0c/0i vs 0c/0i; duplicate; backlink-check.
