cluster_id,pillar_url,role,intent,url,primary_query,new_title,priority_wave,clicks_16mo,impressions_16mo,action
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/klumpke-paralysis/,רשלנות רפואית בלידה: מה זה שיתוק קלומקה?,רשלנות רפואית בלידה: מה זה שיתוק קלומקה?,1,3.0,528.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/birth-injury/,"רשלנות רפואית בלידה: פיצויים, שיתוק מוחין ותביעה","רשלנות רפואית בלידה: פיצויים, שיתוק מוחין ותביעה",1,1.0,427.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,hire-lawyer,https://jus-tice.co.il/birth-injury-lawyer/,עורך דין לפגיעות לידה,"עורך דין לפגיעות לידה: שירותים, הליך ובחירת ייצוג",1,0.0,398.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/medical-malpractice-pregnancy-birth/,רשלנות רפואית במהלך הריון ולידה רשימת דברים שכדאי,רשלנות רפואית במהלך הריון ולידה רשימת דברים שכדאי,1,0.0,359.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/medical-malpractice-israel-medical/,מקרי רשלנות רפואית בישראל,מקרי רשלנות רפואית בישראל: מדריך משפטי מעשי,1,0.0,180.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,hire-lawyer,https://jus-tice.co.il/medical-malpractice-lawyer-lawsuit-surgery-medical/,תביעת רשלנות רפואית בניתוח,"תביעת רשלנות רפואית בניתוח: שירותים, הליך ובחירת ייצוג",1,0.0,168.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,cost/fees,https://jus-tice.co.il/medical-malpractice-attorney/,שכר טרחה עורך דין רשלנות רפואית,שכר טרחה עורך דין רשלנות רפואית,1,0.0,140.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/medical-malpractice-law/,דיני נזיקין רשלנות רפואית,דיני נזיקין רשלנות רפואית: מדריך משפטי מעשי,1,0.0,75.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/brain-damage-at-birth/,נזק מוחי בלידה,נזק מוחי בלידה: מדריך משפטי מעשי,1,0.0,72.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/medical-malpractice-statistics/,נתוני רשלנות רפואית בישראל 2026,רשלנות רפואית בישראל: נתונים וסטטיסטיקה 2026,1,1.0,24.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,pillar,hire-lawyer,https://jus-tice.co.il/medical-malpractice-lawyer/,עורך דין רשלנות רפואית,"עורך דין רשלנות רפואית | תביעה, פיצויים ובדיקת עילה",1,1.0,31945.0,KEEP-IMPROVE
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,support,informational-guide,https://jus-tice.co.il/decision50014-01-19/,השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית,השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית המשפט בתיק,1,34.0,2296.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,support,informational-guide,https://jus-tice.co.il/decision55016-06-17a/,"השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית","השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית בטיפול שיניים",1,14.0,1409.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,support,local,https://jus-tice.co.il/decision39696-06-16/,"פיצוי של 4,330,162 ₪ בגין רשלנות רפואית בטיפול","פיצוי של 4,330,162 ₪ בגין רשלנות רפואית בטיפול ביילוד",1,6.0,913.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,support,informational-guide,https://jus-tice.co.il/10918-10-19/,"פס""ד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית","פס""ד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית ורשלנות",1,2.0,149.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,support,informational-guide,https://jus-tice.co.il/medical-malpractice-lawsuit-pregnancy-20346-03-17/,דחיית תביעה רשלנות רפואית הריון שהובילה לפטירתה של,דחיית תביעה רשלנות רפואית הריון שהובילה לפטירתה של אם והעובר,1,3.0,143.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,support,informational-guide,https://jus-tice.co.il/medical-malpractice-judge-decision-lawsuit-4392-03-23/,השופטת אירית קלמן ברום: החלטה בתביעה בגין התיישנות,השופטת אירית קלמן ברום: החלטה בתביעה בגין התיישנות רשלנות,1,2.0,57.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,template/tool,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,בקשה לתעודת מידע פלילי,"בקשה לתעודת מידע פלילי: כלי, טופס והסבר משפטי",2,281.0,62861.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/police-records-data-deletion/,מחיקת רישום משטרתי,מחיקת רישום משטרתי: מדריך משפטי מעשי,2,11.0,47831.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,cost/fees,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,עורך דין פלילי מחירון,עורך דין פלילי מחירון,2,448.0,35161.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/sex-crime-lawyer/,הגנה משפטית עבירות מין,"הגנה משפטית עבירות מין: שירותים, הליך ובחירת ייצוג",2,38.0,33612.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/drug-related-crime/,עבירות סמים,עבירות סמים: מדריך משפטי מעשי,2,4.0,33288.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/lahav-433/,להב 433 טלפון,להב 433 טלפון: מדריך משפטי מעשי,2,390.0,28997.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/famous-criminal-defense-lawyer/,עורך דין פלילי מפורסם,"עורך דין פלילי מפורסם: שירותים, הליך ובחירת ייצוג",2,114.0,19273.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/what-is-money-laundering/,הלבנת הון,הלבנת הון: מדריך משפטי מעשי,2,24.0,18138.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/murder-in-united-states-law/,עבירת רצח ארצות הברית,"עבירת רצח ארצות הברית: שירותים, הליך ובחירת ייצוג",2,113.0,17784.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/shoplifting/,גניבה מחנות,גניבה מחנות: מדריך משפטי מעשי,2,268.0,17091.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/lawyer-near-me-criminal-law/,עורכי הדין להגנה פלילית הטובים ביותר בקרבתי - דירוגי,עורכי הדין להגנה פלילית הטובים ביותר בקרבתי - דירוגי,2,18.0,15650.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/sexual-offenses/,עבירת מין,עבירת מין: מדריך משפטי מעשי,2,17.0,14805.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/best-criminal-defence-lawyers-worldwide/,עורכי הדין הפליליים הטובים בעולם ובישראל,"עורכי הדין הפליליים הטובים בעולם ובישראל: שירותים, הליך",2,130.0,14210.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/posta/,פוסטה פשע,פוסטה פשע: מדריך משפטי מעשי,2,37.0,13086.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/everything-you-need-to-know-about-becoming-a-criminal-lawyer/,סנגור פלילי,"סנגור פלילי: שירותים, הליך ובחירת ייצוג",2,66.0,11907.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/arrested-abroad-il/,"מעצר בחו""ל - מה לעשות? מדריך לישראלי עצור במדינה זרה","מעצר בחו""ל - מה לעשות? מדריך לישראלי עצור במדינה זרה",2,119.0,9139.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/detention-days/,הארכת מעצר ימים,הארכת מעצר ימים: מדריך משפטי מעשי,2,13.0,8081.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/public-defender-annual-report-2019/,הסניגוריה הציבורית,הסניגוריה הציבורית: מדריך משפטי מעשי,2,24.0,7664.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/list-of-types-of-fraud/,עורך דין הונאות,"עורך דין הונאות: שירותים, הליך ובחירת ייצוג",2,44.0,7531.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/federal-bureau-of-investigation/,"FBI לשכת החקירות הפדרלית ארה""ב","FBI לשכת החקירות הפדרלית ארה""ב: שירותים, הליך ובחירת ייצוג",2,63.0,7344.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/israel-crime-statistics/,משטרת ישראל השנתון הסטטיסטי,משטרת ישראל השנתון הסטטיסטי: מדריך משפטי מעשי,2,14.0,6822.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/rape-us-law/,"אונס - הגנות ועונשים בארה""ב","אונס - הגנות ועונשים בארה""ב: מדריך משפטי מעשי",2,31.0,5961.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/crime/,דין פלילי,"דין פלילי: שירותים, הליך ובחירת ייצוג",2,27.0,5890.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/drug-offenses-criminal-lawyer/,הגנה משפטית עבירות סמים,"הגנה משפטית עבירות סמים: שירותים, הליך ובחירת ייצוג",2,27.0,5873.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/extension-of-detention-for-more-than-thirty-days/,הארכת מעצר,הארכת מעצר: מדריך משפטי מעשי,2,22.0,5801.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/miranda-warning/,אזהרת מירנדה,אזהרת מירנדה: מדריך משפטי מעשי,2,22.0,4372.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/prosecutor/,הגנה במשפט פלילי,הגנה במשפט פלילי: מדריך משפטי מעשי,2,14.0,3923.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/report-crime/,דווח,דווח: מדריך משפטי מעשי,2,35.0,3773.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/criminal-defenses/,הגנות פליליות,הגנות פליליות: מדריך משפטי מעשי,2,18.0,3318.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/sex-trafficking/,עורך דין סחר במין,"עורך דין סחר במין: שירותים, הליך ובחירת ייצוג",2,23.0,2437.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/child-pornography-laws-in-the-united-states/,חוקי פורנוגרפיית ילדים בארצות הברית,"חוקי פורנוגרפיית ילדים בארצות הברית: שירותים, הליך ובחירת",2,16.0,2411.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/request-for-extension-of-detention-beyond-nine-months/,בקשה להארכת מועד להישפט,בקשה להארכת מועד להישפט: מדריך משפטי מעשי,2,27.0,2192.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/standard-minimum-rules-for-treatment-of-prisoners/,כללי מינימום סטנדרטיים לטיפול באסירים לפי אמנת ז'נבה,כללי מינימום סטנדרטיים לטיפול באסירים לפי אמנת ז'נבה,2,25.0,2185.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,local,https://jus-tice.co.il/investigations-and-intelligence-division/,אגף החקירות והמודיעין של משטרת ישראל,"אגף החקירות והמודיעין של משטרת ישראל: שירותים, הליך ומחירים",2,25.0,2029.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/usa-arraignment-formal-reading-of-criminal-charging/,"מעצר בארה""ב שלב ההקראה - עו""ד פלילי ארה""ב","מעצר בארה""ב שלב ההקראה - עו""ד פלילי ארה""ב: שירותים, הליך",2,26.0,1533.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/most-famous-murder-acquittal-cases/,זיכוי מאשמת רצח: התיקים המפורסמים מי עורך הדין שייצג,זיכוי מאשמת רצח: התיקים המפורסמים מי עורך הדין שייצג,2,20.0,1388.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/benjamin-brafman/,benjamin brafman,"benjamin brafman: שירותים, הליך ובחירת ייצוג",2,16.0,1252.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/criminal-procedure-rights-investigation-israel/,תפקידו ודרכי עבודתו של עובד סוציאלי לעניין סדרי דין,תפקידו ודרכי עבודתו של עובד סוציאלי לעניין סדרי דין,2,4.0,462.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,cost/fees,https://jus-tice.co.il/criminal-offenses-lawyer-criminal-sentencing-process-arrest/,"עו""ד פלילי על סוגי עבירות פליליות","עו""ד פלילי על סוגי עבירות פליליות: מחירים ושכר טרחה 2026",2,4.0,418.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/criminal-prosecutions/,תביעות פלילי,"תביעות פלילי: שירותים, הליך ובחירת ייצוג",2,4.0,315.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,pillar,hire-lawyer,https://jus-tice.co.il/criminal-defense-attorney/,עורך דין פלילי,"עורך דין פלילי | ייעוץ בחקירה, מעצר וייצוג",2,12.0,80964.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,hire-lawyer,https://jus-tice.co.il/53431-10-21/,"עונש פלילי יוצר ערוץ הטלגרם ""תוצרת כחול לבן"" בגין","עונש פלילי יוצר ערוץ הטלגרם ""תוצרת כחול לבן"" בגין ריבוי",2,93.0,13735.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,informational-guide,https://jus-tice.co.il/decision42377-09-22/,פסק דין זיכוי מאישום תקיפת בת זוג,"פסק דין זיכוי מאישום תקיפת בת זוג | ת""פ 42377-09-22 מדינת",2,93.0,7251.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,informational-guide,https://jus-tice.co.il/decision22431-08-19/,פסק דין פלילי,פסק דין פלילי | בעלים של סוכנות דוגמנות הנאשם בעבירות מין,2,91.0,3880.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,informational-guide,https://jus-tice.co.il/35557-01-22/,"גז""ד למורשע בעבירות של חבלה חמורה בנסיבות מחמירות","גז""ד למורשע בעבירות של חבלה חמורה בנסיבות מחמירות כנגד בת",2,31.0,3382.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,hire-lawyer,https://jus-tice.co.il/17044-12-22/,"גזר דין למטפל שהורשע בעבירות מין (תפ""ח 17044-12-22)","גזר דין למטפל שהורשע בעבירות מין (תפ""ח 17044-12-22)",2,159.0,2737.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,hire-lawyer,https://jus-tice.co.il/decision71869-11-21/,פלילי: החלטה בערעור על חילוט רכב יוקרה בו נתפס נשק,פלילי: החלטה בערעור על חילוט רכב יוקרה בו נתפס נשק לא חוקי,2,20.0,2161.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,informational-guide,https://jus-tice.co.il/decision48240-04-17/,"זיכוי מעבירות איומים ערעור פס""ד תקיפת סתם כנגד בת","זיכוי מעבירות איומים ערעור פס""ד תקיפת סתם כנגד בת זוג (ע""פ",2,15.0,1909.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,informational-guide,https://jus-tice.co.il/decision37975-11-17/,הפחתה בעונש כסעד במסגרת הגנה מן הצדק- פגיעה בזכויות,הפחתה בעונש כסעד במסגרת הגנה מן הצדק- פגיעה בזכויות נאשם,2,22.0,1675.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,hire-lawyer,https://jus-tice.co.il/decision31783-04-21/,"הרשעה בביצוע עבירות מין בשתי נשים, ללא הסכמתן ותוך","הרשעה בביצוע עבירות מין בשתי נשים, ללא הסכמתן ותוך ניצול",2,36.0,1510.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,informational-guide,https://jus-tice.co.il/39514-09-19/,"פס""ד עונש בעבירות של מעשה מגונה, מעשה מגונה בנסיבות","פס""ד עונש בעבירות של מעשה מגונה, מעשה מגונה בנסיבות אינוס",2,33.0,1473.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,informational-guide,https://jus-tice.co.il/52923-11-20/,"גז""ד לנאשם בעבירות מין ברשת (תפ""ח 52923-11-20)","גז""ד לנאשם בעבירות מין ברשת (תפ""ח 52923-11-20)",2,37.0,1424.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,hire-lawyer,https://jus-tice.co.il/decision26671-07-21/,"גז""ד כולל סוגיות בנוגע לנפגעי עבירות מין (תפח""ע","גז""ד כולל סוגיות בנוגע לנפגעי עבירות מין (תפח""ע 26671-07-21)",2,82.0,1162.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,informational-guide,https://jus-tice.co.il/decision10297-09-21/,"פס""ד בערעור שעניינו חוקיות חיפוש סמים (ע""פ","פס""ד בערעור שעניינו חוקיות חיפוש סמים (ע""פ 10297-09-21)",2,11.0,1119.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,informational-guide,https://jus-tice.co.il/sex-offenses-criminal-law-defendant-offenses-family-28464-07-19/,דין פלילי: הרשעת נאשם בעבירות מין בבתו ואלימות כלפי,דין פלילי: הרשעת נאשם בעבירות מין בבתו ואלימות כלפי ילדיו,2,21.0,778.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,hire-lawyer,https://jus-tice.co.il/money-laundering-verdict-defendants-offenses-corporation-13268-09-15/,פסק דין נאשמים בגין קבלת דבר במרמה בנסיבות מחמירות,"פסק דין נאשמים בגין קבלת דבר במרמה בנסיבות מחמירות, הלבנת",2,15.0,424.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,template/tool,https://jus-tice.co.il/verdict-acquittal-law-complete-502-07/,"הזיכוי: הכרעת דין במשפט החוזר של רומן זדורוב (תפ""ח","הזיכוי: הכרעת דין במשפט החוזר של רומן זדורוב (תפ""ח 502-07)",2,14.0,219.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,hire-lawyer,https://jus-tice.co.il/law-defendant-offenses-69728-06-20/,"הכרעת דין לנאשם בעבירות של קבלת שוחד מיני, מרמה","הכרעת דין לנאשם בעבירות של קבלת שוחד מיני, מרמה והפרת אמונים",2,8.0,201.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,informational-guide,https://jus-tice.co.il/punishment-criminal-defendant-48-43418-01-21/,"48 חודשי מאסר: גז""ד עונש פלילי לנאשם באינוס ומעשה","48 חודשי מאסר: גז""ד עונש פלילי לנאשם באינוס ומעשה סדום",2,8.0,106.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,support,informational-guide,https://jus-tice.co.il/criminal-law-judge-punishment-defendant-offense-39682-07-20/,השופטת אסתר הלמן: עונש גזר דין פלילי נאשם עבירת,השופטת אסתר הלמן: עונש גזר דין פלילי נאשם עבירת תקיפת אישה,2,6.0,53.0,KEEP-IMPROVE
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/detention-before-charge-or-trial/,הארכת מעצר עד תום ההליכים,הארכת מעצר עד תום ההליכים: מדריך משפטי מעשי,3,2.0,11390.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/drug-trafficking/,פסקי דין סחר בסמים,פסקי דין סחר בסמים: מדריך משפטי מעשי,3,8.0,11338.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/drug-possession/,החזקת סמים,החזקת סמים: מדריך משפטי מעשי,3,7.0,9739.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/expungement-of-criminal-records/,בקשת חנינה מחיקת רישום פלילי,בקשת חנינה מחיקת רישום פלילי: מדריך משפטי מעשי,3,3.0,9061.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/israel-police/,משטרת ישראל,משטרת ישראל: מדריך משפטי מעשי,3,9.0,6818.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/cybersex-trafficking/,עורך דין סחר במין סייבר,"עורך דין סחר במין סייבר: שירותים, הליך ובחירת ייצוג",3,17.0,3875.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/criminal-negligence/,רשלנות פלילית,רשלנות פלילית: מדריך משפטי מעשי,3,12.0,3205.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/marijuana-possession-us-law/,החזקת מריחואנה,החזקת מריחואנה: מדריך משפטי מעשי,3,15.0,2515.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,hire-lawyer,https://jus-tice.co.il/should-i-admit-guilt-to-my-criminal-defense-attorney/,איך לבחור עורך דין פלילי,"איך לבחור עורך דין פלילי: שירותים, הליך ובחירת ייצוג",3,15.0,2493.0,REBUILD
criminal,https://jus-tice.co.il/criminal-defense-attorney/,cluster,informational-guide,https://jus-tice.co.il/benzur-korb-co/,בן צור קורב,בן צור קורב: מדריך משפטי מעשי,3,12.0,2345.0,REBUILD
