family_head_term,family_key,severity,competing_url,clicks,impressions,position,designated_winner,resolution
06 21,06 21,MEDIUM,https://jus-tice.co.il/articles/השופט-יחזקאל-אליהו-החלטה-בבקשה-לצרף-תו/,0,2,66.0,https://jus-tice.co.il/psakdin/פיצוי-בגין-מעצר-שווא-צא-24231-06-21/,DIFFERENTIATE→
06 21,06 21,MEDIUM,https://jus-tice.co.il/השופט-ארז-שני-פסד-בתביעת-אב-למשמורת-וחלוקת-זמני-שהות-שווים-תלהמ-64033-06-21/,0,1,62.0,https://jus-tice.co.il/psakdin/פיצוי-בגין-מעצר-שווא-צא-24231-06-21/,DIFFERENTIATE→
07/18,07 18,LOW,https://jus-tice.co.il/משמורת-בלעדית-לאם-ושיתופיות-יחסית-במסגרת-איזון-משאבים-תלהמ-37049-07-18/,0,19,44.2,https://jus-tice.co.il/משמורת-בלעדית-לאם-ושיתופיות-יחסית-במסגרת-איזון-משאבים-תלהמ-37049-07-18/,WINNER
07/18,07 18,LOW,https://jus-tice.co.il/סכסוך-בין-אלמנה-וילדיה-ואמו-של-הנפטר-הנוגעות-לזכויות-על-דירה-תמש-7662-07-18/,0,2,76.5,https://jus-tice.co.il/משמורת-בלעדית-לאם-ושיתופיות-יחסית-במסגרת-איזון-משאבים-תלהמ-37049-07-18/,DIFFERENTIATE→
07 19,07 19,MEDIUM,https://jus-tice.co.il/33316-07-19/,0,5,31.8,https://jus-tice.co.il/33316-07-19/,WINNER
07 19,07 19,MEDIUM,https://jus-tice.co.il/75054-07-19/,0,3,42.0,https://jus-tice.co.il/33316-07-19/,DIFFERENTIATE→תביעה נגד מנהל עזבון בטענה שלא השכיר נכסים שהיו
07 19,07 19,MEDIUM,https://jus-tice.co.il/הרשעת-נאשם-בעבירות-מין-בבתו-ואלימות-כלפי-ילדיו/,0,1,72.0,https://jus-tice.co.il/33316-07-19/,DIFFERENTIATE→
07 20,07 20,MEDIUM,https://jus-tice.co.il/מאסר-בגין-הטרדה-מינית-והתנכלות-באמצעות-רשת-הטלגרם-תפ-43967-07-20/,0,7,51.0,https://jus-tice.co.il/מאסר-בגין-הטרדה-מינית-והתנכלות-באמצעות-רשת-הטלגרם-תפ-43967-07-20/,WINNER
07 20,07 20,MEDIUM,https://jus-tice.co.il/decision48940-07-20/,0,2,87.5,https://jus-tice.co.il/מאסר-בגין-הטרדה-מינית-והתנכלות-באמצעות-רשת-הטלגרם-תפ-43967-07-20/,"DIFFERENTIATE→שופט רן ארנון: פיצוי 160,000 ש""ח בתביעת נזיקין של"
07 20,07 20,MEDIUM,https://jus-tice.co.il/עונש-פלילי-על-הפצת-תכנים-מיניים-בטלגרם-גזר-דין/,0,2,88.5,https://jus-tice.co.il/מאסר-בגין-הטרדה-מינית-והתנכלות-באמצעות-רשת-הטלגרם-תפ-43967-07-20/,DIFFERENTIATE→
07 21,07 21,LOW,https://jus-tice.co.il/decision26671-07-21/,0,5,47.4,https://jus-tice.co.il/decision26671-07-21/,WINNER
07 21,07 21,LOW,https://jus-tice.co.il/פסד-בתובענות-בגין-לשון-הרע-תביעה-להשבה-ותביעה-כספית-בין-בני-זוג-לשעבר-תמש-12289-07-21/,0,1,43.0,https://jus-tice.co.il/decision26671-07-21/,DIFFERENTIATE→
07 21,07 21,LOW,https://jus-tice.co.il/מדינת-ישראל-נ-קרפל/,0,1,90.0,https://jus-tice.co.il/decision26671-07-21/,DIFFERENTIATE→
08 19,08 19,MEDIUM,https://jus-tice.co.il/מועד-הקרע-בגירושין-לצורך-איזון-משאבים-בין-בני-זוג-לשעבר-תלהמ-23952-08-19/,0,22,19.3,https://jus-tice.co.il/מועד-הקרע-בגירושין-לצורך-איזון-משאבים-בין-בני-זוג-לשעבר-תלהמ-23952-08-19/,WINNER
08 19,08 19,MEDIUM,https://jus-tice.co.il/תובענות-עזבון-שמנהלים-שני-אחים-בשל-שתי-צוואות-שהותירה-אמם-תע-62835-08-19/,0,18,39.4,https://jus-tice.co.il/מועד-הקרע-בגירושין-לצורך-איזון-משאבים-בין-בני-זוג-לשעבר-תלהמ-23952-08-19/,DIFFERENTIATE→
08 19,08 19,MEDIUM,https://jus-tice.co.il/decision22431-08-19/,0,13,36.2,https://jus-tice.co.il/מועד-הקרע-בגירושין-לצורך-איזון-משאבים-בין-בני-זוג-לשעבר-תלהמ-23952-08-19/,DIFFERENTIATE→פסק דין פלילי
08 19,08 19,MEDIUM,https://jus-tice.co.il/articles/תא-39115-08-19-פלוני-נ-אלימלך-ואח/,0,8,74.0,https://jus-tice.co.il/מועד-הקרע-בגירושין-לצורך-איזון-משאבים-בין-בני-זוג-לשעבר-תלהמ-23952-08-19/,DIFFERENTIATE→
09 22,09 22,MEDIUM,https://jus-tice.co.il/8935-09-22/,0,10,22.25,https://jus-tice.co.il/8935-09-22/,WINNER
09 22,09 22,MEDIUM,https://jus-tice.co.il/decision42377-09-22/,0,14,33.55,https://jus-tice.co.il/8935-09-22/,DIFFERENTIATE→פסק דין זיכוי מאישום תקיפת בת זוג
09 22,09 22,MEDIUM,https://jus-tice.co.il/wp-content/uploads/2023/12/42377-09-22.pdf/,0,4,46.2,https://jus-tice.co.il/8935-09-22/,DIFFERENTIATE→
1 ביטקויין,1 ביטקויין,MEDIUM,https://jus-tice.co.il/what-is-bitcoin/,0,2,50.0,https://jus-tice.co.il/what-is-bitcoin/,WINNER
1 ביטקויין,1 ביטקויין,MEDIUM,https://jus-tice.co.il/what-is-bitcoin-and-how-does-it-work/,0,3,86.0,https://jus-tice.co.il/what-is-bitcoin/,DIFFERENTIATE→איך ביטקוין עובד
10 טעויות נפוצות של גברים בהליך גירושין,10 טעויות נפוצות של גברים בהליך גירושין,HIGH,https://jus-tice.co.il/review-of-divorce-by-divorce-lawyer-israel/,0,25,40.3,https://jus-tice.co.il/review-of-divorce-by-divorce-lawyer-israel/,WINNER
10 טעויות נפוצות של גברים בהליך גירושין,10 טעויות נפוצות של גברים בהליך גירושין,HIGH,https://jus-tice.co.il/מדריך-עדכני-לגירושין/,0,14,41.4,https://jus-tice.co.il/review-of-divorce-by-divorce-lawyer-israel/,DIFFERENTIATE→
10 טעויות נפוצות של גברים בהליך גירושין,10 טעויות נפוצות של גברים בהליך גירושין,HIGH,https://jus-tice.co.il/הטריקים-המלוכלכים-ביותר-לגירושין/,0,1,86.0,https://jus-tice.co.il/review-of-divorce-by-divorce-lawyer-israel/,DIFFERENTIATE→
10 משרדי עורכי הדין הגדולים,10 משרדי עורכי הדין הגדולים,MEDIUM,https://jus-tice.co.il/מדריכי-דירוג-עורכי-דין-מובילים-ושיטות-דירוג/,0,2,17.0,https://jus-tice.co.il/מדריכי-דירוג-עורכי-דין-מובילים-ושיטות-דירוג/,WINNER
10 משרדי עורכי הדין הגדולים,10 משרדי עורכי הדין הגדולים,MEDIUM,https://jus-tice.co.il/טיפים-לעוד-כיצד-להכנס-למדריכים-דירוג-עורכי-הדין-המובילים-בעעולם/,0,1,27.0,https://jus-tice.co.il/מדריכי-דירוג-עורכי-דין-מובילים-ושיטות-דירוג/,DIFFERENTIATE→
10 שלבים בדרך לרכישת דירה,10 שלבים בדרך לרכישת דירה,MEDIUM,https://jus-tice.co.il/buying-property-in-greece/,0,39,72.4,https://jus-tice.co.il/buying-property-in-greece/,WINNER
10 שלבים בדרך לרכישת דירה,10 שלבים בדרך לרכישת דירה,MEDIUM,https://jus-tice.co.il/apartment/,0,19,78.6,https://jus-tice.co.il/buying-property-in-greece/,DIFFERENTIATE→דירות בחו
10 שלבים בדרך לרכישת דירה,10 שלבים בדרך לרכישת דירה,MEDIUM,https://jus-tice.co.il/articles/מדריך-מקיף-לקניית-דירה-ראשונה/,0,10,68.3,https://jus-tice.co.il/buying-property-in-greece/,DIFFERENTIATE→
10 שלבים בדרך לרכישת דירה,10 שלבים בדרך לרכישת דירה,MEDIUM,https://jus-tice.co.il/low-value-invest-abroad/,0,8,87.0,https://jus-tice.co.il/buying-property-in-greece/,DIFFERENTIATE→איפה הכי זול לקנות דירה בעולם
10 שלבים בדרך לרכישת דירה,10 שלבים בדרך לרכישת דירה,MEDIUM,https://jus-tice.co.il/spain-real-estate/,0,2,92.5,https://jus-tice.co.il/buying-property-in-greece/,DIFFERENTIATE→קניית בית בספרד
10 שלבים בדרך לרכישת דירה,10 שלבים בדרך לרכישת דירה,MEDIUM,https://jus-tice.co.il/real-estate-usa/,0,1,73.0,https://jus-tice.co.il/buying-property-in-greece/,"DIFFERENTIATE→עורך דין מקרקעין ונדל""ן ארה""ב"
10 שלבים בדרך לרכישת דירה,10 שלבים בדרך לרכישת דירה,MEDIUM,https://jus-tice.co.il/איפה-הכי-משתלם-למשקיע-הישראלי-לקנות-דירה-בעולם/,0,1,99.0,https://jus-tice.co.il/buying-property-in-greece/,DIFFERENTIATE→
12:20,12 20,LOW,https://jus-tice.co.il/74657-12-20/,0,49,68.2,https://jus-tice.co.il/74657-12-20/,WINNER
12:20,12 20,LOW,https://jus-tice.co.il/decision75385-12-20/,0,3,93.75,https://jus-tice.co.il/74657-12-20/,"DIFFERENTIATE→השופט עדי הדר: פס""ד בשתי תביעות בגין לשון הרע נגד"
15 השפות המדוברות ביותר בארצות הברית,15 השפות המדוברות ביותר בארצות הברית,LOW,https://jus-tice.co.il/about-usa/,0,21,21.3,https://jus-tice.co.il/about-usa/,WINNER
15 השפות המדוברות ביותר בארצות הברית,15 השפות המדוברות ביותר בארצות הברית,LOW,https://jus-tice.co.il/portuguese-people/,0,1,66.0,https://jus-tice.co.il/about-usa/,DIFFERENTIATE→העם הפורטוגזי
35787-02,35787 02,HIGH,https://jus-tice.co.il/what-is-a-probate-order/,0,3,27.7,https://jus-tice.co.il/what-is-a-probate-order/,WINNER
35787-02,35787 02,HIGH,https://jus-tice.co.il/verdict-apartment-ownership-35787-02-22/,0,3,30.3,https://jus-tice.co.il/what-is-a-probate-order/,NOINDEX
35787-02,35787 02,HIGH,https://jus-tice.co.il/קטגוריות-מאמרים/דיני-משפחה/פסקי-דין-גירושיו-דיני-משפחה-2022/,0,5,68.8,https://jus-tice.co.il/what-is-a-probate-order/,DIFFERENTIATE→
35787-02,35787 02,HIGH,https://jus-tice.co.il/articles/פסד-בתובענה-של-אישה-לביצוע-פסד-בנוגע-ל/,0,2,41.5,https://jus-tice.co.il/what-is-a-probate-order/,DIFFERENTIATE→
35787-02,35787 02,HIGH,https://jus-tice.co.il/kl-gates/,0,2,75.5,https://jus-tice.co.il/what-is-a-probate-order/,DIFFERENTIATE→קיי אנד אל גייטס (משרד עורכי דין)
35787-02,35787 02,HIGH,https://jus-tice.co.il/cohabitation-agreement/,0,1,65.0,https://jus-tice.co.il/what-is-a-probate-order/,DIFFERENTIATE→הסכם חיים משותפים דוגמא
36000 ברוטו,36000 ברוטו,MEDIUM,https://jus-tice.co.il/מדריך-החזרי-מס-עם-מחשבון/,0,2,40.0,https://jus-tice.co.il/מדריך-החזרי-מס-עם-מחשבון/,WINNER
36000 ברוטו,36000 ברוטו,MEDIUM,https://jus-tice.co.il/israel-real-estate-price-forecast/,0,2,62.0,https://jus-tice.co.il/מדריך-החזרי-מס-עם-מחשבון/,"DIFFERENTIATE→מחירים עדכניים ותחזית לשוק הנדל""ן"
433,433,LOW,https://jus-tice.co.il/lahav-433/,0,19,22.0,https://jus-tice.co.il/lahav-433/,WINNER
433,433,LOW,https://jus-tice.co.il/lahav-433-guide/,0,2,23.5,https://jus-tice.co.il/lahav-433/,DIFFERENTIATE→היחידה הארצית לחקירות הונאה
446 מקרית גת לירושלים,446 מקרית גת לירושלים,LOW,https://jus-tice.co.il/תחנות-משטרה-כתובת-טלפון-רשימה-ארצית-מעודכן/,0,16,49.4,https://jus-tice.co.il/תחנות-משטרה-כתובת-טלפון-רשימה-ארצית-מעודכן/,WINNER
446 מקרית גת לירושלים,446 מקרית גת לירושלים,LOW,https://jus-tice.co.il/תפ69728-06-20מדינת-ישראל-נ-סולומון/,0,1,51.0,https://jus-tice.co.il/תחנות-משטרה-כתובת-טלפון-רשימה-ארצית-מעודכן/,DIFFERENTIATE→
5 המובילים בדירוג,5 המובילים בדירוג,LOW,https://jus-tice.co.il/dun-bradstreet/,0,39,61.8,https://jus-tice.co.il/dun-bradstreet/,WINNER
5 המובילים בדירוג,5 המובילים בדירוג,LOW,https://jus-tice.co.il/rotenberg-law-top-ranked-family-divorce-mediation/,0,1,86.0,https://jus-tice.co.il/dun-bradstreet/,DIFFERENTIATE→דירוג משרדי עורכי דין דיני משפחה
50-31,50 31,MEDIUM,https://jus-tice.co.il/articles/ערעור-פלילי-מס-50-31-בבית-המשפט-העליון-בשב/,0,5,5.0,https://jus-tice.co.il/articles/ערעור-פלילי-מס-50-31-בבית-המשפט-העליון-בשב/,WINNER
50-31,50 31,MEDIUM,https://jus-tice.co.il/court-appeal-criminal-tax-house-50/,0,5,24.67,https://jus-tice.co.il/articles/ערעור-פלילי-מס-50-31-בבית-המשפט-העליון-בשב/,NOINDEX
50 מיקרוגרם אלכוהול,50 מיקרוגרם אלכוהול,LOW,https://jus-tice.co.il/blood-alcohol-content-breathalyzer/,0,9,64.6,https://jus-tice.co.il/blood-alcohol-content-breathalyzer/,WINNER
50 מיקרוגרם אלכוהול,50 מיקרוגרם אלכוהול,LOW,https://jus-tice.co.il/דין-וחשבון-לעניין-תקנות-בנושא-בדיקות-שכרות-לנהגים/,0,1,54.0,https://jus-tice.co.il/blood-alcohol-content-breathalyzer/,DIFFERENTIATE→
500 החברות הגדולות בישראל,500 החברות הגדולות בישראל,MEDIUM,https://jus-tice.co.il/dun-bradstreet/,0,2,71.0,https://jus-tice.co.il/dun-bradstreet/,WINNER
500 החברות הגדולות בישראל,500 החברות הגדולות בישראל,MEDIUM,https://jus-tice.co.il/bdi-coface/,0,1,75.0,https://jus-tice.co.il/dun-bradstreet/,DIFFERENTIATE→bdi coface
500 החברות הגדולות בישראל,500 החברות הגדולות בישראל,MEDIUM,https://jus-tice.co.il/the-legal-500/,0,1,95.0,https://jus-tice.co.il/dun-bradstreet/,DIFFERENTIATE→legal 500
5988,5988,MEDIUM,https://jus-tice.co.il/5988-21/,0,4,12.5,https://jus-tice.co.il/5988-21/,WINNER
5988,5988,MEDIUM,https://jus-tice.co.il/בגץ-5988/21-סמכות-בתי-הדין-הרבניים-במזונות-ילדים/,0,3,37.7,https://jus-tice.co.il/5988-21/,DIFFERENTIATE→
60 קמש מעל המותר,60 קמש מעל המותר,MEDIUM,https://jus-tice.co.il/speeding/,0,11,59.0,https://jus-tice.co.il/speeding/,WINNER
60 קמש מעל המותר,60 קמש מעל המותר,MEDIUM,https://jus-tice.co.il/wp-content/uploads/2020/01/hana_v9.32.88s.pdf/,0,7,73.4,https://jus-tice.co.il/speeding/,DIFFERENTIATE→
7808,7808,MEDIUM,https://jus-tice.co.il/בעלות-על-זכויות-בנייה-בגגות-הלכת-בית-הדר/,0,10,36.3,https://jus-tice.co.il/בעלות-על-זכויות-בנייה-בגגות-הלכת-בית-הדר/,WINNER
7808,7808,MEDIUM,https://jus-tice.co.il/7808/21/,0,5,33.4,https://jus-tice.co.il/בעלות-על-זכויות-בנייה-בגגות-הלכת-בית-הדר/,DIFFERENTIATE→
8500 ברוטו כמה זה נטו,8500 ברוטו כמה זה נטו,MEDIUM,https://jus-tice.co.il/מדריך-החזרי-מס-עם-מחשבון/,0,22,41.2,https://jus-tice.co.il/מדריך-החזרי-מס-עם-מחשבון/,WINNER
8500 ברוטו כמה זה נטו,8500 ברוטו כמה זה נטו,MEDIUM,https://jus-tice.co.il/psakdin/פסד-בתביעה-להפחתת-מזונות-ילדים-שנקבעו/,0,9,57.4,https://jus-tice.co.il/מדריך-החזרי-מס-עם-מחשבון/,DIFFERENTIATE→
900/31,900 31,LOW,https://jus-tice.co.il/articles/תביעה-עס-90031-בעילות-של-הטרדה-מינית-תקי/,0,5,4.67,https://jus-tice.co.il/articles/תביעה-עס-90031-בעילות-של-הטרדה-מינית-תקי/,WINNER
900/31,900 31,LOW,https://jus-tice.co.il/defamation-lawsuit-900-31/,0,1,9.0,https://jus-tice.co.il/articles/תביעה-עס-90031-בעילות-של-הטרדה-מינית-תקי/,NOINDEX
919/15,919 15,MEDIUM,https://jus-tice.co.il/psakdin/משמורת-מזונות-ההלכה-החדשה-במזונות-919-15/,0,78,34.4,https://jus-tice.co.il/psakdin/משמורת-מזונות-ההלכה-החדשה-במזונות-919-15/,WINNER
919/15,919 15,MEDIUM,https://jus-tice.co.il/psakdin/חיוב-אם-במזונות-תביעה-למזונות-והחזר-כס/,0,42,79.4,https://jus-tice.co.il/psakdin/משמורת-מזונות-ההלכה-החדשה-במזונות-919-15/,DIFFERENTIATE→
919/15,919 15,MEDIUM,https://jus-tice.co.il/child-support/,0,1,27.0,https://jus-tice.co.il/psakdin/משמורת-מזונות-ההלכה-החדשה-במזונות-919-15/,DIFFERENTIATE→מחשבון מזונות
919/15,919 15,MEDIUM,https://jus-tice.co.il/ruling-alimony-new-919-15/,0,1,95.0,https://jus-tice.co.il/psakdin/משמורת-מזונות-ההלכה-החדשה-במזונות-919-15/,NOINDEX
ai למשפטנים,ai למשפטנים,MEDIUM,https://jus-tice.co.il/ai-for-law-firms/,0,1,54.0,https://jus-tice.co.il/ai-for-law-firms/,WINNER
ai למשפטנים,ai למשפטנים,MEDIUM,https://jus-tice.co.il/lawyer-ai-course/,0,1,79.0,https://jus-tice.co.il/ai-for-law-firms/,DIFFERENTIATE→קורס ai לעורכי דין
ai משפטי,ai משפטי,LOW,https://jus-tice.co.il/legal_informaticsartificial_intelligence/,2,33,31.7,https://jus-tice.co.il/legal_informaticsartificial_intelligence/,WINNER
ai משפטי,ai משפטי,LOW,https://jus-tice.co.il/ai-for-law-firms/,0,8,41.5,https://jus-tice.co.il/legal_informaticsartificial_intelligence/,DIFFERENTIATE→דין רגע - בינה מלאכותית (ai) לעורכי דין
ai משפטי,ai משפטי,LOW,https://jus-tice.co.il/lawyer-ai-course/,0,2,72.0,https://jus-tice.co.il/legal_informaticsartificial_intelligence/,DIFFERENTIATE→קורס ai לעורכי דין
ai משפטי חינם,ai משפטי חינם,MEDIUM,https://jus-tice.co.il/legal_informaticsartificial_intelligence/,0,1,19.0,https://jus-tice.co.il/legal_informaticsartificial_intelligence/,WINNER
ai משפטי חינם,ai משפטי חינם,MEDIUM,https://jus-tice.co.il/ai-for-law-firms/,0,2,47.0,https://jus-tice.co.il/legal_informaticsartificial_intelligence/,DIFFERENTIATE→דין רגע - בינה מלאכותית (ai) לעורכי דין
ai לעורכי דין,ai עורך דין,MEDIUM,https://jus-tice.co.il/lawyer-ai-course/,0,130,42.45,https://jus-tice.co.il/lawyer-ai-course/,WINNER
ai לעורכי דין,ai עורך דין,MEDIUM,https://jus-tice.co.il/ai-for-law-firms/,0,34,38.5,https://jus-tice.co.il/lawyer-ai-course/,DIFFERENTIATE→דין רגע - בינה מלאכותית (ai) לעורכי דין
ai לעורכי דין,ai עורך דין,MEDIUM,https://jus-tice.co.il/ai-lawyer-ranking/,0,31,46.9,https://jus-tice.co.il/lawyer-ai-course/,DIFFERENTIATE→דירוג עורכי דין פליליים
ai לעורכי דין,ai עורך דין,MEDIUM,https://jus-tice.co.il/legal_informaticsartificial_intelligence/,0,19,60.3,https://jus-tice.co.il/lawyer-ai-course/,DIFFERENTIATE→
airbnb,airbnb,HIGH,https://jus-tice.co.il/guide-buying-property-portugal-israelis/,0,1,9.0,https://jus-tice.co.il/buying-property-in-portugal/,MERGE-301→https://jus-tice.co.il/buying-property-in-portugal/
airbnb,airbnb,HIGH,https://jus-tice.co.il/המדריך-המלא-לקנייה-השכרה-ו-airbnb-בחול/,0,1,9.0,https://jus-tice.co.il/buying-property-in-portugal/,DIFFERENTIATE→
airbnb שיווק שותפים,airbnb שיווק שותפים,MEDIUM,https://jus-tice.co.il/המדריך-המלא-לקנייה-השכרה-ו-airbnb-בחול/,0,5,63.4,https://jus-tice.co.il/המדריך-המלא-לקנייה-השכרה-ו-airbnb-בחול/,WINNER
airbnb שיווק שותפים,airbnb שיווק שותפים,MEDIUM,https://jus-tice.co.il/buying-property-in-greece/,0,3,92.0,https://jus-tice.co.il/המדריך-המלא-לקנייה-השכרה-ו-airbnb-בחול/,DIFFERENTIATE→בית ביוון
athens attorneys,athens attorneys,LOW,https://jus-tice.co.il/wp-content/uploads/2023/03/greece-list-of-lawyers-november-2021.pdf/,0,9,45.1,https://jus-tice.co.il/wp-content/uploads/2023/03/greece-list-of-lawyers-november-2021.pdf/,WINNER
athens attorneys,athens attorneys,LOW,https://jus-tice.co.il/wp-content/uploads/2023/03/Attorney-List-July-updated-Nov-2020-1.pdf/,0,1,50.0,https://jus-tice.co.il/wp-content/uploads/2023/03/greece-list-of-lawyers-november-2021.pdf/,DIFFERENTIATE→
aupy,aupy,LOW,https://jus-tice.co.il/court-judge/,0,9,29.1,https://jus-tice.co.il/court-judge/,WINNER
aupy,aupy,LOW,https://jus-tice.co.il/הנחיות-למבקשים-להתמנות-למשרה-שיפוטית/,0,2,44.5,https://jus-tice.co.il/court-judge/,DIFFERENTIATE→
aut מדינה,aut מדינה,LOW,https://jus-tice.co.il/extradition-guide/,0,9,72.4,https://jus-tice.co.il/extradition-guide/,WINNER
aut מדינה,aut מדינה,LOW,https://jus-tice.co.il/תנאי-ההסגרה-וסייגיה/,0,1,51.0,https://jus-tice.co.il/extradition-guide/,DIFFERENTIATE→
avocat en israël,avocat en israël,MEDIUM,https://jus-tice.co.il/,0,1,52.0,https://jus-tice.co.il/,WINNER
avocat en israël,avocat en israël,MEDIUM,https://jus-tice.co.il/site-map/,0,1,81.0,https://jus-tice.co.il/,DIFFERENTIATE→
bdi דיני עבודה,bdi דיני עבודה,MEDIUM,https://jus-tice.co.il/bdi-coface/,0,28,35.3,https://jus-tice.co.il/bdi-coface/,WINNER
bdi דיני עבודה,bdi דיני עבודה,MEDIUM,https://jus-tice.co.il/labor-lawyer/,0,13,72.6,https://jus-tice.co.il/bdi-coface/,DIFFERENTIATE→עורך דין דיני עבודה
bdi דיני עבודה,bdi דיני עבודה,MEDIUM,https://jus-tice.co.il/israeli-labor-law/,0,5,64.8,https://jus-tice.co.il/bdi-coface/,DIFFERENTIATE→
bdi ליטיגציה,bdi ליטיגציה,LOW,https://jus-tice.co.il/bdi-coface/,0,21,36.0,https://jus-tice.co.il/bdi-coface/,WINNER
bdi ליטיגציה,bdi ליטיגציה,LOW,https://jus-tice.co.il/germany-lawyers/,0,4,91.5,https://jus-tice.co.il/bdi-coface/,DIFFERENTIATE→עורך דין גרמניה
bdi מחיקת רישום,bdi מחיקת רישום,LOW,https://jus-tice.co.il/police-records-data-deletion/,0,34,50.2,https://jus-tice.co.il/police-records-data-deletion/,WINNER
bdi מחיקת רישום,bdi מחיקת רישום,LOW,https://jus-tice.co.il/psakdin/החלת-פרק-ד-לחוק-שירות-עבודה-בשעת-חירום/,0,4,85.0,https://jus-tice.co.il/police-records-data-deletion/,DIFFERENTIATE→
bdi מחיקת רישום,bdi מחיקת רישום,LOW,https://jus-tice.co.il/psakdin/פסד-אמיר-ברמלי-רוביקון-הכרעת-דין-בפרש/,0,3,91.3,https://jus-tice.co.il/police-records-data-deletion/,DIFFERENTIATE→
bdi מחיקת רישום,bdi מחיקת רישום,LOW,https://jus-tice.co.il/psakdin/פסד-בתביעה-להפחתת-מזונות-ילדים-שנקבעו/,0,2,95.5,https://jus-tice.co.il/police-records-data-deletion/,DIFFERENTIATE→
