post_id,old_slug,new_slug,title
12394,"השופט-אביים-ברקאי-פסק-דין-שעניינו-מחלו","45983-03-22","השופט אביים ברקאי: פסק דין שעניינו מחלוקת בהגדרת משק לצורך חלוקות עתידיות כנחלה מלאה אל מול נחלה חסרה (תא 45983-03-22)"
12389,"השופט-ניר-מישורי-לב-טוב-גזר-דין-בעניין","10284-05-21","השופט ניר מישורי לב טוב: גזר דין בעניין עבירות לשון הרע (תפ 10284-05-21)"
12386,"רואה-חשבון-מיסוי-בינלאומי-חמש-פירמות-ר","top-global-tax-cpa-firms","רואה חשבון מיסוי בינלאומי | חמש פירמות רוח מובילות בייעוץ מס בינלאומי"
12377,"פירמות-עורכי-דין-מובילות-במיסוי-בינלא","top-international-tax-law-firms","פירמות עורכי דין מובילות במיסוי בינלאומי"
12365,"מיסוי-בינלאומי-יועץ-מס-בינלאומי-ליוו","global-tax-consulting-services","מיסוי בינלאומי | יועץ מס בינלאומי | ייעוץ וליווי עסקאות בינלאומיות"
12356,"עורך-דין-פלילי-מומחה-בעבירות-מס-מחירון","tax-offenses-criminal-lawyer","עורך דין פלילי מומחה בעבירות מס | מחירון שירותים 2025 + טבלת עונשים"
12353,"גזר-דין-למטפל-שהורשע-בעבירות-מין-תפח-17044","17044-12-22","גזר דין למטפל שהורשע בעבירות מין (תפח 17044-12-22)"
12348,"ערעור-על-שומת-מס-בטענה-שהדירה-שנרכשה-הי","39040-09-22","ערעור על שומת מס בטענה שהדירה שנרכשה היא אינה דירת מגורים אלא דירת מעטפת (וע 39040-09-22)"
12342,"עורך-דין-מיסים-המדריך-המלא-לדיני-מיסים","tax-lawyer","עורך דין מיסים | המדריך המלא לדיני מיסים בישראל 2025"
12329,"עורך-דין-פינטק-ייצוג-משפטי-בתחום-טכנול","fintech","עורך דין פינטק | ייצוג משפטי בתחום טכנולוגיה פיננסית ופינטק"
12321,"הסגרה-בינלאומית-לישראל-מדריך-2025","extradition-guide","הסגרה בינלאומית לישראל: מדריך 2025"
12312,"פסק-דין-שאלת-היחס-בין-הסכמי-ממון-לסעיף-8","42471-05-24","פסק דין שאלת היחס בין הסכמי ממון לסעיף 8 לחוק הירושה בעניין זכויות בדירה (עמש 42471-05-24)"
12309,"תמש-60877-12-24-השופטת-שלי-פרקש-בקשה-לצו-מניעה","60877-12-24","תמש 60877-12-24 | השופטת שלי פרקש: בקשה לצו מניעה זמני, לפיו לא תיעשה דיספוזיציה בזכויות נחלה"
12305,"פסק-דין-מינוי-רואה-חשבון-חקירתי-לצור","3922-01-24","פסק דין מינוי רואה חשבון חקירתי לצורך פירוק שיתוף בחשבונות הבנק המשותפים"
12291,"ביהמש-לעניינים-מנהליים-בביהמש-המחו","70703-09-24","ביהמש לעניינים מנהליים בביהמש המחוזי תל אביב-יפו, ש' יעל בלכר: פסק דין שעניינו בטענה להבטחה מנהלית להקצות קרקע ולבנות בית כנסת לקהילה על ידי ראש העיר לשעבר (עתמ 70703-09-24)"
12275,"מעצר-בחול-מה-לעשות-מדריך-2025","arrested-abroad-il","מעצר בחול – מה לעשות? מדריך 2025 לישראלי עצור במדינה זרה"
12264,"עורכי-הדין-הפליליים-הטובים-בעולם-וביש","best-criminal-defence-lawyers-worldwide","עורכי הדין הפליליים הטובים בעולם ובישראל | סקירת 2025"
12259,"שכר-טרחת-עורכי-דין-תמונת-מצב-בישראל-ו","lawyer-fee-outlook","שכר טרחת עורכי דין 2025 – תמונת מצב בישראל ובעולם"
12251,"ביהמש-לענייני-משפחה-בתל-אביב-השופטת-ע","30767-05-21","ביהמש לענייני משפחה בתל אביב, השופטת ענת הלר כריש: פסד בתביעה להחרגת נכסים מעיזבון (תמש 30767-05-21)"
12219,"ליווי-מקצועי-לסטארטאפ-ייעוץ-לחברות-הז","startup-company","ליווי מקצועי לסטארטאפ: ייעוץ לחברות הזנק startup"
12177,"חיוב-בעל-מורד-במדור-אשתו-אף-בהעדר-סיכוי","1386569-6","חיוב בעל מורד במדור אשתו אף בהעדר סיכוי לשלום בית – 1386569-6 – ביהד הגדול"
12141,"פסק-דין-פירוק-שיתוף-דירה-לפני-נישואים","decision22328-09-20","פסק דין – פירוק שיתוף דירה לפני נישואים ללא הסכם ממון | השופטת אפרת ונקרט: תיק תלהמ 22328-09-20"
12123,"השופטת-אפרת-ונקרט-פסד-שתי-תביעות-רכוש","decision24104-03-19","פסק דין – האישה זכאית לחצי מהבית כולל המגרש למרות טענות להברחת נכסים| השופטת אפרת ונקרט (תלהמ 24104-03-19)"
12087,"עבודת-עורכי-הדין-לגירושין-ברחבי-העולם","leading-divorce-lawyers-worldwide","עבודת עורכי הדין לגירושין ברחבי העולם | סקירת עורכי הדין המובילים לתחום הגירושין בעולם"
11993,"בגץ-5988-21-פלוני-נ-פלוני-19-02-2025-סמכות-בית-דין","5988-21","בגץ 5988-21     פלוני נ. פלוני     (19.02.2025) | סמכות בית דין רבני מזונות ילדים"
11930,"גירושים-חכמים-2025-כך-תנהלו-את-פתיחת-הליך-ה","strategic-divorce-cost-planning","גירושים חכמים 2025: כך תנהלו את פתיחת הליך הגירושין באסטרטגיה נכונה ועלויות מחושבות"
11914,"קורס-בינה-מלאכותית-ai-מתקדם-לעורכי-דין-ה","lawyer-ai-course","קורס בינה מלאכותית AI מתקדם לעורכי דין | הכשרת עורכי דין בתחום הAI"
11910,"מתקפת-סייבר-מהי-הגדרות-מונחים-והכרת-טכ","what-is-cyberattack","מתקפת סייבר מהי? הגדרות מונחים והכרת טכנולוגיות בתחום התקפת סייבר"
11904,"סקירה-ממבט-אישי-על-תפקידו-של-עורך-דין-לע","cybercrime-lawyer-roll","סקירה ממבט אישי על תפקידו של עורך דין לענייני פשעי סייבר"
11880,"עורך-דין-סייבר-עוד-לענייני-סייבר-דינ","cyber-lawyer","עורך דין סייבר | עוד לענייני סייבר | דיני סייבר והגנת פרטיות"
11868,"הליכי-גירושין-בחירת-עורך-דין-לענייני-מ","trusted-divorce-attorney-guide","הליכי גירושין: בחירת עורך דין לענייני משפחה מומלץ בעל נסיון ומוניטין | מומחיות בעולם דיני המשפחה"
11866,"פסק-דין-תלהמ-34872-06-22-הסכם-הממון-נמצא-לא-תקף","prenup-not-valid","פסק דין תלהמ 34872-06-22 | הסכם הממון נמצא לא תקף הגרושה קיבלה חלק מהאימפריה הכלכלית"
11857,"השקעות-נדלן-ביוון-מדריך-מפורט-למשקי","investing-in-greece-real-estate","השקעות נדלן ביוון – מדריך מפורט למשקיע 2025 | תחזית 2026 יוון השקעות"
11853,"שירותי-אונליין-מומלצים-בתחום-דיני-משפ","online-family-law-services","שירותי אונליין מומלצים בתחום דיני משפחה וגירושין | עוד משפחה מקוון"
11847,"מה-עדיף-עורכת-דין-או-עורך-דין-לענייני-גי","women-lawyer-vs-men-divorce-lawyer","מה עדיף עורכת דין או עורך דין לענייני גירושין? סקירת שלבי הגירושים"
11821,"איך-לבחור-עורך-דין-בארצות-הברית","choose-usa-attorney","איך לבחור עורך דין בארצות הברית"
11808,"כמה-עולה-ייפוי-כוח-מתמשך-כל-מה-שצריך-לד","durable-power-of-attorney-cost","כמה עולה ייפוי כוח מתמשך? כל מה שצריך לדעת על ייפוי כוח מתמשך"
11803,"מהן-הדרישות-להוצאת-רישיון-עוד-אמריקא","us-lawyer-license-requirements","מהן הדרישות להוצאת רישיון עוד אמריקאי | עורך דין בארהב"
11778,"המדריך-לבחירת-עורכי-הדין-הטובים-ביותר","top-lawyers-for-israelis-china","המדריך לבחירת עורכי הדין הטובים ביותר בסין: ייעוץ משפטי ליזמים וחברות ישראליות"
11774,"קניית-דירה-על-שם-אחד-מבני-הזוג-רישום-די","spouse-property-registration-guide","קניית דירה על שם אחד מבני הזוג | רישום דירה על שם אחד מבני הזוג – כיצד לבצע נכון"
11771,"מה-צריך-לדעת-כשעושים-עסקים-בסין-מדרי","china-business-legal-guide","מה צריך לדעת כשעושים עסקים בסין – מדריך מקיף לישראלים ומידע משפטי"
11762,"המדריך-השלם-לביטוח-פנסיוני-בישראל-איך","pension-insurance-complete-guide","המדריך השלם לביטוח פנסיוני בישראל: איך לבחור נכון?"
11755,"עורך-דין-פלילי-בתל-אביב","top-criminal-lawyer-tel-aviv","עורך דין פלילי בתל אביב"
11750,"אסטרטגיות-לשימור-הון-לאחר-הגירושין-גי","financial-strategies-after-divorce","אסטרטגיות לשימור הון לאחר הגירושין | גירושי עשירון עליון ואנשי הייטק"
11748,"איך-מכינים-הסכם-לקראת-גירושים-בהסכמה-ש","mutual-divorce-agreement-2025","איך מכינים הסכם לקראת גירושים בהסכמה של בני הזוג | מדריך 2025 + סקירת תהליך פתיחת תיק גירושין בבית הדין הרבני"
11679,"ייעוץ-גירושין-מדריך-מקיף-פגישת-ייעוץ-ל","divorce-consultation-guide","ייעוץ גירושין מדריך מקיף | פגישת ייעוץ לפני גירושין"
11671,"משרד-עורכי-הדין-רוטנברג-בדירוג-המוביל","rotenberg-law-top-ranked-family-divorce-mediation","משרד עורכי הדין רוטנברג בדירוג המובילים בתחום דיני משפחה וגירושין"
11666,"כיצד-להפוך-לעורך-דין-לענייני-משפחה","how-to-become-a-family-lawyer","כיצד להפוך לעורך דין לענייני משפחה | עוד דיני משפחה גירושין צוואות ירושות"
11651,"מהם-המאפיינים-של-עורך-דין-טוב-לגירושין","qualities-best-divorce-attorneys","מהם המאפיינים של עורך דין טוב לגירושין? | כיצד לבחור עוד גירושין מתאים לך"
11645,"בגידה-סטטיסטיקה-נתונים-סיבות-לבגידות","infidelity-statistics-reasons-suspicions","בגידה: סטטיסטיקה נתונים סיבות לבגידות ומה עושים כשחושדים בבגידת בן/בת זוג"
11643,"השופט-אפרים-ציזיק-פסד-בעניין-התנגדו","27404-01-23","השופט אפרים צ'יזיק: פסד בעניין התנגדויות לקיום שתי צווי צוואת של מנוחה על ידי בנותיה (תע 27404-01-23)"
11637,"תקפות-הסכם-גירושין-שנטען-כי-נעשה-למראי","divorce-agreement-validity-dispute","תקפות הסכם גירושין שנטען כי נעשה למראית עין וכי בטל בהתנהגות הצדדים או בשל הפרתו"
11633,"מה-דינה-של-תביעת-גירושין-שהוגשה-בשגגה-ב","divorce-claim-error-during-stay","מה דינה של תביעת גירושין שהוגשה בשגגה בתקופת עיכוב ההליכים?"
11628,"תנאי-הסמכות-לדון-בענייני-הרכוש-כשתביע","property-jurisdiction-divorce-claim-section-4a","תנאי הסמכות לדון בענייני הרכוש כשתביעת הגירושין הייתה לפי סעיף 4א לחשבדר"
11619,"השופטת-שירלי-שי-פסד-הדוחה-בקשות-לקיום","54220-09-20","השופטת שירלי שי: פסד הדוחה בקשות לקיום צוואה בטענות השפעה בלתי הוגנת ומעורבות פסולה ודחיית תביעה לפסק דין הצהרתי (תע 54220-09-20 ועוד)"
11617,"מה-ההבדל-בין-רשלנות-רפואית-לבין-הזנחה-ר","medical-malpractice-vs-negligence-differences-israel","מה ההבדל בין רשלנות רפואית לבין הזנחה רפואית?"
11615,"בגידה-ניאוף-ובגידה-זוגית-דיני-משפחה-ו","infidelity-adultery-marital-betrayal-family-law","בגידה, ניאוף ובגידה זוגית | דיני משפחה וגירושין"
11613,"תביעה-נזיקית-בזיקה-לחיוב-האיש-בכתובה-1511-7","damages-claim-husband-ketubah-obligation","תביעה נזיקית בזיקה לחיוב האיש בכתובה 1511-7 – ביהד אשדוד‎ | בחינה הלכתית של פסיקת ביהמש"
11607,"עורך-דין-רשלנות-רפואית-2","medical-malpractice-lawyer","עורך דין רשלנות רפואית | עוד רשלנות רפואית"
11603,"פירוק-שיתוף-הצהרתי-מזונות-אשה-וקטינים","decision22950-11-20","פירוק שיתוף הצהרתי מזונות אשה וקטינים (תלהמ 22950-11-20) | פסק דין כב' שופטת גילה ספרא ברנע"
11600,"פסד-בתביעת-הורי-תינוקת-שנפטרה-בגין-רש","10918-10-19","פסד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית ורשלנות בהליכי מתן הרישיון לעסוק ברפואה (תא 10918-10-19)"
11590,"בן-צור-קורב-ושות-משרד-עורכי-דין","benzur-korb-co","בן צור קורב ושות' – משרד עורכי דין"
11587,"חשיפת-תמונות-אישה-שנתפסה-בבגידה-השופט","10864-09-21","חשיפת תמונות אישה שנתפסה בבגידה | השופטת מורן ואלך ניסן: פסד בתביעה לפיצוי מכוח חוק איסור לשון הרע והגנת הפרטיות בגין הצגת תמונות אינטימיות של אישה לעיני הוריה (תמש 10864-09-21, 8209-12-21)"
11560,"רשלנות-רפואית-בהרדמה-מתי-זה-קורה-ולמי-ל","anesthesia-medical-malpractice","רשלנות רפואית בהרדמה: מתי זה קורה ולמי לפנות לאחר הליך ניתוח?"
11558,"מתי-טעות-כירורגית-הופכת-לרשלנות-רפואי","surgical-errors-medical-malpractice","מתי טעות כירורגית הופכת לרשלנות רפואית?"
11550,"הרצוג-פוקס-נאמן-ושות","herzog-fox-neeman","הרצוג פוקס נאמן ושות'"
11548,"פוגוסט-גודהד","pogust-goodhead","פוגוסט גודהד"
11545,"בוסטוויק-ופיטרסון-llp","bostwick-peterson-llp","בוסטוויק ופיטרסון LLP"
11542,"סוליבן-פאפיין-בלוק-מקמנוס-קופינאס-וקנ","sullivan-papain-block-mcmanus-coffinas-cannavo-pc","סוליבן פאפיין בלוק מקמנוס קופינאס וקנבו P.C."
11539,"הערכת-בית-מה-זה-איך-זה-עובד-שאלות-נפוצו","home-inspection","הערכת בית: מה זה, איך זה עובד, שאלות נפוצות על בדיקות לפני רכישה"
11525,"זכויות-שיתוק-מוחין-cp","cerebral-palsy-rights","זכויות שיתוק מוחין (CP)"
11520,"פסד-תביעה-רכושית-בין-בני-זוג-אותה-הגיש","52705-01-20","פסד תביעה רכושית בין בני זוג אותה הגישה האישה כתובעת (תלהמ 52705-01-20) | גירושין | השופטת שירי היימן"
11510,"הסברים-על-גורמי-פגיעות-לידה","birth-injury-causes","הסברים על גורמי פגיעות לידה"
11506,"נזק-מוחי-בלידה-תביעת-נזק-בעקבות-רשלנות","brain-damage-at-birth","נזק מוחי בלידה | תביעת נזק בעקבות רשלנות רפואית בלידה או בהריון"
11504,"morgan-morgan-מורגן-ומורגן-עורכי-דין","morgan-morgan","Morgan & Morgan | מורגן ומורגן | עורכי דין"
11497,"פגיעות-לידה-מהי-פגיעה-בלידה-רשלנות-רפ","birth-injury","פגיעות לידה | מהי פגיעה בלידה? | לידה רשלנית"
11491,"עורך-דין-לפגיעות-לידה-רשלנות-רפואית","birth-injury-lawyer","עורך דין לפגיעות לידה | רשלנות רפואית"
11489,"רשלנות-רפואית-בנוגע-לשיתוק-מוחין","malpractice-cerebral-palsy","רשלנות רפואית בנוגע לשיתוק מוחין"
11482,"שיתוק-מוחין-שיתוק-מוחי-cerebral-palsy-cp","cerebral-palsy","שיתוק מוחין בלידה | שיתוק מוחי |  (Cerebral Palsy (CP"
11475,"תשניק-סב-לידתי-perinatal-asphyxia-תשניק-יילוד","perinatal-asphyxia","תשניק סב-לידתי |  perinatal asphyxia | תשניק יילוד"
11468,"השופטת-ורד-ריקנטי-רוסהר-פסד-בעניין-שי","40939-11-19","השופטת ורד ריקנטי-רוסהר: פסד בעניין שיתוף בנחלה שהיתה שייכת לאחד מבני הזוג מלפני הנישואין (תלהמ 40939-11-19)"
11465,"השופטת-יפעת-שקדי-שץ-פסד-בעניין-סעד-הצ","42908-08-24","השופטת יפעת שקדי שץ: פסד בעניין סעד הצהרתי בנכס מקרקעין ביטול צו ירושה ומינוי מנהל עיזבון (תמש 39998-12-20)"
11463,"טעויות-שיש-להמנע-מהן-בעת-מכירת-הבית","house-selling-mistakes-to-avoid","טעויות שיש להמנע מהן בעת מכירת הבית"
11455,"ביהמש-המחוזי-בתא-פסד-בנושא-דמי-תיו","20847-10-23","ביהמש המחוזי בתא: פסד בנושא דמי תיווך: זכאות לדמי תיווך ללא חוזה בכתב"
11453,"השופט-אלעד-פרסקי-פסד-בתביעת-נזקי-גוף","55188-07-20","השופט אלעד פרסקי: פסד בתביעת נזקי גוף בעקבות תאונת דרכים (תא 55188-07-20)"
11446,"עוד-לורה-וסר-עוד-לגירושין-laura-wasser","laura-wasser","עוד לורה וסר (עוד לגירושין) | Laura Wasser"
11444,"קיי-אנד-אל-גייטס-משרד-עורכי-דין-kl-gates-llp","kl-gates","קיי אנד אל גייטס (משרד עורכי דין) | K&L Gates LLP"
11430,"בית-משפט-מחוזי-חיפה-פסד-דין-אשר-במסגרתו","51377-12-23","בית משפט מחוזי חיפה: פסד דין אשר במסגרתו נדחתה בקשה לביטול צו קיום צוואה"
11428,"portugal-homes-חברת-ייעוץ-נדלן-בינלאומית","portugal-homes","Portugal Homes | חברת ייעוץ נדלן בינלאומית"
11422,"שירמן-וסטרלינג-משרד-עורכי-דין-רב-לאומי","shearman-sterling","שירמן וסטרלינג (משרד עורכי דין רב לאומי) Shearman & Sterling"
11415,"cuatrecasas-goncalves-pereira-associados-עורכי-דין","cuatrecasas","Cuatrecasas, Gonçalves Pereira & Associados (עורכי דין)"
11413,"מוראיס-לייטאו-עורכי-דין-morais-leitao-galvao-teles-soares-da-silva-associados","morais-leitao","מוראיס לייטאו (עורכי דין) Morais Leitão, Galvão Teles, Soares da Silva & Associados"
11410,"חברות-בולטות-בפורטוגל-עסקים-בפורטוגל","list-of-companies-of-portugal","חברות בולטות בפורטוגל | עסקים בפורטוגל"
11406,"dechert-llp-דכרט-משרד-עורכי-דין","dechert-llp","Dechert LLP | דכרט (משרד עורכי דין)"
11402,"paul-hastings-פול-הייסטינגס-עורך-דין","paul-hastings","Paul Hastings | פול הייסטינגס (עורך דין)"
11396,"weil-gotshal-manges-וייל-גוטשל-ומנגס-פירמת-עורכי-דין","weil-gotshal-manges","Weil, Gotshal & Manges | וייל, גוטשל ומנגס (פירמת עורכי דין)"
11393,"האגודה-הבינלאומית-של-עורכי-דין-ומשפטנ","international-association-of-jewish-lawyers-and-jurists","האגודה הבינלאומית של עורכי דין ומשפטנים יהודים"
11386,"benjamin-brafman-בנגמין-ברפמן-עורך-דין","benjamin-brafman","Benjamin Brafman | בנג'מין ברפמן  (עורך דין)"
11382,"dentons-דנטונס-משרד-עורכי-דין","dentons","Dentons | דנטונס (משרד עורכי דין)"
11379,"skadden-arps-slate-meagher-flom-סקאדן-משרד-עורכי-דין","skadden-arps-slate-meagher-flom","Skadden, Arps, Slate, Meagher & Flom | סקאדן (משרד עורכי דין)"
11374,"latham-watkins-לטם-ואטקינס-משרד-עורכי-דין","latham-watkins","Latham & Watkins | לטם ואטקינס | משרד עורכי דין"
11370,"co-op-legal-services-דיני-משפחה-גירושין-כתיבת-צוואה","co-op-legal-services","Co-op Legal Services | דיני משפחה, גירושין, צוואות וירושות"
11367,"משרדי-עורכי-דין-מפורסמים-בטלוויזיה-סר","law-firms-in-fiction","משרדי עורכי דין מפורסמים בטלוויזיה סרטים וספרים"
11364,"farrer-co-פארר-ושות-משרד-עורכי-דין","farrer-co","Farrer & Co | פארר ושות' | משרד עורכי דין"
11359,"cordell-cordell-קורדל-קורדל-משרד-עורכי-דין-לעניינ","cordell-cordell","Cordell & Cordell | קורדל & קורדל | משרד עורכי דין לענייני משפחה וגירושין"
11355,"קירקלנד-אליס-kirkland-ellis-משרד-עורכי-דין","kirkland-ellis","קירקלנד אליס |  Kirkland & Ellis (משרד עורכי דין)"
11351,"cms-משרד-עורכי-דין","cms-law-firm","CMS (משרד עורכי דין)"
11345,"dla-piper-משרד-עורכי-דין","dla-piper","DLA Piper (משרד עורכי דין)"
