target,priority,source,sectionOrder,decision,heading,words,sample,rationale,sourceFile
"/child-support/","P0","draft","15","KEEP_DRAFT_BASE","האם זמני שהות שווים מבטלים מזונות?","27","לא בהכרח. זמני שהות משמעותיים יכולים להשפיע על התמונה, במיוחד כאשר הילדים מעל גיל 6, אך עדיין צריך לבדוק הכנסות, צרכים, הוצאות ישירות, מדור ופערים בין ההורים.","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","16","KEEP_DRAFT_BASE","האם אפשר לשנות מזונות אחרי פסק דין או הסכם?","26","במקרים מסוימים ניתן לבדוק שינוי, בעיקר כאשר חל שינוי נסיבות משמעותי. צריך לבחון את המסמך הקיים, את השינוי שחל ואת ההשפעה על הילדים ועל שני ההורים.","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","17","KEEP_DRAFT_BASE","האם מחשבון מזונות מספיק?","27","לא. מחשבון יכול לשמש הכנה ראשונית בלבד. הוא אינו יודע לבדוק את כל המסמכים, את ההסכמות הקודמות, את צרכי הילדים, את פערי ההכנסה ואת ההקשר המשפטי המלא.","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","18","KEEP_DRAFT_BASE","איך Jus-Tice יכול לעזור","58","Jus Tice מרכז מידע משפטי כללי, קישורים בין נושאים ומסלולי פנייה לעורכי דין בתחומי משפחה וגירושין. ניתן להשתמש בעמוד זה כדי להבין אילו שאלות לשאול, אילו מסמכים להכין ואיזה נושא צריך להיבדק קודם. הפנייה באתר אינה מהווה ייעוץ משפטי, והמשך הטיפול תלוי בבדיקה פר...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P1","live","1","COVERED_BY_DRAFT","משפחה וגירושין","27","מזונות ילדים: מדריך מעשי לפני הסכם, תביעה או שינוי מצב מדריך עומק בנושא מזונות ילדים: מסמכים, הוצאות, זמני שהות, מדור, שינוי נסיבות, אכיפה וסימנים שמצריכים ייעוץ משפטי.","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","2","PARTIAL_OVERLAP_REVIEW","מזונות ילדים: מדריך מעשי לפני הסכם, תביעה או שינוי מצב","28","מדריך עומק בנושא מזונות ילדים: מסמכים, הוצאות, זמני שהות, מדור, שינוי נסיבות, אכיפה וסימנים שמצריכים ייעוץ משפטי. התאמה לעורך דין מזונות ילדים הסבר ברור לפני פנייה לעורך דין","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","4","PARTIAL_OVERLAP_REVIEW","התאמה לעורך דין","47","מזונות ילדים הסבר ברור לפני פנייה לעורך דין קישור למדריכים תומכים אפשרות להשארת פנייה מסודרת מסלול קריאה באשכול משפחה וגירושין עורך דין גירושין מדריך קשור גירושין בהסכמה מדריך קשור גישור גירושין מדריך קשור משמורת ילדים מדריך קשור חלוקת רכוש בגירושין מדריך ק...","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","5","PARTIAL_OVERLAP_REVIEW","מזונות ילדים הסבר ברור לפני פנייה לעורך דין","39","קישור למדריכים תומכים אפשרות להשארת פנייה מסודרת מסלול קריאה באשכול משפחה וגירושין עורך דין גירושין מדריך קשור גירושין בהסכמה מדריך קשור גישור גירושין מדריך קשור משמורת ילדים מדריך קשור חלוקת רכוש בגירושין מדריך קשור בקשה ליישוב סכסוך מדריך קשור","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","6","PARTIAL_OVERLAP_REVIEW","קישור למדריכים תומכים","36","אפשרות להשארת פנייה מסודרת מסלול קריאה באשכול משפחה וגירושין עורך דין גירושין מדריך קשור גירושין בהסכמה מדריך קשור גישור גירושין מדריך קשור משמורת ילדים מדריך קשור חלוקת רכוש בגירושין מדריך קשור בקשה ליישוב סכסוך מדריך קשור","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","7","PARTIAL_OVERLAP_REVIEW","אפשרות להשארת פנייה מסודרת","32","מסלול קריאה באשכול משפחה וגירושין עורך דין גירושין מדריך קשור גירושין בהסכמה מדריך קשור גישור גירושין מדריך קשור משמורת ילדים מדריך קשור חלוקת רכוש בגירושין מדריך קשור בקשה ליישוב סכסוך מדריך קשור","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","8","PARTIAL_OVERLAP_REVIEW","מסלול קריאה באשכול משפחה וגירושין","27","עורך דין גירושין מדריך קשור גירושין בהסכמה מדריך קשור גישור גירושין מדריך קשור משמורת ילדים מדריך קשור חלוקת רכוש בגירושין מדריך קשור בקשה ליישוב סכסוך מדריך קשור","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P0","live","10","REVIEW_FOR_MERGE","מזונות ילדים: איך בודקים צרכים, הכנסות, זמני שהות וסיכונים לפני הסכם או תביעה","61","תקציר מזונות ילדים הם אחד הנושאים המרכזיים והרגישים ביותר בגירושין ובהורות נפרדת. הם נוגעים לשאלה איך מממנים את צרכי הילדים לאחר הפרידה: מזון, ביגוד, מגורים, חינוך, בריאות, חוגים, נסיעות, טיפולים והוצאות חריגות. אבל בניגוד למה שרבים חושבים, אין סכום אחד שמת...","Live section appears missing from the clean draft; review before overwrite and merge if it adds useful user intent coverage.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","13","COVERED_BY_DRAFT","מה כוללים מזונות ילדים?","27","מזונות ילדים יכולים לכלול צרכים שוטפים וצרכים משתנים. בדרך כלל מדברים על כמה שכבות: הוצאות בסיסיות ושוטפות. מדור והוצאות מגורים. חינוך, צהרונים, חוגים ומסגרות. בריאות, טיפולים ואבחונים.","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","16","COVERED_BY_DRAFT","מדור והוצאות מגורים.","45","חינוך, צהרונים, חוגים ומסגרות. בריאות, טיפולים ואבחונים. הוצאות חריגות. נסיעות, ביגוד, ציוד לימודי וצרכים מיוחדים. הסכם או פסק דין טובים צריכים להסביר לא רק ""כמה משלמים"", אלא גם מה כלול בסכום, מה מחולק בנפרד, איך מתעדים הוצאה, מתי צריך אישור מראש, ומה קורה ...","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","17","PARTIAL_OVERLAP_REVIEW","חינוך, צהרונים, חוגים ומסגרות.","41","בריאות, טיפולים ואבחונים. הוצאות חריגות. נסיעות, ביגוד, ציוד לימודי וצרכים מיוחדים. הסכם או פסק דין טובים צריכים להסביר לא רק ""כמה משלמים"", אלא גם מה כלול בסכום, מה מחולק בנפרד, איך מתעדים הוצאה, מתי צריך אישור מראש, ומה קורה כשהמציאות משתנה.","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","18","PARTIAL_OVERLAP_REVIEW","בריאות, טיפולים ואבחונים.","38","הוצאות חריגות. נסיעות, ביגוד, ציוד לימודי וצרכים מיוחדים. הסכם או פסק דין טובים צריכים להסביר לא רק ""כמה משלמים"", אלא גם מה כלול בסכום, מה מחולק בנפרד, איך מתעדים הוצאה, מתי צריך אישור מראש, ומה קורה כשהמציאות משתנה.","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","19","COVERED_BY_DRAFT","הוצאות חריגות.","36","נסיעות, ביגוד, ציוד לימודי וצרכים מיוחדים. הסכם או פסק דין טובים צריכים להסביר לא רק ""כמה משלמים"", אלא גם מה כלול בסכום, מה מחולק בנפרד, איך מתעדים הוצאה, מתי צריך אישור מראש, ומה קורה כשהמציאות משתנה.","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P0","live","20","REVIEW_FOR_MERGE","נסיעות, ביגוד, ציוד לימודי וצרכים מיוחדים.","30","הסכם או פסק דין טובים צריכים להסביר לא רק ""כמה משלמים"", אלא גם מה כלול בסכום, מה מחולק בנפרד, איך מתעדים הוצאה, מתי צריך אישור מראש, ומה קורה כשהמציאות משתנה.","Live section appears missing from the clean draft; review before overwrite and merge if it adds useful user intent coverage.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P0","live","22","REVIEW_FOR_MERGE","מה משפיע על חישוב המזונות?","39","גיל הילדים גיל הילדים משמעותי מאוד. בפסיקה ובשיח המקצועי יש הבחנה בין ילדים מתחת לגיל 6 לבין ילדים מעל גיל 6, במיוחד לאחר בע""מ 919/15. עם זאת, הנושא מורכב ודורש בדיקה פרטנית לפי הדין החל, צרכי הילדים ונסיבות המשפחה.","Live section appears missing from the clean draft; review before overwrite and merge if it adds useful user intent coverage.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","23","COVERED_BY_DRAFT","גיל הילדים","37","גיל הילדים משמעותי מאוד. בפסיקה ובשיח המקצועי יש הבחנה בין ילדים מתחת לגיל 6 לבין ילדים מעל גיל 6, במיוחד לאחר בע""מ 919/15. עם זאת, הנושא מורכב ודורש בדיקה פרטנית לפי הדין החל, צרכי הילדים ונסיבות המשפחה.","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","25","COVERED_BY_DRAFT","הכנסות ההורים","36","הכנסות ההורים הן רכיב מרכזי. לא בודקים רק תלוש אחרון; לעיתים בודקים יציבות תעסוקתית, הכנסה מעסק, הכנסה פוטנציאלית, בונוסים, הטבות, נכסים, יכולת השתכרות וחובות. כאשר אחד ההורים עצמאי או בעל חברה, הבדיקה יכולה להיות מורכבת יותר.","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","27","COVERED_BY_DRAFT","זמני שהות","32","זמני השהות משפיעים על ההוצאות שכל הורה נושא בהן בפועל. ככל שהילדים שוהים יותר אצל שני ההורים, צריך לבדוק הוצאות כפולות, מדור בשני בתים, נסיעות, ציוד כפול והוצאות שכל הורה משלם ישירות.","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","29","COVERED_BY_DRAFT","צרכי הילדים","29","ילד עם צרכים רפואיים, טיפוליים, לימודיים או רגשיים מיוחדים מצריך בדיקה אחרת. גם גיל הילדים, מסגרות החינוך ורמת החיים שהייתה לפני הפרידה יכולים להשפיע. מסמכים שכדאי להכין לפני ייעוץ","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","35","COVERED_BY_DRAFT","דפי בנק מרכזיים.","25","פירוט הוצאות ילדים. הוצאות חינוך, בריאות, חוגים וצהרונים. מידע על שכר דירה או משכנתא. זמני שהות קיימים או מוצעים. הסכמות קודמות או פסקי דין קיימים.","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","36","PARTIAL_OVERLAP_REVIEW","פירוט הוצאות ילדים.","26","הוצאות חינוך, בריאות, חוגים וצהרונים. מידע על שכר דירה או משכנתא. זמני שהות קיימים או מוצעים. הסכמות קודמות או פסקי דין קיימים. מידע על צרכים מיוחדים.","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","37","PARTIAL_OVERLAP_REVIEW","הוצאות חינוך, בריאות, חוגים וצהרונים.","28","מידע על שכר דירה או משכנתא. זמני שהות קיימים או מוצעים. הסכמות קודמות או פסקי דין קיימים. מידע על צרכים מיוחדים. התכתבויות רלוונטיות לגבי הוצאות או סירוב לשלם.","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","38","PARTIAL_OVERLAP_REVIEW","מידע על שכר דירה או משכנתא.","25","זמני שהות קיימים או מוצעים. הסכמות קודמות או פסקי דין קיימים. מידע על צרכים מיוחדים. התכתבויות רלוונטיות לגבי הוצאות או סירוב לשלם. מזונות בהסכם גירושין","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","39","COVERED_BY_DRAFT","זמני שהות קיימים או מוצעים.","65","הסכמות קודמות או פסקי דין קיימים. מידע על צרכים מיוחדים. התכתבויות רלוונטיות לגבי הוצאות או סירוב לשלם. מזונות בהסכם גירושין כאשר בני זוג מתגרשים בהסכמה, חשוב שהסכם הגירושין יפרט היטב את המזונות. הסכם שאומר רק ""האב ישלם X ש""ח"" עלול להשאיר שאלות פתוחות: האם ...","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","40","PARTIAL_OVERLAP_REVIEW","הסכמות קודמות או פסקי דין קיימים.","59","מידע על צרכים מיוחדים. התכתבויות רלוונטיות לגבי הוצאות או סירוב לשלם. מזונות בהסכם גירושין כאשר בני זוג מתגרשים בהסכמה, חשוב שהסכם הגירושין יפרט היטב את המזונות. הסכם שאומר רק ""האב ישלם X ש""ח"" עלול להשאיר שאלות פתוחות: האם הסכום כולל מדור? האם כולל חוגים? מ...","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","41","COVERED_BY_DRAFT","מידע על צרכים מיוחדים.","55","התכתבויות רלוונטיות לגבי הוצאות או סירוב לשלם. מזונות בהסכם גירושין כאשר בני זוג מתגרשים בהסכמה, חשוב שהסכם הגירושין יפרט היטב את המזונות. הסכם שאומר רק ""האב ישלם X ש""ח"" עלול להשאיר שאלות פתוחות: האם הסכום כולל מדור? האם כולל חוגים? מי משלם טיפולים? איך מחל...","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","42","PARTIAL_OVERLAP_REVIEW","התכתבויות רלוונטיות לגבי הוצאות או סירוב לשלם.","48","מזונות בהסכם גירושין כאשר בני זוג מתגרשים בהסכמה, חשוב שהסכם הגירושין יפרט היטב את המזונות. הסכם שאומר רק ""האב ישלם X ש""ח"" עלול להשאיר שאלות פתוחות: האם הסכום כולל מדור? האם כולל חוגים? מי משלם טיפולים? איך מחלקים הוצאות רפואיות? מה קורה בחופשות? איך מתמודד...","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","43","COVERED_BY_DRAFT","מזונות בהסכם גירושין","45","כאשר בני זוג מתגרשים בהסכמה, חשוב שהסכם הגירושין יפרט היטב את המזונות. הסכם שאומר רק ""האב ישלם X ש""ח"" עלול להשאיר שאלות פתוחות: האם הסכום כולל מדור? האם כולל חוגים? מי משלם טיפולים? איך מחלקים הוצאות רפואיות? מה קורה בחופשות? איך מתמודדים עם שינוי הכנסה?","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","50","PARTIAL_OVERLAP_REVIEW","דרך הצגת קבלות.","57","מנגנון מחלוקת. אפשרות בחינה מחדש במקרים חריגים. עמוד קשור: /consensual-divorce/ . תביעת מזונות כאשר אין הסכמה, ייתכן שיהיה צורך בתביעת מזונות. לפי מסמכים ממשלתיים, תביעה למזונות יכולה להתייחס למזונות ילדים, מזונות אישה או שניהם, והיא נבחנת לפי כללים משפטיים...","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","51","PARTIAL_OVERLAP_REVIEW","מנגנון מחלוקת.","79","אפשרות בחינה מחדש במקרים חריגים. עמוד קשור: /consensual-divorce/ . תביעת מזונות כאשר אין הסכמה, ייתכן שיהיה צורך בתביעת מזונות. לפי מסמכים ממשלתיים, תביעה למזונות יכולה להתייחס למזונות ילדים, מזונות אישה או שניהם, והיא נבחנת לפי כללים משפטיים שונים. במקרים ...","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","52","PARTIAL_OVERLAP_REVIEW","אפשרות בחינה מחדש במקרים חריגים.","74","עמוד קשור: /consensual-divorce/ . תביעת מזונות כאשר אין הסכמה, ייתכן שיהיה צורך בתביעת מזונות. לפי מסמכים ממשלתיים, תביעה למזונות יכולה להתייחס למזונות ילדים, מזונות אישה או שניהם, והיא נבחנת לפי כללים משפטיים שונים. במקרים משפחתיים רבים, לפני הגשת תביעה נד...","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","53","PARTIAL_OVERLAP_REVIEW","עמוד קשור: /consensual-divorce/ .","70","תביעת מזונות כאשר אין הסכמה, ייתכן שיהיה צורך בתביעת מזונות. לפי מסמכים ממשלתיים, תביעה למזונות יכולה להתייחס למזונות ילדים, מזונות אישה או שניהם, והיא נבחנת לפי כללים משפטיים שונים. במקרים משפחתיים רבים, לפני הגשת תביעה נדרשת בקשה ליישוב סכסוך, אלא אם מתקי...","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","54","COVERED_BY_DRAFT","תביעת מזונות","68","כאשר אין הסכמה, ייתכן שיהיה צורך בתביעת מזונות. לפי מסמכים ממשלתיים, תביעה למזונות יכולה להתייחס למזונות ילדים, מזונות אישה או שניהם, והיא נבחנת לפי כללים משפטיים שונים. במקרים משפחתיים רבים, לפני הגשת תביעה נדרשת בקשה ליישוב סכסוך, אלא אם מתקיימים חריגים א...","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P1","live","57","COVERED_BY_DRAFT","שינוי מזונות","41","גם אחרי הסכם או פסק דין, החיים משתנים. הורה יכול לאבד עבודה, להגדיל הכנסה, לעבור מקום מגורים, להרחיב זמני שהות או להתמודד עם שינוי בצרכי הילדים. לא כל שינוי מצדיק שינוי מזונות, אבל במקרים מסוימים ניתן לבדוק האם קיימת הצדקה משפטית.","Live section appears covered or partly covered by the draft; spot-check before overwrite.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","P0","live","62","REVIEW_FOR_MERGE","האם השתנו זמני השהות?","61","האם השתנו צרכי הילדים? האם השתנתה יכולת ההשתכרות? האם ההסכם כלל מנגנון עדכון? מדור והוצאות מגורים מדור הוא אחד הנושאים שמייצרים הרבה בלבול. ההורים לא משלמים רק על אוכל וביגוד; ילדים צריכים קורת גג, חדר, חשמל, מים, ארנונה, ועד בית, אינטרנט ולעיתים ציוד כפול ...","Live section appears missing from the clean draft; review before overwrite and merge if it adds useful user intent coverage.","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-custody/","P0","draft","1","KEEP_DRAFT_BASE","משמורת ילדים, זמני שהות ואחריות הורית: איך בונים הסדר שמגן על הילדים","158","מידע זה נועד להסביר באופן כללי את נושא משמורת ילדים, זמני שהות ואחריות הורית. הוא אינו ייעוץ משפטי, אינו מחליף בדיקה פרטנית של עורך דין, ואינו קובע מה ההסדר הנכון במשפחה מסוימת. כאשר יש חשש לפגיעה בילד, אלימות, אי החזרת ילד, נסיעה לחו""ל ללא הסכמה, מעבר דירה...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-custody-public-body-he.md"
