decision_id,source_row_id,decision_type,priority,current_url_or_reference,target_or_hub,role_or_topic,recommended_owner_decision,owner_decision_status,upload_readiness,gsc_risk,gsc_clicks,gsc_impressions,minimum_before_action,blocked_public_actions,next_step,notes
MEDMAL-OWNER-DECISION-011,MEDD-011,CURRENT_URL_READINESS,P0,REFERENCE:MEDMAL-FEE-GSC-001,/medical-malpractice-lawyer/,fee article visible for main lawyer query,PROTECT_COST_SUPPORT_THEN_COMPARE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,,,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,PROTECT_COMPARE_SUPPORT_OR_MERGE_LATER,145 impressions visible for main query in owner packet.
MEDMAL-OWNER-DECISION-012,MEDD-012,CURRENT_URL_READINESS,P0,REFERENCE:MEDMAL-BIRTH-HEBREW-GSC-001,/medical-malpractice-lawyer/; future birth/pregnancy slugs,old Hebrew birth/pregnancy query owner,PROTECT_BIRTH_PREGNANCY_ROLE_THEN_SPLIT_OR_MERGE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,,,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,PROTECT_COMPARE_SPLIT_OR_MERGE_LATER,661 birth and 419 pregnancy impressions in owner packet.
MEDMAL-OWNER-DECISION-013,MEDD-013,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/medical-malpractice-in-the-united-states/,Israeli medical-malpractice pillar,US malpractice article,CONFIRM_BOUNDARY_EXCLUSION_FROM_ISRAELI_SERVICE_CLUSTER,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,SEPARATE_INTERNATIONAL_CONTEXT,Keep separate from Israeli lawyer-service intent.
MEDMAL-OWNER-DECISION-014,MEDD-014,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/anesthesia-medical-malpractice/,/medical-malpractice-lawyer/; surgery support,anesthesia support page,KEEP_AS_SUPPORT_AFTER_SOURCE_AND_URL_REVIEW,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,KEEP_SUPPORT_SOURCE_REVIEW,High-risk medical/legal support page.
MEDMAL-OWNER-DECISION-015,MEDD-015,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/personal-injury/medical-malpractice/surgery/,/medical-malpractice-lawyer/; surgical-errors page,nested surgery support page,KEEP_AS_SUPPORT_AFTER_SOURCE_AND_URL_REVIEW,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,REVIEW_NESTED_URL_AND_SUPPORT_ROLE,Nested personal-injury path needs migration/canonical review.
MEDMAL-OWNER-DECISION-016,MEDD-016,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/surgical-errors-medical-malpractice/,/medical-malpractice-lawyer/; anesthesia page,thin surgery support page,KEEP_AS_SUPPORT_AFTER_SOURCE_AND_URL_REVIEW,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,EXPAND_AFTER_SOURCE_REVIEW,Do not create future surgery slug yet.
MEDMAL-OWNER-DECISION-017,MEDD-017,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/medical-malpractice-vs-negligence-differences-israel/,/medical-malpractice-lawyer/; definition page,definition/comparison support,KEEP_INFORMATIONAL_SUPPORT_IF_UNIQUE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,KEEP_INFORMATIONAL_SUPPORT,Informational not commercial primary.
MEDMAL-OWNER-DECISION-018,MEDD-018,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,/medical-malpractice-lawyer/,definition/examples page,KEEP_INFORMATIONAL_SUPPORT_IF_UNIQUE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,KEEP_INFORMATIONAL_SUPPORT,Must not duplicate pillar title intent.
MEDMAL-OWNER-DECISION-019,MEDD-019,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/medical-malpractice-common-errors-doctors-hospitals/,/medical-malpractice-lawyer/; definition page,thin common-errors support,KEEP_INFORMATIONAL_SUPPORT_IF_UNIQUE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,EXPAND_AFTER_SOURCE_REVIEW,Marked thin/support in owner packet.
MEDMAL-OWNER-DECISION-020,MEDD-020,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/birth-injury/,/medical-malpractice-lawyer/; old birth/pregnancy page,birth injury support,PROTECT_BIRTH_PREGNANCY_ROLE_THEN_SPLIT_OR_MERGE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,KEEP_SUPPORT_COMPARE,Potential support under birth malpractice.
MEDMAL-OWNER-DECISION-021,MEDD-021,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/birth-injury-lawyer/,/birth-injury/; future birth-malpractice slug,birth injury lawyer support,PROTECT_BIRTH_PREGNANCY_ROLE_THEN_SPLIT_OR_MERGE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,KEEP_SUPPORT_COMPARE,May compete with future birth-malpractice slug.
MEDMAL-OWNER-DECISION-022,MEDD-022,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/birth-injury-causes/,/birth-injury/,thin birth-injury causes page,PROTECT_BIRTH_PREGNANCY_ROLE_THEN_SPLIT_OR_MERGE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,MERGE_OR_EXPAND_AFTER_REVIEW,Do not overstate medical causation.
MEDMAL-OWNER-DECISION-023,MEDD-023,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/brain-damage-at-birth/,/birth-injury/; old birth/pregnancy page,brain damage at birth support,PROTECT_BIRTH_PREGNANCY_ROLE_THEN_SPLIT_OR_MERGE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,KEEP_SUPPORT_SOURCE_REVIEW,Sensitive causation claims.
MEDMAL-OWNER-DECISION-024,MEDD-024,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/malpractice-cerebral-palsy/,/birth-injury/; old birth/pregnancy page,cerebral palsy malpractice support,PROTECT_BIRTH_PREGNANCY_ROLE_THEN_SPLIT_OR_MERGE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,KEEP_SUPPORT_SOURCE_REVIEW,Sensitive causation claims.
MEDMAL-OWNER-DECISION-025,MEDD-025,CURRENT_URL_READINESS,P0,REFERENCE:MEDMAL-REPORT-LARGE-001,/medical-malpractice-lawyer/,very large report-style page,OWNER_ROLE_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,,,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,SOURCE_COPYRIGHT_INDEX_REVIEW,Word count alone must not select pillar.
MEDMAL-OWNER-DECISION-026,MEDD-026,CURRENT_URL_READINESS,P1,https://jus-tice.co.il/standards-of-medical-fitness-to-drive/,traffic-law Marvad group,Marvad/traffic medical fitness page,CONFIRM_BOUNDARY_EXCLUSION_FROM_ISRAELI_SERVICE_CLUSTER,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,EXCLUDE_FROM_MALPRACTICE_CLUSTER,Traffic law not malpractice.
MEDMAL-OWNER-DECISION-027,MEDD-027,CURRENT_URL_READINESS,P1,https://jus-tice.co.il/medical-institute-for-road-safety/,traffic-law Marvad group,Marvad info page,CONFIRM_BOUNDARY_EXCLUSION_FROM_ISRAELI_SERVICE_CLUSTER,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,EXCLUDE_FROM_MALPRACTICE_CLUSTER,Traffic law not malpractice.
MEDMAL-OWNER-DECISION-028,MEDD-028,CURRENT_URL_READINESS,P1,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,traffic-law Marvad group,Marvad info page,CONFIRM_BOUNDARY_EXCLUSION_FROM_ISRAELI_SERVICE_CLUSTER,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,EXCLUDE_FROM_MALPRACTICE_CLUSTER,Traffic law not malpractice.
MEDMAL-OWNER-DECISION-029,MEDD-029,CURRENT_URL_READINESS,P1,https://jus-tice.co.il/criminal-negligence/,criminal-law group,criminal negligence page,CONFIRM_BOUNDARY_EXCLUSION_FROM_ISRAELI_SERVICE_CLUSTER,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,EXCLUDE_FROM_MALPRACTICE_CLUSTER,Criminal law not medical malpractice.
MEDMAL-OWNER-DECISION-030,MEDD-030,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/legal-clinic/,site/service info,legal clinic page,OWNER_ROLE_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,,,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,EXCLUDE_PENDING_MANUAL_REVIEW,Low-word-count unrelated support risk.
MEDMAL-OWNER-DECISION-031,MEDD-031,CURRENT_URL_READINESS,P0,FUTURE:/birth-malpractice/; /pregnancy-malpractice/; /diagnosis-malpractice/; /surgery-malpractice/,current support pages and old Hebrew URLs,future clean support slugs,PROTECT_BIRTH_PREGNANCY_ROLE_THEN_SPLIT_OR_MERGE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,,,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,FUTURE_ONLY_UNTIL_SPLIT_APPROVED,Do not publish clean duplicates before current URL comparison.
MEDMAL-OWNER-DECISION-032,MEDD-032,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%9C%D7%99%D7%93%D7%94-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5,https://jus-tice.co.il/medical-malpractice-lawyer/,birth-malpractice lawyer help,PROTECT_BIRTH_PREGNANCY_ROLE_THEN_SPLIT_OR_MERGE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,HIGH,1,27275,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Highest topic visibility; remove/avoid recommended language before public edit
MEDMAL-OWNER-DECISION-033,MEDD-033,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F-%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%99%D7%9D-%D7%91%D7%AA%D7%97%D7%95%D7%9D-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%A2%D7%95%D7%9C%D7%9D,https://jus-tice.co.il/medical-malpractice-lawyer/,medical-malpractice lawyer comparison,PROTECT_AND_REVIEW_BEFORE_REWRITE_LINK_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,HIGH,15,19549,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Trust-claim risk; convert to factual checklist language
MEDMAL-OWNER-DECISION-034,MEDD-034,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/medical-malpractice-in-the-united-states/,https://jus-tice.co.il/medical-malpractice-lawyer/,medical-malpractice claim guidance,PROTECT_AND_REVIEW_BEFORE_REWRITE_LINK_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,HIGH,18,10267,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Keep as jurisdictional/support content; do not let it displace Israeli hub
MEDMAL-OWNER-DECISION-035,MEDD-035,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/%D7%94%D7%A7%D7%98%D7%A0%D7%AA-%D7%94%D7%95%D7%A6%D7%90%D7%95%D7%AA-%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA,https://jus-tice.co.il/medical-malpractice-lawyer/,medical-malpractice lawyer fees and claim costs,PROTECT_COST_SUPPORT_THEN_COMPARE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,MEDIUM,22,9670,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Commercial pricing intent
MEDMAL-OWNER-DECISION-036,MEDD-036,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%99%D7%9D-%D7%9C%D7%91%D7%99%D7%AA-%D7%9E%D7%A9%D7%A4%D7%98-%D7%9E%D7%AA%D7%A2%D7%93%D7%9B%D7%9F,https://jus-tice.co.il/medical-malpractice-lawyer/,medical expert opinion for malpractice claim,PROTECT_AND_REVIEW_BEFORE_REWRITE_LINK_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,HIGH,144,8191,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Very high clicks; useful pre-lead education
