post_id,old_hebrew_slug,new_english_slug,title
11813,"עורך-דין-גירושין-מדריך-להליכים-עלוי","lawyer-divorce-guide-proceedings-costs-rights","עורך דין גירושין – מדריך להליכים, עלויות, זכויות ושלבי התהליך"
11757,"מחשבון-דמי-ביטוח-לאומי-ובריאות","national-insurance-calculator","מחשבון דמי ביטוח לאומי ובריאות"
11746,"מדריך-2025-מה-חשוב-לכלול-בחוזה-מול-קבלן-ברכ","apartment-purchase-guide-contract-contractor-2025","מדריך 2025: מה חשוב לכלול בחוזה מול קבלן ברכישת דירה"
11743,"איך-לבחור-את-הנכס-המושלם-מדריך-מפורט-לק","property-guide-real-estate-israel-2025","איך לבחור את הנכס המושלם? מדריך מפורט לקניית נדלן חכם בישראל 2025"
11740,"10-נושאים-קריטיים-שחייבים-לבדוק-לפני-קני","house-israel-10-2025","10 נושאים קריטיים שחייבים לבדוק לפני קניית בית בישראל בשנת 2025"
11738,"איפה-הכי-משתלם-לישראלים-לקנות-נדלן-בעו","israelis-real-estate","איפה הכי משתלם לישראלים לקנות נדלן בעולם?"
11736,"רכישת-נדלן-2025-כל-מה-שצריך-לדעת","property-purchase-2025","רכישת נדלן 2025 – כל מה שצריך לדעת"
11695,"איך-לבחור-משרד-עורך-דין-גירושין-כשמתגר","lawyer-divorce","איך לבחור משרד עורך דין גירושין כשמתגרשים"
11687,"עורך-דין-מומלץ-דיני-משפחה-וגירושין-פיר","family-law-lawyer-recommended-divorce-wills-inheritances","עורך דין מומלץ 2025 לתחום גירושין דיני משפחה צוואות וירושות – פירמת עורכי הדין רוטנברג דיני משפחה"
11598,"מעמדו-של-חשבון-בנק-הרשום-עש-בני-הזוג-1381290-2","jerusalem-rabbinical-court-account-bank-1381290-2","מעמדו של חשבון בנק הרשום עש בני הזוג – 1381290-2 – ביהד ירושלים‎"
11584,"עוולה-נזק-ופיצוי-דיני-הנזיקין-ורשלנו","damage-compensation-laws-torts","עוולה | נזק ופיצוי | דיני הנזיקין ורשלנות | עוד נזיקין"
11573,"משרד-עורכי-דין-דר-אסף-פוזנר","law-firm","משרד עורכי דין דר אסף פוזנר"
11566,"דר-גדעון-פישר-ושות-משרד-עורכי-דין","law-firm-11566","דר גדעון פישר ושות' | משרד עורכי דין"
11571,"אלמוג-שפירא-חברת-עורכי-דין","lawyers-company","אלמוג-שפירא, חברת עורכי דין"
11568,"איתן-האזרחי-ושות-משרד-עורכי-דין","law-firm-civil","איתן האזרחי ושות' | משרד עורכי דין"
11553,"תביעת-רשלנות-רפואית-בניתוח-עורך-דין-רש","medical-malpractice-lawyer-lawsuit-surgery-medical","תביעת רשלנות רפואית בניתוח | עורך דין רשלנות רפואית בניתוח"
11389,"דיוויד-צסנוף-עורך-דין-david-chesnoff","lawyer-david-chesnoff","דיוויד צ'סנוף (עורך דין) |  David Chesnoff"
11333,"garrigues-משרד-עורכי-דין","law-firm-garrigues","Garrigues (משרד עורכי דין)"
11322,"השופט-הרי-קירש-פסד-שעניינו-חישוב-מס-מע","verdict-judge-tax-property-technology-49933-03-20","השופט הרי קירש: פסד שעניינו חישוב מס מעסקת מכירת נכס בלתי מוחשי (טכנולוגיה) (עמ 49933-03-20)"
11263,"משרד-עורכי-דין-דיני-משפחה-בשותפות","law-firm-family-law-partnership","משרד עורכי דין דיני משפחה בשותפות"
11261,"השתתפות-בקניית-דירה-בחלקים-שאינם-שווי","buying-apartment","השתתפות בקניית דירה בחלקים שאינם שווים כיצד חולקים את הרווח"
10831,"בינה-מלאכותית-משפטית-ai-שרותי-אינפורמט","artificial-intelligence-ai","בינה מלאכותית משפטית AI | שרותי אינפורמטיקה משפטית"
10826,"חוות-דעת-דין-זר-מומחה-חוות-דעת-משפטית-ז","legal-opinion-foreign-law-expert","חוות דעת דין זר | מומחה חוות דעת משפטית זרה (חול)"
10820,"קרן-הגנה-משפטית-קרן-מימון-הגנה-משפטית","article-10820","קרן הגנה משפטית | קרן מימון הגנה משפטית"
10816,"מימון-משפטי-הלוואה-לתביעה-מימון-ייצו","loan-lawsuit-representation","מימון משפטי | הלוואה לתביעה | מימון ייצוג (ליטגציה)"
10798,"שרותי-בריאות-בפורטוגל-רפואה-בפורטוגל","portugal-medicine","שרותי בריאות בפורטוגל | רפואה בפורטוגל"
10795,"האם-לישראלים-וזרים-גישה-לשרותי-בריאות","israelis-portugal","האם לישראלים וזרים גישה לשרותי בריאות בפורטוגל?"
10704,"משרד-האוצר-פורטוגל","portugal-10704","משרד האוצר (פורטוגל)"
10682,"בנקו-דה-פורטוגל-בנק-ראשי-פורטוגל","portugal-bank","בנקו דה פורטוגל | בנק ראשי פורטוגל"
10480,"בגידה-מעשה-הבגידה-מה-זה-בגידה-עורך-דין","lawyer-infidelity-divorce","בגידה | מעשה הבגידה | מה זה בגידה? | עורך דין גירושין"
10264,"גירושין-2023-תביעת-כתובה-של-התובעת-האישה-ע","divorce-lawsuit-ketubah-2023-1-000","גירושין 2023: תביעת כתובה של התובעת-האישה על סך 1,000,000 שח"
10163,"הקבלן-רוצה-שאחתום-על-הליקויים-שנמצאו-ב","contractor-house","הקבלן רוצה שאחתום על הליקויים שנמצאו בבדק בית נפתרו/פתוחים. מה עלי לעשות?"
10154,"מתווך-דירות-איך-למצוא-סוכן-נדלן-טוב","broker-apartments-real-estate","מתווך דירות: איך למצוא סוכן נדלן טוב"
10139,"בוגר-לימודי-נדלן-בארהב","real-estate","בוגר לימודי נדלן בארהב"
10136,"מדריך-מקיף-לקניית-דירה-ראשונה","buying-apartment-guide-comprehensive","מדריך מקיף לקניית דירה ראשונה"
10130,"מדריך-מקיף-לתהליך-רכישת-דירה-רשימת-מטל","apartment-purchase-guide-comprehensive","מדריך מקיף לתהליך רכישת דירה: רשימת מטלות צ'ק ליסט"
10100,"חוק-מיסוי-נדלן-יוון-חוק-מס-4223-מס-בעלות-על","law-taxation-real-estate-greece-tax-ownership","חוק מיסוי נדלן יוון: חוק מס. 4223 מס בעלות על נכס אחיד והוראות אחרות"
10089,"עורך-דין-מקרקעין-חוקי-הקרקע-והקניין-בי","lawyer-real-estate-laws-land-israel","עורך דין מקרקעין | חוקי הקרקע והקניין בישראל"
10073,"צוואות-וירושות-בחירת-עורך-דין","lawyer-wills-inheritances","עוד צוואות וירושות בחירת עורך דין"
10060,"השופט-מגן-אלטוביה-פסד-בעניין-תביעה-על","verdict-judge-lawsuit-cancellation-agreement-4528-01-16","השופט מגן אלטוביה: פסד בעניין תביעה על ביטול הסכם מיזוג (תא 4528-01-16)"
10016,"אימות-חתימה-נוטריון-משולב-עברית-אנגלי","signature-notary","אימות חתימה נוטריון – משולב עברית אנגלית"
10008,"תעודת-רופא-אישור-נוטריוני","approval-notarial","תעודת רופא | אישור נוטריוני"
10005,"השופטת-אירית-קלמן-ברום-החלטה-בתביעה-בג","medical-malpractice-judge-decision-lawsuit-4392-03-23","השופטת אירית קלמן ברום: החלטה בתביעה בגין התיישנות רשלנות רפואית (תא 4392-03-23)"
9973,"גירושין-בבלגיה","divorce-belgium","גירושין בבלגיה"
9971,"דיני-משפחה-אוסטרליה","family-law-australia","דיני משפחה אוסטרליה"
9964,"גירושין-בארצות-הברית","united-states-divorce","גירושין בארצות הברית"
9636,"עורך-דין-פלילי-פורנוגרפיית-ילדים","criminal-law-lawyer","עורך דין פלילי פורנוגרפיית ילדים"
9550,"עורך-דין-פלילי-אינטרפול","criminal-law-counsel","עורך דין פלילי אינטרפול"
7719,"יתרונות-העסקת-עורך-דין-פלילי","criminal-law-advocate","יתרונות העסקת עורך דין פלילי"
9547,"עורך-דין-יורופול-europol","lawyer-europol","עורך דין יורופול Europol"
9544,"צו-מעצר-אירופי-צו-חקירה-אירופי","arrest-investigation","צו מעצר אירופי | צו חקירה אירופי"
9534,"ייצוג-עורך-דין-פלילי-לפי-מדינה","criminal-law-representation-lawyer-law","ייצוג עורך דין פלילי לפי מדינה"
9468,"עורך-דין-משפט-פלילי-בינלאומי","criminal-law-lawyer-international","עורך דין משפט פלילי בינלאומי"
9459,"עורך-דין-משפט-בינלאומי","lawyer-international","עורך דין משפט בינלאומי"
9436,"עורך-דין-צבאי","lawyer-recommended-law-price","עורך דין צבאי מומלץ | עורך דין צבאי מחיר"
9133,"חוק-העונשין-תשלז-1977-מעודכן-2023-עם-הסברים","law-updated-1977-2023","חוק העונשין, תשלז-1977* | מעודכן 2023 עם הסברים"
9128,"אמנת-האומות-המאוחדות-נגד-שחיתות","article-9128","אמנת האומות המאוחדות נגד שחיתות"
9126,"דילמת-אסיר-חף-מפשע","article-9126","דילמת אסיר חף מפשע"
9119,"הכרעת-דין-במשפט-החוזר-של-רומן-זדורוב-תפ","verdict-acquittal-law-complete-502-07","הזיכוי: הכרעת דין במשפט החוזר של רומן זדורוב (תפח 502-07) פסק דין מלא להורדה"
8995,"משפחה-בש-סגנית-הנשיא-רותם-קודלר-עיאש-פ","verdict-family-alimony-21976-01-20","משפחה בש, סגנית הנשיא רותם קודלר עיאש: פסד בעניין מזונות (תלהמ 21976-01-20)"
8990,"דרכון-יווני-הגירה-רילוקיישן-מגורים-מ","passport-immigration-relocation-residence-costs","דרכון יווני – הגירה, רילוקיישן, מגורים: מה הדרישות והעלויות"
8928,"מכירת-נכס-בהוראת-בית-דין-ללא-הסכמת-הבעל","rabbinical-court-property-owners","מכירת נכס בהוראת בית דין ללא הסכמת הבעלים"
8808,"מנתח-פלסטי-פנים","article-8808","מנתח פלסטי פנים"
8764,"חזקת-חיוב-בכתובה-כשהאישה-שתבעה-גירוש","rabbinical-court-haifa-ketubah-divorce-8216-1265026-5","&#8216;חזקת חיוב' בכתובה כשהאישה שתבעה גירושין – 1265026-5 – ביהד חיפה"
8760,"ביטול-מכר-או-מתנה-בגירושין-מועד-הקרע-ב","cancellation-divorce-witness-infidelity-8216","ביטול מכר או מתנה בגירושין &#8216;מועד הקרע' במקרה של בגידה"
8744,"פסד-בעניין-תביעת-פיצויים-כנגד-רופא-שינ","verdict-lawsuit-damages-9109-12-19","פסד בעניין תביעת פיצויים כנגד רופא שיניים (תא 9109-12-19)"
8716,"פירוד-ממושך-כעילה-לגירושין-32292-3-ביהד-אשד","rabbinical-court-divorce-32292-3","פירוד ממושך כעילה לגירושין 32292-3 ביהד אשדוד"
8698,"השופטת-בכירה-שושנה-ברגר-פסד-בתובענה-ל","probate-order-verdict-judge-cancellation-55971-02-20","השופטת בכירה שושנה ברגר: פסד בתובענה לביטול צו קיום צוואה (תע 55971-02-20)"
8576,"הגירה-מישראל-רשימת-הליכים","immigration-israel-proceedings","הגירה מישראל: רשימת הליכים"
8565,"רשלנות-רפואית-בניתוח","medical-malpractice-surgery","רשלנות רפואית בניתוח"
8562,"פסד-תביעת-גירושין-וכתובה-באישה-שקיימ","rabbinical-court-verdict-lawsuit-divorce-ketubah-1242579-2","פסד – תביעת גירושין וכתובה באישה שקיימה יחסי אישות עם גברים זרים בנוכחות בעלה 1242579-2 – ביהד רחובות"
8560,"פסד-סידור-גט-לפני-הכרעה-בתביעות-הצדדי","rabbinical-court-verdict-get-divorce-lawsuits-37883-9","פסד – סידור גט לפני הכרעה בתביעות הצדדים – 37883-9 – ביהד אשדוד"
8558,"ערעור-על-פסיקת-מדור-ספציפי-ובקשה-לפירו","dissolution-partnership-rabbinical-court-appeal-request-1156328-6","ערעור על פסיקת מדור ספציפי ובקשה לפירוק שיתוף – 1156328-6 – ביהד הגדול"
8556,"תשלום-פנסיה-ומזונות-אחרי-הזמן-הקובע-1156328-2","rabbinical-court-pension-alimony-1156328-2","תשלום פנסיה ומזונות אחרי הזמן הקובע – 1156328-2 – ביהד הגדול"
8554,"דחיית-טענה-לפגיעה-מינית-וחידוש-קשר-בין","jerusalem-rabbinical-court-claim-1201062-4","דחיית טענה לפגיעה מינית וחידוש קשר בין אב לבתו אף שלא בהתאם להמלצת עוס הרווחה – 1201062-4 – ביהד ירושלים"
8540,"בית-המשפט-הפרטי-justice-co-il","house-justice-co-il","בית המשפט הפרטי Justice.co.il"
8538,"עורכי-דין-פליליים-מפורסמים-במדיה-סרטי","lawyers-criminal","עורכי דין פליליים מפורסמים במדיה סרטים וטלוויזיה"
8509,"מה-עושים-עורכי-דין-בבית-המשפט-ומהם-תחומ","lawyers-lawyer-house","מה עושים עורכי דין בבית המשפט ומהם תחומי האחריות של עורך דין"
8500,"20-טיפים-לתביעת-רשלנות-רפואית","medical-malpractice-tips-lawsuit-20","20 טיפים לתביעת רשלנות רפואית"
8498,"20-טיפים-למניעת-רשלנות-רפואית","medical-malpractice-tips-20","20 טיפים למניעת רשלנות רפואית"
8494,"בקשת-צו-הגנה-למניעת-אלימות-במשפחה-הט-61185-11-2","protection-order-petition-family-61185-11-22","בקשת צו הגנה למניעת אלימות במשפחה (הט 61185-11-22)"
8492,"פסד-הסדר-רישום-מקרקעין-בסכסוך-משפחה-ת","land-registration-verdict-procedure-family-28997-05-16","פסד הסדר רישום מקרקעין בסכסוך משפחה (תמש 28997-05-16)"
8487,"כתב-אישום-בקשת-מעצר-דקירה-מסוכנות-גבוה","indictment-petition-arrest","כתב אישום בקשת מעצר דקירה מסוכנות גבוהה"
8473,"טופס-מצא-עורך-דין-בקרבתך","lawyer","טופס מצא עורך דין בקרבתך"
8468,"גזד-עונש-פלילי-לקטין-מתחת-ל16-שביצע-עביר","sex-offenses-punishment-criminal-16-39000-05-21","גזד עונש פלילי לקטין מתחת ל16 שביצע עבירות מין (תפח 39000-05-21)"
8465,"קביעת-מועד-הקרע-לעניין-איזון-המשאבים-ב","witness-18194-04-22","קביעת מועד הקרע לעניין איזון המשאבים בין בני זוג (תלהמ 18194-04-22)"
8463,"מאסר-בגין-הטרדה-מינית-והתנכלות-באמצעו","43967-07-20","מאסר בגין הטרדה מינית והתנכלות באמצעות רשת הטלגרם (תפ 43967-07-20)"
8459,"פסד-לבן-הזוג-לשעבר-מגיע-חלק-בדירה-עמש-61566-0","verdict-apartment-61566-03-22","פסד לבן הזוג לשעבר מגיע חלק בדירה (עמש 61566-03-22)"
8456,"פסד-דחיית-תביעה-להטבת-נזקי-גוף-שיסודה","medical-malpractice-personal-injury-verdict-lawsuit-claim-79092-12-20","פסד דחיית תביעה להטבת נזקי גוף שיסודה בטענה לרשלנות רפואית (תא 79092-12-20)"
8451,"לרופא-מרדים-שנאשם-בעבירה-של-ניסיון-לרצ","defendant-offense-60221-07-21","רופא מרדים שנאשם בעבירה של ניסיון לרצח (תפח 60221-07-21)"
8443,"בגצ-דרעי-2023-תיקון-חוק-יסוד-הממשלה-ומינוי","law-2023-37-8948-3-22","בג'צ דרעי 2023 תיקון חוק יסוד הממשלה ומינויו של החכ אריה דרעי לשר בממשלה ה-37 (בגץ 8948-3=22)"
8438,"ביטול-ייפוי-כוח-מתמשך-החלטה-בבקשה-לנק","durable-power-of-attorney-cancellation-decision-request-34123-11-22","ביטול ייפוי כוח מתמשך | החלטה בבקשה לנקיטת אמצעי שמירה (אפ 34123-11-22)"
8436,"פסק-דין-הצהרתי-בנוגע-למחצית-מהזכויות-ב","verdict-rights-house-land-35298-10-19","פסק דין הצהרתי בנוגע למחצית מהזכויות בבית ובקרקע (תמש 35298-10-19)"
8432,"פסד-בתביעה-בין-אחים-על-רקע-עזבון-אמם-תמ","verdict-lawsuit-12532-05-20","פסד בתביעה בין אחים על רקע עזבון אמם (תמש 12532-05-20)"
8430,"פסד-בבקשת-אב-להפחתת-מזונות-בטענה-של-שי","verdict-petition-alimony-claim-35493-10-19","פסד בבקשת אב להפחתת מזונות בטענה של שינוי נסיבות (תלהמ 35493-10-19)"
8428,"תביעה-של-אישה-לקבל-פיצויים-מבן-זוגה-לשע","lawsuit-damages-47127-07-21","תביעה של אישה לקבל פיצויים מבן זוגה לשעבר בשל תיעוד אינטימי באמצעות מצלמות שהתקין בדירתה (תלהמ 47127-07-21)"
8422,"פסד-בתובענות-בגין-לשון-הרע-תביעה-להשב","defamation-verdict-lawsuit-12289-07-21","פסד בתובענות בגין לשון הרע, תביעה להשבה ותביעה כספית בין בני זוג לשעבר (תמש 12289-07-21)"
8409,"מחשבון-מזונות-ילדים-2023","child-support-calculator-2023","מחשבון מזונות ילדים 2023"
8402,"מסמכים-חשובים-לתביעת-רשלנות-רפואית","medical-malpractice-lawsuit","מסמכים חשובים לתביעת רשלנות רפואית"
8400,"רשלנות-רפואית-במהלך-הריון-ולידה-רשימת","medical-malpractice-pregnancy-birth","רשלנות רפואית במהלך הריון ולידה רשימת דברים שכדאי לדעת"
8396,"טיפים-כיצד-למקסם-את-הפיצויים-בתביעת-רש","medical-malpractice-tips-damages-lawsuit","טיפים כיצד למקסם את הפיצויים בתביעת רשלנות רפואית"
8393,"השופטת-הילה-גורביץ-עובדיה-פסק-דין-בבקש","inheritance-order-verdict-judge-request-60847-03-22","השופטת הילה גורביץ עובדיה: פסק דין בבקשה לתיקון צו ירושה (תע 60847-03-22)"
8391,"עתירה-של-אישה-נגד-בעלה-למתן-צו-לפי-החוק","law-family-58854-11-22","עתירה של אישה נגד בעלה למתן צו לפי החוק למניעת אלימות במשפחה (הט 58854-11-22)"
8385,"גירושין-חלוקת-עסק-נכס-או-מוניטין-מעמד","divorce-business-property-expert","גירושין: חלוקת עסק – נכס או מוניטין? מעמדה של חוד מומחה"
8377,"הסוגיות-המשפטיות-שיש-לקחת-בחשבון-בעת","account-house","הסוגיות המשפטיות שיש לקחת בחשבון בעת ​​מכירת בית"
8367,"רשלנות-רפואית-בבית-חולים","medical-malpractice-house","רשלנות רפואית בבית חולים"
8365,"פסד-בבקשה-להעברת-המשמורת-אל-האב-ורישום","verdict-request-custody-20387-03-22","פסד בבקשה להעברת המשמורת אל האב ורישום למוסדות חינוך (תלהמ 20387-03-22)"
8362,"השופטת-אורית-בן-דור-ליבל-פסד-בתובענה-ל","prenuptial-agreement-verdict-judge-cancellation-validity-27071-11-19","השופטת אורית בן דור ליבל: פסד בתובענה לביטול הסכם ממון שאושר וקיבל תוקף של פסק דין (תהס 27071-11-19)"
8360,"פסד-תביעה-לסעד-הצהרתי-הקובע-כי-זכויות","verdict-lawsuit-rights-apartment-49005-04-22","פסד תביעה לסעד הצהרתי הקובע כי זכויות המשיבה הדירה המשותפת לצדדים הועברו לידי המערער (עמש 49005-04-22)"
8358,"בירור-זכויות-בת-זוג-מכוח-חוק-יחסי-ממון-ל","rights-law-process-34613-02-22","בירור זכויות בת זוג מכוח חוק יחסי ממון למרות שבת הזוג לא צורפה כצד להליך (עמש 34613-02-22)"
8349,"חוק-רשלנות-רפואית","medical-malpractice-law","חוק רשלנות רפואית"
8346,"מקרי-רשלנות-רפואית-בישראל-דוגמאות-לרש","medical-malpractice-israel-medical","מקרי רשלנות רפואית בישראל | דוגמאות לרשלנות רפואית"
8344,"פסד-בתביעה-להפחתת-מזונות-ילדים-שנקבעו","child-support-verdict-lawsuit-agreement-41188-08-20","פסד בתביעה להפחתת מזונות ילדים שנקבעו בהסכם פרידה ויחסי ממון (תלהמ 41188-08-20)"
8338,"חלוקת-זמני-שהות-מינוי-מתאם-הורי-עם-סמכ","authority-9267-12-21","חלוקת זמני שהות:  מינוי מתאם הורי עם סמכויות הכרעה (תלהמ 9267-12-21)"
