group,path,mapped_target,live_status,final_path,gsc_clicks,gsc_impressions,gsc_position,risk,proposed_action,required_before_action,status
protected_source,/%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%A2%D7%93%D7%9B%D7%A0%D7%99-%D7%9C%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F/,/divorce-lawyer/,CONFLICT,/,115,15844,24.2,HIGH,RESTORE_OR_TARGETED_301_REVIEW_AFTER_FOCUSED_GSC,focused_gsc_export; restore_or_confirm_redirect_source; owner_approval,GSC_ROW_FOUND
protected_source,/child-custody-modification/,/child-custody/,PASS,/child-custody-modification/,17,13491,54.4,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,focused_gsc_export; owner_approval_before_redirect_or_retirement,GSC_ROW_FOUND
protected_source,/divorce-costs-2025/,/divorce-lawyer/,PASS,/divorce-costs-2025/,31,13272,31.6,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,focused_gsc_export; owner_approval_before_redirect_or_retirement,GSC_ROW_FOUND
protected_source,/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/,/divorce-lawyer/,CONFLICT,/,0,13160,78.9,HIGH,RESTORE_OR_TARGETED_301_REVIEW_AFTER_FOCUSED_GSC,focused_gsc_export; restore_or_confirm_redirect_source; owner_approval,GSC_ROW_FOUND
protected_source,/living-apart-together-legal-rights/,/divorce-property-division/,PASS,/living-apart-together-legal-rights/,53,10685,53.6,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,focused_gsc_export; owner_approval_before_redirect_or_retirement,GSC_ROW_FOUND
protected_source,/%D7%92%D7%99%D7%A9%D7%95%D7%A8-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%94-%D7%96%D7%94-%D7%95%D7%90%D7%99%D7%9A-%D7%94%D7%AA%D7%94%D7%9C%D7%99%D7%9A-%D7%A2%D7%95%D7%91%D7%93/,/divorce-mediation/,CONFLICT,/,0,9247,70.3,HIGH,RESTORE_OR_TARGETED_301_REVIEW_AFTER_FOCUSED_GSC,focused_gsc_export; restore_or_confirm_redirect_source; owner_approval,GSC_ROW_FOUND
protected_source,/request-for-family-dispute-settlements/,/family-dispute-resolution/,PASS,/request-for-family-dispute-settlements/,3,8985,40.0,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,focused_gsc_export; owner_approval_before_redirect_or_retirement,GSC_ROW_FOUND
protected_source,/divorce-mediation-basics/,/divorce-mediation/,PASS,/divorce-mediation-basics/,0,8413,68.9,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,focused_gsc_export; owner_approval_before_redirect_or_retirement,GSC_ROW_FOUND
protected_source,/cohabitation-property-rights-for-unmarried-couples/,/divorce-property-division/,PASS,/cohabitation-property-rights-for-unmarried-couples/,12,8317,39.6,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,focused_gsc_export; owner_approval_before_redirect_or_retirement,GSC_ROW_FOUND
protected_source,/how-much-does-a-divorce-agreement-cost/,/consensual-divorce/,PASS,/how-much-does-a-divorce-agreement-cost/,1,8447,52.1,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,focused_gsc_export; owner_approval_before_redirect_or_retirement,GSC_ROW_FOUND
protected_source,/divorce-everything-you-need-to-know/,/divorce-lawyer/,PASS,/divorce-everything-you-need-to-know/,2,8132,58.9,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,focused_gsc_export; owner_approval_before_redirect_or_retirement,GSC_ROW_FOUND
protected_source,/what-is-child-custody/,/child-custody/,CONFLICT,/,0,6358,70.2,HIGH,RESTORE_OR_TARGETED_301_REVIEW_AFTER_FOCUSED_GSC,focused_gsc_export; restore_or_confirm_redirect_source; owner_approval,GSC_ROW_FOUND
protected_source,/trusted-divorce-attorney-guide/,/divorce-lawyer/,PASS,/trusted-divorce-attorney-guide/,2,5512,71.0,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,focused_gsc_export; owner_approval_before_redirect_or_retirement,GSC_ROW_FOUND
protected_source,/strategic-divorce-cost-planning/,/divorce-lawyer/,PASS,/strategic-divorce-cost-planning/,5,6223,54.6,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,focused_gsc_export; owner_approval_before_redirect_or_retirement,GSC_ROW_FOUND
protected_asset,/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,/consensual-divorce/,PASS,/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,16,10158,43.8,HIGH,KEEP_ASSET_LIVE_NO_REDIRECT,focused_gsc_export; owner_approval_before_redirect_or_retirement,GSC_ROW_FOUND
