current_slug,proposed_slug,hebrew_topic,priority
article-1980,supreme-court-petition-israel-administrative,עתירה לבית משפט עליון מנהלי ישראל,P2
article-1858,real-estate-contract-buyer-seller-israel,חוזה מקרקעין קונה מוכר ישראל,P2
article-1852,property-rights-dispute-israel-court,סכסוך זכויות קניין ישראל בית משפט,P2
article-1827,criminal-appeal-sentencing-review-israel,ערעור פלילי בחינת עונש ישראל,P2
article-1121,legal-terminology-glossary-israel-law,מונחים משפטיים מילון ישראל,P2
article-1706,medical-expert-testimony-malpractice-lawsuit,עדות מומחה רפואי תביעת רשלנות,P2
lawyer,find-lawyer-near-me-israel-all-areas,מצא עורך דין בקרבתך,P1
lawyers,lawyers-online-reputation-management-israel,ניהול מוניטין מקוון לעורכי דין,P1
house,buying-apartment-israel-legal-checklist,קניית דירה ישראל רשימת בדיקה משפטית,P1
tax,tax-law-israel-guide-obligations-2025,מיסוי ישראל מדריך חובות 2025,P1
civil,civil-procedure-law-israel-courts-guide,סדר הדין האזרחי ישראל בתי משפט,P1
courts,courts-system-israel-guide-hierarchy,מערכת בתי המשפט ישראל היררכיה,P1
court,what-is-a-court-israel-legal-guide,מהו בית משפט ישראל מדריך משפטי,P1
lawsuits,civil-lawsuits-israel-procedure-guide,תביעות אזרחיות ישראל הליך מדריך,P1
jerusalem,jerusalem-courts-legal-proceedings-israel,בתי משפט ירושלים הליכים משפטיים,P1
privacy,privacy-rights-coronavirus-employment-israel,זכויות פרטיות קורונה עבודה ישראל,P1
company,company-law-israel-incorporation-guide,דיני חברות ישראל רישום מדריך,P1
prosecution,state-prosecution-israel-criminal-process,פרקליטות המדינה הליך פלילי ישראל,P1
penal,penal-code-israel-criminal-law-guide,חוק העונשין ישראל דיני עונשין מדריך,P1
conviction,criminal-conviction-israel-defense-options,הרשעה פלילית ישראל אפשרויות הגנה,P1
punishment,criminal-sentencing-israel-penalties-guide,גזירת עונש פלילי ישראל מדריך עונשים,P1
judge,judge-role-israel-court-system,תפקיד השופט ישראל מערכת בתי משפט,P1
evidence,evidence-law-israel-criminal-civil,דיני ראיות ישראל פלילי אזרחי,P1
properties,receivers-trustees-property-management-court,כונסי נכסים ניהול רכוש בית משפט,P1
custody,child-custody-transfer-mother-father-israel,העברת משמורת ילדים אם אב ישראל,P1
alimony,child-alimony-calculation-father-obligation-israel,חישוב מזונות ילדים חיוב האב ישראל,P1
right,womens-rights-domestic-violence-israel-law,זכויות נשים אלימות במשפחה ישראל,P1
accounts,inheritance-estate-accounts-siblings-dispute,חשבונות עיזבון סכסוך אחים ירושה,P1
new,new-laws-israel-2025-legal-updates,חוקים חדשים ישראל 2025 עדכונים משפטיים,P2
nso,nso-pegasus-spyware-israel-police-legal,NSO פגסוס תוכנת ריגול משטרת ישראל,P1
19-covid,covid-19-employment-rights-israel-employer,קורונה זכויות עבודה ישראל מעסיק,P1
161,form-161-employee-departure-employer-notice-israel,טופס 161 הודעת מעביד עזיבת עובד,P1
7023-19,supreme-court-7023-19-constitutional-petition,עתירה חוקתית בית משפט עליון 7023-19,P2
52531-03-21,divorce-property-division-real-estate-ruling-52531,פסיקת חלוקת רכוש נדלן גירושין 52531,P2
57428-12-19,rabbinical-court-divorce-verdict-57428-12-19,פסיקת בית דין רבני גירושין 57428,P2
7679-12-21,family-court-ruling-7679-12-21-custody-rights,פסיקת בית משפט משפחה 7679-12-21,P2
verdict-request,court-verdict-injunction-stickspay-communications,פסיקת בית משפט צו עיכוב שליסל-סטיקספיי,P2
judgment-request,common-law-couple-status-private-marriage-israel,מעמד ידועים בציבור נישואין פרטיים ישראל,P2
lawsuit-compensation,labor-court-compensation-termination-63705,תביעת פיצויי פיטורים בית דין לעבודה 63705,P2
compensation-448,personal-injury-car-accident-compensation-bus,תביעת פיצויים תאונת דרכים אגד תעבורה,P2
verdict-rights,facebook-copyright-digital-rights-court-israel,זכויות דיגיטליות פייסבוק בית משפט ישראל,P1
verdict-appeal,criminal-tax-appeal-supreme-court-israel,ערעור פלילי מס בית משפט עליון ישראל,P1
verdict-will,inheritance-will-dispute-heirs-court-israel,סכסוך ירושה צוואה יורשים בית משפט,P1
verdict-rights,digital-content-rights-court-ruling-israel,זכויות תוכן דיגיטלי פסיקת בית משפט,P2
procedures-law,criminal-procedure-rights-investigation-israel,סדר דין פלילי זכויות חקירה ישראל,P1
proceedings-law,legal-proceedings-jurisdiction-israel-courts,סמכות שיפוט הליכים משפטיים ישראל,P1
torts-new,tort-law-new-rules-israel-damages-2025,דיני נזיקין כללים חדשים ישראל פיצויים 2025,P1
courts-law,courts-administration-law-israel-jurisdiction,חוק בתי המשפט ניהול שיפוט ישראל,P1
police-officer,police-officer-legal-status-rights-israel,מעמד קצין משטרה זכויות חוקיות ישראל,P1
law-account,banking-law-account-disclosure-israel,דיני בנקאות חשיפת חשבון ישראל,P1
alimony-agreement,alimony-divorce-agreement-israel-child-support,הסכם מזונות גירושין ישראל ילדים,P1
agreement-lawsuit,post-divorce-agreement-enforcement-lawsuit,אכיפת הסכם גירושין תביעה משפטית,P1
consent-agreement,consent-decree-court-divorce-settlement,הסכם הסדר גירושין אישור בית משפט,P1
petition-approval,petition-approval-debt-arrangement-creditors,בקשת אישור הסדר חוב נושים,P1
criminal-sentencing,criminal-sentencing-guidelines-israel-2025,הנחיות גזירת עונש פלילי ישראל 2025,P1
criminal-conviction,criminal-conviction-appeal-options-israel,אפשרויות ערעור הרשעה פלילית ישראל,P1
offense-license,criminal-offense-business-license-israel,עבירה פלילית ורישוי עסקים ישראל,P1
punishment-3417,criminal-punishment-assault-verdict-3417,עונש פלילי תקיפה פסיקה 3417,P2
law-1962,companies-ordinance-1962-israel-corporate-law,פקודת החברות 1962 ישראל דיני תאגידים,P2
lawsuit-alimony,alimony-lawsuit-reduction-changed-circumstances,תביעת הפחתת מזונות שינוי נסיבות,P1
lawsuit-obligations,contract-obligations-lawsuit-israel-civil,תביעת חיוב חוזי ישראל אזרחי,P1
lawsuit-torts,tort-lawsuit-negligence-damages-israel,תביעת נזיקין רשלנות פיצויים ישראל,P1
law-jurisdiction,civil-service-authority-legal-jurisdiction,סמכות שירות המדינה שיפוט משפטי,P1
indictment-cancellation,criminal-indictment-cancellation-withdrawal-israel,ביטול כתב אישום פלילי ישראל,P1
proceedings-divorce,divorce-proceedings-special-rules-rabbinical,הליכי גירושין כללים מיוחדים רבניים,P1
regulations,tenancy-regulation-israel-landlord-tenant,תקנות שכירות ישראל משכיר שוכר,P1
regulations-2015,court-procedure-regulations-2015-israel,תקנות סדר הדין 2015 ישראל,P2
regulations-1951,criminal-procedure-ordinance-1951-israel,פקודת סדר הדין הפלילי 1951 ישראל,P2
regulations-1884,ottoman-land-code-1884-israel-property,חוק הקרקעות העות׳מאני 1884 ישראל,P2
regulations-1879,civil-procedure-regulations-1879-ottoman-israel,תקנות סדר הדין האזרחי 1879 ישראל,P2
regulations-new,updated-court-regulations-israel-2020,תקנות בית משפט מעודכנות ישראל 2020,P2
regulations-2020,emergency-regulations-covid-2020-israel,תקנות חירום קורונה 2020 ישראל,P2
lawsuits-companies,corporate-lawsuit-employer-employee-israel,תביעה תאגידית מעסיק עובד ישראל,P1
investigation-criminal,criminal-investigation-procedure-rights-israel,חקירה פלילית הליך זכויות ישראל,P1
lawyers-judge,expert-lawyers-judges-directory-israel,מדריך עורכי דין שופטים מומחים ישראל,P1
rabbinical-court,rabbinical-court-divorce-request-israel,בקשה לגירושין בית דין רבני ישראל,P1
procedure,criminal-legal-procedure-israel-guide,הליך משפטי פלילי ישראל מדריך,P1
news-criminal,criminal-law-news-updates-israel-2025,חדשות דיני עונשין עדכונים ישראל 2025,P1
divorce-partners,common-law-divorce-cohabiting-partners-israel,גירושין ידועים בציבור פרידה ישראל,P1
compensation-law,personal-injury-compensation-verdict-israel,פסיקת פיצויים נזק גוף ישראל,P1
compensation-privacy,privacy-violation-compensation-lawsuit-israel,תביעת פיצויים הפרת פרטיות ישראל,P1
appeal-company,corporate-appeal-shareholder-dispute-israel,ערעור תאגידי סכסוך בעלי מניות ישראל,P2
law-israel,overview-israel-legal-system-courts-2025,סקירת המערכת המשפטית ישראל 2025,P1
law-2002,arbitration-law-2002-israel-dispute-resolution,חוק בוררות 2002 ישראל יישוב סכסוכים,P2
lawyer-101,lawyer-101-guide-hiring-attorney-israel,מדריך 101 שכירת עורך דין ישראל,P1
lawyer-law,how-to-find-qualified-lawyer-israel-guide,כיצד למצוא עורך דין מוסמך ישראל,P1
tax-law-destination,tax-law-obligations-vat-income-israel-2025,דיני מס ישראל מע״מ הכנסה 2025,P1
request-damages,compensation-claim-request-lawsuit-israel,בקשת תביעת פיצויים ישראל,P1
compensation-apartment,apartment-defects-contractor-compensation-israel,פיצויים ליקויי בנייה קבלן דירה ישראל,P1
