query,clicks,impressions,ctr,position
תביעה אזרחית נגררת לפלילים דוגמא,14,400,3.50,7.88
אירית קלמן ברום,13,325,4.00,4.40
אלעד פרסקי,13,1076,1.21,7.49
בקשה לתעודת מידע פלילי,13,2357,0.55,7.24
הסכם גירושין בהסכמה להורדה,13,420,3.10,11.05
להב 433 טלפון,13,731,1.78,7.06
עדי הדר שופט,13,741,1.75,6.98
עורכי דין לפי התמחות,13,1220,1.07,7.44
רשימת מומחים מטעם בית המשפט,13,611,2.13,8.57
שימוש לרעה בהליכי משפט,13,832,1.56,7.05
שכר עורכי דין 2025,13,463,2.81,7.65
ששי גז מחיר,13,623,2.09,6.43
תביעה לאיזון משאבים דוגמא,13,1012,1.28,7.22
תחנת משטרה גליל מערבי טלפון,13,672,1.93,5.48
הגירה למלטה,12,104,11.54,3.32
הצעת חוק דיני ממונות,12,436,2.75,6.28
זדורוב פסק דין,12,123,9.76,3.34
טופס תצהיר לבית המשפט,12,468,2.56,6.38
מחלקת תביעות פליליות,12,101,11.88,4.62
משמורת בלעדית לאם,12,1109,1.08,7.02
אזרחות יוונית,11,708,1.55,8.18
כחול לבן טלגרם,11,2763,0.40,15.14
עורך דין דיני עבודה ייעוץ חינם,11,2848,0.39,16.61
עורך דין לעסקים קטנים,11,2122,0.52,3.18
עורך דין צבאי מחיר,11,1940,0.57,5.13
עורך דין ששי גז מחיר,11,123,8.94,5.79
פסק דין פלילי,11,454,2.42,10.78
גירושים מכוערים,10,142,7.04,4.68
טופס הסכם גירושין להורדה,10,569,1.76,21.41
כוח עליון הגדרה,10,225,4.44,3.99
"מה זה מרב""ד",10,270,3.70,4.86
מה זה מרבד,10,918,1.09,4.08
מועמדות לשיפוט,10,291,3.44,3.69
"מרב""ד מה זה",10,369,2.71,4.80
סוגי רופאים מומחים,10,189,5.29,3.33
עורך דין פלילי,10,13989,0.07,45.67
עורכי דין מומלצים,10,3160,0.32,11.10
פרקליטות המדינה פלילי,10,835,1.20,6.65
קורסים לעורכי דין,10,106,9.43,18.49
קניית דירה על שם אחד מבני הזוג,10,117,8.55,6.48
תצהיר עורך דין המעיד על מקום המגורים,10,63,15.87,5.13
תקנון אתר לדוגמא,10,351,2.85,7.22
אורית בן דור ליבל,9,273,3.30,9.05
הגשת מועמדות לשפיטה,9,430,2.09,4.14
הסכם גירושין pdf,9,2350,0.38,10.86
הסכם גירושין בהסכמה,9,6571,0.14,13.99
הסכם גירושין להורדה,9,614,1.47,19.20
השופטת ענת הלר כריש,9,100,9.00,4.84
זוגיות פרק ב ללא מגורים משותפים,9,230,3.91,7.56
חוק החוזים תרופות,9,12658,0.07,8.45
חיפוש עורכי דין,9,2042,0.44,10.81
כמה עולה לקנות בית בתאילנד,9,350,2.57,6.12
ניהול משרד עורכי דין,9,130,6.92,3.05
סיגלית אופק,9,290,3.10,5.45
סיגלית אופק שופטת,9,285,3.16,5.37
עורך דין בפורטוגל,9,378,2.38,19.17
פירמת עורכי דין,9,351,2.56,4.99
פסק דין רומן זדורוב,9,355,2.54,2.76
קורס ai לעורכי דין,9,752,1.20,19.51
קניית בית בתאילנד,9,297,3.03,5.26
רצח מדרגה ראשונה,9,1273,0.71,7.09
תביעה לניכור הורי דוגמא,9,318,2.83,7.88
השופט רמי בז'ה,8,98,8.16,6.00
ורד ריקנטי רוסהר,8,306,2.61,5.52
חוזה שכירות אונליין,8,245,3.27,6.14
יובל כרמי כתב אישום,8,134,5.97,6.66
כמה עולה בית בתאילנד,8,697,1.15,8.50
פרקליטות פלילי,8,459,1.74,7.10
רמי בז'ה שופט,8,84,9.52,5.02
רשות ניירות ערך טלפון,8,321,2.49,8.95
תצהיר לאימות העובדות דוגמא,8,348,2.30,8.65
תצהיר לדוגמא,8,248,3.23,7.10
איתור עורך דין,7,1956,0.36,7.32
בקשה לקבלת אישור העסקה משטרת ישראל,7,109,6.42,8.12
דיני סייבר,7,485,1.44,3.81
דרכון יווני זכאות,7,168,4.17,6.36
הסכם גירושים לדוגמא,7,366,1.91,11.55
הסכם גירושין ללא ילדים להורדה,7,193,3.63,15.65
חברת עורכי דין מה זה,7,93,7.53,3.63
חגית מטלין,7,337,2.08,5.54
חוזה שכירות 2025,7,26,26.92,6.77
חיפוש עורך דין,7,1567,0.45,8.36
כחול לבן בטלגרם,7,909,0.77,10.62
להב 433,7,1775,0.39,11.37
מחשבון מזונות,7,886,0.79,21.14
נדלן בתאילנד,7,346,2.02,9.75
סעיף כוח עליון,7,163,4.29,2.93
עוס סדרי דין,7,185,3.78,5.26
עורך דין בדובאי,7,244,2.87,5.69
עורך דין מקרקעין ייעוץ חינם,7,944,0.74,11.04
רן ארנון,7,440,1.59,7.06
שופט בכיר,7,171,4.09,4.99
שופט שלום,7,87,8.05,3.66
תצהיר גילוי מסמכים בבית הדין לעבודה דוגמא,7,39,17.95,3.21
תצהיר עורך דין דוגמא,7,607,1.15,7.93
jus tice,6,13,46.15,1.69
אישור משטרה העדר עבירות מיניות מקוון,6,619,0.97,9.27
אפרת ונקרט,6,100,6.00,12.53
ביטול צו קיום צוואה,6,2870,0.21,25.48
בקשה לתעודת יושר,6,877,0.68,5.62
גילוי מסמכים בבית הדין לעבודה,6,90,6.67,4.34
דוגמא להסכם גירושין,6,1331,0.45,18.22
דרכון מלטה,6,17,35.29,2.00
הגירה לפורטוגל 2025,6,75,8.00,4.19
הסכם גירושין,6,7617,0.08,27.37
הסכם גירושין להורדה בחינם,6,201,2.99,33.96
הסכם ממון דוגמא חינם,6,374,1.60,7.20
השופט אלעד פרסקי,6,314,1.91,7.00
השופט ארז שני ניכור הורי,6,55,10.91,3.82
ויזת זהב הונגריה,6,123,4.88,8.49
טופס תצהיר,6,397,1.51,7.45
כלכלת פורטוגל,6,91,6.59,7.40
כתיבה משפטית נכונה,6,43,13.95,3.65
מאיה רוטנברג,6,1025,0.59,8.61
מחשבון ביטוח לאומי עצמאי,6,605,0.99,25.30
מימון תביעות משפטיות,6,137,4.38,12.79
מציאת עורך דין,6,493,1.22,8.50
"מרב""ד",6,3697,0.16,9.30
מרבד מה זה,6,167,3.59,4.31
סעיף כוח עליון בחוזה שכירות,6,37,16.22,1.76
עורך דין אוקראינה,6,220,2.73,1.26
עורך דין בחינם,6,537,1.12,10.43
פורטוגל אוכלוסיה מוסלמית,6,626,0.96,7.41
פיצ'חדזה איסק,6,82,7.32,5.56
קורס בינה מלאכותית לעורכי דין,6,212,2.83,10.50
רשות ניירות ערך מחלקת תאגידים,6,49,12.24,4.31
שושנה ברגר,6,103,5.83,8.56
תביעת רשלנות רפואית דוגמא,6,1742,0.34,12.45
jus-tice.co.il,5,40,12.50,1.00
אילן ציוני,5,95,5.26,9.99
אלון אינפלד,5,278,1.80,7.03
בקשה להפקדת ערובה דוגמא,5,92,5.43,7.65
ג'ון מורגן,5,75,6.67,5.36
הסכם גירושין ללא ילדים וללא רכוש להורדה,5,359,1.39,12.41
הסכם ממון דוגמא,5,760,0.66,30.64
הצהרת אבהות,5,564,0.89,14.02
הצהרת בעלי מניות ראשונים,5,477,1.05,8.14
השמת עורכי דין בכירים,5,110,4.55,10.38
התנגדות למינוי מנהל עזבון,5,499,1.00,12.29
טופס רישום פלילי,5,501,1.00,9.26
טלגרם כחול לבן,5,580,0.86,13.28
יורופול,5,1247,0.40,6.88
יחזקאל אליהו,5,139,3.60,15.60
יפעת שקדי שץ,5,177,2.82,8.41
כלב רוצח,5,163,3.07,1.00
מאגר עורכי דין,5,1095,0.46,13.44
מהו צדק,5,193,2.59,7.38
משרד המשפטים בעלי תפקידים,5,294,1.70,7.06
סוגי עורכי דין,5,841,0.59,7.98
"עו""ד איתן בייקר",5,39,12.82,6.03
"עו""ס לסדרי דין",5,328,1.52,6.43
עורך דין איתן בייקר,5,93,5.38,5.10
עורך דין מומלץ,5,3742,0.13,16.32
עורך דין פלילי תותח,5,1737,0.29,22.75
עורכי דין פליליים מפורסמים,5,918,0.54,6.99
פסק דין יובל כרמי,5,18,27.78,5.44
קופה בשירות עצמי גניבה,5,36,13.89,12.94
רן ארנון שופט,5,79,6.33,4.53
תביעה נגררת להרשעה בפלילים,5,112,4.46,11.77
תעודת יושר מהמשטרה אונליין,5,655,0.76,13.15
אינדקס עורכי דין,4,191,2.09,14.81
איתן בייקר,4,149,2.68,7.35
ביקורות על מאיה רוטנברג,4,121,3.31,9.36
בקשה לאישור הסכם גירושין דוגמא,4,805,0.50,17.50
גניבה בסופר מצלמות,4,59,6.78,16.58
הודעה מוקדמת להתפטרות דוגמא,4,207,1.93,11.84
הילה גורביץ,4,430,0.93,5.71
הילה מלר שלו,4,193,2.07,9.74
הסכם גירושים להורדה,4,394,1.02,15.64
הסכם גירושין לדוגמא,4,1376,0.29,23.98
הסכמה,4,1459,0.27,9.13
השופטת רותם קודלר עיאש,4,28,14.29,10.32
השקעות נדלן בתאילנד,4,102,3.92,8.51
זיכוי זדורוב,4,98,4.08,7.68
חוק הגנת הצרכן משקפיים,4,55,7.27,5.45
חוק החוזים תרופות pdf,4,135,2.96,6.96
"חוק העונשין תשל""ז-1977",4,2526,0.16,9.39
חיפוש עורך דין לפי מספר רישיון,4,608,0.66,9.75
טופס הסכם גירושין,4,402,1.00,15.81
טופס העדר עבירות מיניות משטרה להורדה,4,156,2.56,9.28
יובל כרמי פסיכולוג,4,181,2.21,14.25
כח עליון הגדרה,4,129,3.10,3.60
לימודי משפטים בארצות הברית,4,185,2.16,15.37
מחלקת תביעות פליליות פרקליטות המדינה,4,166,2.41,5.39
מליקובסקי,4,205,1.95,6.96
משטרה טלפון,4,1875,0.21,12.92
משטרה מגרש הרוסים טלפון,4,449,0.89,8.99
משטרת מודיעין עילית טלפון,4,141,2.84,6.70
מתי הסכם ממון לא תופס,4,938,0.43,14.57
סחר בבני אדם,4,194,2.06,21.36
עדות שקר במשפט אזרחי,4,78,5.13,10.42
עו ד פלילי מפורסם,4,1283,0.31,5.58
עוֹרֵך דִין,4,10,40.00,71.50
עורך דין בקפריסין,4,750,0.53,6.79
עורך דין הגירה לאירופה,4,222,1.80,8.81
עורך דין חינם,4,185,2.16,10.28
עורך דין עסקי,4,2960,0.14,6.70
עורך דין תאילנד,4,549,0.73,16.59
עמי קובו,4,577,0.69,8.87
עפרה גיא,4,46,8.70,19.09
פולי משפט,4,214,1.87,4.22
פליקס גורודצקי,4,188,2.13,9.35
פסק דין אונס,4,19,21.05,37.32
פסק דין הצהרתי במקרקעין,4,878,0.46,17.08
רילוקיישן למלטה,4,184,2.17,6.26
רכישת דירה בתאילנד,4,389,1.03,5.44
רשימת מומחים רפואיים מטעם בית המשפט,4,20,20.00,5.60
רשלנות פלילית,4,1014,0.39,8.30
שינוי משמורת ילדים,4,468,0.85,17.50
תביעה אזרחית נגררת להרשעה בפלילים,4,261,1.53,11.21
תעודת מוסד טופס 2,4,238,1.68,7.95
תעודת מידע תעבורתי,4,347,1.15,7.74
תצהיר אי הגשת תביעה לדוגמא,4,71,5.63,14.38
תצהיר עורך דין,4,722,0.55,19.36
תצהיר עורך דין על מקום מגורים,4,133,3.01,9.15
אורלי מור אל,3,124,2.42,9.59
אזרחות ארגנטינאית,3,133,2.26,11.02
אחוז הבגידות בישראל,3,68,4.41,8.69
איך הופכים לשופט,3,15,20.00,3.73
אימוץ ילדים מאוקראינה,3,418,0.72,3.21
איתור עורך דין לפי שם,3,174,1.72,8.39
אמיר ברמלי,3,293,1.02,21.14
ארז שני שופט,3,86,3.49,15.92
אריאל ממן שופט,3,381,0.79,9.19
אריק דופונט מורטי,3,34,8.82,6.32
"אתר מרב""ד",3,315,0.95,9.50
באיזה גיל ילד יכול להחליט איפה לגור,3,151,1.99,12.81
בגץ הבוגדת,3,106,2.83,6.14
בקשה להעתקת חומרי חקירה,3,361,0.83,7.27
בקשה ליישוב סכסוך דוגמא,3,1007,0.30,4.02
בקשה למידע פלילי,3,352,0.85,7.36
דוגמא לתצהיר,3,961,0.31,13.14
דוגמא לתצהיר עורך דין,3,95,3.16,7.48
דוגמה לתצהיר,3,146,2.05,9.68
האם אפשר לרשום דירה על שני אנשים,3,40,7.50,7.22
הבוגדת,3,563,0.53,7.08
הלבנת הון,3,5288,0.06,23.54
הלבנת הון מה זה,3,342,0.88,10.25
המלצות על עורכי דין,3,629,0.48,7.05
הסכם גירושין פשוט,3,158,1.90,9.68
הסכם מזונות דוגמא,3,564,0.53,31.04
השופט אביים ברקאי,3,71,4.23,6.34
השופט אריאל ממן,3,182,1.65,11.88
השופט יחזקאל אליהו,3,95,3.16,11.66
השופטת רונית גורביץ,3,37,8.11,7.03
השקעות משפטיות,3,23,13.04,31.09
ויזת זהב תאילנד,3,65,4.62,8.58
חוות דעת על עורכי דין,3,304,0.99,10.31
חוק זכויות יוצרים 2007,3,397,0.76,9.42
חזקת הגיל הרך בית דין רבני,3,553,0.54,11.27
חזרה מכתב אישום,3,4257,0.07,8.43
טופס אישור משטרה העדר עבירות מיניות,3,302,0.99,9.71
טופס גירושין בהסכמה להורדה,3,904,0.33,7.01
טופס העדר רישום פלילי,3,809,0.37,12.83
ימ ר מרכז טלפון,3,140,2.14,4.61
יעל ייטב,3,246,1.22,7.33
יקי גולד,3,43,6.98,3.26
יש לך את הזכות לשמור על שתיקה,3,187,1.60,5.89
ישראליות כחול לבן טלגרם,3,326,0.92,17.02
כיס עמוק,3,30,10.00,1.50
כמה מרוויח עורך דין,3,868,0.35,11.65
כמה עולה עורך דין צבאי,3,382,0.79,4.13
כמה תחנות משטרה יש בישראל,3,108,2.78,7.82
כרמל בן צור,3,161,1.86,9.80
להב 433 תנאי קבלה,3,449,0.67,10.76
לקנות בית בתאילנד,3,115,2.61,5.17
לשכות רישום מקרקעין לפי ערים,3,186,1.61,8.08
מחלקת תביעות משטרה,3,207,1.45,9.38
מחשבון דמי ביטוח לאומי,3,58,5.17,20.62
מיכל ברגר בלום,3,84,3.57,12.12
מכתב פיטורים להורדה,3,25,12.00,13.32
מרב״ד,3,768,0.39,10.07
משטרת אריאל טלפון,3,814,0.37,9.86
משטרת בני ברק טלפון,3,627,0.48,9.15
משטרת ישראל,3,735,0.41,36.46
משמורת אב,3,265,1.13,8.26
נוטריון אונליין,3,511,0.59,18.77
נוטריון מה זה,3,2626,0.11,11.83
ניצול לרעה של הליכי משפט,3,27,11.11,5.67
ניר סנדלר,3,62,4.84,15.21
סיוע משפטי פלילי,3,59,5.08,12.41
עוד פלילי מפורסם,3,968,0.31,6.45
עורך דין באוקראינה,3,175,1.71,1.74
עורך דין בספרד,3,328,0.91,9.57
עורך דין בתאילנד,3,139,2.16,7.81
עורך דין מקרקעין מחיר,3,985,0.30,11.98
עורך דין סייבר,3,2245,0.13,20.40
עורך דין פלילי ידוע,3,308,0.97,4.29
עורך דין פלילי ייעוץ חינם,3,1020,0.29,21.08
עורכי דין פליליים מובילים,3,2533,0.12,8.08
עורכת דין פלילית מפורסמת,3,1267,0.24,4.58
ערעור על סגירת תיק מחוסר ראיות,3,426,0.70,10.29
פורטוגל בעד ישראל,3,45,6.67,3.93
פורטל עורכי דין,3,1019,0.29,17.06
צדק ערך,3,136,2.21,6.43
קירקלנד,3,531,0.56,8.72
קניית נכס בתאילנד,3,42,7.14,4.95
רוברט שפירו,3,390,0.77,6.93
רותם קודלר עיאש,3,208,1.44,9.63
רכישת בית בקפריסין,3,114,2.63,12.96
רמי מור,3,170,1.76,12.27
רעות קסלר,3,36,8.33,4.03
שגיא בנתאי,3,12,25.00,19.08
שפה משפטית,3,103,2.91,8.89
תביעה לאכיפת הסכם גירושין דוגמא,3,304,0.99,20.48
תביעה נגררת,3,407,0.74,10.95
תחנת לב הבירה טלפון,3,224,1.34,7.66
תחנת משטרה אריאל,3,554,0.54,10.76
תחנת משטרה לב תל אביב טלפון,3,623,0.48,8.82
תסקיר עובדת סוציאלית אפוטרופוס,3,74,4.05,8.62
תעודת מוסד,3,246,1.22,9.57
תעודת רישום פלילי,3,395,0.76,15.36
תצהיר לבית משפט,3,217,1.38,8.88
5988/21,2,21,9.52,7.33
ai משפטי,2,24,8.33,30.21
david chesnoff,2,6,33.33,13.83
marvad,2,1149,0.17,9.17
number of law firms in the us,2,112,1.79,47.83
אורית ליפשיץ,2,44,4.55,12.82
אזהרת מירנדה,2,414,0.48,4.77
אזרחות מלטזית,2,11,18.18,1.00
איך להתמודד עם עובד בעייתי,2,31,6.45,5.68
אינדקס עורכי דין בחינם,2,734,0.27,6.82
אישור משטרה,2,392,0.51,11.56
אישור משטרה העדר עבירות אלימות,2,309,0.65,9.37
אישור משטרה העדר עבירות מיניות,2,504,0.40,12.64
איתור עורך דין לפי מספר רישיון,2,739,0.27,9.48
איתן האזרחי ושות,2,136,1.47,6.63
אלון גביזון,2,169,1.18,10.40
אסף זגורי שופט,2,235,0.85,12.77
אקטואר מה זה,2,1208,0.17,15.18
ארצות הברית,2,1490,0.13,34.78
באיזה שנה הוקמה ארצות הברית,2,55,3.64,7.56
בג ץ הבוגדת,2,67,2.99,7.79
בינה מלאכותית לעורכי דין,2,43,4.65,32.19
בית בכפר בפורטוגל,2,11,18.18,20.73
בן צור קורב,2,213,0.94,7.45
בקשה לגילוי מסמכים דוגמא,2,79,2.53,11.72
בקשה לסעד דחוף לפי תקנה 12,2,284,0.70,8.62
בקשה לרישום מכר,2,3455,0.06,9.61
בקשה לתעודת מידע פלילי או תעבורתי,2,23,8.70,4.13
בקשת מעסיק לקבל אישור משטרה,2,84,2.38,8.73
בריטניה נדלן,2,135,1.48,71.04
בתים לשיפוץ ביוון,2,15,13.33,11.27
גירושים אחרי 20 שנה,2,25,8.00,8.00
גראגוס,2,248,0.81,4.66
דוד יצחק שופט,2,14,14.29,13.21
דין אלימלך אשדוד,2,43,4.65,15.47
דיני נזיקין סיכום,2,78,2.56,17.99
דיני נזיקין עוולת הרשלנות,2,397,0.50,4.13
דירה בקפריסין,2,612,0.33,31.84
דירה בתאילנד,2,78,2.56,9.28
דירה הרשומה על שם אחד מבני הזוג,2,155,1.29,12.31
דר משה גולדשר,2,3,66.67,33.00
הוצאת דרכון יווני,2,107,1.87,5.81
"הוראות תע""ס סדרי דין",2,53,3.77,5.45
הזמנת תעודת יושר,2,1050,0.19,13.79
הכרת אבהות,2,209,0.96,11.32
המלצה על עורך דין,2,845,0.24,11.08
הנפקת אישור משטרה,2,269,0.74,17.46
הנפקת תעודת יושר מהמשטרה,2,561,0.36,29.08
הסכם הסגרה,2,1272,0.16,23.82
הסכם ממון pdf,2,51,3.92,28.78
הסכם ממון הפרדה רכושית מוחלטת דוגמא,2,476,0.42,28.07
הסכם ממון לאחר נישואין דוגמא,2,382,0.52,38.82
הסכם ממון להורדה,2,21,9.52,24.05
הסכם ממון מחיר,2,1617,0.12,15.66
הפרה יסודית של הסכם מכר,2,241,0.83,16.46
הרשות לניירות ערך טלפון,2,105,1.90,10.10
השופט ארז שני,2,168,1.19,15.29
השופטת סיגלית אופק,2,75,2.67,6.23
השמה לעורכי דין,2,33,6.06,13.85
השמת עורכי דין,2,197,1.02,16.43
השקעות נדלן בדובאי,2,400,0.50,26.63
התליית רישיון רופא,2,304,0.66,7.16
ויזת זהב איטליה,2,218,0.92,8.53
ויזת זהב שוויץ,2,67,2.99,4.57
חוות דעת על עורך דין,2,328,0.61,12.91
חוזה בניית אתר,2,52,3.85,2.35
חוזה גירושין סטנדרטי,2,209,0.96,6.72
חוסר אשמה,2,438,0.46,9.46
חוק דיני ממונות,2,384,0.52,7.72
חוק החוזים תרופות בשל הפרת חוזה,2,508,0.39,7.73
חטיבת התביעות,2,231,0.87,8.42
חיה זנדברג,2,114,1.75,12.05
"חיפוש עו""ד",2,280,0.71,8.22
חיפוש עורך דין לשכת עורכי הדין,2,76,2.63,9.80
חישוב דמי ביטוח לאומי ומס בריאות,2,36,5.56,22.33
טבלת עונשים בצבא,2,72,2.78,16.08
טוען רבני בפתח תקווה,2,46,4.35,39.85
טופס 5 בקשה לסעד דחוף,2,126,1.59,9.56
טופס היעדר עבירות מין,2,313,0.64,12.80
טופס הצהרת בעלי מניות,2,50,4.00,8.08
טופס מניעת העסקה ובקשת בגיר,2,68,2.94,7.50
יועץ נדלן,2,1736,0.12,18.16
ייעוץ חינם דיני עבודה,2,110,1.82,13.45
ייעוץ חינם עם עורך דין,2,76,2.63,9.30
ימר ירושלים טלפון,2,256,0.78,8.68
יקטרינה צווטקוב,2,19,10.53,15.53
יריב פורת,2,102,1.96,2.71
ישראל בן ברוך,2,28,7.14,5.07
ישראליות בעירום מלא,2,4,50.00,7.50
כמה מרוויח עורך דין בארצות הברית,2,96,2.08,7.58
כמה עולה דירה בספרד,2,36,5.56,9.69
כמה עולה דירה בתאילנד,2,130,1.54,10.32
כמה עולה חוות דעת דין זר,2,44,4.55,8.07
כתב אישום אונס,2,77,2.60,41.32
להב 433 תפקידים,2,128,1.56,9.30
לשכת רישום המקרקעין,2,1621,0.12,9.64
מגבלות רפואיות לרישיון נהיגה,2,1608,0.12,19.33
מדריגל אור השקעות,2,10,20.00,8.40
מה זה הלבנת הון,2,730,0.27,9.79
מה זה חוזה,2,110,1.82,4.10
מה זה כוח עליון,2,24,8.33,3.88
מה זה נוטריון,2,1976,0.10,10.63
מוחמד אמון,2,14,14.29,6.57
מועד הקרע הקובע לצורך איזון משאבים,2,1216,0.16,10.61
מועמדות לשפיטה,2,36,5.56,4.39
מחוז מרכז משטרה כתובת,2,157,1.27,6.78
מחיקת רישום פלילי מחיר,2,1434,0.14,13.90
מחיקת רישום פלילי משטרת ישראל,2,1636,0.12,16.82
מחשבון מזונות ילדים,2,814,0.25,15.44
מכתב הודעה מוקדמת לפיטורים,2,10,20.00,6.40
ממשלת פורטוגל,2,60,3.33,10.37
מקרקעין ברשת,2,3651,0.05,8.65
מרב''ד,2,64,3.13,8.91
מרחב גליל משטרה,2,169,1.18,9.31
משה מכליס,2,89,2.25,5.65
משטרה תעודת יושר,2,753,0.27,15.39
משטרת אילת טלפון,2,519,0.39,11.34
משטרת התנועה בית דגן טלפון,2,33,6.06,10.97
משטרת חיפה טלפון,2,681,0.29,11.35
משטרת ירושלים טלפון,2,854,0.23,11.44
משטרת מסובים טלפון,2,454,0.44,8.88
משמורת אם,2,285,0.70,5.74
משמורת מלאה לאב,2,133,1.50,22.99
משק בית משותף,2,32,6.25,17.56
משרד המקרקעין,2,686,0.29,13.12
משרד המשפטים,2,797,0.25,30.76
משרד המשפטים מייל,2,148,1.35,7.70
נדלן בדובאי 2025,2,34,5.88,6.91
נוחי פוליטיס,2,254,0.79,10.75
נוסח הסכם גירושין,2,449,0.45,30.33
נוסח מכתב פיטורים,2,118,1.69,33.25
ניתוח סוגיה משפטית,2,22,9.09,5.73
סוכן נדלן,2,208,0.96,30.13
סטטיסטיקה בגידות,2,19,10.53,8.00
סיוע משפטי חינם גירושין,2,40,5.00,13.05
סיכום דיני משפחה,2,67,2.99,31.40
סימולטור ביטוח לאומי שכיר,2,14,14.29,17.43
סנגור פלילי,2,178,1.12,6.74
עדי הוברמן מזוז,2,127,1.57,4.80
"עו""ד בתאילנד",2,79,2.53,3.66
"עו""ד מקסיקו",2,562,0.36,2.06
"עו""ד ניר רוטנברג",2,237,0.84,9.73
"עו""ד פלילי",2,5411,0.04,46.86
"עו""ס סדרי דין",2,30,6.67,5.07
עובדת סוציאלית לסדרי דין,2,57,3.51,8.40
עוולת הרשלנות דיני נזיקין,2,386,0.52,3.99
עוזר משפטי ai,2,33,6.06,11.94
עורך דין איטלקי,2,400,0.50,12.03
עורך דין ארצות הברית,2,865,0.23,10.67
עורך דין בגרמניה,2,115,1.74,3.57
עורך דין בלגיה,2,744,0.27,4.75
עורך דין במיאמי,2,51,3.92,1.00
עורך דין בסין,2,94,2.13,3.97
עורך דין דיני משפחה תל אביב,2,211,0.95,37.20
עורך דין הגירה לחול,2,107,1.87,9.74
עורך דין ללא תשלום,2,87,2.30,8.71
עורך דין לעסקים,2,2947,0.07,7.89
עורך דין מקרקעין,2,13412,0.01,64.02
עורך דין פלילי הכי טוב בארץ,2,988,0.20,9.29
עורך דין פלילי מוכר,2,151,1.32,5.32
עורך דין פלילי מחירים,2,244,0.82,2.14
עורך דין צבאי,2,9031,0.02,50.33
עורכי דין בהתנדבות,2,342,0.58,14.55
עורכי דין בחינם,2,343,0.58,9.53
עורכי דין לענייני משפחה בהתנדבות,2,172,1.16,9.08
עורכי דין פליליים הכי טובים בארץ,2,774,0.26,10.14
עורכי דין קפריסין,2,804,0.25,5.98
עזרה משפטית חינם,2,104,1.92,11.83
עידית בן דב ג'וליאן,2,50,4.00,23.08
