"original_path","archive_path","file_name","file_type","file_size","modified_time","reason_for_archive","checksum_sha256","copied_successfully","notes"
"C:\Users\pro\justice\project-control\next-actions.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","next-actions.md",".md","3466","2026-05-10 14:08:00","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\page-type-audit.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","page-type-audit.csv",".csv","296","2026-05-09 13:00:39","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\plugin-registry.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","plugin-registry.md",".md","3454","2026-05-10 14:06:45","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\polish-cycles.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","polish-cycles.md",".md","1108","2026-05-09 13:18:21","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\project-execution-guide.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","project-execution-guide.md",".md","4122","2026-05-09 09:50:31","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\README.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","README.md",".md","1046","2026-05-08 21:56:08","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\recommendations.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","recommendations.md",".md","4628","2026-05-10 14:08:39","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\risks.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","risks.md",".md","2365","2026-05-10 14:07:49","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\seo-content-review.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","seo-content-review.md",".md","3641","2026-05-10 14:05:59","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\slug-normalization-rules.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","slug-normalization-rules.md",".md","2514","2026-05-10 14:08:24","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\spam-investigation.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","spam-investigation.md",".md","5608","2026-05-10 14:08:17","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\task-board.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","task-board.csv",".csv","2127","2026-05-08 23:41:43","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\technical-review.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","technical-review.md",".md","4685","2026-05-10 14:06:30","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\url-migration-map.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","url-migration-map.csv",".csv","685","2026-05-10 12:55:49","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\url-strategy.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","url-strategy.md",".md","3345","2026-05-10 14:06:14","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\visual-polish-plan.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","visual-polish-plan.md",".md","1458","2026-05-09 12:43:14","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\visual-qa-checklist.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","visual-qa-checklist.csv",".csv","10346","2026-05-09 13:20:10","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\visual-qa-report.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","visual-qa-report.md",".md","5163","2026-05-10 14:05:43","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\visual-review.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","visual-review.md",".md","3742","2026-05-10 14:06:41","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\wordpress-plugin-theme-manual.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","wordpress-plugin-theme-manual.md",".md","8502","2026-05-09 12:04:28","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\workflow.yml","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","workflow.yml",".yml","1742","2026-05-08 21:59:27","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\content-gap-analysis.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","content-gap-analysis.md",".md","1140","2026-05-12 13:19:45","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\content-gap-map.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","content-gap-map.csv",".csv","4407","2026-05-12 16:58:34","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\content-master-inventory.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","content-master-inventory.csv",".csv","1138509","2026-05-12 13:27:12","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\deep-research-report.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","deep-research-report.md",".md","12663","2026-05-12 16:58:01","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\family-law-cluster-summary.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","family-law-cluster-summary.md",".md","6301","2026-05-12 18:33:39","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\family-law-cluster.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","family-law-cluster.csv",".csv","128447","2026-05-12 18:33:39","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\family-law-decision-map.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","family-law-decision-map.csv",".csv","105512","2026-05-12 18:35:22","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\family-law-decision-report.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","family-law-decision-report.md",".md","6737","2026-05-12 18:35:22","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\methodology.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","methodology.md",".md","1617","2026-05-12 13:07:59","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\README.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","README.md",".md","730","2026-05-12 13:07:49","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\redirect-301-family-law.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","redirect-301-family-law.csv",".csv","6844","2026-05-12 18:38:15","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\redirect-301-htaccess.txt","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","redirect-301-htaccess.txt",".txt","4940","2026-05-12 18:38:15","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\redirect-map.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","redirect-map.csv",".csv","113","2026-05-12 13:07:40","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\serp-transcript-divorce.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","serp-transcript-divorce.md",".md","1645","2026-05-12 13:33:53","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\work-log.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","work-log.md",".md","6374","2026-05-12 19:02:32","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\content-bodies\post-10005-%d7%94%d7%a9%d7%95%d7%a4%d7%98%d7%aa-%d7%90%d7%99%d7%a8%d7%99%d7%aa-%d7%a7%d7%9c%d7%9e%d7%9f-%d7%91%d7%a8%d7%95%d7%9d-%d7%94%d7%97%d7%9c%d7%98%d7%94-%d7%91%d7%aa%d7%91%d7%99%d7%a2%d7%94-%d7%91%d7%92.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","post-10005-%d7%94%d7%a9%d7%95%d7%a4%d7%98%d7%aa-%d7%90%d7%99%d7%a8%d7%99%d7%aa-%d7%a7%d7%9c%d7%9e%d7%9f-%d7%91%d7%a8%d7%95%d7%9d-%d7%94%d7%97%d7%9c%d7%98%d7%94-%d7%91%d7%aa%d7%91%d7%99%d7%a2%d7%94-%d7%91%d7%92.md",".md","32954","2026-05-12 13:27:09","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\content-bodies\post-10008-%d7%aa%d7%a2%d7%95%d7%93%d7%aa-%d7%a8%d7%95%d7%a4%d7%90-%d7%90%d7%99%d7%a9%d7%95%d7%a8-%d7%a0%d7%95%d7%98%d7%a8%d7%99%d7%95%d7%a0%d7%99.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","post-10008-%d7%aa%d7%a2%d7%95%d7%93%d7%aa-%d7%a8%d7%95%d7%a4%d7%90-%d7%90%d7%99%d7%a9%d7%95%d7%a8-%d7%a0%d7%95%d7%98%d7%a8%d7%99%d7%95%d7%a0%d7%99.md",".md","21546","2026-05-12 13:27:09","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\content-bodies\post-10016-%d7%90%d7%99%d7%9e%d7%95%d7%aa-%d7%97%d7%aa%d7%99%d7%9e%d7%94-%d7%a0%d7%95%d7%98%d7%a8%d7%99%d7%95%d7%9f-%d7%9e%d7%a9%d7%95%d7%9c%d7%91-%d7%a2%d7%91%d7%a8%d7%99%d7%aa-%d7%90%d7%a0%d7%92%d7%9c%d7%99.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","post-10016-%d7%90%d7%99%d7%9e%d7%95%d7%aa-%d7%97%d7%aa%d7%99%d7%9e%d7%94-%d7%a0%d7%95%d7%98%d7%a8%d7%99%d7%95%d7%9f-%d7%9e%d7%a9%d7%95%d7%9c%d7%91-%d7%a2%d7%91%d7%a8%d7%99%d7%aa-%d7%90%d7%a0%d7%92%d7%9c%d7%99.md",".md","6223","2026-05-12 13:27:09","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\content-bodies\post-10018-%d7%97%d7%aa%d7%99%d7%9e%d7%94-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%aa-%d7%a2%d7%95%d7%93-%d7%a0%d7%95%d7%98%d7%a8%d7%99%d7%95%d7%9f-%d7%90%d7%95%d7%a0%d7%9c%d7%99%d7%99%d7%9f.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","post-10018-%d7%97%d7%aa%d7%99%d7%9e%d7%94-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%aa-%d7%a2%d7%95%d7%93-%d7%a0%d7%95%d7%98%d7%a8%d7%99%d7%95%d7%9f-%d7%90%d7%95%d7%a0%d7%9c%d7%99%d7%99%d7%9f.md",".md","35921","2026-05-12 13:27:09","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\content-bodies\post-10022-%d7%97%d7%aa%d7%99%d7%9e%d7%94-%d7%90%d7%9c%d7%a7%d7%98%d7%a8%d7%95%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%a9%d7%95%d7%a8-%d7%a0%d7%95%d7%98%d7%a8%d7%99%d7%95%d7%9f-%d7%a2%d7%95%d7%93-%d7%90%d7%95.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","post-10022-%d7%97%d7%aa%d7%99%d7%9e%d7%94-%d7%90%d7%9c%d7%a7%d7%98%d7%a8%d7%95%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%a9%d7%95%d7%a8-%d7%a0%d7%95%d7%98%d7%a8%d7%99%d7%95%d7%9f-%d7%a2%d7%95%d7%93-%d7%90%d7%95.md",".md","39447","2026-05-12 13:27:09","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\content-master\content-bodies\post-10028-%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%a4%d7%95%d7%9c%d7%99%d7%9f-%d7%a2%d7%95%d7%93-%d7%a0%d7%95%d7%98%d7%a8%d7%99%d7%95%d7%9f-%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99-%d7%91%d7%95%d7%a8.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","post-10028-%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%a4%d7%95%d7%9c%d7%99%d7%9f-%d7%a2%d7%95%d7%93-%d7%a0%d7%95%d7%98%d7%a8%d7%99%d7%95%d7%9f-%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99-%d7%91%d7%95%d7%a8.md",".md","143996","2026-05-12 13:27:09","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
