block_id,page_url,field_or_action,current_value,recommended_value,status,why,qa_check,blocked_until
TL-EDIT-011,https://jus-tice.co.il/traffic-lawyer/,contextual_internal_links,current links unknown,"/driving-under-the-influence/; /dui-refusal-blood-breath-urine-test/; /yanshuf-breathalyzer-test/; /blood-alcohol-content-breathalyzer/; /speeding/; /driver-with-36-valid-points-or-more-will-be-disqualified-from-holding-a-drivers-license/; /medical-fitness-tests-for-driving-marvad-info/; /lawyers/?area=traffic-law",RECOMMENDED,Connects hub to live support and directory paths,Confirm all links return 200,Owner approves internal links
TL-EDIT-012,https://jus-tice.co.il/traffic-lawyer/,support_target_status,11 checked support/directory targets,All returned HTTP 200,VERIFIED_LIVE,Prevents broken-link upload,Recheck before upload,Owner approval
TL-EDIT-013,https://jus-tice.co.il/traffic-lawyer/,boundary_drugged_driving,/driving-under-the-influence-of-drugs/,Link to traffic hub and criminal hub only after context review,REVIEW_ONLY,Traffic and criminal intent overlap,Confirm no misleading single-hub classification,Boundary approval
TL-EDIT-014,https://jus-tice.co.il/traffic-lawyer/,boundary_car_accident,/car-accident-auto-injury-lawyer/,Do not merge into traffic hub blindly,BLOCKED,Personal injury compensation and traffic prosecution are different intents,Confirm no generic related card leak,Separate boundary approval
TL-EDIT-015,https://jus-tice.co.il/traffic-lawyer/,boundary_marvad,"/medical-institute-for-road-safety/; /medical-fitness-tests-for-driving-marvad-info/; /standards-of-medical-fitness-to-drive/",Keep factual and source-based,REVIEW_ONLY,Medical fitness is a traffic/medical boundary topic,Confirm no private medical advice claim,Legal/source review
TL-EDIT-016,https://jus-tice.co.il/traffic-lawyer/,inbound_support_links,"DUI; refusal; drugged-driving; yanshuf; speeding; points/disqualification; Marvad",Add after hub QA only,BLOCKED,Support-to-hub edits should follow hub approval and QA,Confirm hub edit first,Hub update approved and verified
TL-EDIT-017,https://jus-tice.co.il/traffic-lawyer/,blocked_future_slugs,"/drunk-driving/; /breathalyzer-test/; /license-suspension/","Do not use until migration map is approved",BLOCKED,Prevents duplicate URLs and redirect risk,Confirm no new slug links,Migration approval
TL-EDIT-018,https://jus-tice.co.il/traffic-lawyer/,blocked_schema,"Review; AggregateRating; fake ratings; fake badges","Do not add",BLOCKED,Compliance and Google rich-result risk,Inspect source after upload,Review/reputation module approval
TL-EDIT-019,https://jus-tice.co.il/traffic-lawyer/,blocked_language,"מומלץ; הכי טוב; מוביל; אמין; guaranteed outcomes; city coverage claims without real coverage","Do not use",BLOCKED,Prevents unsupported trust and result claims,Scan title H1 meta body CTA,Owner approval and QA
TL-EDIT-020,https://jus-tice.co.il/traffic-lawyer/,canonical,https://jus-tice.co.il/traffic-lawyer/,Keep self-canonical,VERIFIED_PLANNING,No migration in first edit,Confirm canonical unchanged,Owner approval
TL-EDIT-021,https://jus-tice.co.il/traffic-lawyer/,robots,index follow,Keep index/follow after QA,VERIFIED_PLANNING,Live page is indexable and should stay indexable,Confirm no accidental noindex,Owner approval
TL-EDIT-022,https://jus-tice.co.il/traffic-lawyer/,redirect_policy,None,No redirects in first edit,BLOCKED,Preserves URL and support assets,Confirm redirect table unchanged,Separate redirect approval
TL-EDIT-023,https://jus-tice.co.il/traffic-lawyer/,post_upload_qa,N/A,"200 status; self-canonical; indexable; exact title; one H1; meta present; links 200; no Review schema; no blocked language; readable mobile desktop",REQUIRED_POST_UPLOAD,Traffic hub update must be checked immediately,Run after approved CMS edit,Public edit approval
TL-EDIT-024,https://jus-tice.co.il/traffic-lawyer/,live_change_status,N/A,No public CMS change executed in this cycle,VERIFIED,Repo-only planning and read-only live checks,Confirm git diff contains only project-control files,None
