keyword,query_filter_used,date_range,urls_found,url_count,top_url_by_clicks,top_url_by_impressions,best_position_url,suspected_primary_url,problem_type,recommended_action,traffic_risk,notes,status
"רשלנות רפואית בלידה","Query contains: רשלנות רפואית בלידה","Last 3 months","https://jus-tice.co.il/עורך-דין-רשלנות-רפואית-בלידה-מומלץ/","1","NONE_ZERO_CLICKS","https://jus-tice.co.il/עורך-דין-רשלנות-רפואית-בלידה-מומלץ/","https://jus-tice.co.il/עורך-דין-רשלנות-רפואית-בלידה-מומלץ/","https://jus-tice.co.il/birth-malpractice/","URL_MIGRATION_RISK","DO_NOT_TOUCH_HIGH_TRAFFIC_URL;MAKE_SUPPORTING_ARTICLE;MERGE;REDIRECT_LATER","HIGH","661 impressions, 0 clicks. Old Hebrew birth-malpractice URL owns all visible impressions and is a controlled migration candidate, not something to replace blindly.","GSC_BROWSER_VERIFIED"
"רשלנות רפואית בהריון","Query contains: רשלנות רפואית בהריון","Last 3 months","https://jus-tice.co.il/עורך-דין-רשלנות-רפואית-בלידה-מומלץ/","1","NONE_ZERO_CLICKS","https://jus-tice.co.il/עורך-דין-רשלנות-רפואית-בלידה-מומלץ/","https://jus-tice.co.il/עורך-דין-רשלנות-רפואית-בלידה-מומלץ/","https://jus-tice.co.il/pregnancy-malpractice/","CANNIBALIZATION_RISK","MAKE_SUPPORTING_ARTICLE;MERGE;ADD_INTERNAL_LINKS;REDIRECT_LATER","HIGH","419 impressions, 0 clicks. Pregnancy malpractice intent is being absorbed by the birth-malpractice URL, so the pregnancy/birth split needs careful clustering and merge/redirect planning.","GSC_BROWSER_VERIFIED"
"תאונת עבודה","Query contains: תאונת עבודה","Last 3 months","NONE_VISIBLE","0","NONE_ZERO_CLICKS","NONE_VISIBLE","NONE_VISIBLE","https://jus-tice.co.il/work-accident-lawyer/","NEEDS_DATA","RECHECK_LATER;DO_NOT_PRIORITIZE_FROM_GSC_YET","UNKNOWN","No visible GSC rows for this query filter in the last 3 months. Do not infer no market demand; it means Jus-Tice currently has no visible signal for this exact query filter.","GSC_BROWSER_VERIFIED_ZERO_ROWS"
"תאונת דרכים","Query contains: תאונת דרכים","Last 3 months","https://jus-tice.co.il/car-accident-auto-injury-lawyer/ | https://jus-tice.co.il/חוק-פיצויים-לנפגעי-תאונות-דרכים-נוסח-עדכני/ | https://jus-tice.co.il/compulsory-motor-vehicle-insurance/","3","NONE_ZERO_CLICKS","https://jus-tice.co.il/car-accident-auto-injury-lawyer/","https://jus-tice.co.il/car-accident-auto-injury-lawyer/","https://jus-tice.co.il/car-accident-lawyer/","WEAK_PRIMARY_PAGE","MAKE_PILLAR;KEEP_AS_SUPPORT;ADD_INTERNAL_LINKS;REDIRECT_LATER","MEDIUM","84 impressions, 0 clicks. Existing English car-accident URL receives 79 impressions but slug/title intent may not match the planned `/car-accident-lawyer/` architecture.","GSC_BROWSER_VERIFIED"
"עורך דין תאונת עבודה","Query contains: עורך דין תאונת עבודה","Last 3 months","NONE_VISIBLE","0","NONE_ZERO_CLICKS","NONE_VISIBLE","NONE_VISIBLE","https://jus-tice.co.il/work-accident-lawyer/","NO_VISIBLE_SIGNAL","RECHECK_LATER;DO_NOT_PRIORITIZE_FROM_GSC_YET","UNKNOWN","No visible rows for exact lawyer-intent work-accident query. Strategic content can still be planned, but not because GSC currently shows traffic.","GSC_BROWSER_VERIFIED_ZERO_ROWS"
"פגיעה בעבודה","Query contains: פגיעה בעבודה","Last 3 months","NONE_VISIBLE","0","NONE_ZERO_CLICKS","NONE_VISIBLE","NONE_VISIBLE","https://jus-tice.co.il/work-accident-lawyer/","NO_VISIBLE_SIGNAL","RECHECK_LATER;CHECK_BROADER_NATIONAL_INSURANCE_QUERIES","UNKNOWN","No visible rows for this filter. Check broader National Insurance/disability/medical committee variants later.","GSC_BROWSER_VERIFIED_ZERO_ROWS"
"תאונת עבודה ביטוח לאומי","Query contains: תאונת עבודה ביטוח לאומי","Last 3 months","NONE_VISIBLE","0","NONE_ZERO_CLICKS","NONE_VISIBLE","NONE_VISIBLE","https://jus-tice.co.il/work-accident-lawyer/","NO_VISIBLE_SIGNAL","RECHECK_LATER;CHECK_BROADER_NATIONAL_INSURANCE_QUERIES","UNKNOWN","No visible rows for exact work-accident national-insurance query.","GSC_BROWSER_VERIFIED_ZERO_ROWS"
"נהיגה בשכרות","Query contains: נהיגה בשכרות","Last 3 months","https://jus-tice.co.il/revocation-of-a-will-and-reviving-previous-will/","1","NONE_ZERO_CLICKS","https://jus-tice.co.il/revocation-of-a-will-and-reviving-previous-will/","https://jus-tice.co.il/revocation-of-a-will-and-reviving-previous-will/","https://jus-tice.co.il/drunk-driving/","WRONG_PAGE_MATCH","MAKE_SUPPORTING_ARTICLE;ADD_INTERNAL_LINKS;TITLE_REWRITE_REVIEW","LOW","8 impressions, 0 clicks. GSC maps drunk-driving query to a will-revocation page, likely because of an unrelated person/name term. Needs clean traffic-law page, but sample is low.","GSC_BROWSER_VERIFIED"
"שלילת רישיון","Query contains: שלילת רישיון","Last 3 months","https://jus-tice.co.il/wp-content/uploads/2020/02/התליית-שלילת-רשיונות-משרד-הבריאות.pdf","1","NONE_ZERO_CLICKS","https://jus-tice.co.il/wp-content/uploads/2020/02/התליית-שלילת-רשיונות-משרד-הבריאות.pdf","https://jus-tice.co.il/wp-content/uploads/2020/02/התליית-שלילת-רשיונות-משרד-הבריאות.pdf","https://jus-tice.co.il/license-suspension/","QUERY_INTENT_MISMATCH","DO_NOT_FORCE_TRAFFIC_PAGE;MAP_MEDICAL_LICENSE_INTENT_SEPARATELY","LOW","8 impressions, position 6.3. Query variants are doctor/nurse license revocation, not traffic driver's license suspension. Do not map this to traffic law without a separate intent split.","GSC_BROWSER_VERIFIED"
"עורך דין ירושה","Query contains: עורך דין ירושה","Last 3 months","NONE_VISIBLE","0","NONE_ZERO_CLICKS","NONE_VISIBLE","NONE_VISIBLE","https://jus-tice.co.il/inheritance-lawyer/","NO_VISIBLE_SIGNAL","MAKE_PILLAR_STRATEGICALLY;RECHECK_VARIANTS","UNKNOWN","No visible rows for exact lawyer-intent inheritance query, but adjacent will/objection queries show inheritance cluster potential.","GSC_BROWSER_VERIFIED_ZERO_ROWS"
"צוואה","Query contains: צוואה","Last 3 months","https://jus-tice.co.il/psakdin/התנגדות-לצוואה-בשל-השפעה-בלתי-הוגנת/ | https://jus-tice.co.il/עורך-דין-צוואות-וירושות/ | https://jus-tice.co.il/articles/תע-45543-11-21-בקשה-לביטול-צו-קיום-צוואה-לאחר-גי/ | https://jus-tice.co.il/wp-content/uploads/2020/09/צוואה.docx | https://jus-tice.co.il/what-is-a-probate-order/ | https://jus-tice.co.il/psakdin/ביטול-צוואה-מאוחרת-בשל-השפעה-בלתי-הוגנ/ | https://jus-tice.co.il/revocation-of-a-will-and-reviving-previous-will/","7","NONE_ZERO_CLICKS","https://jus-tice.co.il/psakdin/התנגדות-לצוואה-בשל-השפעה-בלתי-הוגנת/","https://jus-tice.co.il/revocation-of-a-will-and-reviving-previous-will/","https://jus-tice.co.il/will/","CANNIBALIZATION_RISK","MAKE_PILLAR;MERGE;ADD_INTERNAL_LINKS;REDIRECT_LATER","MEDIUM","201 impressions, 0 clicks. Will-related intent is split across psakdin case pages, a Hebrew wills/inheritance page, a docx and English support pages.","GSC_BROWSER_VERIFIED"
"התנגדות לצוואה","Query contains: התנגדות לצוואה","Last 3 months","https://jus-tice.co.il/psakdin/התנגדות-לצוואה-בשל-השפעה-בלתי-הוגנת/ | https://jus-tice.co.il/psakdin/ביטול-צוואה-מאוחרת-בשל-השפעה-בלתי-הוגנ/","2","NONE_ZERO_CLICKS","https://jus-tice.co.il/psakdin/התנגדות-לצוואה-בשל-השפעה-בלתי-הוגנת/","https://jus-tice.co.il/psakdin/ביטול-צוואה-מאוחרת-בשל-השפעה-בלתי-הוגנ/","https://jus-tice.co.il/will-contest/","NEEDS_SUPPORTING_ARTICLE","MAKE_SUPPORTING_ARTICLE;MERGE_CASE_CONTENT;ADD_INTERNAL_LINKS","MEDIUM","121 impressions, 0 clicks. Case-law page owns 120 impressions; build a public will-contest support guide and link/merge case content carefully.","GSC_BROWSER_VERIFIED"
"מזונות ילדים","Query contains: מזונות ילדים","Last 3 months","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","1","NONE_ZERO_CLICKS","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","https://jus-tice.co.il/child-support/","URL_MIGRATION_RISK","DO_NOT_TOUCH_HIGH_TRAFFIC_URL;MERGE_REVIEW;MAKE_CHILD_SUPPORT_PRIMARY_REVIEW","HIGH","160 impressions, 0 clicks. Old calculator URL owns all visible impressions; clean /child-support/ is not visible for this query filter.","GSC_BROWSER_VERIFIED"
"חישוב מזונות","Query contains: חישוב מזונות","Last 3 months","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","1","NONE_ZERO_CLICKS","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","https://jus-tice.co.il/child-support/","URL_MIGRATION_RISK","DO_NOT_TOUCH_HIGH_TRAFFIC_URL;CALCULATION_SUPPORT_REVIEW;MERGE_REVIEW","HIGH","131 impressions, 0 clicks. Calculation intent is held by old calculator URL and needs support/tool decision.","GSC_BROWSER_VERIFIED"
"מחשבון מזונות","Query contains: מחשבון מזונות","Last 3 months","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","1","NONE_ZERO_CLICKS","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","https://jus-tice.co.il/child-support/ or future /child-support-calculator/","TOOL_OR_SUPPORT_INTENT","KEEP_OR_REBUILD_TOOL_INTENT_AFTER_LEGAL_REVIEW;REDIRECT_LATER_ONLY_WITH_APPROVAL","HIGH","70 impressions, 0 clicks, average position 30. This looks like distinct calculator/tool intent, not just a paragraph inside a guide.","GSC_BROWSER_VERIFIED"
"בעמ 919/15","Query contains: בעמ 919/15","Last 3 months","NONE_VISIBLE","0","NONE_ZERO_CLICKS","NONE_VISIBLE","NONE_VISIBLE","https://jus-tice.co.il/child-support/ plus case-law support URL after review","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","Exact typed filter showed no visible rows; test בע""מ 919/15 and הלכת המזונות החדשה later.","GSC_BROWSER_VERIFIED_ZERO_ROWS"
"משמורת ילדים","Query contains: משמורת ילדים","Last 3 months","https://jus-tice.co.il/what-is-child-custody/ | https://jus-tice.co.il/wp-content/uploads/2021/07/ChildCustody.pdf","2","NONE_ZERO_CLICKS","https://jus-tice.co.il/what-is-child-custody/","https://jus-tice.co.il/what-is-child-custody/","https://jus-tice.co.il/child-custody/","WEAK_PRIMARY_PAGE;DOCUMENT_URL_RISK","MAKE_CHILD_CUSTODY_PRIMARY_REVIEW;DOCUMENT_STRATEGY;MERGE_OR_SUPPORT_REVIEW","MEDIUM","611 impressions, 0 clicks. Broad custody query is split between a public page and a PDF; clean /child-custody/ is not visible.","GSC_BROWSER_VERIFIED"
"עורך דין דיני עבודה","Query contains: עורך דין דיני עבודה","Last 3 months","https://jus-tice.co.il/ | https://jus-tice.co.il/labor-lawyer/","2","NONE_ZERO_CLICKS","https://jus-tice.co.il/","https://jus-tice.co.il/","https://jus-tice.co.il/employment-lawyer/ or https://jus-tice.co.il/labor-lawyer/ decision","WEAK_PRIMARY_PAGE","MAKE_EMPLOYMENT_PRIMARY_OR_DIRECTORY_REVIEW;ADD_INTERNAL_LINKS;TITLE_REWRITE_REVIEW","MEDIUM","88 impressions, 0 clicks. Homepage owns 72 impressions and /labor-lawyer/ appears weakly; no clear employment pillar owns the lawyer-intent query.","GSC_BROWSER_VERIFIED"
"דיני עבודה","Query contains: דיני עבודה","Last 3 months","https://jus-tice.co.il/israeli-labor-law/ | https://jus-tice.co.il/ | https://jus-tice.co.il/labor-lawyer/ | https://jus-tice.co.il/פסק-דין-בנושא-הרמת-מסך-סעש-12385-08-16/ | https://jus-tice.co.il/employer-worker-relationship/ | https://jus-tice.co.il/legal-courses-for-lawyers/","6","NONE_ZERO_CLICKS","https://jus-tice.co.il/israeli-labor-law/","https://jus-tice.co.il/legal-courses-for-lawyers/","https://jus-tice.co.il/employment-lawyer/ plus informational support decision","CANNIBALIZATION_RISK;WEAK_PRIMARY_PAGE","SPLIT_INFORMATIONAL_AND_LAWYER_INTENT;ADD_INTERNAL_LINKS;MERGE_REVIEW","MEDIUM","614 impressions, 0 clicks. Broad employment-law intent is scattered across informational page, homepage, weak lawyer page, case/support pages and one lawyer-facing course page.","GSC_BROWSER_VERIFIED"
"עורך דין ירושה","Query contains: עורך דין ירושה","Last 3 months","NONE_VISIBLE","0","NONE_ZERO_CLICKS","NONE_VISIBLE","NONE_VISIBLE","https://jus-tice.co.il/inheritance-lawyer/","NO_VISIBLE_SIGNAL","MAKE_PILLAR_STRATEGICALLY;RECHECK_VARIANTS","UNKNOWN","No visible rows for exact inheritance-lawyer query in this pass.","GSC_BROWSER_VERIFIED_ZERO_ROWS"
"עורך דין צוואות וירושות","Query contains: עורך דין צוואות וירושות","Last 3 months","NONE_VISIBLE","0","NONE_ZERO_CLICKS","NONE_VISIBLE","NONE_VISIBLE","https://jus-tice.co.il/inheritance-lawyer/","NO_VISIBLE_SIGNAL","RECHECK_WILL_AND_INHERITANCE_VARIANTS","UNKNOWN","No visible rows for combined wills/inheritance lawyer query in this pass.","GSC_BROWSER_VERIFIED_ZERO_ROWS"
"עורך דין תאונות דרכים","Query contains: עורך דין תאונות דרכים","Last 3 months","https://jus-tice.co.il/car-accident-auto-injury-lawyer/","1","NONE_ZERO_CLICKS","https://jus-tice.co.il/car-accident-auto-injury-lawyer/","https://jus-tice.co.il/car-accident-auto-injury-lawyer/","https://jus-tice.co.il/car-accident-lawyer/","LOW_SAMPLE_MIGRATION_RISK","KEEP_EXISTING_PAGE_UNTIL_URL_PLAN;CAR_ACCIDENT_PILLAR_REVIEW","LOW","2 impressions, 0 clicks. Low sample but confirms existing car-accident URL is the visible lawyer-intent page.","GSC_BROWSER_VERIFIED"

"מזונות משותפת","Query contains: מזונות משותפת","Last 3 months","NONE_VISIBLE","0","NONE_VISIBLE","NONE_VISIBLE","NONE_VISIBLE","https://jus-tice.co.il/child-support/","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","No visible rows in second targeted GSC pass; broad child-support risk still comes from מזונות ילדים / חישוב מזונות / מחשבון מזונות.","GSC_BROWSER_VERIFIED_ZERO_ROWS"
"הפחתת מזונות","Query contains: הפחתת מזונות","Last 3 months","NONE_VISIBLE","0","NONE_VISIBLE","NONE_VISIBLE","NONE_VISIBLE","https://jus-tice.co.il/child-support/","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","No visible rows in second targeted GSC pass; do not create a thin duplicate just for this exact wording.","GSC_BROWSER_VERIFIED_ZERO_ROWS"
"שינוי מזונות","Query contains: שינוי מזונות","Last 3 months","NONE_VISIBLE","0","NONE_VISIBLE","NONE_VISIBLE","NONE_VISIBLE","https://jus-tice.co.il/child-support/","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","No visible rows in second targeted GSC pass; include as possible section/support topic after broader child-support review.","GSC_BROWSER_VERIFIED_ZERO_ROWS"
"הלכת המזונות החדשה","Query contains: הלכת המזונות החדשה","Last 3 months","NONE_VISIBLE","0","NONE_VISIBLE","NONE_VISIBLE","NONE_VISIBLE","https://jus-tice.co.il/child-support/ plus legal-source support decision","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","No visible rows for this doctrine wording; source/legal review needed before deciding whether to create case-law support content.","GSC_BROWSER_VERIFIED_ZERO_ROWS"
"בע""מ 919/15","Query contains: בע""מ 919/15","Last 3 months","NONE_VISIBLE","0","NONE_VISIBLE","NONE_VISIBLE","NONE_VISIBLE","https://jus-tice.co.il/child-support/ plus case-law support decision","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","Both בעמ and בע""מ variants returned no visible rows in the targeted checks.","GSC_BROWSER_VERIFIED_ZERO_ROWS"
