batch_id,id,current_url,title,word_count,current_cluster_signal,proposed_role,canonical_category,url_strategy,content_quality_decision,internal_link_decision,sitemap_decision,redirect_decision,status,notes
TRAFFIC-UPLOAD-011,3328,https://jus-tice.co.il/דין-וחשבון-לעניין-תקנות-בנושא-בדיקות-שכרות-לנהגים/,דין וחשבון ביקורת בדיקות שכרות לנהגים,18199,traffic-law,SOURCE_REFERENCE_TESTING,traffic-law,KEEP_OR_CONSOLIDATE_REVIEW,SUMMARIZE_AND_LINK_AS_SOURCE,"Link to drunk-driving/testing support after review",INCLUDE_ONLY_IF_REFRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Strong source material but not a clean support page."
TRAFFIC-UPLOAD-012,6534,https://jus-tice.co.il/פסק-דין-תעבורה-עין-הנץ-קבילות-וחוקיות-ראיות-שהונפקו-מהמערכת/,תעבורה: קבילות וחוקיות ראיות שהונפקו ממערכת עין הנץ,9341,traffic-law,CASE_SUPPORT_TRAFFIC_EVIDENCE,traffic-law,KEEP_AS_CASE_OR_TRAFFIC_EVIDENCE_REVIEW,ADD_EDITORIAL_FRAME,"Link to traffic pillar and future traffic-evidence support",INCLUDE_ONLY_IF_EDITORIAL_FRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Case-law page should not become the broad traffic pillar."
TRAFFIC-UPLOAD-013,5468,https://jus-tice.co.il/psakdin/חילוט-רכב-מזראטי-עבירה-של-נהיגה-בזמן-פ/,חילוט רכב מזראטי | עבירה של נהיגה בזמן פסילה נהיגה ללא רישיון נהיגה תקף,6283,traffic-law,CASE_SUPPORT_LICENSE_DISQUALIFICATION,traffic-law,KEEP_AS_CASE_OR_LICENSE_SUPPORT_REVIEW,ADD_EDITORIAL_FRAME,"Link to traffic pillar and license suspension group",INCLUDE_ONLY_IF_EDITORIAL_FRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Traffic case support; useful for disqualification/vehicle forfeiture."
TRAFFIC-UPLOAD-014,5604,https://jus-tice.co.il/psakdin/תיקון-101-לפקודת-התעבורה-סיכון-חיי-אדם-הפ/,תיקון 101 לפקודת התעבורה סיכון חיי אדם הפקרה | עורך דין תעבורה,3026,traffic-law,LEGAL_UPDATE_SUPPORT,traffic-law,KEEP_AS_SUPPORT_OR_CASE_REVIEW,ADD_EDITORIAL_FRAME,"Link to traffic pillar and fatal-road-accident boundary",INCLUDE_ONLY_IF_EDITORIAL_FRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Traffic legal update; support, not pillar."
TRAFFIC-UPLOAD-015,7453,https://jus-tice.co.il/זיכוי-נהג-משאית-שהואשם-בגרימת-מוות-ברשלנות-תיק-56-03-20/,תעבורה: זיכוי נהג משאית שהואשם בגרימת מוות ברשלנות,6765,traffic-criminal,CASE_SUPPORT_FATAL_ACCIDENT,traffic-law-boundary,KEEP_AS_CASE_REVIEW,ADD_EDITORIAL_FRAME,"Link to traffic pillar and criminal-lawyer only after boundary approval",INCLUDE_ONLY_IF_EDITORIAL_FRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Traffic/criminal boundary; do not merge blindly."
TRAFFIC-UPLOAD-016,5609,https://jus-tice.co.il/psakdin/עונש-מורשע-בעבירות-של-גרם-מוות-ברשלנות/,עונש מורשע בעבירות של גרם מוות ברשלנות בתאונת דרכים | עורך דין תעבורה פלילי,5969,traffic-criminal,CASE_SUPPORT_FATAL_ACCIDENT,traffic-law-boundary,FUTURE_FATAL_ROAD_ACCIDENT_REVIEW,ADD_EDITORIAL_FRAME,"Link to traffic and criminal pillars after boundary approval",INCLUDE_ONLY_IF_EDITORIAL_FRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Traffic/criminal boundary support."
TRAFFIC-UPLOAD-017,3237,https://jus-tice.co.il/punishment-for-offenses-of-causing-death-in-road-accidents/,מדיניות התביעה בהעמדה לדין וענישה בעבירות של גרימת מוות בתאונות דרכים,2904,traffic-criminal,SUPPORT_FATAL_ACCIDENT_POLICY,traffic-law-boundary,KEEP_OR_FATAL_ROAD_ACCIDENT_SUPPORT,REWRITE_AS_PRACTICAL_GUIDE,"Link to traffic pillar and criminal-lawyer after boundary approval",INCLUDE_AFTER_REWRITE,NO_REDIRECT_NOW,NEEDS_REVIEW,"Potential support guide for fatal road accident offenses."
TRAFFIC-UPLOAD-018,3222,https://jus-tice.co.il/car-accident-auto-injury-lawyer/,עורך דין תאונות דרכים,590,personal-injury-boundary,CAR_ACCIDENT_INJURY_PILLAR_CANDIDATE,personal-injury,FUTURE_CAR_ACCIDENT_LAWYER_REVIEW,EXPAND_UNDER_PERSONAL_INJURY,"Link to personal-injury/car-accident pillar; traffic link only if defense context",HOLD_FOR_PERSONAL_INJURY_BATCH,FUTURE_MIGRATION_REVIEW,NEEDS_REVIEW,"Do not fold injury compensation intent into traffic-defense cluster."
TRAFFIC-UPLOAD-019,1108,https://jus-tice.co.il/israel-road-accident-compensation-law/,תאונת דרכים: מהו חוק הפיצויים לנפגעי תאונות דרכים?,524,personal-injury-boundary,CAR_ACCIDENT_COMPENSATION_SUPPORT,personal-injury,KEEP_OR_MERGE_REVIEW,EXPAND_OR_MERGE,"Link to personal-injury/car-accident support",HOLD_FOR_PERSONAL_INJURY_BATCH,NO_REDIRECT_NOW,NEEDS_REVIEW,"Personal injury compensation, not traffic defense."
TRAFFIC-UPLOAD-020,5470,https://jus-tice.co.il/psakdin/אומדן-פיצויים-לנפגע-תאונת-דרכים-מתי-תש/,אומדן פיצויים לנפגע תאונת דרכים,4554,personal-injury-boundary,CASE_SUPPORT_CAR_ACCIDENT_COMPENSATION,personal-injury,KEEP_AS_CASE_REVIEW,ADD_EDITORIAL_FRAME,"Link to car-accident compensation support",HOLD_FOR_PERSONAL_INJURY_BATCH,NO_REDIRECT_NOW,NEEDS_REVIEW,"Case-law boundary under personal injury."
TRAFFIC-UPLOAD-021,6044,https://jus-tice.co.il/פסד-תביעה-לתשלום-פיצויים-בשל-נזקי-גוף-שנגרמו-בשל-תאונת-דרכים/,השופטת אורלי מור-אל: תביעה לתשלום פיצויים בשל נזקי גוף שנגרמו בשל תאונת דרכים,4127,personal-injury-boundary,CASE_SUPPORT_CAR_ACCIDENT_COMPENSATION,personal-injury,KEEP_AS_CASE_REVIEW,ADD_EDITORIAL_FRAME,"Link to car-accident compensation support",HOLD_FOR_PERSONAL_INJURY_BATCH,NO_REDIRECT_NOW,NEEDS_REVIEW,"Personal injury case-law."
TRAFFIC-UPLOAD-022,7109,https://jus-tice.co.il/articles/תא-39115-08-19-פלוני-נ-אלימלך-ואח/,פיצוי בגין תאונת דרכים קורקינט,3301,personal-injury-boundary,CASE_SUPPORT_MICROMOBILITY_ACCIDENT,personal-injury,KEEP_AS_CASE_REVIEW,ADD_EDITORIAL_FRAME,"Link to car-accident/personal-injury support",HOLD_FOR_PERSONAL_INJURY_BATCH,NO_REDIRECT_NOW,NEEDS_REVIEW,"Could support scooter accident content, not traffic defense."
TRAFFIC-UPLOAD-023,3364,https://jus-tice.co.il/פיצוי-גבוהה-תאונת-דרכים-חברת-ביטוח/,פיצוי גבוהה תאונת דרכים 4,112,031 ש”ח,5684,personal-injury-boundary,CASE_SUPPORT_CAR_ACCIDENT_COMPENSATION,personal-injury,KEEP_AS_CASE_REVIEW,ADD_EDITORIAL_FRAME,"Link to car-accident compensation support",HOLD_FOR_PERSONAL_INJURY_BATCH,NO_REDIRECT_NOW,NEEDS_REVIEW,"Compensation case; personal injury."
TRAFFIC-UPLOAD-024,11453,https://jus-tice.co.il/55188-07-20/,השופט אלעד פרסקי: פס”ד בתביעת נזקי גוף בעקבות תאונת דרכים,2327,personal-injury-boundary,CASE_SUPPORT_CAR_ACCIDENT_INJURY,personal-injury,KEEP_AS_CASE_REVIEW,ADD_EDITORIAL_FRAME,"Link to personal-injury/car-accident support",HOLD_FOR_PERSONAL_INJURY_BATCH,NO_REDIRECT_NOW,NEEDS_REVIEW,"Personal injury boundary."
TRAFFIC-UPLOAD-025,6506,https://jus-tice.co.il/compulsory-motor-vehicle-insurance/,ביטוח חובה,714,personal-injury-boundary,CAR_ACCIDENT_INSURANCE_SUPPORT,personal-injury,KEEP_OR_SUPPORT_REVIEW,EXPAND_SUPPORT,"Link to car-accident compensation support",HOLD_FOR_PERSONAL_INJURY_BATCH,NO_REDIRECT_NOW,NEEDS_REVIEW,"Insurance support, not traffic-defense."
TRAFFIC-UPLOAD-026,1749,https://jus-tice.co.il/articles/קורונה-הארכת-תקופת-תוקף-רישיון-רכב-16-03-2020/,קורונה: הארכת תקופת תוקף רישיון רכב 16/03/2020,272,outdated-traffic-legacy,LEGACY_OUTDATED_TRAFFIC,legacy,FUTURE_NO_INDEX_OR_ARCHIVE_REVIEW,OUTDATED_LEGACY_REVIEW,"Do not link from pillar unless historical context",HOLD_OUT_OF_SITEMAP,FUTURE_ARCHIVE_OR_REDIRECT_REVIEW,NEEDS_REVIEW,"Outdated temporary Corona regulation."
TRAFFIC-UPLOAD-027,8012,https://jus-tice.co.il/טופס-תצהיר-נלווה-לבקשה-לרישיון-עסק-באופן-מקוון/,טופס תצהיר נלווה לבקשה לרישיון עסק באופן מקוון,401,business-license-false-positive,EXCLUDE_FROM_TRAFFIC,business-license,KEEP_OUT_OF_TRAFFIC_CLUSTER,CATEGORY_CLEANUP,"No traffic links",EXCLUDE_FROM_TRAFFIC_SITEMAP,NO_REDIRECT_TRAFFIC,READY_FOR_CATEGORY_CLEANUP,"Business license, not driver license."
TRAFFIC-UPLOAD-028,12652,https://jus-tice.co.il/business-license/,יועץ רישוי עסקים | עורך דין מומחה רישוי עסק | מדריך ומחירון (2025),8163,business-license-false-positive,EXCLUDE_FROM_TRAFFIC,business-license,KEEP_OUT_OF_TRAFFIC_CLUSTER,CATEGORY_CLEANUP,"No traffic links",EXCLUDE_FROM_TRAFFIC_SITEMAP,NO_REDIRECT_TRAFFIC,READY_FOR_CATEGORY_CLEANUP,"Business licensing false positive."
TRAFFIC-UPLOAD-029,11803,https://jus-tice.co.il/us-lawyer-license-requirements/,מהן הדרישות להוצאת רישיון עו”ד אמריקאי | עורך דין בארה”ב,4575,professional-license-false-positive,EXCLUDE_FROM_TRAFFIC,international-law,KEEP_OUT_OF_TRAFFIC_CLUSTER,CATEGORY_CLEANUP,"No traffic links",EXCLUDE_FROM_TRAFFIC_SITEMAP,NO_REDIRECT_TRAFFIC,READY_FOR_CATEGORY_CLEANUP,"Lawyer license, not traffic license."
TRAFFIC-UPLOAD-030,11600,https://jus-tice.co.il/10918-10-19/,פס”ד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית ורשלנות בהליכי מתן הרישיון לעסוק ברפואה,18257,medical-license-false-positive,EXCLUDE_FROM_TRAFFIC,medical-malpractice,KEEP_OUT_OF_TRAFFIC_CLUSTER,CATEGORY_CLEANUP,"No traffic links",EXCLUDE_FROM_TRAFFIC_SITEMAP,NO_REDIRECT_TRAFFIC,READY_FOR_CATEGORY_CLEANUP,"Medical professional licensing, not traffic."
TRAFFIC-UPLOAD-031,10371,https://jus-tice.co.il/decision53041-12-20a/,ביטול רשיון שימוש מקרקעין והמשמעות של הסכם נישואין,10283,real-estate-license-false-positive,EXCLUDE_FROM_TRAFFIC,real-estate,KEEP_OUT_OF_TRAFFIC_CLUSTER,CATEGORY_CLEANUP,"No traffic links",EXCLUDE_FROM_TRAFFIC_SITEMAP,NO_REDIRECT_TRAFFIC,READY_FOR_CATEGORY_CLEANUP,"Real-estate license/use, not traffic."
TRAFFIC-UPLOAD-032,5392,https://jus-tice.co.il/psakdin/פלילי-החזקת-כלב-מסוכן-שתקף-ללא-רשיון-הר/,פלילי החזקת כלב מסוכן שתקף ללא רשיון הרשעה,1964,criminal-license-false-positive,EXCLUDE_FROM_TRAFFIC,criminal-law,KEEP_OUT_OF_TRAFFIC_CLUSTER,CATEGORY_CLEANUP,"No traffic links",EXCLUDE_FROM_TRAFFIC_SITEMAP,NO_REDIRECT_TRAFFIC,READY_FOR_CATEGORY_CLEANUP,"License word false positive."
TRAFFIC-UPLOAD-033,9575,https://jus-tice.co.il/sex-trafficking/,עורך דין סחר במין | עו”ד עבירות סחר למטרת ניצול מיני,10620,trafficking-false-positive,EXCLUDE_FROM_TRAFFIC,criminal-law,KEEP_OUT_OF_TRAFFIC_CLUSTER,CATEGORY_CLEANUP,"No traffic links",EXCLUDE_FROM_TRAFFIC_SITEMAP,NO_REDIRECT_TRAFFIC,READY_FOR_CATEGORY_CLEANUP,"Trafficking is not traffic law."
TRAFFIC-UPLOAD-034,9583,https://jus-tice.co.il/human-trafficking/,עו”ד פלילי סחר בבני אדם,7881,trafficking-false-positive,EXCLUDE_FROM_TRAFFIC,criminal-law,KEEP_OUT_OF_TRAFFIC_CLUSTER,CATEGORY_CLEANUP,"No traffic links",EXCLUDE_FROM_TRAFFIC_SITEMAP,NO_REDIRECT_TRAFFIC,READY_FOR_CATEGORY_CLEANUP,"Human trafficking false positive."
TRAFFIC-UPLOAD-035,9571,https://jus-tice.co.il/cybersex-trafficking/,עורך דין סחר במין סייבר | עו”ד פשעי מין אינטרנט וסייבר,2819,trafficking-false-positive,EXCLUDE_FROM_TRAFFIC,cyber-criminal-law,KEEP_OUT_OF_TRAFFIC_CLUSTER,CATEGORY_CLEANUP,"No traffic links",EXCLUDE_FROM_TRAFFIC_SITEMAP,NO_REDIRECT_TRAFFIC,READY_FOR_CATEGORY_CLEANUP,"Cyber/sex trafficking false positive."
TRAFFIC-UPLOAD-036,867,https://jus-tice.co.il/drug-trafficking/,סחר בסמים | עבירת סחר בסמים,491,trafficking-false-positive,EXCLUDE_FROM_TRAFFIC,criminal-law,KEEP_OUT_OF_TRAFFIC_CLUSTER,CATEGORY_CLEANUP,"No traffic links",EXCLUDE_FROM_TRAFFIC_SITEMAP,NO_REDIRECT_TRAFFIC,READY_FOR_CATEGORY_CLEANUP,"Drug trafficking false positive; criminal drug cluster."
TRAFFIC-UPLOAD-037,7499,https://jus-tice.co.il/decision31783-04-21/,הרשעה בביצוע עבירות מין בשתי נשים ללא הסכמתן ותוך ניצול העובדה שהיו שתויות,33054,intoxication-false-positive,EXCLUDE_FROM_TRAFFIC,criminal-law,KEEP_OUT_OF_TRAFFIC_CLUSTER,CATEGORY_CLEANUP,"No traffic links",EXCLUDE_FROM_TRAFFIC_SITEMAP,NO_REDIRECT_TRAFFIC,READY_FOR_CATEGORY_CLEANUP,"Alcohol/intoxication wording, but not traffic law."
TRAFFIC-UPLOAD-038,829,https://jus-tice.co.il/driving-under-the-influence-of-drugs/,נהיגה תחת השפעת סמים,500,traffic-criminal,DRUGGED_DRIVING_SUPPORT_BOUNDARY,traffic-law-boundary,KEEP_OR_MERGE_REVIEW,EXPAND_WITH_CRIMINAL_TRAFFIC_BOUNDARY,"Link to traffic pillar, drug offenses, drunk-driving after approval",INCLUDE_AFTER_REVIEW,NO_REDIRECT_NOW,NEEDS_REVIEW,"Driving under drugs belongs between traffic and criminal drug clusters."
