"target_slug","topic_cluster","expected_role","conflict_count","exact_clean_url_found","proposed_primary_url_for_review","gsc_keywords_checked","gsc_primary_urls_found","gsc_impressions_summary","gsc_problem_type","gsc_recommended_action","gsc_traffic_risk","serp_status","decision_readiness","recommended_next_step","status","notes"
"inheritance-lawyer","inheritance-wills","pillar","0","NO","https://jus-tice.co.il/inheritance-lawyer/","עורך דין ירושה|צוואה|התנגדות לצוואה","https://jus-tice.co.il/psakdin/התנגדות-לצוואה-בשל-השפעה-בלתי-הוגנת/|https://jus-tice.co.il/עורך-דין-צוואות-וירושות/","עורך דין ירושה zero visible rows; צוואה 201 impressions scattered across old case-law/Hebrew/article/DOCX URLs; התנגדות לצוואה 121 impressions","CANNIBALIZATION_RISK;NO_VISIBLE_SIGNAL_FOR_PRIMARY_QUERY","MAKE_PILLAR;MERGE;ADD_INTERNAL_LINKS;REDIRECT_LATER","MEDIUM","NOT_VERIFIED_SERP_IN_THIS_PASS","STRATEGIC_PILLAR_MISSING_GSC_EVIDENCE_EXISTS","Do not use the heuristic family-law article as inheritance pillar; plan /inheritance-lawyer/, /will/, and /will-contest/ after old-content comparison.","REVIEW_ONLY_NO_URL_CHANGE","GSC evidence exists for will variants but not for primary lawyer query."
"child-support","family-law-divorce","supporting_article","30","YES","https://jus-tice.co.il/child-support/","מזונות ילדים|חישוב מזונות|מחשבון מזונות|בעמ 919/15","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","מזונות ילדים: 160 impressions; חישוב מזונות: 131; מחשבון מזונות: 70; exact בעמ 919/15: 0 visible rows","URL_MIGRATION_RISK;TOOL_OR_SUPPORT_INTENT","DO_NOT_TOUCH_HIGH_TRAFFIC_URL;MERGE_REVIEW;MAKE_CHILD_SUPPORT_PRIMARY_REVIEW","HIGH","SOURCE_AUDIT_EXISTS","GSC_EVIDENCE_EXISTS_URL_DECISION_BLOCKED","Update child-support packet; compare old calculator content to /child-support/; decide support/tool strategy before any redirect.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED in targeted GSC pass 2026-05-11; clean /child-support/ did not appear for checked child-support variants."
"child-custody","family-law-divorce","supporting_article","12","YES","https://jus-tice.co.il/child-custody/","משמורת ילדים","https://jus-tice.co.il/what-is-child-custody/|https://jus-tice.co.il/wp-content/uploads/2021/07/ChildCustody.pdf","611 impressions; 400 on what-is-child-custody and 297 on ChildCustody.pdf","WEAK_PRIMARY_PAGE;DOCUMENT_URL_RISK","MAKE_CHILD_CUSTODY_PRIMARY_REVIEW;DOCUMENT_STRATEGY;MERGE_OR_SUPPORT_REVIEW","MEDIUM","SOURCE_AUDIT_EXISTS","GSC_EVIDENCE_EXISTS_URL_DECISION_BLOCKED","Compare /child-custody/ to what-is-child-custody and the PDF; document URL handling needed before migration.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED in targeted GSC pass 2026-05-11; clean /child-custody/ did not appear for broad custody query."
"employment-lawyer","employment-law","pillar","0","NO","https://jus-tice.co.il/employment-lawyer/ or https://jus-tice.co.il/labor-lawyer/ decision","עורך דין דיני עבודה|דיני עבודה","https://jus-tice.co.il/|https://jus-tice.co.il/labor-lawyer/|https://jus-tice.co.il/israeli-labor-law/","עורך דין דיני עבודה: 88 impressions mostly homepage; דיני עבודה: 614 impressions mostly /israeli-labor-law/","WEAK_PRIMARY_PAGE;CANNIBALIZATION_RISK","SPLIT_INFORMATIONAL_AND_LAWYER_INTENT;MAKE_EMPLOYMENT_PRIMARY_REVIEW;ADD_INTERNAL_LINKS","MEDIUM","SERP_NEEDED","GSC_EVIDENCE_EXISTS_URL_DECISION_BLOCKED","Decide whether /labor-lawyer/ is kept/migrated or whether /employment-lawyer/ should be created/strengthened; separate public and lawyer-facing content.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED in targeted GSC pass 2026-05-11."
"inheritance-lawyer","inheritance-wills","pillar","0","NO","https://jus-tice.co.il/inheritance-lawyer/","עורך דין ירושה|עורך דין צוואות וירושות","NONE_VISIBLE","Both exact lawyer-intent filters returned zero visible rows in this pass","NO_VISIBLE_SIGNAL","MAKE_PILLAR_STRATEGICALLY;RECHECK_VARIANTS","UNKNOWN","PARTIAL_WILL_QUERY_EVIDENCE_EXISTS","STRATEGIC_DECISION_NOT_GSC_DRIVEN_YET","Use existing will-query evidence for cluster planning; recheck adjacent variants before creating/migrating a lawyer page.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED zero visible rows in targeted GSC pass 2026-05-11."
"car-accident-lawyer","personal-injury","supporting_article","0","NO","https://jus-tice.co.il/car-accident-lawyer/","עורך דין תאונות דרכים","https://jus-tice.co.il/car-accident-auto-injury-lawyer/","2 impressions, 0 clicks on existing car-accident-auto-injury-lawyer page","LOW_SAMPLE_MIGRATION_RISK","KEEP_EXISTING_PAGE_UNTIL_URL_PLAN;CAR_ACCIDENT_PILLAR_REVIEW","LOW","SERP_NEEDED","LOW_SAMPLE_GSC_EVIDENCE_EXISTS","Do not force rename; keep current page until old->new URL migration map is approved.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED in targeted GSC pass 2026-05-11."

"child-custody","family-law-divorce","supporting_article","12","YES","https://jus-tice.co.il/child-custody/","משמורת בלעדית לאם","https://jus-tice.co.il/משמורת-בלעדית-לאם-ושיתופיות-יחסית-במסגרת-איזון-משאבים-תלהמ-37049-07-18/","107 impressions, 0 clicks, average position 9.6 on old Hebrew case-law URL","POSITION_5_20;URL_MIGRATION_RISK;CASE_LAW_SUPPORT","DO_NOT_TOUCH_HIGH_POSITION_URL;MERGE_REVIEW;ADD_INTERNAL_LINKS","HIGH","SOURCE_AUDIT_EXISTS","GSC_EVIDENCE_EXISTS_URL_DECISION_BLOCKED","Compare old case-law page to /child-custody/; merge/link only after editorial and legal review; no redirect yet.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED in targeted GSC pass 2; protects a custody sub-intent URL."
"police-investigation","criminal-law","supporting_article","0","NO","https://jus-tice.co.il/police-investigation/","חקירה במשטרה","NONE_VISIBLE","0 visible rows in second targeted pass","NO_VISIBLE_SIGNAL","RECHECK_CRIMINAL_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","SERP_NEEDED","STRATEGIC_DECISION_NOT_GSC_DRIVEN_YET","Check broader criminal support terms before prioritizing a police-investigation support article.","REVIEW_ONLY_NO_URL_CHANGE","No visible rows in the checked filter."
"drug-offenses","criminal-law","supporting_article","0","NO","https://jus-tice.co.il/drug-offenses/","עבירות סמים","https://jus-tice.co.il/decision6077-20/|https://jus-tice.co.il/משרד-עורכי-דין-פלילי-הכי-טוב-תל-אביב/","2 impressions total split across old/case-law URLs","LOW_SAMPLE_CANNIBALIZATION_RISK","PLAN_DRUG_OFFENSES_SUPPORT;LINK_TO_CRIMINAL_LAWYER;RECHECK_VARIANTS","LOW","SERP_NEEDED","LOW_SAMPLE_GSC_EVIDENCE_EXISTS","Plan /drug-offenses/ only after broader query checks and old content comparison.","REVIEW_ONLY_NO_URL_CHANGE","Very low sample."
"drunk-driving","traffic-law","supporting_article","0","NO","https://jus-tice.co.il/drunk-driving/","נהיגה בשכרות","https://jus-tice.co.il/revocation-of-a-will-and-reviving-previous-will/","7 impressions on wrong will-revocation page","WRONG_PAGE_MATCH","PLAN_DRUNK_DRIVING_SUPPORT;DO_NOT_OPTIMIZE_WILL_PAGE_FOR_TRAFFIC;ADD_INTERNAL_LINKS_AFTER_REVIEW","LOW","SERP_NEEDED","LOW_SAMPLE_GSC_EVIDENCE_EXISTS","Do not optimize the will page for traffic-law; plan a drunk-driving support page after broader traffic review.","REVIEW_ONLY_NO_URL_CHANGE","Wrong-page match verified in targeted GSC pass 2."

"indictment","criminal-law","supporting_article","0","NO","https://jus-tice.co.il/indictment/","כתב אישום","https://jus-tice.co.il/נוסח-כתב-האישום-נגד-בנימין-נתניהו-תיקים-1000-2000-4000|https://jus-tice.co.il/","4 impressions total; specific Netanyahu indictment page and homepage visible","LOW_SAMPLE_SPECIFIC_CASE_INTENT","DO_NOT_TREAT_AS_PRIMARY;PLAN_INDICTMENT_SUPPORT;RECHECK_VARIANTS","LOW","SERP_NEEDED","LOW_SAMPLE_GSC_EVIDENCE_EXISTS","Do not treat specific case page as general indictment support; compare old criminal URLs before creating /indictment/.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED in targeted GSC pass 3."
"drunk-driving","traffic-law","supporting_article","0","NO","https://jus-tice.co.il/drunk-driving/","עורך דין נהיגה בשכרות","https://jus-tice.co.il/revocation-of-a-will-and-reviving-previous-will/","7 impressions on wrong will-revocation page","WRONG_PAGE_MATCH","PLAN_DRUNK_DRIVING_SUPPORT;DO_NOT_OPTIMIZE_WILL_PAGE_FOR_TRAFFIC;ADD_INTERNAL_LINKS_AFTER_REVIEW","LOW","SERP_NEEDED","LOW_SAMPLE_GSC_EVIDENCE_EXISTS","Do not optimize the will page for traffic-law; plan drunk-driving support after traffic cluster review.","REVIEW_ONLY_NO_URL_CHANGE","Wrong-page match confirmed in targeted GSC pass 3."
"license-suspension","traffic-law","supporting_article","0","NO","https://jus-tice.co.il/license-suspension/","פסילה מנהלית|שלילת רישיון נהיגה","NONE_VISIBLE","0 visible rows for both checked traffic-license filters","NO_VISIBLE_SIGNAL","RECHECK_TRAFFIC_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","SERP_NEEDED","STRATEGIC_DECISION_NOT_GSC_DRIVEN_YET","Check broader license/traffic variants and existing document/PDF intent before creating support page.","REVIEW_ONLY_NO_URL_CHANGE","No visible rows in targeted GSC pass 3."
"cyber-privacy-lawyer","cyber-privacy","pillar","NOT_REVIEWED","NO","https://jus-tice.co.il/cyber-privacy-lawyer/","עורך דין סייבר|דיני סייבר|עורך דין פרטיות|מתקפת סייבר|פגיעה בפרטיות|לשון הרע באינטרנט|מחיקת מידע|שיימינג|הגנת הפרטיות","https://jus-tice.co.il/cybercrime-lawyer-roll/ | https://jus-tice.co.il/פיצוי-כספי-בגין-פגיעה-בפרטיות-צפייה-ומחיקה-של-פריטים-מהטלפון-ללא-רשות/ | https://jus-tice.co.il/changing-or-canceling-a-prenuptial-agreement/","Cyber lawyer: 42 impressions on /cybercrime-lawyer-roll/; privacy invasion: 38 impressions on old Hebrew privacy URL; privacy protection: 7 impressions on same URL; shaming: 1 wrong-page impression on prenup URL; several support terms zero rows; SERP/source review and side-by-side review now exist","WEAK_PRIMARY_PAGE;URL_MIGRATION_RISK;LOW_SAMPLE_WRONG_PAGE_SIGNAL;SOURCE_LEGAL_REVIEW_REQUIRED;SIDE_BY_SIDE_COMPARISON_REQUIRED","KEEP_CURRENT_CANDIDATE_REVIEW;PROTECT_OLD_PRIVACY_URL;SERP_SOURCE_LEGAL_REVIEW;DO_NOT_TOUCH_WRONG_PAGE;COMPARE_BEFORE_EXECUTION","MEDIUM","SIDE_BY_SIDE_REVIEW_EXISTS","GSC_SERP_AND_INVENTORY_EVIDENCE_EXISTS_EXECUTION_BLOCKED","Compare /cyber-lawyer/ with Hebrew cyber-lawyer role page and /cybercrime-lawyer-roll/ before rewrite; keep /fbi-cyber-division/ and /cyber-laws/ as support candidates; protect old privacy URL; classify /police-records-data-deletion/.","REVIEW_ONLY_NO_URL_CHANGE","VERIFIED from browser GSC support pass, project-control/serp-cyber-privacy-review-2026-05-11.md and project-control/cyber-privacy-side-by-side-review-2026-05-11.md; no URL/content execution."
