id,title,status,priority,owner,category,files_changed,acceptance_criteria,verification_status,next_step,notes
T357,Map inheritance wills support pages to commercial hub,COMPLETED,CRITICAL,Codex,inheritance-wills-seo,"project-control/inheritance-wills-support-to-hub-map-2026-05-18.md + project-control/inheritance-wills-support-to-hub-map-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","Inheritance/wills support URLs are mapped to /inheritance-lawyer/ before any public CMS edit","VERIFIED PLANNING: support-to-hub map created; Googlebot-style live fetch passed for hub and sampled support pages; /will/ 404/noindex and false-positive English will rows logged as blockers/exclusions","Owner approves public inheritance/wills internal-link edit batch and /will/ route-history decision before CMS or route changes","Repo-only planning; no CMS database row article body title H1 meta URL slug redirect taxonomy noindex canonical sitemap lawyer lead payment GA4 GSC wp-admin or uPress change"
T356,Align inheritance lawyer H1 intent,COMPLETED,CRITICAL,Codex,inheritance-wills-seo,"template-parts/content/practice-landing-page.php + practice-inheritance-lawyer-route.php + functions.php + tools/check-live-traffic-priority.mjs + tools/check-live-html-sitemap.mjs + tools/check-live-owner-phone.mjs + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","/inheritance-lawyer/ visible H1 uses the commercial money phrase עורך דין ירושה וצוואות instead of the generic taxonomy fallback","VERIFIED LIVE: Codex clicked uPress Pull; /inheritance-lawyer/ HTTP 200 no noindex marker 2026-05-18-inheritance-lawyer-h1-v2 title and H1 correct; traffic-priority sitemap and owner-phone checks passed","Continue owner-approved inheritance support-to-hub content and internal-link planning","Render-only template/config change; no CMS database row article body WordPress title H1 meta URL slug redirect taxonomy sitemap lawyer lead payment GA4 GSC wp-admin setting changed"
T354,Add live reachability and contact checker,COMPLETED,CRITICAL,Codex,technical-seo,"tools/check-live-reachability.mjs + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","Site reachability owner-phone WhatsApp legacy-phone and canonical checks can be repeated after outage reports and uPress pulls","VERIFIED TOOLING: homepage site-map wp-json robots and XML sitemap returned 200; DNS HTTPS and existing owner-phone checker passed; old mock phone not live","Run live reachability checker after future uPress pulls and when browser-specific outage reports occur","Repo-only tooling/status; no CMS database row article body title H1 meta URL slug redirect taxonomy noindex canonical sitemap lawyer lead payment GA4 GSC wp-admin or uPress change"
T355,Recover inheritance lawyer route,COMPLETED,CRITICAL,Codex,inheritance-wills-seo,"inc/practice-landing.php + practice-inheritance-lawyer-route.php + functions.php + tools/check-live-traffic-priority.mjs + tools/check-live-html-sitemap.mjs + tools/check-live-owner-phone.mjs + project-control/inheritance-lawyer-route-recovery-2026-05-18.md + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","/inheritance-lawyer/ stops returning 404 and becomes a controlled indexable inheritance/wills commercial route after uPress pull","VERIFIED LIVE: Codex clicked uPress Pull; /inheritance-lawyer/ HTTP 200 indexable self-canonical with marker 2026-05-18-inheritance-lawyer-route-v1; traffic-priority sitemap owner-phone and reachability checks passed","Improve visible H1/title wording for stronger עורך דין ירושה intent and continue owner-approved inheritance support-to-hub internal-link planning","Theme-rendered route recovery only; no CMS database row article body WordPress title H1 meta URL slug redirect taxonomy sitemap lawyer lead payment GA4 GSC wp-admin setting changed"
T353,Map employment law support pages to commercial hub,COMPLETED,CRITICAL,Codex,employment-law-seo,"project-control/employment-law-support-to-hub-map-2026-05-18.md + project-control/employment-law-support-to-hub-map-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","Employment-law support and boundary URLs are mapped to /labor-lawyer/ before any public CMS edit","VERIFIED PLANNING: employment-law support-to-hub map created; Googlebot-style live fetch passed for hub and sampled support pages; two high-impression employment URLs returned 404 and are logged for route review","Owner approves public employment-law internal-link edit batch and 404 route decisions before CMS or route changes","Repo-only planning; no CMS database row article body title H1 meta URL slug redirect taxonomy noindex canonical sitemap lawyer lead payment GA4 GSC wp-admin or uPress change"
T352,Map traffic law support pages to commercial hub,COMPLETED,CRITICAL,Codex,traffic-law-seo,"project-control/traffic-law-support-to-hub-map-2026-05-18.md + project-control/traffic-law-support-to-hub-map-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","Traffic-law support and boundary URLs are mapped to /traffic-lawyer/ before any public CMS edit","VERIFIED PLANNING: traffic-law support-to-hub map created; Googlebot-style live fetch passed for hub and sampled support pages; old traffic category URL returned 404 and is logged for route review","Owner approves public traffic-law internal-link edit batch and 404 category route decision before CMS or route changes","Repo-only planning; no CMS database row article body title H1 meta URL slug redirect taxonomy noindex canonical sitemap lawyer lead payment GA4 GSC wp-admin or uPress change"
T351,Map real estate support pages to commercial hub,COMPLETED,CRITICAL,Codex,real-estate-seo,"project-control/real-estate-support-to-hub-map-2026-05-18.md + project-control/real-estate-support-to-hub-map-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","High-impression Israeli real-estate support URLs are mapped to /real-estate-attorney/ before any public CMS edit","VERIFIED PLANNING: real-estate support-to-hub map created; Googlebot-style live fetch passed for hub guide and sampled support pages; no public deployment needed","Owner approves public internal-link edit batch and trust-claim rewrites before CMS changes","Repo-only planning; no CMS database row article body title H1 meta URL slug redirect taxonomy noindex canonical sitemap lawyer lead payment GA4 GSC wp-admin or uPress change"
T350,Recover real estate lawyer guide route,COMPLETED,CRITICAL,Codex,real-estate-seo,"inc/practice-landing.php + practice-real-estate-guide-route.php + functions.php + tools/check-live-traffic-priority.mjs + tools/check-live-html-sitemap.mjs + tools/check-live-owner-phone.mjs + project-control/real-estate-guide-route-recovery-2026-05-18.md + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","/real-estate-lawyer-guide/ stops returning 404/noindex and becomes a controlled indexable real-estate guide route after uPress pull","VERIFIED LIVE: uPress Pull completed by Codex; /real-estate-lawyer-guide/ PASS HTTP 200 indexable self-canonical with marker 2026-05-18-real-estate-guide-route-v1; traffic-priority sitemap and owner-phone checks passed","Prepare owner-approved real-estate support-to-hub internal-link batch and trust-claim rewrite plan","Theme-rendered route recovery only; no CMS database row article body WordPress title H1 meta URL slug redirect taxonomy sitemap lawyer lead payment GA4 GSC wp-admin setting changed"
T349,Map criminal law support pages to commercial hub,COMPLETED,CRITICAL,Codex,criminal-law-seo,"project-control/criminal-law-support-to-hub-map-2026-05-18.md + project-control/criminal-law-support-to-hub-map-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","High-impression criminal-law support URLs are mapped to /criminal-defense-attorney/ before any public CMS edit","VERIFIED PLANNING: 18 P0 support URLs mapped; Googlebot-style live fetch passed for hub and sampled support pages; no public deployment needed","Owner approves public internal-link edit batch trust-claim rewrites and sensitive-page rules before CMS changes","Repo-only planning; no CMS database row article body title H1 meta URL slug redirect taxonomy noindex canonical sitemap lawyer lead payment GA4 GSC wp-admin or uPress change"
T348,Map family divorce support pages to commercial hub,COMPLETED,CRITICAL,Codex,family-law-seo,"project-control/family-law-support-to-hub-map-2026-05-18.md + project-control/family-law-support-to-hub-map-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","High-impression family/divorce support URLs are mapped to /family-law/ before any public CMS edit","VERIFIED PLANNING: 18 P0 support URLs mapped; Googlebot-style live fetch passed for hub and sampled support pages; no public deployment needed","Owner approves public internal-link edit batch and trust-claim rewrites before CMS changes","Repo-only planning; no CMS database row article body title H1 meta URL slug redirect taxonomy noindex canonical sitemap lawyer lead payment GA4 GSC wp-admin or uPress change"
T347,Map medical malpractice support pages to commercial hub,COMPLETED,CRITICAL,Codex,medical-malpractice-seo,"project-control/medical-malpractice-support-to-hub-map-2026-05-18.md + project-control/medical-malpractice-support-to-hub-map-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","High-impression medical-malpractice support URLs are mapped to /medical-malpractice-lawyer/ before any public CMS edit","VERIFIED PLANNING: 15 P0 support URLs mapped; Googlebot-style live fetch passed for hub and sampled support pages; no public deployment needed","Owner approves public internal-link edit batch and trust-claim rewrites before CMS changes","Repo-only planning; no CMS database row article body title H1 meta URL slug redirect taxonomy noindex canonical sitemap lawyer lead payment GA4 GSC wp-admin or uPress change"
T346,Create homepage commercial priority map,COMPLETED,CRITICAL,Codex,homepage-seo,"project-control/homepage-commercial-priority-map-2026-05-18.md + project-control/homepage-commercial-priority-map-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","Homepage practice-area priority is mapped by business value and GSC signals before any public homepage ordering change","VERIFIED PLANNING: current homepage practice grid orders by term count; live journey check passed user lawyer and Googlebot paths; recommended priority order documented","Prepare factual homepage card copy and owner-approved controlled ordering change for practice cards","Repo-only planning; no CMS database row homepage template body title H1 meta URL slug redirect taxonomy noindex canonical sitemap lawyer lead payment GA4 GSC wp-admin or uPress change"
T345,Build content triage and GSC protection map,COMPLETED,CRITICAL,Codex,content-audit,"tools/content-audit/build-content-triage.mjs + project-control/content-triage-2026-05-18.csv + project-control/content-triage-2026-05-18.md + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","Outdated corona weak trust-claim duplicate and GSC-risk content is classified into safe action queues before any public CMS or URL change","VERIFIED PLANNING: builder ran successfully; 2055 candidates generated; 821 P0 protect/rewrite/merge with GSC evidence; 612 P1 review before change; 622 P2 owner approval cleanup; no public deployment needed","Process P0 commercial/legal pages first then prepare owner-approval batch for corona/outdated and trust-claim rewrites","Repo-only analysis and tooling; no CMS database row article body title H1 meta URL slug redirect taxonomy noindex canonical sitemap setting lawyer lead payment GA4 GSC wp-admin or uPress change"
T344,Segment articles archive output,COMPLETED,CRITICAL,Codex,traffic-recovery,"inc/article-archive-controls.php + functions.php + tools/check-live-html-sitemap.mjs + tools/check-live-owner-phone.mjs + reports/traffic-priority-audit-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/traffic-priority-audit-2026-05-18.md + project-control/task-board.csv","/articles/ no longer renders thousands of links on one HTML response and remains indexable with crawlable pagination","VERIFIED LIVE: /articles/ PASS HTTP 200 about 125 KB 203 links; full traffic-priority audit passes all sampled routes; sitemap owner-phone and journey checks passed","Begin content classification/outdated article review and homepage commercial priority order audit","Query-only theme recovery; no CMS database row article body URL slug redirect taxonomy lawyer profile lead record payment setting GA4/GSC setting XML sitemap setting robots setting or wp-admin setting changed"
T343,Recover contact and about trust routes,COMPLETED,CRITICAL,Codex,traffic-recovery,"inc/trust-routes.php + functions.php + inc/html-sitemap.php + template-parts/layout/site-footer.php + tools/check-live-html-sitemap.mjs + tools/check-live-owner-phone.mjs + reports/traffic-priority-audit-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/traffic-priority-audit-2026-05-18.md + project-control/task-board.csv","/contact/ and /about/ stop returning 404/noindex and provide truthful lightweight trust/contact content after uPress pull","VERIFIED LIVE: /contact/ PASS HTTP 200 about 72 KB 66 links; /about/ PASS HTTP 200 about 70 KB 67 links; sitemap owner-phone and journey checks passed","Articles archive is now fixed in T344; keep route checks running after every deployment","Render-only theme recovery; no CMS database row content body URL slug redirect taxonomy lawyer profile lead record payment setting GA4/GSC setting XML sitemap setting robots setting or wp-admin setting changed"
T342,Recover medical malpractice money route,COMPLETED,CRITICAL,Codex,technical-seo,"inc/practice-landing.php + practice-medical-malpractice-route.php + functions.php + tools/check-live-html-sitemap.mjs + tools/check-live-owner-phone.mjs + reports/traffic-priority-audit-2026-05-18.csv + project-control/traffic-priority-audit-2026-05-18.md + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","/medical-malpractice-lawyer/ stops returning 404/noindex and serves an indexable commercial practice hub after uPress pull","VERIFIED LIVE: uPress Pull completed successfully; /medical-malpractice-lawyer/ is PASS HTTP 200 about 56 KB and 67 links; sitemap owner-phone and journey checks passed","Contact/about are now fixed in T343; reduce /articles/ size/link density next","Render-only theme recovery; no CMS database row content body URL slug redirect taxonomy lawyer profile lead record payment setting GA4/GSC setting XML sitemap setting robots setting or wp-admin setting changed"
T341,Prepare Wave 1B support metadata package,COMPLETED,CRITICAL,Codex,content-audit,"project-control/family-divorce-wave-1b-support-metadata-package-2026-05-12.md + project-control/family-divorce-wave-1b-support-metadata-package-2026-05-12.csv + project-control/current-status.md + project-control/next-actions.md + project-control/changelog.md + project-control/content-decision-batches.md + project-control/family-law-divorce-execution-plan-2026-05-12.md + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.md + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.csv + project-control/family-divorce-wave-1b-support-approval-package-2026-05-12.md + project-control/task-board.csv","Six Family/Divorce support pages have exact metadata posture before any support upload","VERIFIED PLANNING: 6-row metadata package created; all six support URLs return 200 self-canonical; H1 title meta OG breadcrumb taxonomy related links and schema exclusions mapped","Owner approves support copy metadata and upload scope or keeps support blocked until /divorce-lawyer/ QA passes","Review-only planning; no public content draft import title H1 meta URL redirect noindex canonical sitemap taxonomy category internal-link related-card document media schema lawyer review CRM wp-admin or database change"
T340,Prepare divorce lawyer CMS upload field map,COMPLETED,CRITICAL,Codex,content-audit,"project-control/family-divorce-divorce-lawyer-cms-upload-field-map-2026-05-12.md + project-control/family-divorce-divorce-lawyer-cms-upload-field-map-2026-05-12.csv + project-control/current-status.md + project-control/next-actions.md + project-control/changelog.md + project-control/content-decision-batches.md + project-control/family-law-divorce-execution-plan-2026-05-12.md + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.md + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.csv + project-control/family-divorce-controlled-upload-qa-package-2026-05-12.md + project-control/family-divorce-controlled-upload-qa-package-2026-05-12.csv + project-control/task-board.csv","/divorce-lawyer/ has a practical CMS field worksheet before any WordPress edit","VERIFIED PLANNING: 24-row field map covers backup body metadata OG breadcrumb canonical robots taxonomy related links schema safety disclaimer CTA post-upload QA and GSC monitoring","Owner approves or edits clean body metadata package and CMS field map together; then run controlled upload QA before CMS edit","Review-only planning; no public content draft import title H1 meta URL redirect noindex canonical sitemap taxonomy category internal-link related-card document media schema lawyer review CRM wp-admin or database change"
T339,Prepare divorce lawyer metadata package,COMPLETED,CRITICAL,Codex,content-audit,"project-control/family-divorce-divorce-lawyer-metadata-package-2026-05-12.md + project-control/family-divorce-divorce-lawyer-metadata-package-2026-05-12.csv + project-control/current-status.md + project-control/next-actions.md + project-control/changelog.md + project-control/content-decision-batches.md + project-control/family-law-divorce-execution-plan-2026-05-12.md + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.md + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.csv + project-control/family-divorce-controlled-upload-qa-package-2026-05-12.md + project-control/family-divorce-controlled-upload-qa-package-2026-05-12.csv + project-control/family-divorce-first-upload-decision-brief-2026-05-12.md + project-control/task-board.csv","/divorce-lawyer/ has exact title H1 meta canonical taxonomy and related-link boundaries before any first upload","VERIFIED PLANNING: 20-row metadata package created; live /divorce-lawyer/ returns 200 self-canonical; slug and canonical unchanged; fake trust review rating schema claims blocked","Owner approves or edits clean body and metadata package together; then use controlled upload QA package before CMS edit","Review-only planning; no public content draft import title H1 meta URL redirect noindex canonical sitemap taxonomy category internal-link related-card document media schema lawyer review CRM wp-admin or database change"
T338,Prepare Family Divorce first upload decision brief,COMPLETED,CRITICAL,Codex,content-audit,"project-control/family-divorce-first-upload-decision-brief-2026-05-12.md + project-control/family-divorce-first-upload-decision-brief-2026-05-12.csv + project-control/current-status.md + project-control/next-actions.md + project-control/changelog.md + project-control/content-decision-batches.md + project-control/family-law-divorce-execution-plan-2026-05-12.md + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.md + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.csv + project-control/task-board.csv","Owner has a concise first-upload decision brief before any public Family/Divorce upload","VERIFIED PLANNING: 10-row decision brief created recommending Wave 1A only /divorce-lawyer/ first and keeping support uploads URL actions redirects canonicals noindex sitemap and protected assets blocked","Owner approves or edits content-drafts/divorce-lawyer-public-body-he.md; if approval is not ready prepare exact /divorce-lawyer/ title H1 meta package repo-only","Review-only planning; no public content draft import title H1 meta URL redirect noindex canonical sitemap taxonomy category internal-link related-card document media schema lawyer review CRM wp-admin or database change"
T337,Package Wave 1B support bodies for owner approval,COMPLETED,CRITICAL,Codex,content-audit,"project-control/family-divorce-wave-1b-support-approval-package-2026-05-12.md + project-control/family-divorce-wave-1b-support-approval-package-2026-05-12.csv + content-drafts/divorce-property-division-public-body-he.md + content-drafts/family-dispute-resolution-public-body-he.md + project-control/current-status.md + project-control/next-actions.md + project-control/changelog.md + project-control/content-decision-batches.md + project-control/family-law-divorce-execution-plan-2026-05-12.md + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.md + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.csv + project-control/task-board.csv","All six Wave 1B clean support bodies are packaged into an owner/legal/source approval gate before any upload","VERIFIED PLANNING: 16-row support approval package created; six clean bodies total 11222 words across 435 lines; strict scan found no internal notes fake trust fake rating recommendation-label or guaranteed-result terms","Owner chooses approve copy only approve lower-risk first edit selected hold support until /divorce-lawyer/ or approve Wave 1B after pillar QA","Review-only planning; no public content draft import title H1 meta URL redirect noindex canonical sitemap taxonomy category internal-link related-card document media schema lawyer review CRM wp-admin or database change"
T336,Create child custody clean body draft,COMPLETED,CRITICAL,Codex,content-audit,"content-drafts/child-custody-public-body-he.md + project-control/current-status.md + project-control/next-actions.md + project-control/changelog.md + project-control/content-decision-batches.md + project-control/family-law-divorce-execution-plan-2026-05-12.md + project-control/family-divorce-wave-1b-support-review-package-2026-05-12.md + project-control/family-divorce-wave-1b-support-review-package-2026-05-12.csv + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.md + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.csv + project-control/task-board.csv","/child-custody/ has a CMS-clean public body before owner/legal/source review or upload","PARTIAL VERIFIED: 1693-word clean body created and scanned with no internal notes fake trust fake rating custody-result-promise or guaranteed-result terms","Owner/legal/source review approves the clean body or requests edits; all six Wave 1B support bodies now need approval before any upload","Review-only planning; no public content draft import title H1 meta URL redirect noindex canonical sitemap taxonomy category internal-link related-card document media schema lawyer review CRM wp-admin or database change"
T335,Create child support clean body draft,COMPLETED,CRITICAL,Codex,content-audit,"content-drafts/child-support-public-body-he.md + project-control/current-status.md + project-control/next-actions.md + project-control/changelog.md + project-control/content-decision-batches.md + project-control/family-law-divorce-execution-plan-2026-05-12.md + project-control/family-divorce-wave-1b-support-review-package-2026-05-12.md + project-control/family-divorce-wave-1b-support-review-package-2026-05-12.csv + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.md + project-control/family-law-pre-upload-minimum-checklist-2026-05-12.csv + project-control/task-board.csv","/child-support/ has a CMS-clean public body before owner/legal/source review or upload","PARTIAL VERIFIED: 1729-word clean body created and scanned with no internal notes fake trust fake rating fixed-calculator-promise or guaranteed-result terms","Owner/legal/source review approves the clean body or requests edits; /child-custody/ clean body now exists; review all six Wave 1B clean support bodies before upload","Review-only planning; no public content draft import title H1 meta URL redirect noindex canonical sitemap taxonomy category internal-link related-card document media schema lawyer review CRM wp-admin or database change"
