batch_id,id,current_url,title_or_topic,word_count,current_cluster_signal,proposed_role,canonical_category,url_strategy,content_quality_decision,internal_link_decision,sitemap_decision,redirect_decision,status,notes
CRIM-UPLOAD-015,6556,https://jus-tice.co.il/%D7%94%D7%9B%D7%A0%D7%94-%D7%9C%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,Police investigation preparation,510,criminal-law,CORE_SUPPORT_POLICE_INVESTIGATION,criminal-law,KEEP_CURRENT_URL_FOR_NOW,EXPAND_SUPPORT,"Link to criminal pillar suspect rights indictment detention",INCLUDE_AFTER_EXPANSION,FUTURE_POLICE_INVESTIGATION_REDIRECT_REVIEW,READY_FOR_OWNER_REVIEW,"Strategic support intent; targeted GSC currently shows zero visible rows."
CRIM-UPLOAD-016,6802,https://jus-tice.co.il/israel-police/,Israel Police explainer,929,criminal-law-source,SOURCE_SUPPORT_POLICE,criminal-law,KEEP_AS_SOURCE_SUPPORT,ADD_USER_FOCUSED_SUMMARY,"Link to police investigation only if source-framed",INCLUDE_ONLY_IF_REFRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Source/reference page; not a service page."
CRIM-UPLOAD-017,12924,https://jus-tice.co.il/investigations-and-intelligence-division/,Police investigations division,23387,criminal-law-source,SOURCE_SUPPORT_POLICE_INVESTIGATION,criminal-law,KEEP_AS_SOURCE_OR_CONSOLIDATE_REVIEW,SUMMARIZE_AND_LINK_AS_SOURCE,"Link from police investigation guide after review",INCLUDE_ONLY_IF_REFRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Long official-style source asset; needs practical framing."
CRIM-UPLOAD-018,948,https://jus-tice.co.il/israel-crime-statistics/,Israel crime statistics,12426,criminal-law-source,SOURCE_SUPPORT_TRUST_CONTEXT,criminal-law,KEEP_AS_SOURCE_SUPPORT,ADD_EDITORIAL_CONTEXT,"Link only from statistics/reference sections",INCLUDE_ONLY_IF_EDITORIAL_FRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Useful source/reference but not a commercial support page."
CRIM-UPLOAD-019,888,https://jus-tice.co.il/police-records-data-deletion/,Police record deletion,530,criminal-law,CORE_SUPPORT_RECORD_DELETION,criminal-law,KEEP_OR_MERGE_REVIEW,EXPAND_OR_MERGE_WITH_EXPUNGEMENT,"Link to criminal pillar and expungement",HOLD_UNTIL_EXPANDED,FUTURE_MERGE_REVIEW,NEEDS_REVIEW,"Thin but important support topic."
CRIM-UPLOAD-020,882,https://jus-tice.co.il/expungement-of-criminal-records/,Criminal record expungement,572,criminal-law,CORE_SUPPORT_RECORD_DELETION,criminal-law,KEEP_OR_PRIMARY_RECORD_SUPPORT_REVIEW,EXPAND_SUPPORT,"Link to criminal pillar and police-record deletion",INCLUDE_AFTER_EXPANSION,FUTURE_CRIMINAL_RECORD_DELETION_REVIEW,READY_FOR_OWNER_REVIEW,"Possible primary for criminal-record deletion support."
CRIM-UPLOAD-021,3095,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,Criminal information certificate,1205,criminal-law-source,SOURCE_SUPPORT_RECORDS,criminal-law,KEEP_AS_SOURCE_SUPPORT,ADD_PRACTICAL_GUIDANCE,"Link to record deletion support",INCLUDE_ONLY_IF_REFRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Useful official-form support if updated."
CRIM-UPLOAD-022,6884,https://jus-tice.co.il/articles/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%97%D7%96%D7%A8%D7%94-%D7%9E%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%91%D7%99%D7%98%D7%95%D7%9C/,Indictment cancellation,1000,criminal-law,CORE_SUPPORT_INDICTMENT,criminal-law,KEEP_CURRENT_URL_FOR_NOW,EXPAND_SUPPORT,"Link to criminal pillar criminal defenses detention",INCLUDE_AFTER_EXPANSION,FUTURE_INDICTMENT_REDIRECT_REVIEW,READY_FOR_OWNER_REVIEW,"Best current general indictment support candidate; do not use Netanyahu case page as general primary."
CRIM-UPLOAD-023,2811,https://jus-tice.co.il/%D7%A0%D7%95%D7%A1%D7%97-%D7%9B%D7%AA%D7%91-%D7%94%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%A0%D7%92%D7%93-%D7%91%D7%A0%D7%99%D7%9E%D7%99%D7%9F-%D7%A0%D7%AA%D7%A0%D7%99%D7%94%D7%95-%D7%AA%D7%99%D7%A7%D7%99%D7%9D-1000-2000-4000/,Specific Netanyahu indictment page,24208,public-case-law,SPECIFIC_CASE_PROTECT,case-law,KEEP_AS_SPECIFIC_CASE,DO_NOT_GENERALIZE,"Link from indictment guide only as example if appropriate",HOLD_OUT_OF_GENERAL_SUPPORT_SITEMAP,NO_REDIRECT_TO_INDICTMENT,READY_FOR_PROTECTION,"GSC maps indictment query here with 3 impressions; not general support intent."
CRIM-UPLOAD-024,8596,https://jus-tice.co.il/54044-04-22cancel-criminal-proceedings/,Cancel criminal proceedings case,1215,criminal-law-case,CASE_SUPPORT_INDICTMENT,criminal-law,KEEP_AS_CASE_OR_SUPPORT_REVIEW,ADD_EDITORIAL_FRAME,"Link to indictment/case-closure only after review",INCLUDE_ONLY_IF_EDITORIAL_FRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Potential case support for indictment cancellation."
CRIM-UPLOAD-025,6880,https://jus-tice.co.il/%D7%94%D7%94%D7%9C%D7%99%D7%9A-%D7%94%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A4%D7%A8%D7%A7%D7%9C%D7%99%D7%98%D7%95%D7%AA-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%9E%D7%95%D7%9C-%D7%97%D7%98%D7%99%D7%91%D7%AA-%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA-%D7%94%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,Criminal procedure prosecution vs police,847,criminal-law,SUPPORT_CRIMINAL_PROCEDURE,criminal-law,KEEP_OR_MERGE_REVIEW,EXPAND_OR_MERGE,"Link to indictment and criminal pillar",HOLD_UNTIL_EXPANDED,FUTURE_MERGE_REVIEW,NEEDS_REVIEW,"Useful procedure support but thin."
CRIM-UPLOAD-026,872,https://jus-tice.co.il/detention-before-charge-or-trial/,Detention until end of proceedings,530,criminal-law,CORE_SUPPORT_PRETRIAL_DETENTION,criminal-law,KEEP_CURRENT_URL_FOR_NOW,EXPAND_SUPPORT,"Link to criminal pillar indictment police investigation",INCLUDE_AFTER_EXPANSION,FUTURE_PRETRIAL_DETENTION_REVIEW,READY_FOR_OWNER_REVIEW,"Thin but exact support topic; GSC targeted pass had no visible detention rows."
CRIM-UPLOAD-027,877,https://jus-tice.co.il/detention-days/,Detention days,511,criminal-law,CORE_SUPPORT_DETENTION_DAYS,criminal-law,KEEP_OR_MERGE_REVIEW,EXPAND_OR_MERGE_WITH_DETENTION,"Link to pretrial detention and criminal pillar",HOLD_UNTIL_EXPANDED,FUTURE_MERGE_REVIEW,NEEDS_REVIEW,"Thin detention support."
CRIM-UPLOAD-028,5986,https://jus-tice.co.il/extension-of-detention-for-more-than-thirty-days/,Extension of detention over thirty days,2227,criminal-law,SUPPORT_DETENTION_EXTENSION,criminal-law,KEEP_AS_SUPPORT_REVIEW,REWRITE_AS_PRACTICAL_SUPPORT,"Link to detention primary and criminal pillar",INCLUDE_AFTER_REVIEW,NO_REDIRECT_NOW,NEEDS_REVIEW,"Procedural support for detention cluster."
CRIM-UPLOAD-029,5991,https://jus-tice.co.il/application-for-extension-of-detention-form/,Detention extension form,331,criminal-law-source,SOURCE_FORM_DETENTION,criminal-law,KEEP_AS_FORM_OR_MERGE_REVIEW,HOLD_THIN_FORM,"Link only from detention guide",HOLD_OUT_THIN,FUTURE_MERGE_REVIEW,NEEDS_REVIEW,"Very thin form page; do not expose as main support."
CRIM-UPLOAD-030,5992,https://jus-tice.co.il/request-for-extension-of-detention-beyond-nine-months/,Detention beyond nine months,516,criminal-law-source,SOURCE_FORM_DETENTION,criminal-law,KEEP_OR_MERGE_REVIEW,EXPAND_OR_MERGE,"Link only from detention guide",HOLD_UNTIL_EXPANDED,FUTURE_MERGE_REVIEW,NEEDS_REVIEW,"Thin detention source support."
CRIM-UPLOAD-031,5723,https://jus-tice.co.il/roman-zadorov-detention-until-the-end-of-proceedings/,Zadorov detention case,6590,criminal-law-case,CASE_SUPPORT_DETENTION,case-law,KEEP_AS_CASE_REVIEW,ADD_EDITORIAL_FRAME,"Link from detention guide only if relevant",INCLUDE_ONLY_IF_EDITORIAL_FRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Specific case-law; not the detention primary."
CRIM-UPLOAD-032,12446,https://jus-tice.co.il/drug-offenses-criminal-lawyer/,Drug offenses lawyer,51621,criminal-law,CORE_SUPPORT_DRUG_OFFENSES,criminal-law,KEEP_CURRENT_URL_FOR_NOW,REWRITE_OR_CONSOLIDATE,"Link to criminal pillar drug trafficking drugged driving boundary",INCLUDE_AFTER_SOURCE_REVIEW,FUTURE_DRUG_OFFENSES_REDIRECT_REVIEW,READY_FOR_OWNER_REVIEW,"Large existing asset; do not create duplicate /drug-offenses/ without migration."
CRIM-UPLOAD-033,862,https://jus-tice.co.il/drug-related-crime/,Drug offenses short page,530,criminal-law,MERGE_REVIEW_DRUG_OFFENSES,criminal-law,MERGE_REVIEW,MERGE_INTO_DRUG_OFFENSES,"Link only after deciding primary drug page",HOLD_OUT_THIN,FUTURE_MERGE_REVIEW,NEEDS_REVIEW,"Thin duplicate-adjacent drug support."
CRIM-UPLOAD-034,867,https://jus-tice.co.il/drug-trafficking/,Drug trafficking,491,criminal-law,MERGE_OR_SUPPORT_DRUG_TRAFFICKING,criminal-law,MERGE_OR_EXPAND_REVIEW,EXPAND_OR_MERGE_WITH_DRUG_OFFENSES,"Link to drug offenses and criminal pillar",HOLD_OUT_THIN,FUTURE_MERGE_REVIEW,NEEDS_REVIEW,"Thin support; important subtopic if rewritten."
CRIM-UPLOAD-035,829,https://jus-tice.co.il/driving-under-the-influence-of-drugs/,Driving under influence of drugs,500,traffic-criminal,TRAFFIC_CRIMINAL_BOUNDARY,traffic-law-boundary,KEEP_OR_MERGE_REVIEW,EXPAND_WITH_TRAFFIC_BOUNDARY,"Link to traffic pillar and drug offenses after approval",INCLUDE_AFTER_BOUNDARY_REVIEW,NO_REDIRECT_NOW,NEEDS_REVIEW,"Shared traffic/criminal topic; do not classify only as drug crimes."
CRIM-UPLOAD-036,12356,https://jus-tice.co.il/tax-offenses-criminal-lawyer/,Tax offenses criminal lawyer,10959,criminal-law,CORE_SUPPORT_TAX_OFFENSES,criminal-law,KEEP_CURRENT_URL,EXPAND_SUPPORT,"Link to criminal pillar tax investigation white collar",INCLUDE_AFTER_REVIEW,FUTURE_TAX_OFFENSES_REVIEW,READY_FOR_OWNER_REVIEW,"Commercial offense-type support."
CRIM-UPLOAD-037,12436,https://jus-tice.co.il/tax-investigation-guide/,Tax investigation guide,16347,tax-criminal-boundary,SUPPORT_TAX_INVESTIGATION,tax-criminal,KEEP_CURRENT_URL,REWRITE_AS_SUPPORT,"Link to tax offenses and criminal pillar",INCLUDE_AFTER_REVIEW,NO_REDIRECT_NOW,NEEDS_REVIEW,"Tax/criminal boundary; useful support but category should be deliberate."
CRIM-UPLOAD-038,12425,https://jus-tice.co.il/economic-crimes-white-collar-lawyer/,Economic crimes and white collar,29261,criminal-law,CORE_SUPPORT_WHITE_COLLAR,criminal-law,KEEP_CURRENT_URL,REWRITE_AS_SUPPORT,"Link to criminal pillar money laundering tax offenses capital market",INCLUDE_AFTER_SOURCE_REVIEW,FUTURE_WHITE_COLLAR_REVIEW,READY_FOR_OWNER_REVIEW,"Large asset; likely white-collar support hub."
CRIM-UPLOAD-039,5316,https://jus-tice.co.il/what-is-money-laundering/,Money laundering,9248,criminal-law,SUPPORT_MONEY_LAUNDERING,criminal-law,KEEP_CURRENT_URL,EXPAND_SUPPORT,"Link to white collar and criminal pillar",INCLUDE_AFTER_REVIEW,NO_REDIRECT_NOW,READY_FOR_OWNER_REVIEW,"Good subtopic for white-collar cluster."
CRIM-UPLOAD-040,12082,https://jus-tice.co.il/articles/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%9C%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%A9%D7%95%D7%A7-%D7%94%D7%94%D7%95%D7%9F/,Capital market offenses lawyer,10091,criminal-law,SUPPORT_CAPITAL_MARKET_OFFENSES,criminal-law,KEEP_OR_RESLUG_REVIEW,REWRITE_AS_WHITE_COLLAR_SUPPORT,"Link to white collar criminal pillar",INCLUDE_AFTER_REVIEW,FUTURE_RESLUG_REVIEW,NEEDS_REVIEW,"Offense support page; may need cleaner slug later."
CRIM-UPLOAD-041,6157,https://jus-tice.co.il/sex-crime-lawyer/,Sex crime lawyer,23857,criminal-law,CORE_SUPPORT_SEX_CRIME_LAWYER,criminal-law,KEEP_CURRENT_URL,REWRITE_WITH_CAREFUL_LANGUAGE,"Link to criminal pillar sexual offenses trafficking boundary",INCLUDE_AFTER_LEGAL_REVIEW,FUTURE_SEX_OFFENSES_REVIEW,READY_FOR_OWNER_REVIEW,"Sensitive YMYL support; legal/source review required."
CRIM-UPLOAD-042,6809,https://jus-tice.co.il/sexual-offenses/,Sexual offenses,1000,criminal-law,CORE_SUPPORT_SEXUAL_OFFENSES,criminal-law,KEEP_CURRENT_URL,EXPAND_SUPPORT,"Link to sex-crime lawyer and criminal pillar",INCLUDE_AFTER_EXPANSION,NO_REDIRECT_NOW,READY_FOR_OWNER_REVIEW,"Current clean support URL exists but needs expansion."
CRIM-UPLOAD-043,9583,https://jus-tice.co.il/human-trafficking/,Human trafficking,7881,criminal-law,SUPPORT_TRAFFICKING,criminal-law,KEEP_CURRENT_URL,REWRITE_AS_SUPPORT,"Link to criminal pillar and sex trafficking where relevant",INCLUDE_AFTER_REVIEW,NO_REDIRECT_NOW,NEEDS_REVIEW,"Criminal trafficking topic; false positive for traffic law."
CRIM-UPLOAD-044,9575,https://jus-tice.co.il/sex-trafficking/,Sex trafficking,10620,criminal-law,SUPPORT_SEX_TRAFFICKING,criminal-law,KEEP_CURRENT_URL,REWRITE_AS_SUPPORT,"Link to sex offenses human trafficking criminal pillar",INCLUDE_AFTER_REVIEW,NO_REDIRECT_NOW,NEEDS_REVIEW,"Sensitive subtopic; source/legal review required."
CRIM-UPLOAD-045,9571,https://jus-tice.co.il/cybersex-trafficking/,Cybersex trafficking,2819,cyber-criminal-law,CYBER_CRIMINAL_BOUNDARY,cyber-criminal-law,KEEP_CURRENT_URL,REWRITE_AS_BOUNDARY_SUPPORT,"Link to criminal and cyber/privacy only after approval",INCLUDE_AFTER_BOUNDARY_REVIEW,NO_REDIRECT_NOW,NEEDS_REVIEW,"Boundary with cyber/privacy; not a broad cyber pillar."
CRIM-UPLOAD-046,11904,https://jus-tice.co.il/cybercrime-lawyer-roll/,Cybercrime lawyer role,4455,cyber-criminal-law,CYBER_CRIMINAL_BOUNDARY,cyber-criminal-law,KEEP_OR_CYBER_CLUSTER_REVIEW,SEPARATE_FROM_CORE_CRIMINAL,"Link after cyber/criminal boundary approved",HOLD_FOR_CYBER_BATCH,NO_REDIRECT_NOW,NEEDS_REVIEW,"Should not be absorbed blindly into criminal-lawyer pillar."
CRIM-UPLOAD-047,8795,https://jus-tice.co.il/shoplifting/,Shoplifting,6456,criminal-law,SUPPORT_THEFT_PROPERTY_OFFENSES,criminal-law,KEEP_CURRENT_URL,EXPAND_SUPPORT,"Link to criminal pillar and criminal defenses",INCLUDE_AFTER_REVIEW,NO_REDIRECT_NOW,READY_FOR_OWNER_REVIEW,"Potential property-offense support page."
CRIM-UPLOAD-048,12275,https://jus-tice.co.il/arrested-abroad-il/,Arrested abroad,11448,international-criminal-law,FOREIGN_BOUNDARY,international-law,KEEP_OUT_OF_CORE_ISRAELI_PILLAR,SEPARATE_INTERNATIONAL_INTENT,"No core criminal service links until boundary approved",HOLD_OUT_OF_CORE_SITEMAP,NO_REDIRECT_TO_CORE,NEEDS_REVIEW,"Useful for Israelis abroad but not local criminal-lawyer pillar."
CRIM-UPLOAD-049,9468,https://jus-tice.co.il/articles/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%9E%D7%A9%D7%A4%D7%98-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%91%D7%99%D7%A0%D7%9C%D7%90%D7%95%D7%9E%D7%99/,International criminal law lawyer,12209,international-criminal-law,FOREIGN_BOUNDARY,international-law,KEEP_OUT_OF_CORE_ISRAELI_PILLAR,SEPARATE_INTERNATIONAL_INTENT,"No core criminal service links until boundary approved",HOLD_OUT_OF_CORE_SITEMAP,NO_REDIRECT_TO_CORE,NEEDS_REVIEW,"International law intent; separate from Israeli criminal lawyer."
CRIM-UPLOAD-050,12273,https://jus-tice.co.il/articles/%D7%9C%D7%A9%D7%95%D7%9F-%D7%94%D7%A8%D7%A2-%D7%AA%D7%9C%D7%95%D7%A0%D7%94-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,Defamation police complaint,6269,defamation-criminal-boundary,BOUNDARY_DEFAMATION_POLICE_COMPLAINT,defamation-law,KEEP_OUT_OF_CORE_CRIMINAL_CLUSTER,SEPARATE_DEFAMATION_BOUNDARY,"Link only from defamation or police-complaint context",HOLD_FOR_DEFAMATION_BATCH,NO_REDIRECT_TO_CORE,NEEDS_REVIEW,"Police complaint wording but main cluster is defamation boundary."
