"query_group","query_filter","search_intent","expected_primary_url","expected_supporting_urls","why_check","record_pages_tab","record_queries_tab","known_current_signal","decision_if_primary_matches","decision_if_old_url_wins","decision_if_multiple_urls","status","notes"
"employment_general","דיני עבודה","Informational employment-law intent; user may seek rights guide rather than lawyer directory.","https://jus-tice.co.il/employment-lawyer/","future possible support: https://jus-tice.co.il/employment-law/ | https://jus-tice.co.il/lawyers/?area=employment-law","Needed to separate service intent from broad informational guide intent.","YES","YES","NOT VERIFIED in direct GSC.","If service pages show, evaluate title/H1 mismatch; broad guide may be needed as support.","Preserve high-impression old guide if found; do not replace with a weaker lawyer page.","If broad and lawyer-intent pages compete, split primary keyword targets clearly.","NOT_VERIFIED_NEEDS_GSC","Map whether employment content should use /employment-lawyer/ pillar plus /employment-law/ guide."
"inheritance_lawyer","עורך דין ירושה","Lawyer/service intent for inheritance help.","https://jus-tice.co.il/inheritance-lawyer/","https://jus-tice.co.il/will/ | https://jus-tice.co.il/will-contest/","Earlier GSC exact filter showed zero visible rows, but will variants show cluster potential.","YES","YES","GSC_BROWSER_VERIFIED_ZERO_ROWS for exact query; adjacent will queries have impressions.","If no rows again, keep as strategic future pillar, not traffic-driven priority.","If an old Hebrew wills page appears, protect it and map carefully.","If will/support pages appear for lawyer query, mark WEAK_PRIMARY_PAGE and title/internal-link problem.","NOT_VERIFIED_RECHECK","Zero rows do not mean no market demand; they mean Jus-Tice currently lacks visible signal."
"wills_inheritance_lawyer","עורך דין צוואות וירושות","Combined lawyer/service intent for wills and inheritance.","https://jus-tice.co.il/inheritance-lawyer/","https://jus-tice.co.il/will/ | https://jus-tice.co.il/will-contest/","This may expose old Hebrew wills/inheritance page traffic better than the shorter inheritance-lawyer filter.","YES","YES","NOT VERIFIED in direct GSC; related צוואה evidence exists.","Use evidence to decide whether /inheritance-lawyer/ or a will-focused page should lead the cluster.","Protect old Hebrew wills page if it owns impressions.","If will pages and lawyer pages compete, split service vs informational intents.","NOT_VERIFIED_NEEDS_GSC","Important before choosing clean English slug for inheritance cluster."
"will_general","צוואה","Broad will-information intent; user may need guide, document, probate or lawyer path.","https://jus-tice.co.il/will/","https://jus-tice.co.il/inheritance-lawyer/ | https://jus-tice.co.il/will-contest/ | https://jus-tice.co.il/probate-order/","Existing GSC shows 201 impressions split across case pages, Hebrew page, DOCX and support pages.","YES","YES","GSC_BROWSER_VERIFIED: 201 impressions across 7 visible URLs.","If a clean /will/ guide exists or is planned, keep as pillar candidate and map support pages.","Do not touch old case/DOCX URLs until redirect and document strategy are approved.","If many pages compete, classify CANNIBALIZATION_RISK and choose one will guide plus support pages.","VERIFIED_BUT_NEEDS_REFRESH","Use existing evidence plus refresh if browser access is available."
"will_contest","התנגדות לצוואה","Narrow will-contest dispute intent.","https://jus-tice.co.il/will-contest/","https://jus-tice.co.il/will/ | https://jus-tice.co.il/inheritance-lawyer/","Existing GSC shows old case-law page owns almost all visible impressions.","YES","YES","GSC_BROWSER_VERIFIED: 121 impressions; old case-law page owns 120.","Plan public support guide and link/merge case material carefully.","DO_NOT_TOUCH_HIGH_TRAFFIC_URL; preserve old case-law URL until approved redirect/support plan.","If two case-law URLs compete, choose support guide and map case pages as supporting evidence/content.","VERIFIED_BUT_NEEDS_REFRESH","Do not overwrite case-law value with a thin guide."
"work_accident_lawyer","עורך דין תאונת עבודה","Lawyer/service intent for work accident help.","https://jus-tice.co.il/work-accident-lawyer/","https://jus-tice.co.il/personal-injury-lawyer/ | future national-insurance support","Earlier exact filter returned zero rows; recheck before prioritizing from GSC.","YES","YES","GSC_BROWSER_VERIFIED_ZERO_ROWS.","If still zero, keep as strategic future page but lower traffic-evidence priority.","If old accident/national-insurance URL wins, map support or migration risk.","If multiple personal-injury pages show, split work accident, car accident and national insurance intent.","NOT_VERIFIED_RECHECK","Useful for deciding personal-injury cluster order."
"work_accident_general","תאונת עבודה","Informational/work-rights intent; may overlap personal injury and national insurance.","https://jus-tice.co.il/work-accident-lawyer/","https://jus-tice.co.il/personal-injury-lawyer/ | future national-insurance support","Needed because exact prior filter had no rows and broad variant may reveal existing pages.","YES","YES","GSC_BROWSER_VERIFIED_ZERO_ROWS for broad query in earlier pass.","If no rows, do not over-prioritize this cluster from current GSC evidence.","If old pages win, classify legal-intent vs insurance-benefits intent.","If many pages show, mark cluster split and internal-link need.","NOT_VERIFIED_RECHECK","Also consider ביטוח לאומי variants later."
"car_accident_lawyer","עורך דין תאונות דרכים","Lawyer/service intent for car accident claims.","https://jus-tice.co.il/car-accident-lawyer/","https://jus-tice.co.il/traffic-lawyer/ | https://jus-tice.co.il/personal-injury-lawyer/ | https://jus-tice.co.il/car-accident-auto-injury-lawyer/","Existing car-accident URL has impressions but slug may not match planned architecture.","YES","YES","Related evidence: תאונת דרכים 84 impressions, mostly /car-accident-auto-injury-lawyer/.","If existing page wins, decide whether to keep current URL or migrate only with approved redirect.","DO_NOT_TOUCH_HIGH_TRAFFIC_URL until URL migration map is approved.","If traffic-law and personal-injury pages both show, classify cluster boundary before redirects.","NOT_VERIFIED_NEEDS_GSC","This is a migration-risk check, not approval to rename."
"car_accident_general","תאונת דרכים","General accident intent; may be informational, compensation, criminal/traffic or insurance.","https://jus-tice.co.il/car-accident-lawyer/","https://jus-tice.co.il/car-accident-auto-injury-lawyer/ | https://jus-tice.co.il/personal-injury-lawyer/","Existing evidence already shows current URL signal; refresh if possible.","YES","YES","GSC_BROWSER_VERIFIED: 84 impressions, 0 clicks, existing English page owns 79.","If existing page owns broad query, treat it as high-value migration candidate.","Preserve current page until redirect/canonical/internal-link plan is approved.","If support law/PDF pages appear, map as support, not primary.","VERIFIED_BUT_NEEDS_REFRESH","Do not force /car-accident-lawyer/ without owner-approved old->new mapping."
"criminal_police_investigation","חקירה במשטרה","Criminal support article intent; suspect wants rights and process before/after police interrogation.","https://jus-tice.co.il/police-investigation/","https://jus-tice.co.il/criminal-lawyer/","Criminal pillar is weak; support topics must link up to one primary criminal-lawyer page.","YES","YES","NOT VERIFIED in current GSC queue.","If support page appears, keep as support and add pillar links later.","If broad criminal-lawyer page appears instead, add support section or create support article after inventory check.","If several criminal pages compete for this narrow query, mark MERGE_CANDIDATE.","NOT_VERIFIED_NEEDS_GSC","Do not create duplicate police-investigation content before checking existing rows."
"criminal_drug_offenses","עבירות סמים","Criminal support article intent around drug offenses.","https://jus-tice.co.il/drug-offenses/","https://jus-tice.co.il/criminal-lawyer/","Needed to validate criminal cluster spokes beyond broad lawyer terms.","YES","YES","NOT VERIFIED in current GSC queue; related-content QA has sampled drug-offense page.","If support page appears, keep support-to-pillar structure.","If old criminal lawyer page wins, add support link and title alignment later.","If support pages compete, map one narrow drug-offenses URL.","NOT_VERIFIED_NEEDS_GSC","Good follow-up after broad criminal-lawyer query evidence."
"traffic_drunk_driving","נהיגה בשכרות","Traffic support article intent; user needs drunk-driving defense/process help.","https://jus-tice.co.il/drunk-driving/","https://jus-tice.co.il/traffic-lawyer/","Earlier GSC mapped this to a will-revocation page, showing wrong-page risk.","YES","YES","GSC_BROWSER_VERIFIED: 8 impressions mapped to a will-revocation page.","If traffic page appears after improvements, classify as support under traffic-lawyer.","If wrong will page still appears, mark WRONG_PAGE_MATCH and do not rewrite will page for traffic intent.","If several traffic pages compete, choose one drunk-driving support page.","VERIFIED_WRONG_PAGE_NEEDS_REFRESH","Low sample, but important to prevent semantic confusion."
