map_id,wp_area,field_or_action,value,status,why,qa_check,blocked_until
CR-CMS-MAP-011,social,og_description,"מדריך מעשי למי שצריך עורך דין פלילי: זכויות לפני חקירה, מעצר, שימוע, כתב אישום, רישום פלילי ומה להכין לפני פנייה.",RECOMMENDED,Consistent share description,Confirm OG description in source,Owner approves metadata and legal review
CR-CMS-MAP-012,navigation,breadcrumb_label,עורך דין פלילי,RECOMMENDED,Short navigational label,Confirm breadcrumb and BreadcrumbList output,Owner approves metadata
CR-CMS-MAP-013,seo,canonical,https://jus-tice.co.il/criminal-defense-attorney/,VERIFIED_PLANNING,Self-canonical avoids migration risk,Confirm canonical unchanged,Owner approves upload
CR-CMS-MAP-014,seo,robots,index follow,VERIFIED_PLANNING,The live page is already indexable and should stay indexable after QA,Confirm no accidental noindex,Owner approves upload
CR-CMS-MAP-015,taxonomy,practice_area,existing criminal-law practice area only,RECOMMENDED,Avoid taxonomy fragmentation during first page update,Confirm no new term was created,Owner approves taxonomy use
CR-CMS-MAP-016,body,intro_block,Use criminal-defense intro block from money-query rescue file,BLOCKED_UNTIL_LEGAL_REVIEW,Improves first-screen urgent intent but sensitive legal wording needs review,Compare first paragraphs after upload,Owner approves body edit and legal review
CR-CMS-MAP-017,body,practical_section,Use criminal-defense practical section from money-query rescue file,BLOCKED_UNTIL_LEGAL_REVIEW,Adds user-intent structure around investigation arrest hearing indictment and record issues,Confirm H2 and bullet list render,Owner approves body edit and legal review
CR-CMS-MAP-018,cta,neutral_cta,Use criminal-defense CTA block from money-query rescue file,BLOCKED_UNTIL_LEGAL_REVIEW,Creates lead path without outcome promise or panic language,Confirm CTA contains no blocked claims,Owner approves body edit and legal review
CR-CMS-MAP-019,internal_links,outbound_contextual,"/police-investigation-rights/; /criminal-lawyer-cost/; /apply-for-police-criminal-information-certificates/; /sex-crime-lawyer/; /drug-related-crime/; /lawyers/?area=criminal-law",RECOMMENDED,Connects criminal hub to live support and directory pages,Confirm all new links return 200,Owner approves internal links
CR-CMS-MAP-020,internal_links,inbound_batch,"Add support-to-hub links later from investigation cost record sex-crime and drug-crime pages",BLOCKED,Inbound support edits should happen only after hub edit passes QA and legal review,Confirm hub QA first,Hub update approved verified and legally reviewed
CR-CMS-MAP-021,redirects,redirect_policy,No redirects in first update,BLOCKED,Preserves live support URLs and avoids migration risk,Confirm redirect table unchanged,Separate redirect plan approval
CR-CMS-MAP-022,canonicals,support_canonical_policy,Do not canonicalize support pages into the hub,BLOCKED,Support pages still have distinct criminal-law subintent,Confirm support canonicals unchanged,Separate canonical review
CR-CMS-MAP-023,sitemap,sitemap_policy,Do not remove support pages from sitemap during this edit,BLOCKED,No sitemap migration approved,Confirm sitemap unchanged,Separate sitemap plan approval
CR-CMS-MAP-024,taxonomy,boundary_policy,Do not resolve traffic criminal local-lawyer or famous-lawyer boundaries in this first update,BLOCKED,These need a separate anti-cannibalization pass,Confirm no category or URL changes,Separate criminal cluster consolidation approval
CR-CMS-MAP-025,schema,allowed_schema,"WebPage Article Breadcrumb only if visible content matches",REVIEW_ONLY,Safe structured data only,Inspect source after upload,Owner approves upload
CR-CMS-MAP-026,schema,blocked_schema,"Review; AggregateRating; fake ratings; fake badges; top recommended trusted famous claims",BLOCKED,Compliance and Google rich-result risk,Inspect source after upload,Review reputation module approval
CR-CMS-MAP-027,language,blocked_terms,"מומלץ; הכי טוב; מוביל; אמין; מפורסם; זיכוי מובטח; תוצאה מובטחת; guaranteed outcomes; case-result predictions; city coverage claims without real coverage",BLOCKED,Sensitive criminal-law page must avoid reputation and outcome claims,Scan title H1 meta body and CTA after upload,Owner approves copy legal review and QA
CR-CMS-MAP-028,safety,sensitive_topic_rules,"No hiding evidence; no evading lawful investigation; no panic language; no private legal advice claim",BLOCKED_UNTIL_LEGAL_REVIEW,Criminal-law copy has higher YMYL and legal-risk burden,Scan body and CTA before upload,Legal/source review completed
CR-CMS-MAP-029,qa,post_upload,"200 status; self canonical; indexable; exact title; one H1; meta present; links 200; no Review schema; no evasion/evidence instructions; mobile desktop readable",REQUIRED_POST_UPLOAD,Money-page update must be checked immediately,Run source checks and screenshots if possible,Owner approves upload
CR-CMS-MAP-030,gsc,gsc_monitoring,"Monitor /criminal-defense-attorney/ for criminal-lawyer queries after recrawl",BLOCKED_UNTIL_UPLOAD,Needed to measure CTR and position changes,Compare 7 and 28 day query/page data,Public edit completed and indexed
CR-CMS-MAP-031,safety,live_change_status,No public CMS change executed in this cycle,VERIFIED,Repo-only planning and read-only live checks,Confirm git diff contains only project-control files,None
