block_id,page_url,field_or_action,current_value,recommended_value,status,why,qa_check,blocked_until
RE-BUYSELL-011,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,contextual_internal_links,current source lacks planned support links,"/real-estate-attorney/; /real-estate-lawyer-guide/; /registration-of-real-estate-israel/; /real-estate-lawyer-cost-2025/; /land-appreciation-tax/; /real-estate-appraiser/; /lawyers/?area=real-estate-law",RECOMMENDED,Connects support page to hub and transaction support pages,Confirm all links return 200,Owner approves internal links
RE-BUYSELL-012,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,support_target_status,7 checked hub/support/directory targets,All returned HTTP 200,VERIFIED_LIVE,Prevents broken-link upload,Recheck before upload,Owner approval
RE-BUYSELL-013,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,source_link_gap,"0 occurrences for /real-estate-attorney/ /real-estate-lawyer-guide/ /registration-of-real-estate-israel/ /real-estate-lawyer-cost-2025/ /land-appreciation-tax/ /real-estate-appraiser/",Add contextual body links after approval,VERIFIED,Confirms internal-link gap is real in source,Recheck after upload,Owner approval
RE-BUYSELL-014,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,boundary_general_hub,/real-estate-attorney/,Keep this page narrower than the hub,REVIEW_ONLY,Prevents cannibalization with broader real-estate lawyer page,Confirm page remains purchase/sale focused,Owner approval
RE-BUYSELL-015,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,boundary_foreign_real_estate,foreign investment pages,Do not merge into this page,BLOCKED,Foreign investment intent is a separate strategy,Confirm no foreign-investment related-card leak,Separate boundary approval
RE-BUYSELL-016,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,boundary_rental,rental contract pages,Do not merge rental intent into this page,BLOCKED,Rental contract intent is separate from purchase/sale transaction intent,Confirm no rental optimization,Separate boundary approval
RE-BUYSELL-017,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,canonical,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,Keep self-canonical,VERIFIED_PLANNING,No migration in first edit,Confirm canonical unchanged,Owner approval
RE-BUYSELL-018,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,robots,index follow,Keep index/follow after QA,VERIFIED_PLANNING,Live page is indexable and should stay indexable,Confirm no accidental noindex,Owner approval
RE-BUYSELL-019,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,redirect_policy,None,No redirects in first edit,BLOCKED,Preserves high-impression URL and query history,Confirm redirect table unchanged,Separate redirect approval
RE-BUYSELL-020,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,support_canonical_policy,None,Do not canonicalize into /real-estate-attorney/,BLOCKED,Distinct purchase/sale query set deserves preserved support page,Confirm canonical unchanged,Separate canonical approval
RE-BUYSELL-021,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,blocked_schema,"Review; AggregateRating; fake ratings; fake badges","Do not add",BLOCKED,Compliance and Google rich-result risk,Inspect source after upload,Review/reputation module approval
RE-BUYSELL-022,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,blocked_language,"מומלץ; הכי טוב; מוביל; אמין; מומחה; guaranteed outcomes; city coverage claims without real coverage","Do not use",BLOCKED,Prevents unsupported trust and result claims,Scan title H1 meta body CTA,Owner approval and QA
RE-BUYSELL-023,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,post_upload_qa,N/A,"200 status; self-canonical; indexable; exact title; one H1; meta present; links 200; no Review schema; no blocked language; readable mobile desktop",REQUIRED_POST_UPLOAD,High-impression support page update must be checked immediately,Run after approved CMS edit,Public edit approval
RE-BUYSELL-024,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,live_change_status,N/A,No public CMS change executed in this cycle,VERIFIED,Repo-only planning and read-only live checks,Confirm git diff contains only project-control files,None
