check_id,gate,required_before_upload,current_status,verification_method,next_step,notes
FAM-UPLOAD-017,Confirm no fake ratings badges or recommendations,YES,VERIFIED POLICY,Review public cards and copy before upload,Keep all trust claims out unless real,Reviews module is future only
FAM-UPLOAD-018,Confirm Maya profile safety,YES,PARTIAL,Review verified facts only,Do not use as ranking or review signal,Profile/reputation work remains separate
FAM-UPLOAD-019,Prepare broken-link check,YES,NOT VERIFIED,Run after draft import or public upload,Schedule live QA,No public upload yet
FAM-UPLOAD-020,Prepare 404 check,YES,NOT VERIFIED,Run affected URL check after upload,Schedule live QA,No public upload yet
FAM-UPLOAD-021,Prepare GSC post-publish monitoring list,YES,PARTIAL,Use protected old/new URL list plus API export if available,Create monitoring export,GSC API would speed this
FAM-UPLOAD-022,Confirm no overwrite of strong existing content,YES,PARTIAL VERIFIED,Side-by-side old/new duplicate comparison,Create section-level merge outline before upload,Large Hebrew duplicate is strong enough to mine before clean pillar upload
FAM-UPLOAD-023,Confirm owner approval checkpoint,YES,BLOCKED,Owner approves package and checklist,Wait for approval,No public execution before approval
FAM-UPLOAD-024,Approve /divorce-lawyer/ section-level merge outline,YES,VERIFIED PLANNING,20-section merge outline created,Owner reviews before draft/update package,Defines what to keep merge exclude and link before upload
FAM-UPLOAD-025,Confirm related-content boundaries for /divorce-lawyer/,YES,PARTIAL,Live heading/source review found broad recommendation-style related items,Prepare related-card cleanup plan before upload,Do not let ranking/trust pages appear as support signals
FAM-UPLOAD-026,Approve /divorce-lawyer/ owner-review draft package,YES,VERIFIED PLANNING,15-row owner package,Owner approves or requests GSC API export first,No public execution approved by the package
FAM-UPLOAD-027,Prepare final merged /divorce-lawyer/ draft update,YES,PARTIAL VERIFIED,Final draft package created from 5691-word draft and 20-section merge outline,Create CMS-clean public body file next,No CMS/public upload yet
FAM-UPLOAD-028,Approve /divorce-lawyer/ manual related-content allowlist,YES,VERIFIED PLANNING,20-row related-content boundary plan,Owner approves allowed primary and secondary related cards,No public related-card execution yet
FAM-UPLOAD-029,Verify post-upload related cards,YES,BLOCKED,Live or preview related-card QA after upload,Confirm only allowed current clean URLs appear,No upload or preview exists yet
FAM-UPLOAD-030,Verify post-import taxonomy assignments,YES,BLOCKED,Preview/live taxonomy QA after draft import or public update,Confirm approved practice-areas and no noisy legacy/city/inheritance terms,No upload or preview exists yet
FAM-UPLOAD-031,Verify visible disclaimers and safe CTAs,YES,BLOCKED,Preview/live content QA after draft import or public update,Confirm visible disclaimers CTA disclaimer urgent-risk caution no fake trust and no review schema,No upload or preview exists yet
FAM-UPLOAD-032,Verify protected document tool and case URLs after upload,YES,BLOCKED,Preview/live URL check after draft import or public update,Confirm protected PDF DOCX calculator article and case assets remain reachable,No upload or preview exists yet
FAM-UPLOAD-033,Run GSC API protected asset export before URL actions,YES,BLOCKED,GSC API page-query export,Export protected asset metrics before any redirect noindex deletion or canonical action,GSC API access not connected yet
FAM-UPLOAD-034,Approve first upload package scope,YES,VERIFIED PLANNING,First upload package created,Owner chooses Wave 1A only or Wave 1A plus Wave 1B,No public upload approved yet
FAM-UPLOAD-035,Create CMS-clean /divorce-lawyer/ public body file,YES,PARTIAL VERIFIED,CMS-clean public body file created and scanned,Owner/legal/source review and final upload approval,No CMS/public upload yet
FAM-UPLOAD-036,Approve CMS-clean /divorce-lawyer/ public body for upload,YES,BLOCKED,Owner legal and source review,Approve final copy or request edits,No public upload approved yet
FAM-UPLOAD-037,Prepare controlled /divorce-lawyer/ upload QA package,YES,VERIFIED PLANNING,32-row QA package created,Use package before and after any approved upload,No public upload approved yet
FAM-UPLOAD-038,Run controlled /divorce-lawyer/ upload QA,YES,BLOCKED,Preview/live QA after approved CMS update,Verify status canonical indexability body related cards protected URLs mobile desktop and rollback,No preview public upload or approval exists yet
FAM-UPLOAD-039,Prepare Wave 1B support-page review package,YES,VERIFIED PLANNING,6 support drafts and 27277 words reviewed,Create clean support bodies only after pillar approval path is clear,No support page public upload approved yet
FAM-UPLOAD-040,Create CMS-clean /consensual-divorce/ public body,YES,PARTIAL VERIFIED,CMS-clean public body file created and scanned,Owner/legal/source review and final upload approval,No CMS/public upload yet
FAM-UPLOAD-041,Approve CMS-clean /consensual-divorce/ public body for upload,YES,BLOCKED,Owner legal and source review,Approve final copy or request edits,No public upload approved yet
FAM-UPLOAD-042,Create CMS-clean /divorce-mediation/ public body,YES,PARTIAL VERIFIED,CMS-clean public body file created and scanned,Owner/legal/source review and final upload approval,No CMS/public upload yet
FAM-UPLOAD-043,Approve CMS-clean /divorce-mediation/ public body for upload,YES,BLOCKED,Owner legal and source review,Approve final copy or request edits,No public upload approved yet
FAM-UPLOAD-044,Create CMS-clean /divorce-property-division/ public body,YES,PARTIAL VERIFIED,CMS-clean public body file created and scanned,Owner/legal/source review and final upload approval,No CMS/public upload yet
FAM-UPLOAD-045,Approve CMS-clean /divorce-property-division/ public body for upload,YES,BLOCKED,Owner legal and source review,Approve final copy or request edits,No public upload approved yet
FAM-UPLOAD-046,Create CMS-clean /family-dispute-resolution/ public body,YES,PARTIAL VERIFIED,CMS-clean public body file created and scanned,Owner/legal/source review and final upload approval,No CMS/public upload yet
FAM-UPLOAD-047,Approve CMS-clean /family-dispute-resolution/ public body for upload,YES,BLOCKED,Owner legal and source review,Approve final copy or request edits,No public upload approved yet
