prospect_id,category,candidate_name,public_source_type,source_url,public_signal,fit_reason,priority,proposed_revenue_model,owner_next_step,approval_status,exposure_rule,notes
SUP-MKT-004,legal_marketing,Lawgital,Public service page,https://lawgital.co.il/areas_of_expertise/seo-for-lawyers/,SEO for lawyers guide/service signal,Potential specialist marketing provider,medium,monthly_listing_or_sponsorship,Verify direct commercial terms and compliance approach,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Strong claims require review."
SUP-MKT-005,legal_marketing,TopDigital,Public company page,https://topdigital.co.il/,PR and digital marketing for lawyers signal,Potential PR/marketing supplier for law firms,medium,monthly_listing_or_sponsorship,Verify current services and law-firm references,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"No public endorsement without owner proof."
SUP-TECH-001,legal_tech,DinAI PMS,Public product page,https://www.pms.co.il/,AI-based law office management signal,Potential legal-tech partner for law-firm operations,medium,affiliate_or_warm_intro,Verify privacy/security and Israeli law-firm fit,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Needs privacy/security review."
SUP-TECH-002,legal_tech,Yeda,Public product page,https://yedasys.com/,Legal case management and document workflow signal,Potential practice-management supplier,medium,affiliate_or_warm_intro,Verify direct contact and integration requirements,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Needs data-processing review."
SUP-TECH-003,legal_tech,Lawyal Precise,Public product page,https://law-yal.com/he/,Law-office cloud software signal,Potential legal operations partner,medium,affiliate_or_warm_intro,Verify pricing/security and law-firm adoption,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Needs privacy/security review."
SUP-TECH-004,legal_tech,LexATT,Public product page,https://lexatt.com/he,AI legal work platform signal,Potential AI/legal-tech supplier,medium,affiliate_or_warm_intro,Verify jurisdiction fit and risk controls,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"AI legal claims need strict review."
SUP-TECH-005,legal_tech,LexNadlan,Public product page,https://www.lexnadlan.com/,Real-estate transaction management for Israeli lawyers,Strong niche fit for real-estate lawyers,medium,affiliate_or_warm_intro,Verify direct contact and data boundaries,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Good niche candidate after real-estate cluster."
SUP-CRR-001,courier_filing,HSP Legal Courier Services,Public service page,https://h-s-p.co.il/legal-courier-services/,Legal courier and court operations signal,Strong operational service for lawyers,high,warm_intro_or_monthly_listing,Verify coverage documentation and SLA,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Check proof of service and documentation."
SUP-CRR-002,courier_filing,Delawvery,Public service page,https://delawvery.co.il/,Legal delivery platform and court filing signal,Strong tech-enabled courier candidate,high,warm_intro_or_monthly_listing,Verify business terms and lawyer consent flow,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Needs data/privacy review."
SUP-CRR-003,courier_filing,M M Hakmon Legal Courier,Public service page,https://mmhakmon.co.il/pages/2090,Legal courier service signal,Potential regional/national operations candidate,medium,warm_intro_or_monthly_listing,Verify coverage and direct contact,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Do not share lawyer details automatically."
SUP-EXP-001,expert_witness,M-A-E Maor Engineering,Public company page,https://www.m-a-e.co.il/,Engineering expert opinion signal,Potential expert-witness source for property/construction disputes,medium,warm_intro,Verify credentials and conflict workflow,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Expert category requires conflict/licensing review."
SUP-EXP-002,expert_witness,Dr Kobi Gurevitch,Public expert page,https://drgurevitch.info/,Medical expert opinion for law firms and courts signal,Potential medical-malpractice expert candidate,medium,warm_intro,Verify credential/current availability and conflict workflow,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Medical expert claims require careful review."
SUP-EXP-003,expert_witness,Uri Savor Investigations,Public company page,https://www.uris.co.il/,Private investigation and legal-evidence support signal,Potential private investigator candidate for lawyers,medium,warm_intro,Verify license/current coverage and lawful-use policy,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Private investigation category requires strict consent and legal review."
