link_id,source,target,relationship_type,priority,anchor_intent,placement_guidance,approval_status,execution_status,reason
MEDMAL-LINK-011,https://jus-tice.co.il/personal-injury/medical-malpractice/surgery/,https://jus-tice.co.il/medical-malpractice-lawyer/,SUPPORT_TO_PILLAR_HOLD,P1,medical malpractice lawyer,HOLD until nested URL role is approved,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Nested path must not be promoted blindly
MEDMAL-LINK-012,https://jus-tice.co.il/medical-malpractice-lawyer/,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,PILLAR_TO_INFO_SUPPORT,P1,what is medical malpractice,Add from definition intro only after uniqueness review,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Informational support should clarify concept
MEDMAL-LINK-013,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,https://jus-tice.co.il/medical-malpractice-lawyer/,INFO_SUPPORT_TO_PILLAR,P1,medical malpractice lawyer,Add practical consultation transition link,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Definition page should not own lawyer intent
MEDMAL-LINK-014,https://jus-tice.co.il/medical-malpractice-lawyer/,https://jus-tice.co.il/medical-malpractice-common-errors-doctors-hospitals/,PILLAR_TO_INFO_SUPPORT,P1,common medical malpractice errors,Add after expansion and source review,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Thin page must be improved before strong promotion
MEDMAL-LINK-015,https://jus-tice.co.il/medical-malpractice-common-errors-doctors-hospitals/,https://jus-tice.co.il/medical-malpractice-lawyer/,INFO_SUPPORT_TO_PILLAR,P1,medical malpractice lawyer,Add one contextual link back to pillar after expansion,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Common-errors page should support not compete
MEDMAL-LINK-016,https://jus-tice.co.il/medical-malpractice-lawyer/,https://jus-tice.co.il/medical-malpractice-vs-negligence-differences-israel/,PILLAR_TO_INFO_SUPPORT,P1,malpractice versus negligence,Add as concept clarification link,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Useful for semantic clarity
MEDMAL-LINK-017,https://jus-tice.co.il/medical-malpractice-vs-negligence-differences-israel/,https://jus-tice.co.il/medical-malpractice-lawyer/,INFO_SUPPORT_TO_PILLAR,P1,medical malpractice lawyer,Add one practical consultation transition link,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Comparison page should not duplicate commercial intent
MEDMAL-LINK-018,https://jus-tice.co.il/medical-malpractice-lawyer/,https://jus-tice.co.il/birth-injury/,PILLAR_TO_SUPPORT,P1,birth injury,Add from birth and pregnancy support section after comparison,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Birth injury can be parent support node
MEDMAL-LINK-019,https://jus-tice.co.il/birth-injury/,https://jus-tice.co.il/medical-malpractice-lawyer/,SUPPORT_TO_PILLAR,P1,medical malpractice lawyer,Add one contextual hub link after source review,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Birth injury should support broader malpractice pillar
MEDMAL-LINK-020,https://jus-tice.co.il/medical-malpractice-lawyer/,https://jus-tice.co.il/birth-injury-lawyer/,PILLAR_TO_SUPPORT_REVIEW,P1,birth injury lawyer,HOLD until role versus birth-injury parent is approved,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,May compete with future birth-malpractice intent
MEDMAL-LINK-021,https://jus-tice.co.il/birth-injury-lawyer/,https://jus-tice.co.il/birth-injury/,SUPPORT_TO_PARENT,P1,birth injury,Use only if birth-injury becomes parent support page,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Parent child relationship needs approval
MEDMAL-LINK-022,https://jus-tice.co.il/birth-injury-causes/,https://jus-tice.co.il/birth-injury/,SUPPORT_TO_PARENT,P1,birth injury,Use if causes page is kept rather than merged,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Thin causes page needs causation review
MEDMAL-LINK-023,https://jus-tice.co.il/brain-damage-at-birth/,https://jus-tice.co.il/birth-injury/,SUPPORT_TO_PARENT,P1,birth injury,Add after medical causation claims are reviewed,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Sensitive medical causation topic
MEDMAL-LINK-024,https://jus-tice.co.il/malpractice-cerebral-palsy/,https://jus-tice.co.il/birth-injury/,SUPPORT_TO_PARENT,P1,birth injury,Add after medical causation claims are reviewed,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Sensitive cerebral palsy causation topic
MEDMAL-LINK-025,https://jus-tice.co.il/anesthesia-medical-malpractice/,https://jus-tice.co.il/surgical-errors-medical-malpractice/,SUPPORT_CROSSLINK,P2,surgery and anesthesia malpractice,Add only if both support pages remain unique,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Helpful same-cluster support connection
MEDMAL-LINK-026,https://jus-tice.co.il/surgical-errors-medical-malpractice/,https://jus-tice.co.il/anesthesia-medical-malpractice/,SUPPORT_CROSSLINK,P2,anesthesia malpractice,Add only if both support pages remain unique,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Helpful same-cluster support connection
MEDMAL-LINK-027,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,https://jus-tice.co.il/medical-malpractice-common-errors-doctors-hospitals/,INFO_CROSSLINK,P2,common examples and errors,Add from examples section after expansion,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Definition page can support common-errors page
MEDMAL-LINK-028,https://jus-tice.co.il/medical-malpractice-common-errors-doctors-hospitals/,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,INFO_CROSSLINK,P2,definition of medical malpractice,Add from introductory explanation,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Common-errors page needs definition support
MEDMAL-LINK-029,https://jus-tice.co.il/medical-malpractice-vs-negligence-differences-israel/,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,INFO_CROSSLINK,P2,definition and examples,Add from legal concept clarification section,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Comparison page should deepen concept layer
MEDMAL-LINK-030,https://jus-tice.co.il/birth-injury/,https://jus-tice.co.il/brain-damage-at-birth/,SUPPORT_CROSSLINK,P2,brain damage at birth,Add only after source/legal review,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Same birth-injury support lane
MEDMAL-LINK-031,https://jus-tice.co.il/birth-injury/,https://jus-tice.co.il/malpractice-cerebral-palsy/,SUPPORT_CROSSLINK,P2,cerebral palsy malpractice,Add only after source/legal review,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Same birth-injury support lane
MEDMAL-LINK-032,REFERENCE:MEDMAL-BIRTH-HEBREW-GSC-001,https://jus-tice.co.il/birth-injury/,PROTECTED_ASSET_TO_PARENT,P2,birth injury,Add only after old page comparison and split plan,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Old page currently carries birth and pregnancy visibility
MEDMAL-LINK-033,REFERENCE:MEDMAL-BIRTH-HEBREW-GSC-001,https://jus-tice.co.il/brain-damage-at-birth/,PROTECTED_ASSET_TO_SUPPORT,P2,brain damage at birth,Add only if support page remains unique,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Old page can support deeper birth-injury topic later
MEDMAL-LINK-034,REFERENCE:MEDMAL-BIRTH-HEBREW-GSC-001,https://jus-tice.co.il/malpractice-cerebral-palsy/,PROTECTED_ASSET_TO_SUPPORT,P2,cerebral palsy malpractice,Add only if support page remains unique,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Old page can support deeper birth-injury topic later
MEDMAL-LINK-035,https://jus-tice.co.il/medical-malpractice-lawyer/,https://jus-tice.co.il/medical-malpractice-in-the-united-states/,BOUNDARY_NO_LINK,P3,US malpractice,Do not use as Israeli service support except clearly labelled international context,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,US page is not Israeli service intent
MEDMAL-LINK-036,https://jus-tice.co.il/medical-malpractice-lawyer/,TRAFFIC_MARVAD_URL_GROUP,BOUNDARY_NO_LINK,P3,medical fitness to drive,Do not link from malpractice cluster,VERIFIED_BOUNDARY,NOT_EXECUTED,Traffic medical fitness belongs to traffic law
MEDMAL-LINK-037,https://jus-tice.co.il/medical-malpractice-lawyer/,https://jus-tice.co.il/criminal-negligence/,BOUNDARY_NO_LINK,P3,criminal negligence,Do not link from malpractice service cluster,VERIFIED_BOUNDARY,NOT_EXECUTED,Criminal negligence belongs to criminal law
MEDMAL-LINK-038,https://jus-tice.co.il/medical-malpractice-lawyer/,FUTURE:/birth-malpractice/; /pregnancy-malpractice/; /diagnosis-malpractice/; /surgery-malpractice/,FUTURE_SLUG_NO_LINK,P0,future clean slugs,No internal links until route content redirect canonical and sitemap plan are approved,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Future slugs would create duplicate targets if used too early
