map_id,wp_area,field_or_action,value,status,why,qa_check,blocked_until
RE-CMS-MAP-018,cta,neutral_cta,Use real-estate CTA block from money-query rescue file,RECOMMENDED,Creates lead path without outcome promise or fake free advice,Confirm CTA contains no blocked claims,Owner approves body edit
RE-CMS-MAP-019,internal_links,outbound_contextual,"/real-estate-lawyer-guide/; /lawyer-for-buying-or-selling-a-house/; /registration-of-real-estate-israel/; /real-estate-lawyer-cost-2025/; /lawyers/?area=real-estate-law",RECOMMENDED,Connects commercial hub to live support and directory pages,Confirm all new links return 200,Owner approves internal links
RE-CMS-MAP-020,internal_links,inbound_batch,"Add support-to-hub links later from guide purchase-sale registration and cost pages",BLOCKED,Inbound support edits should happen only after hub edit passes QA,Confirm hub QA first,Hub update approved and verified
RE-CMS-MAP-021,redirects,redirect_policy,No redirects in first update,BLOCKED,Preserves live support URLs and avoids migration risk,Confirm redirect table unchanged,Separate redirect plan approval
RE-CMS-MAP-022,canonicals,support_canonical_policy,Do not canonicalize support pages into the hub,BLOCKED,Support pages still have distinct intent,Confirm support canonicals unchanged,Separate canonical review
RE-CMS-MAP-023,sitemap,sitemap_policy,Do not remove support pages from sitemap during this edit,BLOCKED,No sitemap migration approved,Confirm sitemap unchanged,Separate sitemap plan approval
RE-CMS-MAP-024,schema,allowed_schema,"WebPage Article Breadcrumb only if visible content matches",REVIEW_ONLY,Safe structured data only,Inspect source after upload,Owner approves upload
RE-CMS-MAP-025,schema,blocked_schema,"Review; AggregateRating; fake ratings; fake badges; top recommended trusted claims",BLOCKED,Compliance and Google rich-result risk,Inspect source after upload,Review reputation module approval
RE-CMS-MAP-026,language,blocked_terms,"מומלץ; הכי טוב; מוביל; אמין; ייעוץ חינם; guaranteed outcomes; city coverage claims without real coverage",BLOCKED,Current title uses unsafe claim language that should be removed,Scan title H1 meta body and CTA after upload,Owner approves copy and QA
RE-CMS-MAP-027,qa,post_upload,"200 status; self canonical; indexable; exact title; one H1; meta present; links 200; no Review schema; mobile desktop readable",REQUIRED_POST_UPLOAD,Money-page update must be checked immediately,Run source checks and screenshots if possible,Owner approves upload
RE-CMS-MAP-028,gsc,gsc_monitoring,"Monitor /real-estate-attorney/ for real-estate lawyer queries after recrawl",BLOCKED_UNTIL_UPLOAD,Needed to measure CTR and position changes,Compare 7 and 28 day query/page data,Public edit completed and indexed
RE-CMS-MAP-029,safety,live_change_status,No public CMS change executed in this cycle,VERIFIED,Repo-only planning and read-only live checks,Confirm git diff contains only project-control files,None
