priority,source_url,target_url,action_status,insert_location,exact_anchor,cms_ready_snippet_he,reason,verification_status,blocker_or_note
P0,https://jus-tice.co.il/real-estate-appraiser/,https://jus-tice.co.il/real-estate-attorney/,READY_FOR_OWNER_APPROVAL,near_appraisal_vs_legal_checks,עורך דין מקרקעין בעסקת נדלן,"שמאי מקרקעין בודק שווי ומצב תכנוני, אבל בעסקת דירה נדרשת גם בדיקה משפטית של הזכויות, החוזה והרישום. ראו גם מתי כדאי לערב <a href=""https://jus-tice.co.il/real-estate-attorney/"">עורך דין מקרקעין בעסקת נדל""ן</a>.",Appraiser page is transaction diligence support,VERIFIED_LIVE_200_SELF_CANONICAL_NO_HUB_LINK,No public edit yet
P0,https://jus-tice.co.il/real-estate-lawyer-guide/,https://jus-tice.co.il/real-estate-attorney/,BLOCKED_ROUTE_RISK,after_route_repair_and_first_general_intro,עורך דין מקרקעין לעסקת נדלן,"מדריך זה מסביר את תחום דיני המקרקעין באופן כללי. אם אתם לפני חתימה, תשלום, רישום בטאבו או משא ומתן על דירה, עברו לעמוד המרכזי על <a href=""https://jus-tice.co.il/real-estate-attorney/"">עורך דין מקרקעין לעסקת נדל""ן</a>.",Guide should support hub only after route resolves correctly,BLOCKED_LIVE_FINAL_URL_HOMEPAGE_CANONICAL_HOMEPAGE,Do not use until self-canonical route is verified
P0,https://jus-tice.co.il/articles/%D7%A4%D7%99%D7%A8%D7%95%D7%A7-%D7%A9%D7%99%D7%AA%D7%95%D7%A3-%D7%91%D7%99%D7%9F-%D7%91%D7%A0%D7%99-%D7%96%D7%95%D7%92-%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%9C%D7%A4%D7%99,https://jus-tice.co.il/real-estate-attorney/,HOLD_FAMILY_COORDINATION,none,פירוק שיתוף בדירה,,Family/real-estate overlap needs Family cluster coordination before cross-linking,NOT_VERIFIED_THIS_CYCLE,Hold
P0,https://jus-tice.co.il/marital-property-agreement/,https://jus-tice.co.il/real-estate-attorney/,HOLD_FAMILY_COORDINATION,none,הסכם ממון על דירה,,Family property agreement page should not be changed before Family/Divorce map coordination,NOT_VERIFIED_THIS_CYCLE,Hold
P0,https://jus-tice.co.il/spouse-property-registration-guide/,https://jus-tice.co.il/real-estate-attorney/,HOLD_FAMILY_COORDINATION,none,רישום דירה על שם אחד מבני הזוג,,High-click family/real-estate overlap needs coordinated internal-link policy,NOT_VERIFIED_THIS_CYCLE,Hold
P0,https://jus-tice.co.il/%D7%9E%D7%94%D7%95-%D7%99%D7%95%D7%A2%D7%A5-%D7%A0%D7%93%D7%9C%D7%9F,https://jus-tice.co.il/real-estate-attorney/,HOLD_CONTENT_QUALITY_REVIEW,none,בדיקה משפטית לפני עסקת נדלן,,May be advisory/non-legal and needs quality review before lawyer-lead linking,NOT_VERIFIED_THIS_CYCLE,Hold
P1,https://jus-tice.co.il/low-value-invest-abroad/,DISCOVERABLE_NOT_PRIMARY,DEEMPHASIZE,none,foreign investment content,,Foreign-investment traffic should not dominate Israeli lawyer-lead routing,NOT_VERIFIED_THIS_CYCLE,No change
P1,https://jus-tice.co.il/buying-property-in-greece/,DISCOVERABLE_NOT_PRIMARY,DEEMPHASIZE,none,foreign property purchase,,Foreign-investment traffic should not dominate Israeli lawyer-lead routing,NOT_VERIFIED_THIS_CYCLE,No change
P1,https://jus-tice.co.il/investing-in-greece-real-estate/,DISCOVERABLE_NOT_PRIMARY,DEEMPHASIZE,none,foreign real-estate investment,,Foreign-investment traffic should not dominate Israeli lawyer-lead routing,NOT_VERIFIED_THIS_CYCLE,No change
P1,https://jus-tice.co.il/apartment/,DISCOVERABLE_NOT_PRIMARY,DEEMPHASIZE,none,foreign apartment purchase,,Mixed/foreign intent should not be part of this Israeli real-estate lawyer batch,NOT_VERIFIED_THIS_CYCLE,No change
P1,https://jus-tice.co.il/real-estate-united-kingdom/,DISCOVERABLE_NOT_PRIMARY,DEEMPHASIZE,none,foreign property purchase,,Foreign-investment traffic should not dominate Israeli lawyer-lead routing,NOT_VERIFIED_THIS_CYCLE,No change
P1,https://jus-tice.co.il/portugal-real-estate/,DISCOVERABLE_NOT_PRIMARY,DEEMPHASIZE,none,foreign property purchase,,Foreign-investment traffic should not dominate Israeli lawyer-lead routing,NOT_VERIFIED_THIS_CYCLE,No change
