source_url,source_title,target_url,target_title,anchor_text,link_type,reason,priority,status,approval_gate,notes
https://jus-tice.co.il/israel-road-accident-compensation-law/,חוק הפיצויים לנפגעי תאונות דרכים,https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",תביעת נזיקין,support_to_pillar,"Keep road-accident law support connected to broad damages service",HIGH,PLANNED_NEEDS_OWNER_APPROVAL,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Existing link signal already appears in internal-link-map; this remains approval-gated."
https://jus-tice.co.il/compulsory-motor-vehicle-insurance/,ביטוח חובה,https://jus-tice.co.il/car-accident-auto-injury-lawyer/,עורך דין תאונות דרכים,תאונת דרכים וביטוח חובה,support_to_subcluster_primary,"Insurance support should guide users back to the car-accident candidate",HIGH,PLANNED_NEEDS_OWNER_APPROVAL,LEGAL_REVIEW_REQUIRED,"No policy-specific claim language without legal review."
https://jus-tice.co.il/compulsory-motor-vehicle-insurance/,ביטוח חובה,https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",תביעת נזיקין,support_to_pillar,"Insurance support should also connect to broad damages service candidate",MEDIUM,PLANNED_NEEDS_OWNER_APPROVAL,LEGAL_REVIEW_REQUIRED,"Keep this secondary to car-accident support."
https://jus-tice.co.il/punitive-damage/,פיצויים עונשיים,https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",תביעת נזיקין,specialist_to_pillar,"Route specialist punitive-damages content back to broad damages service candidate",HIGH,PLANNED_NEEDS_OWNER_APPROVAL,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Do not optimize punitive page as broad service page."
https://jus-tice.co.il/punitive-damage/,פיצויים עונשיים,https://jus-tice.co.il/outline-of-tort-law/,מתווה דיני הנזיקין,דיני נזיקין,support_to_support,"Connect narrow punitive-damages article to general tort-law overview",MEDIUM,PLANNED_NEEDS_OWNER_APPROVAL,LEGAL_REVIEW_REQUIRED,"Useful informational support path."
https://jus-tice.co.il/tort-reform/,סקירת רפורמה בנזיקין,https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",עורך דין נזיקין,informational_to_pillar,"Long tort-reform page should not become service primary; route service users back",HIGH,PLANNED_NEEDS_OWNER_APPROVAL,LEGAL_REVIEW_REQUIRED,"Currentness review required."
https://jus-tice.co.il/tort-reform/,סקירת רפורמה בנזיקין,https://jus-tice.co.il/outline-of-tort-law/,מתווה דיני הנזיקין,דיני נזיקין,support_to_support,"Connect tort reform and tort-law overview as informational support",MEDIUM,PLANNED_NEEDS_OWNER_APPROVAL,LEGAL_REVIEW_REQUIRED,"Review for overlap before linking."
https://jus-tice.co.il/outline-of-tort-law/,מתווה דיני הנזיקין,https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",עורך דין נזיקין,support_to_pillar,"Tort overview should strengthen broad damages service candidate",CRITICAL,PLANNED_NEEDS_OWNER_APPROVAL,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Use natural anchor text, not repetitive keyword stuffing."
https://jus-tice.co.il/deep-pocket/,מבחן הכיס העמוק נזיקין,https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",תביעת נזיקין,narrow_support_to_pillar,"Thin deep-pocket concept should route readers back to broad damages service candidate",MEDIUM,PLANNED_NEEDS_OWNER_APPROVAL,LEGAL_REVIEW_REQUIRED,"Likely expand or merge candidate."
https://jus-tice.co.il/deep-pocket/,מבחן הכיס העמוק נזיקין,https://jus-tice.co.il/punitive-damage/,פיצויים עונשיים,פיצויים עונשיים,support_to_support,"Connect related damages concepts only if both remain separate support pages",LOW,PLANNED_NEEDS_OWNER_APPROVAL,LEGAL_REVIEW_REQUIRED,"May be unnecessary if deep-pocket is merged."
https://jus-tice.co.il/personal-injury-law/,עורך דין נזקי גוף ארה״ב,https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",נזקי גוף בישראל,international_boundary_to_local_cluster,"US/international page may need a clear route to Israeli damages only with boundary wording",LOW,PLANNED_NEEDS_OWNER_APPROVAL,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Do not make this a normal cluster link without clear international disclaimer."
https://jus-tice.co.il/personal-injury-lawyer/,Future personal injury lawyer slug,https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",עורך דין נזיקין,future_slug_migration_note,"If future clean slug is approved, map current service links through redirect/canonical plan",CRITICAL,PLANNED_FUTURE_ONLY,OWNER_APPROVAL_REQUIRED,"No public link to /personal-injury-lawyer/ until page/redirect map is approved."
https://jus-tice.co.il/car-accident-lawyer/,Future car accident lawyer slug,https://jus-tice.co.il/car-accident-auto-injury-lawyer/,עורך דין תאונות דרכים,עורך דין תאונות דרכים,future_slug_migration_note,"If future clean slug is approved, map current car-accident links through redirect/canonical plan",CRITICAL,PLANNED_FUTURE_ONLY,OWNER_APPROVAL_REQUIRED,"No public link to /car-accident-lawyer/ until page/redirect map is approved."
