item_id,cluster_lane,current_url_or_reference,current_role,recommended_action,merge_or_protect_targets,internal_link_posture,sitemap_posture,approval_status,notes
FD-040,dispute-resolution,https://jus-tice.co.il/form-6-request-urgent-relief-dispute-settlement/,urgent-relief form page,KEEP_AS_SUPPORT_OR_TOOL,/family-dispute-resolution/,link from urgent relief section,INCLUDE_IF_SOURCE_REVIEW_PASSES,OWNER_APPROVAL_REQUIRED,Do not give procedure advice without legal/source review.
FD-041,divorce-cost,https://jus-tice.co.il/divorce-costs-2025/,large divorce cost support article,PROTECT_REVIEW_DATE_SENSITIVE,/divorce-lawyer/,link from cost section only after review,INCLUDE_IF_UPDATED_AND_SOURCE_REVIEWED,OWNER_APPROVAL_REQUIRED,Price/CPC-sensitive; do not duplicate pillar.
FD-042,divorce-cost,https://jus-tice.co.il/strategic-divorce-cost-planning/,divorce cost/planning support,KEEP_OR_MERGE_AFTER_REVIEW,/divorce-costs-2025/; /divorce-lawyer/,support link after freshness review,INCLUDE_IF_UNIQUE_VALUE,OWNER_APPROVAL_REQUIRED,Potential duplicate of cost article.
FD-043,divorce-process,https://jus-tice.co.il/divorce-consultation-guide/,consultation guide,KEEP_AS_SUPPORT_REVIEW,/divorce-lawyer/,link to divorce pillar and lawyer directory,INCLUDE_IF_UNIQUE_VALUE,OWNER_APPROVAL_REQUIRED,Can support pre-consultation intent.
FD-044,divorce-process,https://jus-tice.co.il/what-to-do-now-if-you-are-considering-a-divorce/,early divorce decision support,KEEP_AS_SUPPORT_REVIEW,/divorce-lawyer/,link from divorce pillar checklist,INCLUDE_IF_UNIQUE_VALUE,OWNER_APPROVAL_REQUIRED,May become section-first.
FD-045,divorce-process,https://jus-tice.co.il/divorce-everything-you-need-to-know/,generic divorce guide,COMPARE_OR_MERGE,/divorce-lawyer/,link only if unique section remains,REDIRECT_ONLY_AFTER_APPROVAL,OWNER_APPROVAL_REQUIRED,Potential broad duplicate.
FD-046,family-lawyer-hub,https://jus-tice.co.il/experienced-family-law-attorney/,broad family lawyer commercial article,PROTECT_REVIEW_SEPARATE_HUB,/family-law/; future /family-lawyer/,do not link as official ranking,INCLUDE_ONLY_AFTER_HUB_POLICY,OWNER_APPROVAL_REQUIRED,May compete with broad family-lawyer hub.
FD-047,family-lawyer-hub,https://jus-tice.co.il/the-recommended-family-lawyers/,recommended family lawyers article,REVIEW_FOR_FAKE_RANKING_RISK,/family-law/; future /family-lawyer/,do not use as trust signal,EXCLUDE_UNTIL_POLICY_REVIEW,OWNER_APPROVAL_REQUIRED,Ranking/recommendation language is risky.
FD-048,family-lawyer-hub,https://jus-tice.co.il/most-recommended-family-lawyer/,recommended family lawyer article,REVIEW_FOR_FAKE_RANKING_RISK,/family-law/; future /family-lawyer/; inheritance cluster,do not use as trust signal,EXCLUDE_UNTIL_POLICY_REVIEW,OWNER_APPROVAL_REQUIRED,Also overlaps inheritance-wills heuristic.
FD-049,family-lawyer-hub,https://jus-tice.co.il/top-experts-family-law/,top experts article,REVIEW_FOR_FAKE_RANKING_RISK,/family-law/; future /family-lawyer/,do not use as trust signal,EXCLUDE_UNTIL_POLICY_REVIEW,OWNER_APPROVAL_REQUIRED,No unsupported top/expert labels.
FD-050,local-divorce,https://jus-tice.co.il/petah-tikva-divorce-lawyer/,city divorce lawyer article,REVIEW_CITY_PRACTICE_STRATEGY,/divorce-lawyer/; city-practice hub,link only after city matrix approved,INCLUDE_ONLY_AFTER_CITY_STRATEGY,OWNER_APPROVAL_REQUIRED,Could become city-practice support later.
FD-051,family-lawyer-hub,https://jus-tice.co.il/trusted-divorce-attorney-guide/,trusted divorce attorney guide,REVIEW_TRUST_LANGUAGE,/divorce-lawyer/,avoid unverified trust claims,INCLUDE_IF_REWRITTEN_SAFE,OWNER_APPROVAL_REQUIRED,Trust/reputation wording needs compliance review.
FD-052,family-lawyer-hub,https://jus-tice.co.il/women-lawyer-vs-men-divorce-lawyer/,lawyer-selection angle,KEEP_AS_SUPPORT_IF_SAFE,/divorce-lawyer/,link as neutral selection guidance only,INCLUDE_IF_REWRITTEN_SAFE,OWNER_APPROVAL_REQUIRED,Avoid gendered or misleading claims.
FD-053,lawyer-education,https://jus-tice.co.il/how-to-become-a-family-lawyer/,lawyer career/education content,SEPARATE_FROM_USER_LEGAL_HELP,/lawyer onboarding content,do not link from crisis user funnel unless relevant,EXCLUDE_FROM_FAMILY_HELP_SITEMAP,OWNER_APPROVAL_REQUIRED,Not user legal-help intent.
FD-054,legaltech-family,https://jus-tice.co.il/online-family-law-services/,online family-law services article,KEEP_AS_PRODUCT_BOUNDARY_REVIEW,legaltech/onboarding pages,link only after product/claim review,INCLUDE_IF_PRODUCT_READY,OWNER_APPROVAL_REQUIRED,Do not promise unavailable services.
FD-055,legaltech-family,https://jus-tice.co.il/new-trends-ai-family-law/,AI/family-law trends article,KEEP_AS_EDITORIAL_OR_PRODUCT_BOUNDARY,legaltech pages,link only as editorial context,EXCLUDE_FROM_CORE_CLUSTER_UNTIL_REVIEW,OWNER_APPROVAL_REQUIRED,Not primary legal-help intent.
FD-056,maya-rotenberg,https://jus-tice.co.il/rotenberg-law-top-ranked-family-divorce-mediation/,Maya/firm ranking-style article,REVIEW_PROFILE_AND_RANKING_COMPLIANCE,Maya mini-site,do not link as verified ranking,EXCLUDE_UNTIL_MAYA_APPROVAL,OWNER_APPROVAL_REQUIRED,Do not invent top-ranked claims.
FD-057,maya-rotenberg,REFERENCE:MAYA-ROTENBERG-PROFILE-001,lawyer mini-site/profile path,SEPARATE_MINISITE_REVIEW,Maya source audit and reputation plan,connect only verified family/divorce articles,INCLUDE_ONLY_IF_PROFILE_SAFE,OWNER_APPROVAL_REQUIRED,No fake reviews ratings badges or claims.
FD-058,family-hub,https://jus-tice.co.il/family-law/,broad family-law hub/practice route,SEPARATE_HUB_DECISION,future /family-lawyer/; lawyer-directory family filter,link to divorce/support cluster but do not become duplicate pillar,INCLUDE_AFTER_TEMPLATE_AND_CONTENT_REVIEW,OWNER_APPROVAL_REQUIRED,Hub role must be distinct from divorce-lawyer pillar.
