row_id,lane,source_id,cluster,priority,current_url,secondary_url,target_url_or_hub,role_or_topic,decision_status,readiness_status,traffic_risk,gsc_clicks,gsc_impressions,content_quality_score,source_legal_status,internal_link_status,url_action_status,next_step,blocked_actions,notes
MEDD-012,CURRENT_URL_READINESS,MEDMAL-READY-004,medical-malpractice,P0,REFERENCE:MEDMAL-BIRTH-HEBREW-GSC-001,/medical-malpractice-lawyer/; future birth/pregnancy slugs,/medical-malpractice-lawyer/; future birth/pregnancy slugs,old Hebrew birth/pregnancy query owner,PROTECT_COMPARE_SPLIT_OR_MERGE_LATER,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,PROTECTED_REVIEW,,,,OWNER_APPROVAL_REQUIRED,link to pillar only after split plan,PROTECT_UNTIL_MIGRATION_APPROVED,PROTECT_COMPARE_SPLIT_OR_MERGE_LATER,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,661 birth and 419 pregnancy impressions in owner packet.
MEDD-013,CURRENT_URL_READINESS,MEDMAL-READY-005,medical-malpractice,P0,https://jus-tice.co.il/medical-malpractice-in-the-united-states/,Israeli medical-malpractice pillar,Israeli medical-malpractice pillar,US malpractice article,SEPARATE_INTERNATIONAL_CONTEXT,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,UNKNOWN_NEEDS_GSC,,,,OWNER_APPROVAL_REQUIRED,do not use as Israeli service support,EXCLUDE_FROM_ISRAELI_SERVICE_SITEMAP,SEPARATE_INTERNATIONAL_CONTEXT,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Keep separate from Israeli lawyer-service intent.
MEDD-014,CURRENT_URL_READINESS,MEDMAL-READY-006,medical-malpractice,P0,https://jus-tice.co.il/anesthesia-medical-malpractice/,/medical-malpractice-lawyer/; surgery support,/medical-malpractice-lawyer/; surgery support,anesthesia support page,KEEP_SUPPORT_SOURCE_REVIEW,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,UNKNOWN_NEEDS_GSC,,,,OWNER_APPROVAL_REQUIRED,link from pillar and surgery page after legal review,INCLUDE_IF_UNIQUE_AND_REVIEWED,KEEP_SUPPORT_SOURCE_REVIEW,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,High-risk medical/legal support page.
MEDD-015,CURRENT_URL_READINESS,MEDMAL-READY-007,medical-malpractice,P0,https://jus-tice.co.il/personal-injury/medical-malpractice/surgery/,/medical-malpractice-lawyer/; surgical-errors page,/medical-malpractice-lawyer/; surgical-errors page,nested surgery support page,REVIEW_NESTED_URL_AND_SUPPORT_ROLE,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,UNKNOWN_NEEDS_GSC,,,,OWNER_APPROVAL_REQUIRED,link only after URL/canonical role approved,HOLD_UNTIL_URL_STRATEGY_APPROVED,REVIEW_NESTED_URL_AND_SUPPORT_ROLE,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Nested personal-injury path needs migration/canonical review.
MEDD-016,CURRENT_URL_READINESS,MEDMAL-READY-008,medical-malpractice,P0,https://jus-tice.co.il/surgical-errors-medical-malpractice/,/medical-malpractice-lawyer/; anesthesia page,/medical-malpractice-lawyer/; anesthesia page,thin surgery support page,EXPAND_AFTER_SOURCE_REVIEW,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,UNKNOWN_NEEDS_GSC,,,,OWNER_APPROVAL_REQUIRED,link from pillar if expanded,INCLUDE_IF_EXPANDED_AND_REVIEWED,EXPAND_AFTER_SOURCE_REVIEW,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Do not create future surgery slug yet.
MEDD-017,CURRENT_URL_READINESS,MEDMAL-READY-009,medical-malpractice,P0,https://jus-tice.co.il/medical-malpractice-vs-negligence-differences-israel/,/medical-malpractice-lawyer/; definition page,/medical-malpractice-lawyer/; definition page,definition/comparison support,KEEP_INFORMATIONAL_SUPPORT,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,UNKNOWN_NEEDS_GSC,,,,OWNER_APPROVAL_REQUIRED,link as concept support only,INCLUDE_IF_UNIQUE_AND_REVIEWED,KEEP_INFORMATIONAL_SUPPORT,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Informational not commercial primary.
MEDD-018,CURRENT_URL_READINESS,MEDMAL-READY-010,medical-malpractice,P0,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,/medical-malpractice-lawyer/,/medical-malpractice-lawyer/,definition/examples page,KEEP_INFORMATIONAL_SUPPORT,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,PROTECTED_REVIEW,,,,OWNER_APPROVAL_REQUIRED,link to pillar and common-errors support,INCLUDE_IF_UNIQUE_AND_REVIEWED,KEEP_INFORMATIONAL_SUPPORT,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Must not duplicate pillar title intent.
MEDD-019,CURRENT_URL_READINESS,MEDMAL-READY-011,medical-malpractice,P0,https://jus-tice.co.il/medical-malpractice-common-errors-doctors-hospitals/,/medical-malpractice-lawyer/; definition page,/medical-malpractice-lawyer/; definition page,thin common-errors support,EXPAND_AFTER_SOURCE_REVIEW,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,UNKNOWN_NEEDS_GSC,,,,OWNER_APPROVAL_REQUIRED,link after expansion,INCLUDE_IF_EXPANDED_AND_REVIEWED,EXPAND_AFTER_SOURCE_REVIEW,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Marked thin/support in owner packet.
MEDD-020,CURRENT_URL_READINESS,MEDMAL-READY-012,medical-malpractice,P0,https://jus-tice.co.il/birth-injury/,/medical-malpractice-lawyer/; old birth/pregnancy page,/medical-malpractice-lawyer/; old birth/pregnancy page,birth injury support,KEEP_SUPPORT_COMPARE,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,PROTECTED_REVIEW,,,,OWNER_APPROVAL_REQUIRED,link to final birth/pregnancy parent after approval,INCLUDE_IF_UNIQUE_AND_REVIEWED,KEEP_SUPPORT_COMPARE,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Potential support under birth malpractice.
MEDD-021,CURRENT_URL_READINESS,MEDMAL-READY-013,medical-malpractice,P0,https://jus-tice.co.il/birth-injury-lawyer/,/birth-injury/; future birth-malpractice slug,/birth-injury/; future birth-malpractice slug,birth injury lawyer support,KEEP_SUPPORT_COMPARE,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,PROTECTED_REVIEW,,,,OWNER_APPROVAL_REQUIRED,link only after parent/support role approved,INCLUDE_IF_UNIQUE_AND_REVIEWED,KEEP_SUPPORT_COMPARE,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,May compete with future birth-malpractice slug.
MEDD-022,CURRENT_URL_READINESS,MEDMAL-READY-014,medical-malpractice,P0,https://jus-tice.co.il/birth-injury-causes/,/birth-injury/,/birth-injury/,thin birth-injury causes page,MERGE_OR_EXPAND_AFTER_REVIEW,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,PROTECTED_REVIEW,,,,OWNER_APPROVAL_REQUIRED,section link if kept,HOLD_UNTIL_SPLIT_REVIEW,MERGE_OR_EXPAND_AFTER_REVIEW,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Do not overstate medical causation.
MEDD-023,CURRENT_URL_READINESS,MEDMAL-READY-015,medical-malpractice,P0,https://jus-tice.co.il/brain-damage-at-birth/,/birth-injury/; old birth/pregnancy page,/birth-injury/; old birth/pregnancy page,brain damage at birth support,KEEP_SUPPORT_SOURCE_REVIEW,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,PROTECTED_REVIEW,,,,OWNER_APPROVAL_REQUIRED,link only after legal/medical review,INCLUDE_IF_UNIQUE_AND_REVIEWED,KEEP_SUPPORT_SOURCE_REVIEW,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Sensitive causation claims.
MEDD-024,CURRENT_URL_READINESS,MEDMAL-READY-016,medical-malpractice,P0,https://jus-tice.co.il/malpractice-cerebral-palsy/,/birth-injury/; old birth/pregnancy page,/birth-injury/; old birth/pregnancy page,cerebral palsy malpractice support,KEEP_SUPPORT_SOURCE_REVIEW,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,PROTECTED_REVIEW,,,,OWNER_APPROVAL_REQUIRED,link only after legal/medical review,INCLUDE_IF_UNIQUE_AND_REVIEWED,KEEP_SUPPORT_SOURCE_REVIEW,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Sensitive causation claims.
MEDD-025,CURRENT_URL_READINESS,MEDMAL-READY-017,medical-malpractice,P0,REFERENCE:MEDMAL-REPORT-LARGE-001,/medical-malpractice-lawyer/,/medical-malpractice-lawyer/,very large report-style page,SOURCE_COPYRIGHT_INDEX_REVIEW,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,UNKNOWN_NEEDS_GSC,,,,OWNER_APPROVAL_REQUIRED,do not use as pillar link target until reviewed,HOLD_UNTIL_SOURCE_COPYRIGHT_REVIEW,SOURCE_COPYRIGHT_INDEX_REVIEW,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Word count alone must not select pillar.
MEDD-026,CURRENT_URL_READINESS,MEDMAL-READY-018,medical-malpractice,P1,https://jus-tice.co.il/standards-of-medical-fitness-to-drive/,traffic-law Marvad group,traffic-law Marvad group,Marvad/traffic medical fitness page,EXCLUDE_FROM_MALPRACTICE_CLUSTER,VERIFIED_BOUNDARY,UNKNOWN_NEEDS_GSC,,,,VERIFIED_BOUNDARY,link only from traffic/Marvad cluster,EXCLUDE_FROM_MALPRACTICE_SITEMAP,EXCLUDE_FROM_MALPRACTICE_CLUSTER,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Traffic law not malpractice.
MEDD-027,CURRENT_URL_READINESS,MEDMAL-READY-019,medical-malpractice,P1,https://jus-tice.co.il/medical-institute-for-road-safety/,traffic-law Marvad group,traffic-law Marvad group,Marvad info page,EXCLUDE_FROM_MALPRACTICE_CLUSTER,VERIFIED_BOUNDARY,UNKNOWN_NEEDS_GSC,,,,VERIFIED_BOUNDARY,link only from traffic/Marvad cluster,EXCLUDE_FROM_MALPRACTICE_SITEMAP,EXCLUDE_FROM_MALPRACTICE_CLUSTER,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Traffic law not malpractice.
MEDD-028,CURRENT_URL_READINESS,MEDMAL-READY-020,medical-malpractice,P1,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,traffic-law Marvad group,traffic-law Marvad group,Marvad info page,EXCLUDE_FROM_MALPRACTICE_CLUSTER,VERIFIED_BOUNDARY,UNKNOWN_NEEDS_GSC,,,,VERIFIED_BOUNDARY,link only from traffic/Marvad cluster,EXCLUDE_FROM_MALPRACTICE_SITEMAP,EXCLUDE_FROM_MALPRACTICE_CLUSTER,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Traffic law not malpractice.
MEDD-029,CURRENT_URL_READINESS,MEDMAL-READY-021,medical-malpractice,P1,https://jus-tice.co.il/criminal-negligence/,criminal-law group,criminal-law group,criminal negligence page,EXCLUDE_FROM_MALPRACTICE_CLUSTER,VERIFIED_BOUNDARY,UNKNOWN_NEEDS_GSC,,,,VERIFIED_BOUNDARY,link only from criminal cluster,EXCLUDE_FROM_MALPRACTICE_SITEMAP,EXCLUDE_FROM_MALPRACTICE_CLUSTER,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Criminal law not medical malpractice.
MEDD-030,CURRENT_URL_READINESS,MEDMAL-READY-022,medical-malpractice,P0,https://jus-tice.co.il/legal-clinic/,site/service info,site/service info,legal clinic page,EXCLUDE_PENDING_MANUAL_REVIEW,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,UNKNOWN_NEEDS_GSC,,,,OWNER_APPROVAL_REQUIRED,do not use as malpractice support unless reclassified,EXCLUDE_FROM_MALPRACTICE_SITEMAP,EXCLUDE_PENDING_MANUAL_REVIEW,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Low-word-count unrelated support risk.
MEDD-031,CURRENT_URL_READINESS,MEDMAL-READY-023,medical-malpractice,P0,FUTURE:/birth-malpractice/; /pregnancy-malpractice/; /diagnosis-malpractice/; /surgery-malpractice/,current support pages and old Hebrew URLs,current support pages and old Hebrew URLs,future clean support slugs,FUTURE_ONLY_UNTIL_SPLIT_APPROVED,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,PROTECTED_REVIEW,,,,OWNER_APPROVAL_REQUIRED,no internal links until route/content/redirect plan approved,EXCLUDE_UNTIL_APPROVED,FUTURE_ONLY_UNTIL_SPLIT_APPROVED,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Do not publish clean duplicates before current URL comparison.
MEDD-032,P0_SUPPORT_TO_HUB_MAP,support-001,medical-malpractice,P0,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%9C%D7%99%D7%93%D7%94-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5,,https://jus-tice.co.il/medical-malpractice-lawyer/,birth-malpractice lawyer help,NOT_CHANGED,SUPPORT_ROLE_PLANNED_NOT_EXECUTED,HIGH,1,27275,,NEEDS_SOURCE_LEGAL_REVIEW_BEFORE_REWRITE,PLANNED_ONLY_AFTER_OWNER_APPROVAL,NOT_CHANGED; INTERNAL_LINK_ONLY_AFTER_APPROVAL,"Protect ranking value; decide support, merge, or rewrite role before upload batch",NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Highest topic visibility; remove/avoid recommended language before public edit
MEDD-033,P0_SUPPORT_TO_HUB_MAP,support-002,medical-malpractice,P0,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F-%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%99%D7%9D-%D7%91%D7%AA%D7%97%D7%95%D7%9D-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%A2%D7%95%D7%9C%D7%9D,,https://jus-tice.co.il/medical-malpractice-lawyer/,medical-malpractice lawyer comparison,NOT_CHANGED,SUPPORT_ROLE_PLANNED_NOT_EXECUTED,HIGH,15,19549,,NEEDS_SOURCE_LEGAL_REVIEW_BEFORE_REWRITE,PLANNED_ONLY_AFTER_OWNER_APPROVAL,NOT_CHANGED; INTERNAL_LINK_ONLY_AFTER_APPROVAL,"Protect ranking value; decide support, merge, or rewrite role before upload batch",NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Trust-claim risk; convert to factual checklist language
MEDD-034,P0_SUPPORT_TO_HUB_MAP,support-003,medical-malpractice,P0,https://jus-tice.co.il/medical-malpractice-in-the-united-states/,,https://jus-tice.co.il/medical-malpractice-lawyer/,medical-malpractice claim guidance,NOT_CHANGED,SUPPORT_ROLE_PLANNED_NOT_EXECUTED,HIGH,18,10267,,NEEDS_SOURCE_LEGAL_REVIEW_BEFORE_REWRITE,PLANNED_ONLY_AFTER_OWNER_APPROVAL,NOT_CHANGED; INTERNAL_LINK_ONLY_AFTER_APPROVAL,"Protect ranking value; decide support, merge, or rewrite role before upload batch",NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Keep as jurisdictional/support content; do not let it displace Israeli hub
MEDD-035,P0_SUPPORT_TO_HUB_MAP,support-004,medical-malpractice,P0,https://jus-tice.co.il/%D7%94%D7%A7%D7%98%D7%A0%D7%AA-%D7%94%D7%95%D7%A6%D7%90%D7%95%D7%AA-%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA,,https://jus-tice.co.il/medical-malpractice-lawyer/,medical-malpractice lawyer fees and claim costs,NOT_CHANGED,SUPPORT_ROLE_PLANNED_NOT_EXECUTED,MEDIUM,22,9670,,NEEDS_SOURCE_LEGAL_REVIEW_BEFORE_REWRITE,PLANNED_ONLY_AFTER_OWNER_APPROVAL,NOT_CHANGED; INTERNAL_LINK_ONLY_AFTER_APPROVAL,"Protect ranking value; decide support, merge, or rewrite role before upload batch",NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Commercial pricing intent
