target,liveSectionOrder,worksheetDecision,finalDecision,draftTargetSection,liveHeading,liveWords,operatorAction,uploadStatus,sourceFile
"/divorce-property-division/","29","COVERED_BY_DRAFT","COVERED_NO_ACTION","Pension and social rights","זכויות סוציאליות.","32","The clean draft already covers pension, funds and social rights.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","30","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Preparation checklist","ציוד יקר, תכשיטים או נכסים מוחשיים.","26","The clean draft already includes tangible assets and source-of-funds preparation.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","32","REVIEW_FOR_MERGE","COVERED_NO_ACTION","Why property division is not only half-and-half","למה חלוקת רכוש היא לא רק ""חצי-חצי""","26","The clean draft already has this exact user-intent section and checklist.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","34","COVERED_BY_DRAFT","COVERED_NO_ACTION","Why property division is not only half-and-half","האם בני הזוג נשואים או ידועים בציבור.","25","The clean draft already distinguishes married/common-law status and timing.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","35","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Why property division is not only half-and-half","מהו מועד הנישואין או תחילת החיים המשותפים.","30","The clean draft already covers start/end timing and assets before/during the relationship.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","36","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Prenup and previous agreements","האם יש הסכם ממון, הסכם חיים משותפים או הסכם גירושין קודם.","26","The clean draft already covers prenups and previous agreements as controlling factors.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","37","REVIEW_FOR_MERGE","COVERED_NO_ACTION","Why property division is not only half-and-half","מה נצבר לפני הקשר ומה נצבר במהלכו.","29","The clean draft already covers assets before versus during the relationship.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","38","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Inheritance, gifts and premarital assets","האם נכס מסוים הוחרג במפורש.","33","The clean draft already covers excluded assets, separate registration and shared conduct.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","39","REVIEW_FOR_MERGE","MERGE_INTO_DRAFT","Why property division is not only half-and-half","האם הייתה כוונת שיתוף למרות רישום נפרד.","59","Add one cautious bullet that separate registration is not always decisive if conduct indicates possible shared intent; avoid legal conclusion language.","NEEDS_DRAFT_EDIT_BEFORE_UPLOAD","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","40","REVIEW_FOR_MERGE","MERGE_INTO_DRAFT","Home residence and partition","האם יש ילדים והאם נדרש פתרון מדור.","52","Add one cautious sentence that children and housing needs can affect practical timing or settlement options; avoid promising a legal outcome.","NEEDS_DRAFT_EDIT_BEFORE_UPLOAD","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","41","REVIEW_FOR_MERGE","COVERED_NO_ACTION","Debts and loans","האם יש חובות או ערבויות.","47","The clean draft already covers debts, loans, guarantees and family/business obligations.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","42","REVIEW_FOR_MERGE","COVERED_NO_ACTION","Asset concealment and lack of transparency","האם אחד הצדדים הסתיר מידע.","42","The clean draft already covers hidden information, suspicious transfers and missing documents.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","43","REVIEW_FOR_MERGE","COVERED_NO_ACTION","Business, company, shares and options","האם יש עסק, חברה, מניות או נכסים שקשה להעריך.","33","The clean draft already covers hard-to-value businesses, shares and expert valuation.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","45","COVERED_BY_DRAFT","COVERED_NO_ACTION","Separation date and why it matters","מועד הקרע ולמה הוא חשוב","91","The clean draft already covers the separation date and its effect on debt, income, business value and assets.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","50","REVIEW_FOR_MERGE","MERGE_INTO_DRAFT","Separation date and why it matters","מתי נפרדתם בפועל.","45","Add a short practical checklist: actual separation date, leaving home, opening proceedings, separate accounts and assets/debts created after separation.","NEEDS_DRAFT_EDIT_BEFORE_UPLOAD","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","51","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Separation date and why it matters","האם אחד הצדדים עזב את הבית.","39","Covered by the planned separation-date checklist merge.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","52","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Separation date and why it matters","האם נפתח הליך.","36","Covered by the planned separation-date checklist merge.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","53","COVERED_BY_DRAFT","COVERED_NO_ACTION","Prenup and previous agreements","האם יש הסכם ממון.","32","The clean draft already asks whether a prenup exists and how it affects the property map.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","54","REVIEW_FOR_MERGE","MERGE_INTO_DRAFT","Separation date and why it matters","האם יש נכסים או חובות שנוצרו אחרי הפרידה.","62","Add a sentence that assets or debts created after separation can change the factual review and may require professional valuation.","NEEDS_DRAFT_EDIT_BEFORE_UPLOAD","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","56","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Prenup and previous agreements","הסכם ממון והסכמים קודמים","34","The clean draft already covers prenups, shared-life agreements and prior agreements.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","59","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Prenup and previous agreements","מתי נחתם.","31","Covered by the planned agreement-validity checklist merge.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","60","PARTIAL_OVERLAP_REVIEW","MERGE_INTO_DRAFT","Prenup and previous agreements","האם אושר כדין אם נדרש אישור.","62","Add checklist points for approval if required, included/excluded assets and later conduct that may conflict with the agreement.","NEEDS_DRAFT_EDIT_BEFORE_UPLOAD","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","61","REVIEW_FOR_MERGE","MERGE_INTO_DRAFT","Prenup and previous agreements","אילו נכסים הוא כולל.","58","Add caution that content cannot decide validity or interpretation; owner/legal review should verify pressure, disclosure and understanding language.","NEEDS_DRAFT_EDIT_BEFORE_UPLOAD","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
