target,liveSectionOrder,worksheetDecision,finalDecision,draftTargetSection,liveHeading,liveWords,operatorAction,uploadStatus,sourceFile
"/child-support/","25","COVERED_BY_DRAFT","COVERED_NO_ACTION","What affects child support amount?","הכנסות ההורים","36","The clean draft already covers parent income, self-employment, business income and variable income.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","27","COVERED_BY_DRAFT","COVERED_NO_ACTION","Parenting time and child support","זמני שהות","32","The clean draft already covers parenting time, direct expenses, double housing/equipment and the custody page link.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","29","COVERED_BY_DRAFT","COVERED_NO_ACTION","What affects child support amount?","צרכי הילדים","29","The clean draft already covers special medical, therapeutic, educational and emotional needs.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","35","COVERED_BY_DRAFT","COVERED_NO_ACTION","Documents to prepare","דפי בנק מרכזיים.","25","The clean draft already asks for bank statements and core financial documents.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","36","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Documents to prepare","פירוט הוצאות ילדים.","26","The clean draft already asks for child-expense details and education/health expenses.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","37","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Documents to prepare","הוצאות חינוך, בריאות, חוגים וצהרונים.","28","The clean draft already asks for education and health expenses, with the planned evidence merge covering messages/refusals.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","38","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Documents to prepare","מידע על שכר דירה או משכנתא.","25","The clean draft already asks for rent/mortgage data and parenting-time details.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","39","COVERED_BY_DRAFT","COVERED_NO_ACTION","Documents to prepare and divorce agreement","זמני שהות קיימים או מוצעים.","65","The clean draft already covers parenting time, prior agreements, existing judgments and agreement questions.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","40","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Documents to prepare and divorce agreement","הסכמות קודמות או פסקי דין קיימים.","59","The clean draft already asks for prior agreements/judgments and the agreement section covers open questions.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","41","COVERED_BY_DRAFT","COVERED_NO_ACTION","Documents to prepare","מידע על צרכים מיוחדים.","55","The clean draft already asks for special needs; the planned evidence merge adds relevant communications.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","42","PARTIAL_OVERLAP_REVIEW","MERGE_INTO_DRAFT","Documents to prepare","התכתבויות רלוונטיות לגבי הוצאות או סירוב לשלם.","48","Add relevant messages/requests about expenses, refusals to pay and missing-document tracking to the preparation list.","NEEDS_DRAFT_EDIT_BEFORE_UPLOAD","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","43","COVERED_BY_DRAFT","COVERED_NO_ACTION","Child support in divorce agreement","מזונות בהסכם גירושין","45","The clean draft already covers why a short monthly-sum clause leaves too many questions open.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","50","PARTIAL_OVERLAP_REVIEW","MERGE_INTO_DRAFT","Extraordinary expenses","דרך הצגת קבלות.","57","Add practical mechanics for receipts, response time, dispute mechanism and urgent medical expense handling.","NEEDS_DRAFT_EDIT_BEFORE_UPLOAD","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","51","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Extraordinary expenses","מנגנון מחלוקת.","79","Covered by the planned extraordinary-expense mechanism merge.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","52","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Child support in divorce agreement","אפשרות בחינה מחדש במקרים חריגים.","74","The clean draft already covers future changes; the planned mechanism merge covers review/dispute procedure.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","53","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Child support claim","עמוד קשור: /consensual-divorce/ .","70","The clean draft already links family-dispute resolution before/around a support claim without adding unsourced procedural detail.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","54","COVERED_BY_DRAFT","COVERED_NO_ACTION","Child support claim","תביעת מזונות","68","The clean draft already covers claim preparation, documents, economics and dispute-resolution sequence.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","57","COVERED_BY_DRAFT","COVERED_NO_ACTION","Changing child support","שינוי מזונות","41","The clean draft already covers significant change in income, parenting time, child needs and other circumstances.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","62","REVIEW_FOR_MERGE","MERGE_INTO_DRAFT","Changing child support","האם השתנו זמני השהות?","61","Add a short pre-change checklist: parenting time, needs, earning capacity, update mechanism and housing/living costs.","NEEDS_DRAFT_EDIT_BEFORE_UPLOAD","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
