query,page_count,total_clicks,total_impressions,pages,positions,risk,proposed_action,status
עורך דין מומחה לגירושין,2,0,58,https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/ | https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92,75.7 | 45.3,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
עורכת דין לגירושין,2,0,55,https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/ | https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92,72.0 | 60.8,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
עורך דין טוב לגירושין,2,0,53,https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/ | https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92,64.1 | 32.0,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
עוריך דין לגירושין,2,0,52,https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/ | https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92,68.5 | 48.0,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
משמורת ילדים בגירושין,2,0,46,https://jus-tice.co.il/what-is-child-custody/ | https://jus-tice.co.il/wp-content/uploads/2021/07/ChildCustody.pdf,87.7 | 83.6,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
דיני גירושים,2,0,42,https://jus-tice.co.il/articles/%D7%94%D7%9C%D7%99%D7%9B%D7%99-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%99%D7%95%D7%A6%D7%A8%D7%99%D7%9D-%D7%93%D7%99%D7%A0%D7%99%D7%9D-%D7%9E%D7%99%D7%95%D7%97%D7%93%D7%99%D7%9D-%D7%91%D7%99/ | https://jus-tice.co.il/strategic-divorce-cost-planning/,96.8 | 50.0,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
עורך דין לגירושים,2,0,38,https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/ | https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92,69.7 | 47.5,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
באיזה גיל ילד יכול להחליט איפה לגור,3,0,37,https://jus-tice.co.il/%D7%98%D7%95%D7%91%D7%AA-%D7%94%D7%99%D7%9C%D7%93%D7%99%D7%9D-%D7%9B%D7%91%D7%A1%D7%99%D7%A1-%D7%9C%D7%97%D7%99%D7%95%D7%91-%D7%94%D7%90%D7%9D-%D7%9C%D7%97%D7%96%D7%95%D7%A8-%D7%9C%D7%A2%D7%99%D7%A8-%D7%94%D7%9E%D7%A7%D7%95%D7%A8-%D7%A8%D7%99%D7%A9%D7%95%D7%9D-%D7%94%D7%99%D7%9C%D7%93%D7%99%D7%9D-%D7%9C%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA-%D7%94%D7%97%D7%99%D7%A0%D7%95%D7%9A/ | https://jus-tice.co.il/articles/%D7%96%D7%9B%D7%95%D7%AA-%D7%94%D7%95%D7%A8%D7%94-%D7%92%D7%A8%D7%95%D7%A9-%D7%9C%D7%94%D7%A2%D7%AA%D7%99%D7%A7-%D7%90%D7%AA-%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%95-%D7%95%D7%90%D7%A3-%D7%9C%D7%94%D7%92/ | https://jus-tice.co.il/what-is-child-custody/,79.0 | 10.2 | 89.2,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
עורך דין גירושים,2,0,35,https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/ | https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92,58.1 | 46.3,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
עורך דין לגירושין,2,0,32,https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/ | https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92,58.6 | 38.5,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
תביעה למשמורת ילדים,2,0,32,https://jus-tice.co.il/what-is-child-custody/ | https://jus-tice.co.il/wp-content/uploads/2021/07/ChildCustody.pdf,79.0 | 79.1,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
העלמת כספים בגירושין,2,0,29,https://jus-tice.co.il/%D7%90%D7%99%D7%96%D7%95%D7%9F-%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D-%D7%9B%D7%A1%D7%A4%D7%99%D7%9D-%D7%94%D7%9E%D7%A6%D7%95%D7%99%D7%99%D7%9D-%D7%91%D7%97%D7%A9%D7%91%D7%95%D7%A0%D7%95%D7%AA-%D7%91%D7%9F-%D7%96%D7%95%D7%92-%D7%94%D7%91%D7%A8%D7%97%D7%AA-%D7%A0%D7%9B%D7%A1%D7%99%D7%9D/ | https://jus-tice.co.il/strategic-divorce-cost-planning/,76.2 | 76.2,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
עורך דין דיני גירושין,2,0,24,https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/ | https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92,76.9 | 49.0,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
עורכת דין גירושין,2,0,21,https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/ | https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92,56.6 | 47.4,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
פתיחת תיק גירושין מחיר,2,0,12,https://jus-tice.co.il/how-much-does-a-divorce-agreement-cost/ | https://jus-tice.co.il/strategic-divorce-cost-planning/,57.7 | 50.0,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
עורך דין גירושין המלצות,2,0,11,https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/ | https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92,49.3 | 23.3,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
"עו""ד גירושין",2,0,8,https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/ | https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92,68.3 | 59.5,MEDIUM_OR_UNKNOWN,REVIEW_BEFORE_REDIRECT_CANONICAL_NOINDEX_OR_MERGE,NOT_FINAL_UNTIL_FOCUSED_GSC_EXPORT_REVIEWED
