row_type,id,path,role,gate,status,url,final_url,title,h1,word_estimate,cta_anchor_count,public_claim_hits,business_leak_hits,evidence,review,next_action,serpObservation,copyBoundary,useFor,boundary
own,OWN-03,/practice-areas/criminal-law/,practice_archive_or_topic,,200,https://jus-tice.co.il/practice-areas/criminal-law/,https://jus-tice.co.il/practice-areas/criminal-law/?jt_live_qa=1779844362983,משפט פלילי | Jus-Tice.co.il,קטגוריה: משפט פלילי,289,33,מוביל | מובילים,,,,,,,,
own,OWN-04,/lawyers/?city=jerusalem&practice=criminal-law,filtered_directory,,200,https://jus-tice.co.il/lawyers/?city=jerusalem&practice=criminal-law,https://jus-tice.co.il/lawyers/?city=jerusalem&practice=criminal-law&jt_live_qa=1779844364838,עורכי דין בירושלים | Jus-Tice,עורכי דין בירושלים,730,47,מוביל | מובילים,,,,,,,,
own,OWN-05,/criminal-defense-attorney/,related_criminal_page,,200,https://jus-tice.co.il/criminal-defense-attorney/,https://jus-tice.co.il/criminal-defense-attorney/?jt_live_qa=1779844366654,"עורך דין פלילי מומלץ | השוואת עו""ד לפי ביקורות | Jus-Tice","עורך דין פלילי מומלץ | השוואת עו""ד לפי ביקורות | Jus-Tice",4128,41,מומלץ | מוביל | מובילים | הטוב | הצלחה | זיכוי,,,,,,,,
own,OWN-06,/sex-crime-lawyer/,related_criminal_page,,200,https://jus-tice.co.il/sex-crime-lawyer/,https://jus-tice.co.il/sex-crime-lawyer/?jt_live_qa=1779844368664,"עורך דין עבירות מין: חקירה, כתב אישום וזכויות בהליך | Jus-Tice","עורך דין עבירות מין: חקירה, כתב אישום וזכויות בהליך",24404,42,מומלץ | מוביל | מובילים | הטוב | הצלחה | הצלחות | זיכוי | בתי משפט | מיידי,,,,,,,,
own,OWN-07,/traffic-lawyer/,adjacent_practice_page,,200,https://jus-tice.co.il/traffic-lawyer/,https://jus-tice.co.il/traffic-lawyer/?jt_live_qa=1779844370662,"עורך דין תעבורה: שלילה, נקודות, נהיגה בשכרות וקנסות | Jus-Tice","עורך דין תעבורה: שלילה, נקודות, נהיגה בשכרות וקנסות",1881,34,מומלץ | מוביל | מובילים | הטוב | הצלחה | זיכוי,,,,,,,,
own,OWN-08,/find-lawyer-how-to-find-good-attorney/,selection_guide,,200,https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/,https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/?jt_live_qa=1779844372551,"איך למצוא עורך דין מומלץ? כיצד לבחור עו""ד טוב | Jus-Tice.co.il","איך למצוא עורך דין מומלץ? כיצד לבחור עו""ד טוב",1025,39,מומלץ | מומלצים | מוביל | מובילים | הטוב,,,,,,,,
competitor,COMP-01,,,,200,https://halevi-law.co.il/,https://halevi-law.co.il/?jt_live_qa=1779844374381,"עו""ד דוד הלוי | משרד עורכי דין פלילי ירושלים",,7299,,,,,,,"Competitor page emphasizes criminal case types, detention, evidence review, representation and long-term criminal-record issues.","Do not copy service lists, claims, testimonials, case results or aggressive urgency framing.",,
competitor,COMP-02,,,,200,https://sbd-law.co.il/,https://sbd-law.co.il/?jt_live_qa=1779844374456,עורך דין פלילי בירושלים - שלומי בן דור,,565,,,,,,,"Competitor page leans on former police/prosecution experience, interrogation preparation and immediate release language.","Do not copy personal credentials, urgency promises or investigation-prep claims.",,
competitor,COMP-03,,,,200,https://rbh-law.co.il/,https://rbh-law.co.il/?jt_live_qa=1779844376887,רמי בן חמו - עורך דין פלילי,,895,,,,,,,"Competitor page emphasizes Jerusalem office presence, availability and broad criminal/traffic disciplinary coverage.","Do not copy availability promises, slogans, pricing or personal positioning.",,
competitor,COMP-04,,,,200,https://atarilawfirm.co.il/,https://atarilawfirm.co.il/?jt_live_qa=1779844377298,אריאל עטרי - עורך דין פלילי בירושלים,,482,,,,,,,"Competitor page emphasizes experience, case volume and named public results.","Do not copy outcome claims, media items, rankings or named-case positioning.",,
competitor,COMP-05,,,,200,https://plilim.co.il/,https://plilim.co.il/?jt_live_qa=1779844378720,רועי יוסף אטיאס - עורך דין פלילי בירושלים,,628,,,,,,,"Competitor page positions a private lawyer brand with serious-crime, white-collar and public-figure work.","Do not copy elite-client positioning, sensational language or case-type breadth as a Jus-Tice claim.",,
competitor,COMP-06,,,,200,https://hodayan.co.il/,https://hodayan.co.il/?jt_live_qa=1779844379428,"משרד עו""ד הוד דיין - משפט פלילי ותעבורה בירושלים",,1103,,,,,,,Competitor page combines criminal and traffic work with strategy and evidence-review framing.,Do not turn Jus-Tice into a law-firm voice; keep it a neutral legal-help/matching page.,,
official,OFF-01,,,,,https://www.gov.il/he/service/request-for-representation-by-the-public-defender-office,,בקשת ייצוג על ידי הסניגוריה הציבורית,,,,,,,,,,,Cautious reference to official representation routes and eligibility-sensitive language.,Do not claim eligibility or advise which route a user should choose.
official,OFF-02,,,,,https://www.gov.il/he/departments/dynamiccollectors/official_opinions_and_positions,,חוות דעת ועמדות רשמיות - הסניגוריה הציבורית,,,,,,,,,,,Rights-sensitive source prompt for suspect/defendant language.,Do not summarize rights as instructions without legal review.
