query,page,clicks,impressions,ctr,position,priority
ניהול מוניטין לעורכי דין,https://jus-tice.co.il/%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%9E%D7%95%D7%A0%D7%99%D7%98%D7%99%D7%9F-%D7%9E%D7%A7%D7%95%D7%95%D7%9F-%D7%9C%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F-%D7%91%D7%A8%D7%A9%D7%AA-%D7%94%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98/,1,2547,0.04%,8.0,MEDIUM
"עו""ד הסכם ממון",https://jus-tice.co.il/prenup-attorney/,0,2533,0.00%,51.2,MEDIUM
עורך דין מומלץ,https://jus-tice.co.il/,1,2510,0.04%,24.3,MEDIUM
הסדר מותנה,https://jus-tice.co.il/%D7%94%D7%A1%D7%93%D7%A8-%D7%9E%D7%95%D7%AA%D7%A0%D7%94/,0,2497,0.00%,64.7,MEDIUM
מהירות מופרזת,https://jus-tice.co.il/speeding/,0,2476,0.00%,54.0,MEDIUM
תקיפת בת זוג,https://jus-tice.co.il/decision42377-09-22/,0,2475,0.00%,17.0,MEDIUM
עורך דין גירושין,https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/,0,2474,0.00%,85.9,MEDIUM
עורכי דין פליליים,https://jus-tice.co.il/criminal-defense-attorney/,0,2456,0.00%,40.9,MEDIUM
עורך דין קניין רוחני,https://jus-tice.co.il/intellectual-property-lawyer/,0,2408,0.00%,51.0,MEDIUM
עורך דין רשלנות רפואית בהריון,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%9C%D7%99%D7%93%D7%94-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5/,0,2400,0.00%,67.8,MEDIUM
עורך דין פלילי מומלץ,https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/,0,2395,0.00%,44.1,MEDIUM
פירוק שיתוף בין בני זוג,https://jus-tice.co.il/articles/%D7%A4%D7%99%D7%A8%D7%95%D7%A7-%D7%A9%D7%99%D7%AA%D7%95%D7%A3-%D7%91%D7%99%D7%9F-%D7%91%D7%A0%D7%99-%D7%96%D7%95%D7%92-%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%9C%D7%A4%D7%99/,0,2393,0.00%,73.4,MEDIUM
משרד עורכי דין פלילי,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C/,0,2371,0.00%,37.8,MEDIUM
עורך דין הגירה,https://jus-tice.co.il/immigration-lawyer/,0,2357,0.00%,36.1,MEDIUM
ביטול רישום משטרתי,https://jus-tice.co.il/police-records-data-deletion/,1,2329,0.04%,17.0,MEDIUM
מעצר ימים,https://jus-tice.co.il/extension-of-detention-for-more-than-thirty-days/,0,2316,0.00%,70.0,MEDIUM
עורך דין מכירת דירה,https://jus-tice.co.il/real-estate-attorney/,0,2290,0.00%,69.5,MEDIUM
עורך דין סחר בסמים,https://jus-tice.co.il/drug-related-crime/,0,2287,0.00%,26.0,MEDIUM
"עו""ד לענייני משפחה",https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92/,0,2277,0.00%,59.3,MEDIUM
לשכת רישום מקרקעין,https://jus-tice.co.il/registration-of-real-estate-israel/,0,2233,0.00%,9.9,MEDIUM
צו קיום צוואה,https://jus-tice.co.il/what-is-a-probate-order/,0,2230,0.00%,50.2,MEDIUM
עורך דין לענייני תעבורה,https://jus-tice.co.il/traffic-lawyer/,0,2227,0.00%,56.9,MEDIUM
עורך דין עסקי,https://jus-tice.co.il/types-of-lawyers-small-business/,3,2212,0.14%,6.6,MEDIUM
"עו""ד מקרקעין",https://jus-tice.co.il/real-estate-attorney/,0,2175,0.00%,74.5,MEDIUM
גישור גירושין,https://jus-tice.co.il/divorce-mediation-cons-pros/,0,2172,0.00%,63.1,MEDIUM
עורך דין לענייני עבודה,https://jus-tice.co.il/labor-lawyer/,0,2157,0.00%,70.0,MEDIUM
עורך דין סחר בסמים,https://jus-tice.co.il/drug-trafficking/,0,2157,0.00%,21.0,MEDIUM
עורך דין נדלן,https://jus-tice.co.il/real-estate-lawyer-guide/,0,2153,0.00%,85.9,MEDIUM
עורכי דין מומלצים,https://jus-tice.co.il/,4,2151,0.19%,13.7,MEDIUM
גישור גירושין,https://jus-tice.co.il/%D7%92%D7%99%D7%A9%D7%95%D7%A8-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%94-%D7%96%D7%94-%D7%95%D7%90%D7%99%D7%9A-%D7%94%D7%AA%D7%94%D7%9C%D7%99%D7%9A-%D7%A2%D7%95%D7%91%D7%93/,0,2134,0.00%,74.8,MEDIUM
גירושין בהסכמה,https://jus-tice.co.il/divorce-with-consent/,0,2130,0.00%,60.5,MEDIUM
עורך דין לעסקים,https://jus-tice.co.il/types-of-lawyers-small-business/,2,2128,0.09%,8.2,MEDIUM
עורך דין,https://jus-tice.co.il/,5,2089,0.24%,59.2,MEDIUM
רשלנות רפואית שיתוק מוחין,https://jus-tice.co.il/malpractice-cerebral-palsy/,0,2088,0.00%,67.0,MEDIUM
בניית אתרים בחינם,https://jus-tice.co.il/beginners-guide-how-to-choose-the-best-website-builder/,0,2084,0.00%,57.2,MEDIUM
עורך דין פלילי במודיעין,https://jus-tice.co.il/criminal-defense-attorney/,0,2076,0.00%,56.8,MEDIUM
רשלנות רפואית בהרדמה,https://jus-tice.co.il/anesthesia-medical-malpractice/,0,2065,0.00%,30.8,MEDIUM
סירוב לבדיקת שכרות,https://jus-tice.co.il/dui-refusal-blood-breath-urine-test/,0,2029,0.00%,18.6,MEDIUM
עורך דין לענייני משפחה במרכז,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92/,0,2018,0.00%,44.9,MEDIUM
כחול לבן טלגרם,https://jus-tice.co.il/53431-10-21/,9,2000,0.45%,15.2,MEDIUM
תשניק,https://jus-tice.co.il/perinatal-asphyxia/,0,1943,0.00%,11.9,MEDIUM
"מרב""ד",https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,4,1934,0.21%,9.8,MEDIUM
נוטריון מה זה,https://jus-tice.co.il/israel-notary-public/,2,1908,0.10%,11.9,MEDIUM
עורך דין הגירה לישראל,https://jus-tice.co.il/immigration-lawyer/,0,1895,0.00%,40.5,MEDIUM
הסכם ממון לאחר נישואין,https://jus-tice.co.il/prenuptial-agreements-overview/,0,1872,0.00%,57.2,MEDIUM
גירושין,https://jus-tice.co.il/review-of-divorce-by-divorce-lawyer-israel/,0,1867,0.00%,50.2,MEDIUM
תקיפת בת זוג,https://jus-tice.co.il/%D7%A2%D7%95%D7%A0%D7%A9-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%AA%D7%A7%D7%99%D7%A4%D7%AA-%D7%91%D7%AA-%D7%96%D7%95%D7%92-%D7%95%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%90%D7%99%D7%95%D7%9E%D7%99%D7%9D/,0,1863,0.00%,37.9,MEDIUM
עורך דין צבאי מומלץ,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A6%D7%91%D7%90%D7%99/,0,1860,0.00%,24.0,MEDIUM
עורכי דין פליליים מומלצים,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C/,0,1851,0.00%,18.1,MEDIUM
הסכם גירושין,https://jus-tice.co.il/what-should-a-divorce-settlement-agreement-include/,0,1827,0.00%,70.9,MEDIUM
השקעות נדלן ביוון,https://jus-tice.co.il/investing-in-greece-real-estate/,0,1808,0.00%,38.0,MEDIUM
תביעה בגין תאונת קורקינט,https://jus-tice.co.il/articles/%D7%AA%D7%90-39115-08-19-%D7%A4%D7%9C%D7%95%D7%A0%D7%99-%D7%A0-%D7%90%D7%9C%D7%99%D7%9E%D7%9C%D7%9A-%D7%95%D7%90%D7%97/,0,1808,0.00%,46.2,MEDIUM
מחיקת רישום פלילי,https://jus-tice.co.il/police-records-data-deletion/,0,1802,0.00%,28.4,MEDIUM
בניית אתר בחינם,https://jus-tice.co.il/beginners-guide-how-to-choose-the-best-website-builder/,0,1793,0.00%,57.0,MEDIUM
ייעוץ עורך דין אונליין חינם,https://jus-tice.co.il/,7,1779,0.39%,11.6,MEDIUM
עבירות מס הכנסה,https://jus-tice.co.il/tax-investigation-guide/,0,1776,0.00%,55.2,MEDIUM
עורך דין דיני עבודה ייעוץ חינם,https://jus-tice.co.il/,5,1774,0.28%,19.3,MEDIUM
עורך דין גירושין תל אביב,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92/,0,1771,0.00%,30.3,MEDIUM
עורך דין המכון הרפואי,https://jus-tice.co.il/medical-institute-for-road-safety/,0,1771,0.00%,63.6,MEDIUM
