query,page,clicks,impressions,ctr,position,is_money_keyword,is_criminal_law,priority
עורך דין מומלץ,https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/,0,1455,0.00%,15.9,TRUE,FALSE,HIGH
מה זה עורך דין מקרקעין,https://jus-tice.co.il/real-estate-attorney/,1,1414,0.07%,9.2,TRUE,FALSE,HIGH
בקשה לרישום מכר,https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%A8%D7%99%D7%A9%D7%95%D7%9D-%D7%9E%D7%9B%D7%A8/,1,1412,0.07%,10.1,FALSE,FALSE,HIGH
חיפוש עורכי דין,https://jus-tice.co.il/,9,1401,0.64%,12.3,TRUE,FALSE,HIGH
מחיקת רישום במשטרה,https://jus-tice.co.il/police-records-data-deletion/,0,1326,0.00%,16.7,FALSE,TRUE,HIGH
מה זה נוטריון,https://jus-tice.co.il/israel-notary-public/,1,1310,0.08%,10.5,FALSE,FALSE,HIGH
תקנות הביטוח הלאומי קביעת דרגת נכות,https://jus-tice.co.il/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA-%D7%94%D7%91%D7%99%D7%98%D7%95%D7%97-%D7%94%D7%9C%D7%90%D7%95%D7%9E%D7%99-%D7%A7%D7%91%D7%99%D7%A2%D7%AA-%D7%93%D7%A8%D7%92%D7%AA-%D7%A0%D7%9B%D7%95%D7%AA-%D7%9C%D7%A0%D7%A4%D7%92%D7%A2%D7%99-%D7%A2%D7%91%D7%95%D7%93%D7%94-%D7%AA%D7%A9%D7%98%D7%96-1956/,0,1269,0.00%,13.1,FALSE,FALSE,HIGH
"""רשלנות רפואית הגדרה""",https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,0,1255,0.00%,9.7,FALSE,FALSE,HIGH
"עו""ד פלילי מומלץ",https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C/,0,1246,0.00%,18.0,FALSE,TRUE,HIGH
צעירות ישראליות בטלגרם,https://jus-tice.co.il/%D7%9E%D7%90%D7%A1%D7%A8-%D7%91%D7%92%D7%99%D7%9F-%D7%94%D7%98%D7%A8%D7%93%D7%94-%D7%9E%D7%99%D7%A0%D7%99%D7%AA-%D7%95%D7%94%D7%AA%D7%A0%D7%9B%D7%9C%D7%95%D7%AA-%D7%91%D7%90%D7%9E%D7%A6%D7%A2%D7%95%D7%AA-%D7%A8%D7%A9%D7%AA-%D7%94%D7%98%D7%9C%D7%92%D7%A8%D7%9D-%D7%AA%D7%A4-43967-07-20/,1,1238,0.08%,11.6,FALSE,FALSE,HIGH
עורכי דין פליליים הטובים ביותר,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C/,1,1230,0.08%,7.5,TRUE,TRUE,HIGH
הסכם גירושין דוגמא,https://jus-tice.co.il/free-divorce-agreement-template/,5,1199,0.42%,8.7,FALSE,FALSE,HIGH
איתור עורך דין,https://jus-tice.co.il/,4,1195,0.33%,7.4,TRUE,FALSE,HIGH
עורך דין סייבר,https://jus-tice.co.il/cyber-lawyer/,2,1193,0.17%,14.8,TRUE,FALSE,HIGH
תביעת רשלנות רפואית דוגמא,https://jus-tice.co.il/articles/%D7%9E%D7%A7%D7%A8%D7%99-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%93%D7%95%D7%92%D7%9E%D7%90%D7%95%D7%AA/,1,1145,0.09%,13.4,FALSE,FALSE,HIGH
עסקים בסין,https://jus-tice.co.il/china-business-legal-guide/,0,1145,0.00%,6.4,FALSE,FALSE,HIGH
בקשה לתעודת מידע פלילי,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,10,1133,0.88%,7.3,FALSE,TRUE,HIGH
לשכת רישום המקרקעין,https://jus-tice.co.il/registration-of-real-estate-israel/,2,1126,0.18%,8.8,FALSE,FALSE,HIGH
עורך דין צבאי מחיר,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A6%D7%91%D7%90%D7%99/,2,1066,0.19%,6.0,TRUE,FALSE,HIGH
מתי משלמים לעורך דין קניית דירה,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,0,1066,0.00%,18.2,TRUE,FALSE,HIGH
פסקי דין חדשים בדיני משפחה,https://jus-tice.co.il/%D7%A7%D7%98%D7%92%D7%95%D7%A8%D7%99%D7%95%D7%AA-%D7%9E%D7%90%D7%9E%D7%A8%D7%99%D7%9D/%D7%93%D7%99%D7%A0%D7%99-%D7%9E%D7%A9%D7%A4%D7%97%D7%94/%D7%A4%D7%A1%D7%A7%D7%99-%D7%93%D7%99%D7%9F-%D7%97%D7%A9%D7%95%D7%91%D7%99%D7%9D/,0,1051,0.00%,19.8,FALSE,FALSE,HIGH
הסכם ממון מחיר,https://jus-tice.co.il/how-much-does-prenup-cost/,1,1006,0.10%,16.6,FALSE,FALSE,HIGH
עורך דין פלילי מפורסם,https://jus-tice.co.il/famous-criminal-defense-lawyer/,4,981,0.41%,11.2,TRUE,TRUE,MEDIUM
חיפוש עורך דין,https://jus-tice.co.il/,6,975,0.62%,9.1,TRUE,FALSE,MEDIUM
הסכם גירושין pdf,https://jus-tice.co.il/free-divorce-agreement-template/,5,965,0.52%,5.7,FALSE,FALSE,MEDIUM
הקמת חברה בסין,https://jus-tice.co.il/china-business-legal-guide/,0,964,0.00%,7.8,FALSE,FALSE,MEDIUM
עורך דין פלילי תותח,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%AA%D7%95%D7%AA%D7%97/,2,961,0.21%,18.0,TRUE,TRUE,MEDIUM
תעודת יושר,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,1,956,0.10%,18.6,FALSE,FALSE,MEDIUM
הסכמה,https://jus-tice.co.il/consent/,3,954,0.31%,8.9,FALSE,FALSE,MEDIUM
מגבלות רפואיות לרישיון נהיגה,https://jus-tice.co.il/standards-of-medical-fitness-to-drive/,0,931,0.00%,17.9,FALSE,FALSE,MEDIUM
תובע,https://jus-tice.co.il/prosecutor/,0,926,0.00%,16.3,FALSE,FALSE,MEDIUM
מחיקת רישום פלילי משטרת ישראל,https://jus-tice.co.il/police-records-data-deletion/,1,916,0.11%,15.1,FALSE,TRUE,MEDIUM
איך רושמים זכויות יוצרים,https://jus-tice.co.il/copyright/,0,892,0.00%,19.8,FALSE,FALSE,MEDIUM
קניית דירה בקפריסין,https://jus-tice.co.il/avoiding-mistakes-when-buying-property-in-cyprus/,0,878,0.00%,14.0,FALSE,FALSE,MEDIUM
עלות הסכם ממון,https://jus-tice.co.il/how-much-does-prenup-cost/,0,875,0.00%,17.2,FALSE,FALSE,MEDIUM
"עו""ד צרפת",https://jus-tice.co.il/france-lawyers/,0,870,0.00%,16.2,FALSE,FALSE,MEDIUM
עורך דין מקרקעין ייעוץ חינם,https://jus-tice.co.il/,7,868,0.81%,11.9,TRUE,FALSE,MEDIUM
אפשר לשלם ולהביא בטיסה תמונה בגודל 1.5על 80,https://jus-tice.co.il/porto-portugal-real-estate/,0,868,0.00%,7.0,FALSE,FALSE,MEDIUM
קניית נכס בפורטוגל,https://jus-tice.co.il/buying-property-in-portugal/,1,848,0.12%,13.2,FALSE,FALSE,MEDIUM
עורכי דין לפי התמחות,https://jus-tice.co.il/,11,844,1.30%,8.7,TRUE,FALSE,MEDIUM
תביעות פלילי,https://jus-tice.co.il/%D7%94%D7%94%D7%9C%D7%99%D7%9A-%D7%94%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A4%D7%A8%D7%A7%D7%9C%D7%99%D7%98%D7%95%D7%AA-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%9E%D7%95%D7%9C-%D7%97%D7%98%D7%99%D7%91%D7%AA-%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA-%D7%94%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,6,820,0.73%,5.7,FALSE,TRUE,MEDIUM
מה זה אקטואר,https://jus-tice.co.il/articles/%D7%90%D7%A7%D7%98%D7%95%D7%90%D7%A8-%D7%9E%D7%94%D7%95-%D7%9E%D7%93%D7%A2-%D7%94%D7%90%D7%A7%D7%98%D7%95%D7%90%D7%A8%D7%99%D7%94/,0,820,0.00%,15.7,FALSE,FALSE,MEDIUM
הסכם גירושין ללא עורך דין להורדה,https://jus-tice.co.il/free-divorce-agreement-template/,32,815,3.93%,5.4,TRUE,FALSE,MEDIUM
יורופול,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%99%D7%95%D7%A8%D7%95%D7%A4%D7%95%D7%9C/,4,799,0.50%,6.6,FALSE,FALSE,MEDIUM
ייצוג משפטי הודו,https://jus-tice.co.il/india-lawyers/,0,793,0.00%,5.1,FALSE,FALSE,MEDIUM
מחשבון מזונות ילדים,https://jus-tice.co.il/%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/,2,791,0.25%,15.6,FALSE,FALSE,MEDIUM
שופט,https://jus-tice.co.il/court-judge/,0,787,0.00%,14.0,FALSE,FALSE,MEDIUM
עורך דין קפריסין,https://jus-tice.co.il/cyprus-lawyer/,1,784,0.13%,6.6,TRUE,FALSE,MEDIUM
אלעד פרסקי,https://jus-tice.co.il/55188-07-20/,10,779,1.28%,7.3,FALSE,FALSE,MEDIUM
מה זה אקטואריה,https://jus-tice.co.il/articles/%D7%90%D7%A7%D7%98%D7%95%D7%90%D7%A8-%D7%9E%D7%94%D7%95-%D7%9E%D7%93%D7%A2-%D7%94%D7%90%D7%A7%D7%98%D7%95%D7%90%D7%A8%D7%99%D7%94/,0,779,0.00%,12.5,FALSE,FALSE,MEDIUM
רשם המקרקעין,https://jus-tice.co.il/registration-of-real-estate-israel/,0,774,0.00%,11.7,FALSE,FALSE,MEDIUM
marvad,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,1,771,0.13%,9.3,FALSE,FALSE,MEDIUM
הסגרה,https://jus-tice.co.il/extradition-guide/,0,770,0.00%,8.6,FALSE,FALSE,MEDIUM
עבירות כלכליות בינלאומי,https://jus-tice.co.il/economic-crimes-white-collar-lawyer/,0,770,0.00%,13.1,FALSE,FALSE,MEDIUM
עורך דין נדלן מחיר,https://jus-tice.co.il/real-estate-attorney/,0,770,0.00%,14.2,TRUE,FALSE,MEDIUM
"יועץ נדל""ן",https://jus-tice.co.il/%D7%94%D7%90%D7%9D-%D7%9B%D7%93%D7%90%D7%99-%D7%9C%D7%A2%D7%91%D7%95%D7%93-%D7%A2%D7%9D-%D7%99%D7%95%D7%A2%D7%A5-%D7%A0%D7%93%D7%9C%D7%9F/,0,766,0.00%,18.3,FALSE,FALSE,MEDIUM
אקטואר מה זה,https://jus-tice.co.il/articles/%D7%90%D7%A7%D7%98%D7%95%D7%90%D7%A8-%D7%9E%D7%94%D7%95-%D7%9E%D7%93%D7%A2-%D7%94%D7%90%D7%A7%D7%98%D7%95%D7%90%D7%A8%D7%99%D7%94/,1,763,0.13%,17.1,FALSE,FALSE,MEDIUM
כחול לבן בטלגרם,https://jus-tice.co.il/53431-10-21/,6,762,0.79%,10.6,FALSE,FALSE,MEDIUM
חקירה במס הכנסה,https://jus-tice.co.il/tax-investigation-guide/,1,762,0.13%,11.5,FALSE,TRUE,MEDIUM
עורכי דין פליליים מובילים,https://jus-tice.co.il/famous-criminal-defense-lawyer/,0,758,0.00%,14.9,TRUE,TRUE,MEDIUM
איך להתכונן לגירושין,https://jus-tice.co.il/what-to-do-now-if-you-are-considering-a-divorce/,0,751,0.00%,12.2,FALSE,FALSE,MEDIUM
מועד הקרע הקובע לצורך איזון משאבים,https://jus-tice.co.il/%D7%A7%D7%91%D7%99%D7%A2%D7%AA-%D7%9E%D7%95%D7%A2%D7%93-%D7%94%D7%A7%D7%A8%D7%A2-%D7%9C%D7%A2%D7%A0%D7%99%D7%99%D7%9F-%D7%90%D7%99%D7%96%D7%95%D7%9F-%D7%94%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D-%D7%91%D7%99%D7%9F-%D7%91%D7%A0%D7%99-%D7%96%D7%95%D7%92-%D7%AA%D7%9C%D7%94%D7%9E-18194-04-22/,1,750,0.13%,11.2,FALSE,FALSE,MEDIUM
כמה עולה הסכם ממון,https://jus-tice.co.il/how-much-does-prenup-cost/,0,747,0.00%,18.4,FALSE,FALSE,MEDIUM
נהיגה תחת השפעת סמים עונש,https://jus-tice.co.il/driving-under-the-influence-of-drugs/,1,736,0.14%,13.2,FALSE,TRUE,MEDIUM
הסכם אי תחרות,https://jus-tice.co.il/%D7%A4%D7%A1%D7%93-%D7%91%D7%A0%D7%95%D7%A9%D7%90-%D7%97%D7%95%D7%A4%D7%A9-%D7%94%D7%A2%D7%99%D7%A1%D7%95%D7%A7-%D7%A1%D7%A2%D7%A9-49088-11-18/,0,734,0.00%,11.2,FALSE,FALSE,MEDIUM
קניית בית ביוון,https://jus-tice.co.il/buying-property-in-greece/,0,734,0.00%,19.4,FALSE,FALSE,MEDIUM
פורטל עורכי דין,https://jus-tice.co.il/,3,730,0.41%,14.1,TRUE,FALSE,MEDIUM
רצח מדרגה ראשונה,https://jus-tice.co.il/murder-in-united-states-law/,8,719,1.11%,6.8,FALSE,FALSE,MEDIUM
תביעה לאיזון משאבים דוגמא,https://jus-tice.co.il/33316-07-19/,4,712,0.56%,7.3,FALSE,FALSE,MEDIUM
עורכי דין פליליים הטובים ביותר,https://jus-tice.co.il/best-criminal-defence-lawyers-worldwide/,0,712,0.00%,14.3,TRUE,TRUE,MEDIUM
נהיול מוניטין לעורכי דין,https://jus-tice.co.il/%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%9E%D7%95%D7%A0%D7%99%D7%98%D7%99%D7%9F-%D7%9E%D7%A7%D7%95%D7%95%D7%9F-%D7%9C%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F-%D7%91%D7%A8%D7%A9%D7%AA-%D7%94%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98/,0,698,0.00%,7.5,TRUE,FALSE,MEDIUM
עורך דין הודו,https://jus-tice.co.il/india-lawyers/,1,692,0.14%,6.0,TRUE,FALSE,MEDIUM
טופס גירושין בהסכמה להורדה,https://jus-tice.co.il/free-divorce-agreement-template/,2,688,0.29%,5.0,FALSE,FALSE,MEDIUM
מועד הקרע הקובע לצורך איזון משאבים,https://jus-tice.co.il/%D7%9E%D7%95%D7%A2%D7%93-%D7%94%D7%A7%D7%A8%D7%A2-%D7%91%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9C%D7%A6%D7%95%D7%A8%D7%9A-%D7%90%D7%99%D7%96%D7%95%D7%9F-%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D-%D7%91%D7%99%D7%9F-%D7%91%D7%A0%D7%99-%D7%96%D7%95%D7%92-%D7%9C%D7%A9%D7%A2%D7%91%D7%A8-%D7%AA%D7%9C%D7%94%D7%9E-23952-08-19/,0,681,0.00%,17.4,FALSE,FALSE,MEDIUM
רכישת דירה בפורטוגל,https://jus-tice.co.il/buying-property-in-portugal/,0,679,0.00%,15.6,FALSE,FALSE,MEDIUM
מה זה פורקס,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%95%D7%A8%D7%A7%D7%A1-forex/,0,678,0.00%,16.1,FALSE,FALSE,MEDIUM
משמורת בלעדית לאם,https://jus-tice.co.il/%D7%9E%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%91%D7%9C%D7%A2%D7%93%D7%99%D7%AA-%D7%9C%D7%90%D7%9D-%D7%95%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA-%D7%99%D7%97%D7%A1%D7%99%D7%AA-%D7%91%D7%9E%D7%A1%D7%92%D7%A8%D7%AA-%D7%90%D7%99%D7%96%D7%95%D7%9F-%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D-%D7%AA%D7%9C%D7%94%D7%9E-37049-07-18/,4,677,0.59%,7.3,FALSE,FALSE,MEDIUM
תעודת מידע פלילי,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,2,675,0.30%,11.5,FALSE,TRUE,MEDIUM
עורך דין גירושין דיני משפחה וצוואות,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92/,0,675,0.00%,14.9,TRUE,FALSE,MEDIUM
מחיקת רישום פלילי מחיר,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,1,667,0.15%,12.7,FALSE,TRUE,MEDIUM
דוגמא להסכם גירושין,https://jus-tice.co.il/free-divorce-agreement-template/,6,666,0.90%,8.2,FALSE,FALSE,MEDIUM
הסכם גירושים בהסכמה,https://jus-tice.co.il/free-divorce-agreement-template/,0,664,0.00%,19.4,FALSE,FALSE,MEDIUM
הוצאת תעודת יושר,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,1,663,0.15%,15.7,FALSE,FALSE,MEDIUM
שיווק בסין,https://jus-tice.co.il/china-business-legal-guide/,0,662,0.00%,15.7,FALSE,FALSE,MEDIUM
מאיה רוטנברג,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92/,4,651,0.61%,8.0,FALSE,FALSE,MEDIUM
רשלנות פלילית,https://jus-tice.co.il/criminal-negligence/,1,651,0.15%,8.8,FALSE,TRUE,MEDIUM
כמה תושבים יש בארצות הברית,https://jus-tice.co.il/about-usa/,0,649,0.00%,9.3,FALSE,FALSE,MEDIUM
מרב ד,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,0,648,0.00%,11.4,FALSE,FALSE,MEDIUM
"המרב""ד",https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,1,645,0.16%,6.3,FALSE,FALSE,MEDIUM
