שם מלא/שם עסק,קטגוריה,תת-התמחות,עיר,טלפון,אתר,אימייל פומבי,מספר רישיון/הסמכה,מקור המידע (URL),מקור רישוי/הסמכה (URL),תאריך בדיקה,סטטוס אימות/הערה
בן ציון גור,נוטריונים,נוטריון/ית,אורנית,,,,200497,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אביב קמחי,נוטריונים,שפות רשומות: English,אזור,,,,222651,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
רם ברגר גלבוע,נוטריונים,נוטריון/ית,אחוזת ברק,,,,221162,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
יפית רחל לגטווי אלגלי,נוטריונים,נוטריון/ית,אחיסמך,,,,219308,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
שירלי רגינה אלף,נוטריונים,נוטריון/ית,איילת השחר,,,,213313,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אורית עזרא עבו,נוטריונים,שפות רשומות: English,אילניה,,,,220431,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אבי מיכאלי,נוטריונים,נוטריון/ית,אילת,,,,222228,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אבי אברהם נמרודי,נוטריונים,נוטריון/ית,אירוס,,,,2094480,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
פנחס מיכאלי,נוטריונים,שפות רשומות: English,איתמר,,,,225132,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אחמד סעדי,נוטריונים,נוטריון/ית,אכסאל,,,,2104659,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
מואיד כבהה,נוטריונים,שפות רשומות: Arabic; English,אל-עריאן,,,,2105600,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
צוריאל חזי,נוטריונים,שפות רשומות: English,אלון מורה,,,,223166,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
סיגל פרטוק,נוטריונים,נוטריון/ית,אלוני אבא,,,,2105056,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
ענת הררי,נוטריונים,נוטריון/ית,אליאב,,,,217134,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אורון לוי,נוטריונים,נוטריון/ית,אליכין,,,,212374,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
נועה חובב,נוטריונים,נוטריון/ית,אלישמע,,,,217132,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
ארנון כהן,נוטריונים,נוטריון/ית,אלעד,,,,212141,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
מוריה לנדאו,נוטריונים,נוטריון/ית,אלעזר,,,,219351,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אורית אורית גילדר בקר,נוטריונים,שפות רשומות: English,אלפי מנשה,,,,221361,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אברהם גריל,נוטריונים,שפות רשומות: English,אלקנה,,,,2094870,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אלדד שורק,נוטריונים,נוטריון/ית,אמונים,,,,2084122,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אנה חנה חזן,נוטריונים,שפות רשומות: Ukrainian; Russian,אניעם,,,,222572,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
יעקוב עזאם,נוטריונים,נוטריון/ית,אעבלין,,,,2074114,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אברהם שלמה בן-צבי,נוטריונים,שפות רשומות: English; Yiddish,אפרת,,,,219480,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אירינה סרקיסיאן,נוטריונים,נוטריון/ית,אריאל,,,,2012491,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אבי אברהם טויזר,נוטריונים,נוטריון/ית,אשדוד,,,,2105373,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אבי אברהם עייש,נוטריונים,נוטריון/ית,אשקלון,,,,2105743,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
מור קוסוביץ שוחט,נוטריונים,נוטריון/ית,אשתאול,,,,213447,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
חסאם חג אחמד,נוטריונים,נוטריון/ית,באקה אל-גרביה,,,,212343,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
מריאנה לודר שולמן,נוטריונים,שפות רשומות: English; Russian,באר גנים,,,,225284,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אייל חנין,נוטריונים,שפות רשומות: English,באר יעקב,,,,218223,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אבלינה אלה שינפלד,נוטריונים,נוטריון/ית,באר שבע,,,,214196,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אורית שנק,נוטריונים,נוטריון/ית,בארותיים,,,,224313,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
מוחמד חמודה,נוטריונים,שפות רשומות: English; Arabic,בועיינה-נוג'ידאת,,,,222172,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
סיגלית יאיר,נוטריונים,נוטריון/ית,בורגתה,,,,2084020,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
מיכל ילובסקי,נוטריונים,נוטריון/ית,בחן,,,,220420,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
ארז הראל,נוטריונים,נוטריון/ית,ביצרון,,,,219349,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
עבדאללה נסאר,נוטריונים,נוטריון/ית,ביר אל-מכסור,,,,2104744,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
שושנה בן דוד ארז,נוטריונים,נוטריון/ית,בית אורן,,,,223177,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אסנת שמחה אילה שרון,נוטריונים,נוטריון/ית,בית אל,,,,219129,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
