cluster,recommended_article_title_he,recommended_english_slug,gap_type,why_needed,priority,business_value,seo_value,official_sources_needed,connect_to_homepage,connect_to_lawyer_cards,notes
criminal-law,מחיקת רישום פלילי,criminal-record-expungement,MISSING_OR_WEAK_CONTENT,High commercial intent and recurring search term.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
criminal-law,עבירות סמים: מדריך לחשוד ולמשפחה,drug-offenses-guide,MISSING_OR_WEAK_CONTENT,Core support page for criminal pillar.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
medical-malpractice,איך בודקים אם הייתה רשלנות רפואית,how-to-check-medical-malpractice,MISSING_OR_WEAK_CONTENT,First-step intent and lead gen.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
medical-malpractice,רשלנות רפואית בלידה,birth-malpractice-guide,MISSING_OR_WEAK_CONTENT,High-value medical malpractice topic.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
medical-malpractice,רשלנות באבחון מחלה,diagnosis-malpractice-guide,MISSING_OR_WEAK_CONTENT,High-value and common malpractice scenario.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
medical-malpractice,חוות דעת מומחה ברשלנות רפואית,medical-expert-opinion-malpractice,MISSING_OR_WEAK_CONTENT,Practical process and documents.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
medical-malpractice,התיישנות בתביעת רשלנות רפואית,medical-malpractice-limitation-period,MISSING_OR_WEAK_CONTENT,Critical legal issue and source-dependent.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
real-estate,בדיקות לפני קניית דירה,buying-apartment-checklist,MISSING_OR_WEAK_CONTENT,High-intent practical real estate guide.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
real-estate,חוזה מכר דירה: סעיפים חשובים,real-estate-purchase-agreement-checklist,MISSING_OR_WEAK_CONTENT,"Document guide, lawyer conversion.",HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
real-estate,ליקויי בנייה: מה עושים,construction-defects-what-to-do,MISSING_OR_WEAK_CONTENT,Practical claims path.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
traffic-law,נהיגה בשכרות: מה עושים אחרי עצירה,drunk-driving-after-stop,MISSING_OR_WEAK_CONTENT,Urgent traffic-law lead topic.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
traffic-law,שלילת רישיון: ערעור והחזרת רישיון,license-suspension-appeal,MISSING_OR_WEAK_CONTENT,High conversion topic.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
traffic-law,נקודות תעבורה: מדריך מעשי,traffic-points-guide,MISSING_OR_WEAK_CONTENT,Practical user topic.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
personal-injury,"תאונת עבודה: זכויות, מסמכים ותביעה",work-accident-rights-checklist,MISSING_OR_WEAK_CONTENT,Practical claims and national insurance.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
personal-injury,תאונת דרכים: מה עושים מיד אחרי,car-accident-what-to-do,MISSING_OR_WEAK_CONTENT,Urgent user intent.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
personal-injury,ביטוח לאומי אחרי תאונה,national-insurance-after-accident,MISSING_OR_WEAK_CONTENT,High support topic.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
