url,clicks_28d,impressions_28d,ctr_28d,position_28d,clicks_3m,impressions_3m,ctr_3m,position_3m,clicks_12m,impressions_12m,ctr_12m,position_12m,clicks_16m,impressions_16m,ctr_16m,position_16m,top_query_1,top_query_1_clicks,top_query_1_impressions,top_query_1_position,top_query_2,top_query_2_clicks,top_query_2_impressions,top_query_2_position,top_query_3,top_query_3_clicks,top_query_3_impressions,top_query_3_position,top_query_4,top_query_4_clicks,top_query_4_impressions,top_query_4_position,top_query_5,top_query_5_clicks,top_query_5_impressions,top_query_5_position,query_count,traffic_risk,mobile_clicks,desktop_clicks,mobile_impressions,desktop_impressions,main_country
https://jus-tice.co.il/%d7%a8%d7%a9%d7%99%d7%9e%d7%aa-%d7%9e%d7%95%d7%9e%d7%97%d7%99%d7%9d-%d7%a8%d7%a4%d7%95%d7%90%d7%99%d7%99%d7%9d-%d7%9c%d7%91%d7%99%d7%aa-%d7%9e%d7%a9%d7%a4%d7%98-%d7%9e%d7%aa%d7%a2%d7%93%d7%9b%d7%9f,0,0,0%,0,0,0,0%,0,143,8136,1.76%,42.8,228,14232,1.60%,46.2,רשימת מומחים מטעם בית המשפט,11,553,8.2,רשימת מומחים רפואיים מטעם בית המשפט,4,11,4.3,דר משה גולדשר,2,3,33.0,חוות דעת רפואית לבית משפט,0,827,73.5,חוות דעת רפואית משפטית,0,232,54.6,127,HIGH,5,12,548,4365,isr
https://jus-tice.co.il/free-affidavit-sample,0,0,0%,0,0,0,0%,0,134,7945,1.69%,18.3,425,19525,2.18%,16.6,חתימה על תצהיר בחינם,14,471,8.5,תצהיר דוגמא וורד,11,227,7.2,תצהיר להורדה,10,273,7.9,תצהיר דוגמא,7,484,7.6,תצהיר לדוגמא,6,142,7.4,92,HIGH,20,47,1625,4038,isr
https://jus-tice.co.il/17044-12-22,0,0,0%,0,0,0,0%,0,132,2099,6.29%,23.5,144,2382,6.05%,23.5,חשפה את איבר מינה,1,14,39.9,עורך דין מעשים מגונים,0,36,91.7,משפט למטפלת,0,17,43.5,שציינו או קבעו אותו במדויק,0,14,40.1,סיוע למעשה סדום,0,10,87.2,16,HIGH,1,0,23,102,isr
https://jus-tice.co.il/psakdin/%d7%aa%d7%a4%d7%a7%d7%99%d7%93%d7%95-%d7%95%d7%93%d7%a8%d7%9b%d7%99-%d7%a2%d7%91%d7%95%d7%93%d7%aa%d7%95-%d7%a9%d7%9c-%d7%a2%d7%95%d7%91%d7%93-%d7%a1%d7%95%d7%a6%d7%99%d7%90%d7%9c%d7%99-%d7%9c%d7%a2,0,0,0%,0,0,0,0%,0,132,8107,1.63%,16.5,391,16918,2.31%,16.1,"עו""ס לסדרי דין",3,159,7.7,תסקיר עובדת סוציאלית אפוטרופוס,3,74,8.0,"תסקיר עו""ס לסדרי דין",2,113,12.2,עובדת סוציאלית לסדרי דין,2,23,7.7,עוסית לסדרי דין,1,54,8.0,91,HIGH,6,5,335,1446,isr
https://jus-tice.co.il/international-inheritance-wills-lawyer,0,0,0%,0,0,0,0%,0,128,14029,0.91%,48.0,168,16047,1.05%,46.6,ירושה על פי דין,0,624,72.6,ירושה על פי דין אחים,0,512,62.2,צו ירושה ללא צוואה,0,434,59.2,טיפול משפטי בנכסים בירושה,0,251,48.2,ירושה ללא צוואה,0,247,66.6,253,HIGH,0,0,1263,9060,afg
https://jus-tice.co.il/%d7%98%d7%95%d7%a4%d7%a1-%d7%9c%d7%a4%d7%99-%d7%97%d7%95%d7%a7-%d7%9c%d7%9e%d7%a0%d7%99%d7%a2%d7%aa-%d7%94%d7%a2%d7%a1%d7%a7%d7%94-%d7%a9%d7%9c-%d7%a2%d7%91%d7%a8%d7%99%d7%99%d7%a0%d7%99-%d7%9e%d7%99%d7%9f-%d7%91%d7%9e%d7%95%d7%a1%d7%93-%d7%94%d7%9e%d7%9b%d7%95%d7%95%d7%9f-%d7%9c%d7%9e%d7%aa%d7%9f-%d7%a9%d7%99%d7%a8%d7%95%d7%aa-%d7%9c%d7%a7%d7%98%d7%99%d7%a0%d7%99%d7%9d,0,0,0%,0,0,0,0%,0,127,13480,0.94%,12.1,228,27394,0.83%,12.5,אישור משטרה העדר עבירות מיניות מקוון,6,553,8.3,טופס אישור משטרה העדר עבירות מיניות,3,203,8.4,תעודת מוסד טופס 2,3,162,7.2,טופס העדר עבירות מיניות משטרה להורדה,3,81,8.8,בקשה לקבלת אישור העסקה משטרת ישראל,3,61,8.3,134,HIGH,11,27,1499,5446,isr
https://jus-tice.co.il/%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%a2%d7%93%d7%9b%d7%a0%d7%99-%d7%9c%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f,0,0,0%,0,0,0,0%,0,126,16572,0.76%,24.0,179,21815,0.82%,23.3,אחוז הגירושין בישראל 2025,56,831,3.4,גירושים אחרי 20 שנה,2,34,8.4,אחוז גירושין בישראל 2025,1,72,3.2,אחוז גירושים בישראל 2025,1,32,2.8,גירושין בישראל,0,662,62.7,219,HIGH,57,3,1929,5082,isr
https://jus-tice.co.il/low-value-invest-abroad,0,0,0%,0,0,0,0%,0,126,36534,0.34%,52.9,395,78491,0.50%,52.0,איפה הכי זול לקנות דירה בעולם,7,134,2.1,הבית הכי זול בעולם,1,217,6.3,דירות זולות,1,112,34.1,נדלן בעולם,1,88,13.7,לִקְנוֹת,1,9,36.3,432,HIGH,9,2,6357,26356,isr
https://jus-tice.co.il/usa-lawyers,0,0,0%,0,0,0,0%,0,121,11615,1.04%,17.4,270,22911,1.18%,16.7,עורכי דין ישראלים בארה ב,1,128,7.3,עורך דין ארצות הברית,0,470,10.4,"עורך דין נדלן ארה""ב",0,398,16.3,"עורך דין נזיקין ארה""ב",0,380,4.3,"עו""ד נזיקין ארצות הברית",0,371,4.9,197,HIGH,1,0,367,8207,pol
https://jus-tice.co.il/greece-lawyers,0,0,0%,0,0,0,0%,0,119,4533,2.63%,21.4,248,8965,2.77%,21.9,פסק דין יוון,0,226,7.8,תושבות ביוון,0,184,65.4,אזרחות יוונית,0,143,45.9,עורך דין אתיופי,0,125,33.4,משרד עורכי דין לדין אזרחי,0,86,68.9,72,HIGH,0,0,473,885,ago
https://jus-tice.co.il/notice-of-termination,0,0,0%,0,0,0,0%,0,115,21117,0.54%,45.2,313,41577,0.75%,46.3,הודעה מוקדמת להתפטרות דוגמא,3,130,11.7,מכתב הודעה מוקדמת לפיטורים,2,11,6.7,מכתב אזהרה לעובד דוגמא,1,148,27.3,מכתב התפטרות הודעה מוקדמת,1,109,27.8,נוסח מכתב פיטורים,1,101,30.1,386,HIGH,2,7,3577,14403,isr
https://jus-tice.co.il/tax-investigation-guide,0,0,0%,0,0,0,0%,0,113,22620,0.50%,33.4,150,27484,0.55%,31.6,חקירה במס הכנסה,1,762,11.5,חקירה רשות המיסים,1,3,24.7,עבירות מס הכנסה,0,1776,55.2,חקירות מס הכנסה,0,1456,23.6,מס הכנסה חקירות,0,813,21.7,222,HIGH,2,0,2587,13056,isr
https://jus-tice.co.il/infidelity-statistics-reasons-suspicions,0,0,0%,0,0,0,0%,0,111,11000,1.01%,32.1,202,18890,1.07%,33.5,אחוז הבגידות בישראל,3,47,8.2,בגידה,1,20,38.5,בגידות במקום העבודה,0,528,64.2,גילוי בגידות,0,515,45.2,סימני הבגידה אצל אישה,0,377,68.7,110,HIGH,1,3,283,5353,isr
https://jus-tice.co.il/lawyer-fee-outlook,0,0,0%,0,0,0,0%,0,109,26821,0.41%,24.8,159,33257,0.48%,23.6,שכר עורכי דין 2025,8,355,7.6,כמה מרוויח עורך דין בארצות הברית,1,61,12.1,כמה מרוויח עורך דין מצליח,1,36,15.6,שכר טרחה עורך דין אחוזים,1,34,29.4,שכר טרחה עורך דין,0,713,52.1,263,HIGH,8,3,1932,9114,isr
https://jus-tice.co.il/%d7%a8%d7%aa%d7%a7-38215-11-21-%d7%a9%d7%95%d7%a1%d7%98%d7%a8%d7%9e%d7%9f-%d7%a0-%d7%90%d7%9c%d7%91%d7%a8-%d7%a6%d7%99%d7%99-%d7%a8%d7%9b%d7%91,0,0,0%,0,0,0,0%,0,108,4395,2.46%,22.0,184,6610,2.78%,25.5,תביעה על מכירת רכב לא תקין,14,407,8.6,הסתרת מידע במכירת רכב,0,168,35.0,ביטול עסקה רכב,0,150,49.0,חוק מכירת רכב משומש,0,149,45.5,מוכר רכב לא תקין,0,99,18.4,55,HIGH,8,6,531,1088,isr
https://jus-tice.co.il/%d7%90%d7%99%d7%a4%d7%94-%d7%94%d7%9b%d7%99-%d7%9e%d7%a9%d7%aa%d7%9c%d7%9d-%d7%9c%d7%9e%d7%a9%d7%a7%d7%99%d7%a2-%d7%94%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99-%d7%9c%d7%a7%d7%a0%d7%95%d7%aa-%d7%93%d7%99%d7%a8%d7%94-%d7%91%d7%a2%d7%95%d7%9c%d7%9d,0,0,0%,0,0,0,0%,0,107,31184,0.34%,32.2,108,31654,0.34%,32.2,מחירי דירות באירופה,1,47,16.3,איפה כדאי לקנות דירה להשקעה בחול,0,567,61.8,השקעה בגרמניה,0,234,62.1,"השקעת נדל""ן בברלין",0,214,53.5,דירות להשקעה עם תשואה גבוהה,0,202,49.9,550,HIGH,0,1,2342,12264,isr
https://jus-tice.co.il/%d7%a9%d7%95%d7%a4%d7%98%d7%aa-%d7%98%d7%9c%d7%99-%d7%97%d7%99%d7%99%d7%9e%d7%95%d7%91%d7%99%d7%a5-%d7%a4%d7%a1%d7%93-%d7%a7%d7%91%d7%9c%d7%aa-%d7%93%d7%91%d7%a8-%d7%91%d7%9e%d7%a8%d7%9e%d7%94-%d7%91%d7%a0%d7%a1%d7%99%d7%91%d7%95%d7%aa-%d7%9e%d7%97%d7%9e%d7%99%d7%a8%d7%95%d7%aa-%d7%94%d7%9c%d7%91%d7%a0%d7%aa-%d7%94%d7%95%d7%9f-%d7%a2%d7%91%d7%99%d7%a8%d7%95%d7%aa-%d7%9e%d7%a0%d7%94%d7%9c%d7%99%d7%9d-%d7%91%d7%aa%d7%90%d7%92%d7%99%d7%93,0,0,0%,0,0,0,0%,0,103,5334,1.93%,17.9,206,8998,2.29%,20.0,שמעון עמר פונטיאק,11,137,4.8,סלט משוויה רפי כהן,1,48,39.9,יוסי סויסה קזינו,1,7,14.9,קבלת דבר במרמה בנסיבות מחמירות,0,106,78.9,פסק דין מזרחי נגד יובל אלון חברה לבניין בע”מ,0,60,77.6,64,HIGH,11,2,156,538,isr
https://jus-tice.co.il/wp-content/uploads/2020/02/%d7%94%d7%aa%d7%9c%d7%99%d7%99%d7%aa-%d7%a9%d7%9c%d7%99%d7%9c%d7%aa-%d7%a8%d7%a9%d7%99%d7%95%d7%a0%d7%95%d7%aa-%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa.pdf,13,222,5.86%,11.1,25,461,5.42%,11.7,100,4119,2.43%,30.6,196,8132,2.41%,35.2,התליית רישיון רופא,2,185,7.9,התליית רישיון,0,258,65.2,מה זה התליית רישיון,0,247,69.1,התליית רשיון,0,201,74.9,שלילת רישיון נהיגה רפואי,0,139,94.9,61,HIGH,1,1,466,1560,isr
https://jus-tice.co.il/miami-florida-lawyers,0,0,0%,0,0,0,0%,0,99,3442,2.88%,19.1,237,6427,3.69%,18.4,עורך דין במיאמי,2,54,1.0,עורכי דין בפלורידה,1,123,1.5,קניית דירה במיאמי,0,182,60.7,עו ד ישראלי בארה ב,0,153,25.1,עורך דין בפלורידה,0,125,2.1,53,MEDIUM,2,1,209,1479,isr
https://jus-tice.co.il/%d7%94%d7%a0%d7%97%d7%99%d7%95%d7%aa-%d7%9c%d7%9e%d7%91%d7%a7%d7%a9%d7%99%d7%9d-%d7%9c%d7%94%d7%aa%d7%9e%d7%a0%d7%95%d7%aa-%d7%9c%d7%9e%d7%a9%d7%a8%d7%94-%d7%a9%d7%99%d7%a4%d7%95%d7%98%d7%99%d7%aa,0,0,0%,0,0,0,0%,0,98,3944,2.48%,18.3,349,8337,4.19%,17.9,מועמדות לשיפוט,3,131,3.5,איך נהיים שופטים,3,76,3.8,הגשת מועמדות לשפיטה,2,214,4.3,מועמדות לשפיטה,2,38,4.1,שופט,0,377,27.4,73,MEDIUM,6,4,381,1160,isr
https://jus-tice.co.il/%d7%97%d7%aa%d7%99%d7%9e%d7%aa-%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%a0%d7%95%d7%98%d7%a8%d7%99%d7%95%d7%9f,0,0,0%,0,0,0,0%,0,98,25316,0.39%,31.8,151,33637,0.45%,31.0,חתימה על תצהיר בחינם,2,66,19.3,חתימת נוטריון,0,493,29.5,מחיר חתימה דיגיטלית,0,371,65.8,עורך דין נוטריון,0,369,70.4,חתימה על מסמכים מרחוק,0,340,70.1,372,HIGH,0,2,2103,10312,isr
https://jus-tice.co.il/%d7%91%d7%a2%d7%9c%d7%95%d7%aa-%d7%a2%d7%9c-%d7%96%d7%9b%d7%95%d7%99%d7%95%d7%aa-%d7%91%d7%a0%d7%99%d7%99%d7%94-%d7%91%d7%92%d7%92%d7%95%d7%aa-%d7%94%d7%9c%d7%9b%d7%aa-%d7%91%d7%99%d7%aa-%d7%94%d7%93%d7%a8,0,0,0%,0,0,0,0%,0,97,6869,1.41%,33.3,135,8817,1.53%,32.4,בניה על גג משותף ללא הסכמה,1,445,21.3,זכויות בניה על גג בית משותף,0,375,20.6,בנייה על גג בית משותף,0,265,42.9,תוספת בנייה על הגג,0,252,76.5,בניה על גג פרטי בבית משותף,0,238,71.8,81,MEDIUM,0,1,180,3442,isr
https://jus-tice.co.il/%d7%a2%d7%95%d7%a8%d7%9b%d7%99-%d7%93%d7%99%d7%9f/%d7%a2%d7%95%d7%a8%d7%9b%d7%99-%d7%94%d7%93%d7%99%d7%9f-%d7%94%d7%9e%d7%a4%d7%95%d7%a8%d7%a1%d7%9e%d7%99%d7%9d-%d7%91%d7%99%d7%95%d7%aa%d7%a8-%d7%9c%d7%94%d7%92%d7%a0%d7%94-%d7%a4%d7%9c%d7%99%d7%9c,0,0,0%,0,0,0,0%,0,96,52238,0.18%,30.5,178,101514,0.18%,30.8,עורך דין פלילי מפורסם,6,1536,8.0,עורכי דין פליליים מובילים,3,1492,8.3,עורכי דין פליליים מפורסמים,3,498,5.6,עורכת דין פלילית מפורסמת,2,747,3.8,עו ד פלילי מפורסם,2,614,6.0,387,HIGH,19,7,6073,41066,isr
https://jus-tice.co.il/immigration-lawyer,0,0,0%,0,0,0,0%,0,96,42968,0.22%,40.6,191,77852,0.25%,38.9,עורך דין הגירה לאירופה,3,153,8.9,עורך דין הגירה לחול,1,93,9.7,רילוקיישן ללוקסמבורג,1,87,19.3,ויזת סטודנט לספרד,1,1,47.0,עורך דין הגירה,0,2357,36.1,427,HIGH,5,1,4166,31516,isr
https://jus-tice.co.il/extradition-guide,0,0,0%,0,0,0,0%,0,95,9852,0.96%,11.0,158,13157,1.20%,11.3,הסכם הסגרה,2,637,5.3,צו הסגרה בינלאומי,1,106,24.6,הסגרה,0,770,8.6,עורך דין הסגרה,0,182,41.6,הסגרה לישראל,0,129,5.4,66,MEDIUM,2,1,388,2301,isr
https://jus-tice.co.il/us-lawyer-license-requirements,0,0,0%,0,0,0,0%,0,95,4589,2.07%,27.8,174,7859,2.21%,26.8,עורך דין בארצות הברית,1,46,11.8,עורך דין ארהב,0,149,14.2,עורך דין אמריקאי בישראל,0,81,24.9,עורך דין הסכמי רישיון,0,79,38.0,כמה מרוויח עורך דין בארצות הברית,0,76,7.8,119,MEDIUM,1,0,102,2331,isr
https://jus-tice.co.il/%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%a4%d7%9c%d7%99%d7%9c%d7%99-%d7%a9%d7%9b%d7%a8-%d7%9b%d7%9e%d7%94-%d7%9e%d7%a8%d7%95%d7%95%d7%99%d7%97-%d7%a2%d7%95%d7%93-%d7%a4%d7%9c%d7%99%d7%9c%d7%99-%d7%91%d7%99%d7%a9%d7%a8%d7%90%d7%9c,0,0,0%,0,0,0,0%,0,92,4183,2.20%,17.5,273,7888,3.46%,17.6,כמה מרוויח עורך דין פלילי,20,223,1.7,עורך דין פלילי שכר,6,500,2.5,כמה מרוויח עורך דין,2,520,10.2,עורך דין שכר,0,158,41.8,שכר עו ד,0,122,47.2,53,MEDIUM,25,3,784,1725,isr
https://jus-tice.co.il/thailand-real-estate,0,0,0%,0,0,0,0%,0,92,5407,1.70%,16.3,243,12187,1.99%,15.6,כמה עולה לקנות בית בתאילנד,7,213,6.3,קניית בית בתאילנד,5,162,5.2,כמה עולה בית בתאילנד,2,362,8.0,נדלן בתאילנד,2,155,10.0,השקעות נדלן בתאילנד,2,62,9.0,91,MEDIUM,16,6,1254,1487,isr
https://jus-tice.co.il/famous-criminal-defense-lawyer,0,0,0%,0,0,0,0%,0,90,16146,0.56%,28.0,100,17876,0.56%,26.8,עורך דין פלילי מפורסם,4,981,11.2,אריק דופונט מורטי,3,34,6.3,עו ד פלילי מפורסם,2,506,10.3,עורכת דין פלילית מפורסמת,1,563,10.4,עורכי הדין הפליליים הטובים בישראל,1,112,10.1,307,MEDIUM,12,0,1493,9078,isr
https://jus-tice.co.il/bank-account-in-portugal,0,0,0%,0,0,0,0%,0,89,3257,2.73%,35.9,193,6749,2.86%,35.8,פתיחת חשבון בנק בפורטוגל,19,157,3.0,פתיחת חשבון בנק עם דרכון,0,260,35.0,איך פותחים חשבון בנק בחול,0,211,53.3,בנק אירופאי בישראל,0,191,46.8,פתיחת חשבון בנק ללא תעודת זהות,0,177,76.0,66,MEDIUM,12,7,225,1807,isr
https://jus-tice.co.il/murder-in-united-states-law,0,0,0%,0,0,0,0%,0,89,12102,0.74%,35.2,143,22662,0.63%,35.8,רצח מדרגה ראשונה,8,719,6.8,רצח מדרגה שלישית,2,182,4.3,רצח מדרגה שנייה,1,163,8.4,עבירות רצח,0,1444,72.1,עבירת רצח,0,1113,24.9,96,MEDIUM,7,4,1320,7898,isr
https://jus-tice.co.il/uk-lawyer,0,0,0%,0,0,0,0%,0,86,4438,1.94%,29.5,192,9027,2.13%,28.9,עורך דין אנגליה,0,200,6.3,ייצוג משפטי אנגליה,0,195,3.3,"עו""ד אנגליה",0,132,5.9,פתיחת חברה באנגליה,0,126,52.9,הקמת חברה באנגליה,0,114,54.0,106,MEDIUM,0,0,43,2125,ago
https://jus-tice.co.il/arrested-abroad-il,0,0,0%,0,0,0,0%,0,85,6469,1.31%,17.2,108,8093,1.33%,17.1,מעצר ילדים יוטיוב,1,3,27.0,איך נרגעים לפני מעצר,0,131,8.1,"עורך דין מומחה למעצר בחו""ל",0,115,11.2,מומחה לאינטרפול,0,70,44.0,ייצוג משפטי מצרים,0,63,69.9,74,MEDIUM,0,1,229,846,isr
https://jus-tice.co.il/cyprus-lawyer,0,0,0%,0,0,0,0%,0,85,6260,1.36%,23.4,149,10987,1.36%,19.2,עורך דין בקפריסין,4,497,6.4,עורכי דין קפריסין,2,469,5.7,עורך דין קפריסין,1,784,6.6,"עו""ד קפריסין",0,384,2.4,עורך דין קפריסאי,0,237,6.1,110,MEDIUM,6,1,118,4080,isr
https://jus-tice.co.il/greece-price-list,0,0,0%,0,0,0,0%,0,85,12234,0.69%,29.1,85,12234,0.69%,29.1,בתים לשיפוץ ביוון,2,15,10.9,כמה עולה דירה ביוון,1,301,18.1,מחיר דירה ביוון,1,136,24.6,וילות ביוון למכירה,0,199,64.7,"נדל""ן באתונה",0,191,62.3,257,MEDIUM,2,1,1970,5651,isr
https://jus-tice.co.il/spouse-property-registration-guide,0,0,0%,0,0,0,0%,0,83,7350,1.13%,37.8,228,12908,1.77%,35.6,קניית דירה על שם אחד מבני הזוג,2,65,6.6,האם אפשר לרשום דירה על שני אנשים,2,17,6.6,בן זוג שגר בדירה שאינה רשומה על שמו,1,134,29.2,דירה הרשומה על שם אחד מבני הזוג,1,91,11.2,פינוי בן זוג מדירה,1,2,45.0,150,MEDIUM,5,2,442,3781,isr
https://jus-tice.co.il/italy-lawyers,0,0,0%,0,0,0,0%,0,81,3101,2.61%,19.0,196,6566,2.99%,18.9,עורך דין איטלקי,1,209,11.6,עו ד איטלקי,0,208,11.4,עורך דין איטליה,0,206,9.7,ייצוג משפטי איטליה,0,196,3.7,עוד איטליה,0,196,7.3,42,MEDIUM,1,0,456,1323,isr
https://jus-tice.co.il/malta-citizenship-by-investment,0,0,0%,0,0,0,0%,0,81,2676,3.03%,33.9,367,6253,5.87%,31.3,אזרחות מלטה,5,68,2.5,רילוקיישן למלטה,2,118,6.6,הגירה למלטה,1,14,3.4,אזרחות מלטזית,1,7,1.0,ויזה למלטה,0,217,12.7,99,MEDIUM,7,2,231,1284,isr
https://jus-tice.co.il/online-rent-agreement,0,0,0%,0,0,0,0%,0,80,1651,4.85%,26.4,80,1651,4.85%,26.4,חוזה שכירות סטנדרטי 2025,29,386,5.6,חוזה שכירות אונליין,8,162,6.4,חוזה שכירות 2025,7,26,6.3,"עורך דין שכירות בת""א",0,123,38.8,בדיקת חוזה שכירות,0,69,62.1,58,MEDIUM,25,18,477,639,isr
https://jus-tice.co.il/germany-lawyers,0,0,0%,0,0,0,0%,0,79,5815,1.36%,40.6,210,13503,1.56%,39.5,עורך דין בגרמניה,1,75,5.5,שגרירות גרמניה עורכי דין מומלצים,1,51,35.2,עורך דין גרמניה,0,733,21.4,"עו""ד גרמניה",0,525,21.0,עורך דין אזרחות גרמנית,0,383,74.1,109,MEDIUM,1,1,456,3712,deu
