page,current_clicks,previous_clicks,click_change,click_change_percent,current_impressions,previous_impressions,risk_level
https://jus-tice.co.il/articles/%d7%94%d7%90%d7%9d-%d7%9c%d7%a0%d7%a6%d7%99%d7%91-%d7%a9%d7%99%d7%a8%d7%95%d7%aa-%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%99%d7%a9-%d7%a1%d7%9e%d7%9b%d7%95%d7%aa-%d7%9c%d7%97%d7%aa%d7%95%d7%9d-%d7%a2,0,1,-1,-100.0%,259,179,MEDIUM_DROP
https://jus-tice.co.il/articles/%d7%97%d7%99%d7%95%d7%91-%d7%92%d7%98-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%95%d7%93%d7%97%d7%99%d7%99%d7%aa-%d7%91%d7%a7%d7%a9%d7%aa-%d7%94%d7%90%d7%99%d7%a9-%d7%9c%d7%93%d7%95%d7%9f-%d7%91,0,1,-1,-100.0%,20,17,MEDIUM_DROP
https://jus-tice.co.il/articles/%d7%aa%d7%a7%d7%a6%d7%99%d7%a8-%d7%94%d7%93%d7%95%d7%97-%d7%a2%d7%9c-%d7%99%d7%99%d7%a9%d7%95%d7%9d-%d7%94%d7%97%d7%95%d7%a7-%d7%9c%d7%9e%d7%a0%d7%99%d7%a2%d7%aa-%d7%94%d7%98%d7%a8%d7%93%d7%94-%d7%9e,0,1,-1,-100.0%,5,49,MEDIUM_DROP
https://jus-tice.co.il/portugal-homes,0,1,-1,-100.0%,11,15,MEDIUM_DROP
https://jus-tice.co.il/psakdin/%d7%a4%d7%a1%d7%93-%d7%91%d7%aa%d7%95%d7%91%d7%a2%d7%a0%d7%94-%d7%a0%d7%96%d7%99%d7%a7%d7%99%d7%aa-%d7%a0%d7%92%d7%93-%d7%99%d7%a6%d7%97%d7%a7-%d7%94%d7%a8%d7%a6%d7%95%d7%92-%d7%95%d7%90%d7%97,0,1,-1,-100.0%,19,15,MEDIUM_DROP
https://jus-tice.co.il/psakdin/%d7%a4%d7%a1%d7%93-%d7%a1%d7%9c%d7%a7%d7%95%d7%9d-%d7%9e%d7%9b%d7%a8%d7%94-%d7%9e%d7%99%d7%93%d7%a2-%d7%95%d7%a0%d7%aa%d7%95%d7%a0%d7%99-%d7%90%d7%99%d7%9b%d7%95%d7%9f-%d7%a2%d7%9c-%d7%9c%d7%a7,0,1,-1,-100.0%,45,20,MEDIUM_DROP
https://jus-tice.co.il/wp-content/uploads/2019/03/%d7%91%d7%99%d7%94%d7%93-%d7%94%d7%90%d7%99%d7%96%d7%95%d7%a8%d7%99-%d7%9c%d7%a2%d7%91%d7%95%d7%93%d7%94-%d7%91%d7%a0%d7%a6%d7%a8%d7%aa-%d7%a9-%d7%98%d7%9c-%d7%92%d7%95%d7%9c%d7%9f-%d7%a4%d7%a1%d7%93-%d7%91%d7%aa%d7%91%d7%99%d7%a2%d7%95%d7%aa-%d7%94%d7%93%d7%93%d7%99%d7%95%d7%aa-%d7%a9%d7%9c-%d7%97%d7%91%d7%a8%d7%94-%d7%9c%d7%99%d7%99%d7%a6%d7%95%d7%a8-%d7%99%d7%a8%d7%99%d7%a2%d7%95%d7%aa-%d7%a4%d7%9c%d7%a1%d7%98%d7%99%d7%a7-%d7%9c%d7%97%d7%a7%d7%9c%d7%90%d7%95%d7%aa-%d7%95%d7%9e%d7%a0%d7%9b%d7%9c-%d7%94%d7%97%d7%91%d7%a8%d7%94-%d7%9c%d7%a9%d7%a2%d7%91%d7%a8.pdf,0,1,-1,-100.0%,15,16,MEDIUM_DROP
https://jus-tice.co.il/wp-content/uploads/2019/03/%d7%91%d7%99%d7%94%d7%93-%d7%94%d7%90%d7%a8%d7%a6%d7%99-%d7%9c%d7%a2%d7%91%d7%95%d7%93%d7%94-%d7%a9-%d7%9c%d7%90%d7%94-%d7%92%d7%9c%d7%99%d7%a7%d7%a1%d7%9e%d7%9f-%d7%a4%d7%a1%d7%93-%d7%91%d7%a2%d7%a0%d7%99%d7%99%d7%9f-%d7%a4%d7%99%d7%98%d7%95%d7%a8%d7%99-%d7%a2%d7%95%d7%91%d7%93%d7%99%d7%9d-%d7%a9%d7%94%d7%95%d7%a2%d7%a1%d7%a7%d7%95-%d7%91%d7%a0%d7%99%d7%92%d7%a8%d7%99%d7%94-%d7%95%d7%a4%d7%95%d7%a8%d7%95%d7%9d-%d7%9c%d7%90-%d7%a0%d7%90%d7%95%d7%aa.pdf,0,1,-1,-100.0%,3,7,MEDIUM_DROP
https://jus-tice.co.il/wp-content/uploads/2022/06/%d7%a0%d7%99%d7%94%d7%95%d7%9c-%d7%aa%d7%91%d7%99%d7%a2%d7%aa-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%9e%d7%97%d7%95%d7%9c-%d7%91%d7%90%d7%9e%d7%a6%d7%a2%d7%95%d7%aa-%d7%9e%d7%95%d7%a8%d7%a9%d7%94-%d7%95%d7%96%d7%95%d7%9d-%d7%9b%d7%90%d7%a9%d7%a8-%d7%94%d7%a0%d7%aa%d7%91%d7%a2-%d7%9e%d7%aa%d7%a0%d7%92%d7%93-1268530-3-%d7%91%d7%99%d7%94%d7%93-%d7%90%d7%a9%d7%a7%d7%9c%d7%95%d7%9f.docx,0,1,-1,-100.0%,3,1,MEDIUM_DROP
https://jus-tice.co.il/wp-content/uploads/2023/02/%d7%9b%d7%aa%d7%91-%d7%90%d7%99%d7%a9%d7%95%d7%9d-%d7%97%d7%95%d7%9c%d7%95%d7%9f-.pdf,0,1,-1,-100.0%,6,8,MEDIUM_DROP
https://jus-tice.co.il/%d7%94%d7%92%d7%99%d7%a8%d7%94-%d7%9e%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%a8%d7%a9%d7%99%d7%9e%d7%aa-%d7%94%d7%9c%d7%99%d7%9b%d7%99%d7%9d,0,1,-1,-100.0%,0,26,MEDIUM_DROP
https://jus-tice.co.il/%d7%94%d7%97%d7%96%d7%a7%d7%aa-%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%9e%d7%a9%d7%9e%d7%95%d7%a8%d7%aa-%d7%9e%d7%a9%d7%95%d7%aa%d7%a4%d7%aa-%d7%91%d7%99%d7%aa-%d7%94%d7%93%d7%99%d7%9f-%d7%94%d7%a8%d7%91%d7%a0%d7%99,0,1,-1,-100.0%,0,23,MEDIUM_DROP
https://jus-tice.co.il/%d7%9e%d7%97%d7%a9%d7%91%d7%95%d7%9f-%d7%9e%d7%96%d7%95%d7%a0%d7%95%d7%aa-%d7%99%d7%9c%d7%93%d7%99%d7%9d,0,1,-1,-100.0%,0,966,MEDIUM_DROP
https://jus-tice.co.il/%d7%9e%d7%99%d7%a0%d7%95%d7%99-%d7%a9%d7%9e%d7%90%d7%99-%d7%9e%d7%a7%d7%a8%d7%a7%d7%a2%d7%99%d7%9f-%d7%a2%d7%96%d7%91%d7%95%d7%9f-%d7%a6%d7%95-%d7%99%d7%a8%d7%95%d7%a9%d7%94,0,1,-1,-100.0%,0,3,MEDIUM_DROP
https://jus-tice.co.il/%d7%a4%d7%a1%d7%93-%d7%93%d7%97%d7%99%d7%99%d7%aa-%d7%91%d7%a7%d7%a9%d7%94-%d7%9c%d7%91%d7%99%d7%98%d7%95%d7%9c-%d7%a6%d7%95-%d7%99%d7%a8%d7%95%d7%a9%d7%94-%d7%91%d7%92%d7%9c%d7%9c-%d7%a6%d7%95%d7%95%d7%90%d7%94-%d7%a9%d7%a0%d7%9e%d7%a6%d7%90%d7%94-%d7%9c%d7%90%d7%97%d7%a8-%d7%a9%d7%a0%d7%99%d7%9d-%d7%a8%d7%91%d7%95%d7%aa-491180-3-%d7%91%d7%99%d7%94%d7%93-%d7%97%d7%99%d7%a4%d7%94,0,1,-1,-100.0%,0,11,MEDIUM_DROP
https://jus-tice.co.il/%d7%a6%d7%91%d7%99%d7%90%d7%9c%d7%99-%d7%a0-%d7%a2%d7%99%d7%a8%d7%99%d7%99%d7%aa-%d7%aa%d7%9c-%d7%90%d7%91%d7%99%d7%91-%d7%9e%d7%a1%d7%9e%d7%9a-%d7%94%d7%a0%d7%97%d7%99%d7%95%d7%aa-%d7%9b%d7%99%d7%9b%d7%a8-%d7%90%d7%aa%d7%a8%d7%99%d7%9d-%d7%a4%d7%a1%d7%a7-%d7%93%d7%99%d7%9f,0,1,-1,-100.0%,0,8,MEDIUM_DROP
https://jus-tice.co.il/5585-04-22estate-trust-legal-judgment,0,1,-1,-100.0%,0,4,MEDIUM_DROP
https://jus-tice.co.il/70703-09-24,0,1,-1,-100.0%,0,2,MEDIUM_DROP
https://jus-tice.co.il/articles/%d7%94%d7%97%d7%9c%d7%98%d7%94-%d7%91%d7%91%d7%a7%d7%a9%d7%aa-%d7%90%d7%9d-%d7%9c%d7%9e%d7%a9%d7%9e%d7%95%d7%a8%d7%aa-%d7%96%d7%9e%d7%a0%d7%99%d7%aa-%d7%a9%d7%9c-%d7%a7%d7%98%d7%99%d7%9f-%d7%95%d7%9c,0,1,-1,-100.0%,0,10,MEDIUM_DROP
https://jus-tice.co.il/articles/%d7%a1%d7%9e%d7%9b%d7%95%d7%aa-%d7%91%d7%99%d7%aa-%d7%94%d7%93%d7%99%d7%9f-%d7%91%d7%a2%d7%a0%d7%99%d7%99%d7%9f-%d7%9e%d7%96%d7%95%d7%a0%d7%95%d7%aa-%d7%94%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%9c%d7%90,0,1,-1,-100.0%,0,126,MEDIUM_DROP
https://jus-tice.co.il/articles/%d7%a2%d7%95%d7%a0%d7%a9-%d7%a4%d7%9c%d7%99%d7%9c%d7%99-%d7%9c%d7%a0%d7%90%d7%a9%d7%9d-%d7%91%d7%9e%d7%a2%d7%a9%d7%94-%d7%9e%d7%92%d7%95%d7%a0%d7%94-%d7%91%d7%a0%d7%a1%d7%99%d7%91%d7%95%d7%aa-%d7%9e,0,1,-1,-100.0%,0,10,MEDIUM_DROP
https://jus-tice.co.il/articles/%d7%a4%d7%a1%d7%93-%d7%aa%d7%91%d7%99%d7%a2%d7%aa-%d7%9b%d7%aa%d7%95%d7%91%d7%94-%d7%a9%d7%94%d7%92%d7%99%d7%a9%d7%95-%d7%99%d7%95%d7%a8%d7%a9%d7%99-%d7%94%d7%90%d7%99%d7%a9%d7%94-%d7%a0%d7%92,0,1,-1,-100.0%,0,5,MEDIUM_DROP
https://jus-tice.co.il/decision28925-09-17,0,1,-1,-100.0%,0,17,MEDIUM_DROP
https://jus-tice.co.il/kl-gates,0,1,-1,-100.0%,0,29,MEDIUM_DROP
https://jus-tice.co.il/malta-lawyers,0,1,-1,-100.0%,0,10,MEDIUM_DROP
https://jus-tice.co.il/portugal-noatary,0,1,-1,-100.0%,0,14,MEDIUM_DROP
https://jus-tice.co.il/psakdin/%d7%a2%d7%95%d7%a0%d7%a9-%d7%94%d7%97%d7%96%d7%a7%d7%aa-%d7%a7%d7%a0%d7%90%d7%91%d7%99%d7%a1-%d7%99%d7%99%d7%a6%d7%95%d7%a8-%d7%94%d7%9b%d7%a0%d7%94-%d7%95%d7%94%d7%a4%d7%a7%d7%94-%d7%a9%d7%9c-%d7%a1%d7%9d-%d7%95%d7%a2%d7%95%d7%93,0,1,-1,-100.0%,0,23,MEDIUM_DROP
https://jus-tice.co.il/psakdin/%d7%a4%d7%a1%d7%93-%d7%91%d7%91%d7%a7%d7%a9%d7%94-%d7%9c%d7%94%d7%a2%d7%91%d7%a8%d7%aa-%d7%94%d7%9e%d7%a9%d7%9e%d7%95%d7%a8%d7%aa-%d7%90%d7%9c-%d7%94%d7%90%d7%91-%d7%95%d7%a8%d7%99%d7%a9%d7%95%d7%9d,0,1,-1,-100.0%,0,13,MEDIUM_DROP
https://jus-tice.co.il/robert-stephan-cohen,0,1,-1,-100.0%,0,13,MEDIUM_DROP
https://jus-tice.co.il/wp-content/uploads/2019/03/%d7%91%d7%99%d7%94%d7%93-%d7%94%d7%90%d7%96%d7%95%d7%a8%d7%99-%d7%9c%d7%a2%d7%91%d7%95%d7%93%d7%94-%d7%91%d7%aa%d7%90-%d7%a9-%d7%aa%d7%95%d7%9e%d7%a8-%d7%a1%d7%99%d7%9c%d7%95%d7%a8%d7%94-%d7%a4%d7%a1%d7%93-%d7%91%d7%a0%d7%95%d7%a9%d7%90-%d7%94%d7%a9%d7%95%d7%95%d7%90%d7%aa-%d7%aa%d7%a0%d7%90%d7%99%d7%9d-%d7%91%d7%9e%d7%a2%d7%95%d7%a0%d7%95%d7%aa-%d7%99%d7%95%d7%9d-%d7%95%d7%92%d7%a0%d7%99%d7%9d-%d7%91%d7%97%d7%99%d7%a0%d7%95%d7%9a-%d7%94%d7%97%d7%a8%d7%93%d7%99-1.pdf,0,1,-1,-100.0%,0,2,MEDIUM_DROP
https://jus-tice.co.il/wp-content/uploads/2023/05/italy_list_of_english-speaking_lawyers.pdf,4,3,1,33.3%,572,376,STABLE
https://jus-tice.co.il/wp-content/uploads/2022/06/54111-law-firms-in-the-us-industry-report.pdf,7,2,5,250.0%,504,387,GROWING
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,32,25,7,28.0%,274,307,STABLE
https://jus-tice.co.il/wp-content/uploads/2020/02/%d7%94%d7%aa%d7%9c%d7%99%d7%99%d7%aa-%d7%a9%d7%9c%d7%99%d7%9c%d7%aa-%d7%a8%d7%a9%d7%99%d7%95%d7%a0%d7%95%d7%aa-%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa.pdf,13,6,7,116.7%,222,115,GROWING
